element_type,osmid,nodes,building,name,name:en,geometry,building:levels,addr:street,amenity,cuisine,fast_food,office,operator,ways,type
way,299470386,"[3034560116, 3034560117, 3034560118, 3034560119, 3034560120, 3034560121, 3034560122, 3034560123, 3034560124, 3034560125, 3034560126, 3034560127, 3034560116]",school,实验3楼,Research Buiding 3,"POLYGON ((121.4183757 31.1461284, 121.4184568 31.1461521, 121.4184877 31.1460743, 121.4191269 31.1462604, 121.419095 31.1463406, 121.4191996 31.146371, 121.4193203 31.1460672, 121.4192231 31.1460388, 121.4191883 31.1461262, 121.4185419 31.1459379, 121.4185714 31.1458638, 121.4184903 31.1458401, 121.4183757 31.1461284))",,,,,,,,,
way,335053176,"[3421817874, 3421817875, 3421817876, 3421817877, 3421817874]",yes,实验8楼,Research Building 8,"POLYGON ((121.4201502 31.1470347, 121.4209872 31.1472883, 121.4210621 31.1471382, 121.4202038 31.1468921, 121.4201502 31.1470347))",4,,,,,,,,
way,335053178,"[3421817878, 5084955415, 5084960323, 3421817879, 3421817880, 3421817881, 3421817878]",university,,University Office,"POLYGON ((121.4200102 31.1447959, 121.4202888 31.1448726, 121.4203717 31.1448962, 121.4207051 31.1450001, 121.4207757 31.1448208, 121.4200688 31.1446242, 121.4200102 31.1447959))",3,,,,,,,,
way,335053442,"[3421821445, 3421821446, 3421821447, 3421821448, 3421821445]",dormitory,励志公寓,Lizhi Apartment,"POLYGON ((121.4175769 31.1460213, 121.4180645 31.1461521, 121.4181736 31.1458842, 121.4177006 31.1457472, 121.4175769 31.1460213))",,,,,,,,,
way,335053511,"[3421820667, 3421820668, 3421820669, 3421820670, 3421820671, 3421820672, 3421820673, 3421820667]",yes,逸夫楼,Yifu Building,"POLYGON ((121.4210691 31.1443273, 121.4212435 31.1443686, 121.42134 31.1441184, 121.421399 31.1441345, 121.4214634 31.1439921, 121.4213025 31.1439554, 121.4211684 31.1439967, 121.4210691 31.1443273))",,,,,,,,,
way,335053599,"[3421822689, 3421820671, 3421822690, 3421822691, 3421822689]",school,研究生楼,Teaching Building for Graduate Students,"POLYGON ((121.4213606 31.1443107, 121.4214634 31.1439921, 121.4219549 31.1441103, 121.421838 31.144423, 121.4213606 31.1443107))",15,,,,,,,,
way,335053949,"[3421820166, 3421820167, 3421820168, 3421820169, 3421820166]",yes,,,"POLYGON ((121.416815 31.1437117, 121.416881 31.1435672, 121.4173096 31.1437107, 121.4172436 31.1438552, 121.416815 31.1437117))",,梅陇路,restaurant,chinese,,,,,
way,335053970,"[3421827509, 3421827510, 3421827511, 3421827512, 3421827513, 3421827514, 3421827509]",yes,,Youyi,"POLYGON ((121.4171172 31.1465372, 121.4173988 31.1466189, 121.41757 31.146187, 121.4173764 31.1461308, 121.4173345 31.1462365, 121.4172464 31.146211, 121.4171172 31.1465372))",,,restaurant,chinese,,,,,
way,335054082,"[3421828279, 3421828280, 3421828281, 3421828282, 3421828279]",yes,4,,"POLYGON ((121.416989 31.1468917, 121.4172236 31.146957, 121.4173371 31.1466582, 121.4171025 31.1465929, 121.416989 31.1468917))",,,restaurant,,,,,,
way,335054083,"[3421828284, 3421828285, 3421828286, 3421828287, 3421828284]",yes,三食堂,,"POLYGON ((121.4177588 31.1481182, 121.4178459 31.1478766, 121.4174996 31.1477852, 121.4174126 31.1480269, 121.4177588 31.1481182))",,,restaurant,,cafeteria,,,,
way,335055676,"[3421838490, 3421838491, 3421843396, 3421843397, 3421838490]",yes,华东理工大学第一食堂,,"POLYGON ((121.4210605 31.1480484, 121.421211 31.1476869, 121.4217359 31.147847, 121.4215854 31.1482085, 121.4210605 31.1480484))",,,,,,,,,
way,521498302,"[5081181289, 5081181290, 5081181291, 5081181292, 5081181289]",school,实验2楼,Research Building 2,"POLYGON ((121.4187678 31.1456934, 121.4188322 31.1455097, 121.4193472 31.1456658, 121.4192774 31.1458449, 121.4187678 31.1456934))",3,,,,,,,,
way,521521217,"[5081375409, 5081375410, 5081375411, 5081375412, 5081375409]",school,实验1楼,Research Building 1,"POLYGON ((121.4195197 31.142971, 121.4196228 31.142723, 121.4205416 31.1430028, 121.4204385 31.1432508, 121.4195197 31.142971))",4,,,,,,,,
way,521521884,"[5081381546, 5081381547, 5081381548, 5081381549, 5081381546]",school,,Research Building 13 (Institute of Fine Chemicals),"POLYGON ((121.419332 31.1466617, 121.4200183 31.146837, 121.4199415 31.1470299, 121.4192602 31.1468546, 121.419332 31.1466617))",4,,,,,,,,
