u,v,key,osmid,highway,access,oneway,reversed,length,tunnel,geometry,junction,bridge,service,name
1130831352,3788622826,0,97673843,service,permissive,False,False,38.086,,"LINESTRING (121.4029514 31.2287027, 121.4029711 31.2283606)",,,,
1130831352,1130831381,0,97673843,service,permissive,False,True,59.99,,"LINESTRING (121.4029514 31.2287027, 121.4028719 31.2292379)",,,,
1130831352,3817595128,0,"[377168918, 377168919]",service,permissive,False,True,28.183,building_passage,"LINESTRING (121.4029514 31.2287027, 121.4032037 31.2287648, 121.4032363 31.2287726)",,,,
1130831356,1130831365,0,97674420,service,permissive,False,True,36.932,,"LINESTRING (121.3999484 31.2287415, 121.4000516 31.2284213)",,,,
1130831356,1130836138,0,97674420,service,permissive,False,False,15.379999999999999,,"LINESTRING (121.3999484 31.2287415, 121.3998577 31.2287809, 121.3997991 31.2287698)",,,,
1130831357,1317204544,0,97674425,service,permissive,False,True,20.859,,"LINESTRING (121.402532 31.2291521, 121.4027422 31.2292058)",,,,
1130831357,3805651370,0,97673841,service,permissive,True,False,27.401,,"LINESTRING (121.402532 31.2291521, 121.4025162 31.2291998, 121.402429 31.2292398, 121.4023027 31.2292093)",roundabout,,,
1130831360,1288652698,0,97673840,service,permissive,False,True,17.832,,"LINESTRING (121.4010028 31.2288245, 121.4011862 31.228858)",,,,
1130831360,1130831385,0,97673844,service,permissive,True,False,23.764,,"LINESTRING (121.4010028 31.2288245, 121.4007881 31.2289339)",,,,
1130831365,1130831356,0,97674420,service,permissive,False,False,36.932,,"LINESTRING (121.4000516 31.2284213, 121.3999484 31.2287415)",,,,
1130831365,1130831360,0,97673844,service,permissive,True,False,108.326,,"LINESTRING (121.4000516 31.2284213, 121.4008943 31.2286167, 121.4010028 31.2288245)",,,,
1130831365,1130836133,0,97674420,service,permissive,False,True,15.204999999999998,,"LINESTRING (121.4000516 31.2284213, 121.3999935 31.2283554, 121.3999321 31.2283419)",,,,
1130831368,1288652670,0,97673842,service,permissive,False,True,61.504,,"LINESTRING (121.4034133 31.2293735, 121.4030508 31.2298316)",,,,
1130831368,3787792962,0,375892090,service,permissive,False,False,5.185,,"LINESTRING (121.4034133 31.2293735, 121.4033611 31.22936)",,,,
1130831368,1288541868,0,375892090,service,permissive,False,True,61.45,,"LINESTRING (121.4034133 31.2293735, 121.4040335 31.2295289)",,,,
1130831371,3806928017,0,97673841,service,permissive,True,False,4.507,,"LINESTRING (121.4021124 31.2290545, 121.4021261 31.2290157)",roundabout,,,
1130831371,1317204483,0,97673847,service,permissive,False,False,13.997,,"LINESTRING (121.4021124 31.2290545, 121.4019704 31.2290213)",,,,
1130831376,1288652670,0,97673842,service,permissive,False,False,53.154,,"LINESTRING (121.4027375 31.2302275, 121.4030508 31.2298316)",,,,
1130831376,1297097902,0,97673842,service,permissive,False,True,61.195,,"LINESTRING (121.4027375 31.2302275, 121.4025006 31.2307392)",,,,
1130831376,1297097747,0,114518344,footway,permissive,False,False,90.877,,"LINESTRING (121.4027375 31.2302275, 121.403637 31.2305038)",,,,
1130831380,1288664485,0,97673843,service,permissive,False,True,51.083,,"LINESTRING (121.4031658 31.2273854, 121.4030094 31.2278249)",,,,
1130831380,1288664515,0,97674421,service,permissive,False,False,8.123,,"LINESTRING (121.4031658 31.2273854, 121.4030846 31.2273627)",,,,
1130831380,1288664478,0,97674421,service,permissive,False,True,39.056,,"LINESTRING (121.4031658 31.2273854, 121.4035377 31.2275345)",,,,
1130831381,1130831352,0,97673843,service,permissive,False,False,59.99,,"LINESTRING (121.4028719 31.2292379, 121.4029514 31.2287027)",,,,
1130831381,1317204544,0,97674425,service,permissive,False,False,12.838,,"LINESTRING (121.4028719 31.2292379, 121.4027422 31.2292058)",,,,
1130831381,3787792962,0,"[97674425, 375892090, 97674422]",service,permissive,False,True,48.455999999999996,,"LINESTRING (121.4028719 31.2292379, 121.4031436 31.229306, 121.403331 31.2293529, 121.4033611 31.22936)",,yes,,
1130831384,3842607383,0,97673842,service,permissive,False,False,21.761,,"LINESTRING (121.4017583 31.2323252, 121.4018484 31.2321453)",,,,
1130831384,1288652677,0,97673842,service,permissive,False,True,28.806,,"LINESTRING (121.4017583 31.2323252, 121.4016228 31.2325569)",,,,
1130831384,1317248020,0,380964754,service,permissive,False,True,33.799,,"LINESTRING (121.4017583 31.2323252, 121.4018648 31.2326152)",,,,
