u,v,key,osmid,lanes,highway,maxspeed,oneway,reversed,length,name,geometry,bridge,service
3034560077,5081230646,0,521503096,2,residential,30,False,True,65.93,,"LINESTRING (121.4225674 31.1475242, 121.4227913 31.1469631)",,
3034560077,6679481315,0,710426490,,service,,False,True,134.492,,"LINESTRING (121.4225674 31.1475242, 121.4212329 31.1471261)",,
3034560077,11215330879,0,"[521503096, 737361629]",2,"['unclassified', 'residential']",30,False,False,156.864,勤奋路,"LINESTRING (121.4225674 31.1475242, 121.4222005 31.1484435, 121.4217133 31.1483053)",,
3034560080,3034716232,0,299485217,,service,,False,True,33.901,,"LINESTRING (121.4176521 31.1454496, 121.4179891 31.1455484)",,
3034560080,3034560083,0,299470376,,service,,False,False,113.696,,"LINESTRING (121.4176521 31.1454496, 121.4174688 31.1453547, 121.4173495 31.1451979, 121.416627 31.1449911)",,
3034560080,5081264633,0,"[299470376, 299470375]",,service,,False,"[False, True]",95.991,,"LINESTRING (121.4176521 31.1454496, 121.4174433 31.1459675, 121.4174561 31.1460514, 121.41752 31.1460988, 121.4176967 31.146146)",,
3034560083,3034560080,0,299470376,,service,,False,True,113.696,,"LINESTRING (121.416627 31.1449911, 121.4173495 31.1451979, 121.4174688 31.1453547, 121.4176521 31.1454496)",,
3034560083,3034716276,0,521678545,,living_street,,False,False,77.298,,"LINESTRING (121.416627 31.1449911, 121.4164833 31.1453318, 121.4163978 31.1456566)",,
3034560083,5081243743,0,533508624,,footway,,False,False,178.53,,"LINESTRING (121.416627 31.1449911, 121.4169366 31.1441762, 121.4169741 31.1439788, 121.4169312 31.143887, 121.4168293 31.1438411, 121.4167327 31.1437538, 121.4165879 31.1436436, 121.4165504 31.1435869)",,
3034560093,5175769090,0,299470379,,service,,False,False,46.279,,"LINESTRING (121.4230871 31.145283, 121.42294 31.1456797)",,
3034560093,3034560113,0,299470384,,service,,False,False,38.84,,"LINESTRING (121.4230871 31.145283, 121.4232114 31.1449503)",,
3034560093,3034560113,1,"[299485200, 299485201, 299470383]",,service,,False,"[False, True]",233.369,,"LINESTRING (121.4230871 31.145283, 121.4240256 31.1455504, 121.4240822 31.1451206, 121.4240709 31.14508, 121.4240347 31.1450626, 121.4239419 31.1450645, 121.4238334 31.1450606, 121.4237226 31.1450374, 121.4236977 31.1450703, 121.4232114 31.1449503)",,
3034560093,3034716206,0,299470383,,service,,False,True,104.256,,"LINESTRING (121.4230871 31.145283, 121.4221324 31.1450119, 121.4221049 31.1449389)",,
3034560094,5081230646,0,521500250,2,unclassified,30,False,False,29.498,,"LINESTRING (121.4224982 31.1468768, 121.4227913 31.1469631)",,
3034560094,5081199543,0,521500250,2,unclassified,30,False,True,106.506,,"LINESTRING (121.4224982 31.1468768, 121.42144 31.146565)",,
3034560094,3034716164,0,"[299470379, 299485189, 299485190]",,service,,False,True,101.915,,"LINESTRING (121.4224982 31.1468768, 121.4225437 31.1467491, 121.4225788 31.1466542, 121.422718 31.1462787, 121.4228203 31.1460027)",yes,
3034560095,3034716166,0,299485213,,unclassified,,False,False,94.624,勤奋路,"LINESTRING (121.4203619 31.1462474, 121.420676 31.14544)",,
3034560095,3034560096,0,299485213,,unclassified,,False,True,64.863,勤奋路,"LINESTRING (121.4203619 31.1462474, 121.4201503 31.1468019)",,
3034560095,5081199543,0,521500250,2,unclassified,30,False,False,108.507,,"LINESTRING (121.4203619 31.1462474, 121.42144 31.146565)",,
3034560095,6679484105,0,521500250,2,unclassified,30,False,True,92.396,,"LINESTRING (121.4203619 31.1462474, 121.4194439 31.1459769)",,
3034560096,3034560095,0,299485213,,unclassified,,False,False,64.863,勤奋路,"LINESTRING (121.4201503 31.1468019, 121.4203619 31.1462474)",,
3034560096,6903438536,0,299485213,,unclassified,,False,True,97.802,勤奋路,"LINESTRING (121.4201503 31.1468019, 121.4198235 31.1476358)",,
3034560096,6679481315,0,710426491,,service,,False,False,109.151,,"LINESTRING (121.4201503 31.1468019, 121.4212329 31.1471261)",,
3034560096,3034716220,0,710426491,,service,,False,True,91.107,,"LINESTRING (121.4201503 31.1468019, 121.4192365 31.1465576)",,
3034560097,11215330885,0,521502214,2,unclassified,20,False,True,45.459,,"LINESTRING (121.4209174 31.1479426, 121.4210741 31.1475564)",,
3034560097,5084971947,0,521520086,2,residential,20,False,False,55.224,,"LINESTRING (121.4209174 31.1479426, 121.4203662 31.1477873)",,
3034560097,3034560115,0,"[737361629, 521502214]",2,unclassified,20,False,"[False, True]",27.231,勤奋路,"LINESTRING (121.4209174 31.1479426, 121.4208708 31.148071, 121.4209941 31.1481036)",,
3034560099,3034560104,0,521520086,2,residential,20,False,True,78.514,,"LINESTRING (121.4173954 31.1469578, 121.4181802 31.1471756)",,
3034560099,5081370665,0,521520213,,service,,False,False,74.558,,"LINESTRING (121.4173954 31.1469578, 121.4171621 31.1475979)",,
3034560099,5081263753,0,521520213,,service,,False,True,35.09,,"LINESTRING (121.4173954 31.1469578, 121.4175054 31.1466566)",,
3034560103,6679482777,0,299470381,,service,,False,False,31.073,,"LINESTRING (121.4178514 31.1480377, 121.417947 31.1477705)",,
3034560104,3034560099,0,521520086,2,residential,20,False,False,78.514,,"LINESTRING (121.4181802 31.1471756, 121.4173954 31.1469578)",,
