osmid,y,x,street_count,highway,geometry
3034560077,31.1475242,121.4225674,3,,POINT (121.4225674 31.1475242)
3034560080,31.1454496,121.4176521,3,,POINT (121.4176521 31.1454496)
3034560083,31.1449911,121.416627,3,,POINT (121.416627 31.1449911)
3034560093,31.145283,121.4230871,4,,POINT (121.4230871 31.145283)
3034560094,31.1468768,121.4224982,3,,POINT (121.4224982 31.1468768)
3034560095,31.1462474,121.4203619,4,,POINT (121.4203619 31.1462474)
3034560096,31.1468019,121.4201503,4,,POINT (121.4201503 31.1468019)
3034560097,31.1479426,121.4209174,3,,POINT (121.4209174 31.1479426)
3034560099,31.1469578,121.4173954,3,,POINT (121.4173954 31.1469578)
3034560103,31.1480377,121.4178514,1,,POINT (121.4178514 31.1480377)
3034560104,31.1471756,121.4181802,4,,POINT (121.4181802 31.1471756)
3034560105,31.1468468,121.418317,3,,POINT (121.418317 31.1468468)
3034560107,31.1464762,121.418932,3,,POINT (121.418932 31.1464762)
3034560108,31.144746,121.4209422,3,,POINT (121.4209422 31.144746)
3034560110,31.1444954,121.4219381,4,,POINT (121.4219381 31.1444954)
3034560113,31.1449503,121.4232114,3,,POINT (121.4232114 31.1449503)
3034560114,31.1488047,121.4207277,1,,POINT (121.4207277 31.1488047)
3034560115,31.1481036,121.4209941,3,,POINT (121.4209941 31.1481036)
3034716164,31.1460027,121.4228203,3,,POINT (121.4228203 31.1460027)
3034716165,31.1457168,121.421791,3,,POINT (121.421791 31.1457168)
3034716166,31.14544,121.420676,3,,POINT (121.420676 31.14544)
3034716172,31.1441876,121.4209542,1,,POINT (121.4209542 31.1441876)
3034716176,31.1440579,121.4220986,3,,POINT (121.4220986 31.1440579)
3034716177,31.144205,121.4226279,3,,POINT (121.4226279 31.144205)
3034716180,31.144538,121.422508,3,,POINT (121.422508 31.144538)
3034716195,31.1447024,121.4232428,1,,POINT (121.4232428 31.1447024)
3034716200,31.1449419,121.4231795,3,,POINT (121.4231795 31.1449419)
3034716206,31.1449389,121.4221049,3,,POINT (121.4221049 31.1449389)
3034716218,31.1448438,121.4198754,3,,POINT (121.4198754 31.1448438)
3034716220,31.1465576,121.4192365,4,,POINT (121.4192365 31.1465576)
3034716221,31.147389,121.4189419,4,,POINT (121.4189419 31.147389)
3034716222,31.1455792,121.4196012,3,traffic_signals,POINT (121.4196012 31.1455792)
3034716227,31.145196,121.4197441,3,traffic_signals,POINT (121.4197441 31.145196)
3034716229,31.1450935,121.4184708,1,,POINT (121.4184708 31.1450935)
3034716230,31.145018,121.4181926,3,,POINT (121.4181926 31.145018)
3034716231,31.1440613,121.4185598,3,,POINT (121.4185598 31.1440613)
3034716232,31.1455484,121.4179891,3,,POINT (121.4179891 31.1455484)
3034716233,31.144205,121.4173174,1,,POINT (121.4173174 31.144205)
3034716234,31.1445225,121.4183828,3,,POINT (121.4183828 31.1445225)
3034716235,31.1444552,121.418157,3,,POINT (121.418157 31.1444552)
3034716238,31.1443387,121.4184533,3,,POINT (121.4184533 31.1443387)
3034716239,31.1438256,121.4211678,3,,POINT (121.4211678 31.1438256)
3034716241,31.1434119,121.4204757,3,,POINT (121.4204757 31.1434119)
3034716243,31.1435731,121.4193313,3,,POINT (121.4193313 31.1435731)
3034716276,31.1456566,121.4163978,3,,POINT (121.4163978 31.1456566)
3034716278,31.1455755,121.4156818,3,,POINT (121.4156818 31.1455755)
3034716279,31.1454122,121.4149911,4,,POINT (121.4149911 31.1454122)
3034716280,31.1459991,121.4150505,3,,POINT (121.4150505 31.1459991)
3034716281,31.1462286,121.415927,3,,POINT (121.415927 31.1462286)
3034716282,31.1458665,121.4160703,3,,POINT (121.4160703 31.1458665)
3034716283,31.1457497,121.4156171,3,,POINT (121.4156171 31.1457497)
3034716285,31.1456866,121.4150202,3,,POINT (121.4150202 31.1456866)
3034716287,31.1464582,121.4158391,1,,POINT (121.4158391 31.1464582)
3034716296,31.1458159,121.4163249,3,,POINT (121.4163249 31.1458159)
3034716297,31.1459469,121.4168439,1,,POINT (121.4168439 31.1459469)
5081198391,31.1472702,121.423834,1,,POINT (121.423834 31.1472702)
5081199543,31.146565,121.42144,3,,POINT (121.42144 31.146565)
5081230646,31.1469631,121.4227913,3,,POINT (121.4227913 31.1469631)
5081232003,31.1490186,121.4213451,1,,POINT (121.4213451 31.1490186)
5081243743,31.1435869,121.4165504,3,,POINT (121.4165504 31.1435869)
5081250412,31.1417337,121.4174832,1,,POINT (121.4174832 31.1417337)
5081255539,31.144602,121.4204376,3,,POINT (121.4204376 31.144602)
5081261421,31.1456755,121.4184206,3,,POINT (121.4184206 31.1456755)
5081263753,31.1466566,121.4175054,3,,POINT (121.4175054 31.1466566)
5081264633,31.146146,121.4176967,3,,POINT (121.4176967 31.146146)
5081265667,31.146777,121.4180192,3,,POINT (121.4180192 31.146777)
5081266952,31.1481924,121.4186367,1,,POINT (121.4186367 31.1481924)
5081269280,31.1482496,121.4194557,3,,POINT (121.4194557 31.1482496)
5081269281,31.1476017,121.4197014,3,,POINT (121.4197014 31.1476017)
5081370665,31.1475979,121.4171621,3,,POINT (121.4171621 31.1475979)
5081377536,31.1443674,121.4189279,3,,POINT (121.4189279 31.1443674)
5084888294,31.1482889,121.4216421,3,,POINT (121.4216421 31.1482889)
5084971947,31.1477873,121.4203662,3,,POINT (121.4203662 31.1477873)
5084971948,31.1484368,121.420112,3,,POINT (121.420112 31.1484368)
5084971949,31.1486391,121.4207906,3,,POINT (121.4207906 31.1486391)
5084971950,31.1480361,121.4186958,3,,POINT (121.4186958 31.1480361)
5084971952,31.1479788,121.4187174,3,,POINT (121.4187174 31.1479788)
5175766013,31.1447915,121.4154506,1,,POINT (121.4154506 31.1447915)
5175769085,31.1452299,121.4207566,3,,POINT (121.4207566 31.1452299)
5175769090,31.1456797,121.42294,3,,POINT (121.42294 31.1456797)
5257658190,31.1488133,121.4214294,3,,POINT (121.4214294 31.1488133)
5257658195,31.148705,121.4214739,3,,POINT (121.4214739 31.148705)
5257658204,31.1483498,121.4209006,3,,POINT (121.4209006 31.1483498)
5257658205,31.1481551,121.4202222,3,,POINT (121.4202222 31.1481551)
6679481312,31.1462927,121.4182035,4,,POINT (121.4182035 31.1462927)
6679481315,31.1471261,121.4212329,4,,POINT (121.4212329 31.1471261)
6679482775,31.1435439,121.4208933,4,,POINT (121.4208933 31.1435439)
6679482777,31.1477705,121.417947,4,,POINT (121.417947 31.1477705)
6679482778,31.1477183,121.4171171,1,,POINT (121.4171171 31.1477183)
6679484105,31.1459769,121.4194439,4,,POINT (121.4194439 31.1459769)
6903438536,31.1476358,121.4198235,3,,POINT (121.4198235 31.1476358)
7384134250,31.1431539,121.4210592,1,,POINT (121.4210592 31.1431539)
7557492070,31.1434296,121.4166296,3,,POINT (121.4166296 31.1434296)
8833899274,31.1442239,121.4173807,3,,POINT (121.4173807 31.1442239)
8833899275,31.1437321,121.417554,3,,POINT (121.417554 31.1437321)
11215330879,31.1483053,121.4217133,3,,POINT (121.4217133 31.1483053)
11215330885,31.1475564,121.4210741,3,,POINT (121.4210741 31.1475564)
