element_type,osmid,geometry,nodes,building,building:levels,name,name:en,sport,tourism,wheelchair,leisure,amenity,roof:levels,addr:housenumber,addr:street,addr:city,addr:postcode,name:zh,operator,opening_hours,source,library,ways,type
way,52519809,"POLYGON ((121.4995327 31.2998395, 121.4996352 31.2995994, 121.4996177 31.2995939, 121.4996881 31.299429, 121.4998359 31.2994751, 121.4998293 31.2994906, 121.5004563 31.2996861, 121.5004197 31.2997719, 121.5003824 31.2997603, 121.5003758 31.2997758, 121.5001884 31.2997174, 121.5001735 31.2997521, 121.4997992 31.2996354, 121.4997521 31.2997457, 121.4997162 31.2997345, 121.4996551 31.2998777, 121.4995327 31.2998395))","[667438273, 3057653134, 3057653133, 667438274, 3057652822, 3057652824, 667438275, 3057653144, 3057653143, 667438276, 3057653139, 3057653142, 667438277, 3057653141, 3057653140, 667438278, 667438273]",yes,4,第二教学楼,Teaching Building 2,,,,,,,,,,,,,,,,,
way,52519829,"POLYGON ((121.4994514 31.3000287, 121.4995038 31.2999059, 121.5001506 31.3001076, 121.500229 31.2999238, 121.500372 31.2999684, 121.5002624 31.3002251, 121.5000189 31.3001492, 121.4999976 31.300199, 121.4994514 31.3000287))","[667438377, 667438378, 667438379, 667438380, 667438381, 667438382, 3057653160, 3057653166, 667438377]",yes,4,第三教学楼,Teaching Building 3,,,,,,,,,,,,,,,,,
way,52519858,"POLYGON ((121.5025188 31.300514, 121.502577 31.300375, 121.5033179 31.3006015, 121.5032597 31.3007405, 121.5025188 31.300514))","[667438574, 667438575, 667438577, 667438579, 667438574]",yes,,一号楼,Building 1,,,,,,,,,,,,,,,,,
way,52519921,"POLYGON ((121.5015298 31.3002051, 121.5015956 31.3000478, 121.502347 31.3002775, 121.5022812 31.3004348, 121.5015298 31.3002051))","[667438627, 667438628, 667438630, 667438632, 667438627]",yes,,二号楼,Building 2,,,,,,,,,,,,,,,,,
way,52519928,"POLYGON ((121.5007186 31.2999661, 121.5007727 31.2998368, 121.5014831 31.300054, 121.501429 31.3001832, 121.5007186 31.2999661))","[667438665, 667438666, 667438667, 667438668, 667438665]",yes,,三号楼,Building 3,,,,,,,,,,,,,,,,,
way,52519929,"POLYGON ((121.500562 31.3003293, 121.5006161 31.3002, 121.5013266 31.3004172, 121.5012725 31.3005464, 121.500562 31.3003293))","[667438670, 667438671, 667438672, 667438673, 667438670]",yes,4,七号楼,Building 7,,,,,,,,,,,,,,,,,
way,52519932,"POLYGON ((121.5013802 31.3005784, 121.5014461 31.3004211, 121.5021974 31.3006508, 121.5021316 31.300808, 121.5013802 31.3005784))","[667438683, 667438684, 667438685, 667438686, 667438683]",yes,4,六号楼,Building 6,,,,,,,,,,,,,,,,,
way,72250075,"POLYGON ((121.5012804 31.2967911, 121.5013472 31.2966753, 121.5020164 31.2969573, 121.5019495 31.2970731, 121.5012804 31.2967911))","[858613094, 858613098, 858613102, 858613114, 858613094]",yes,,复旦招待所,,,,,,,,,,,,,,,,,,
way,72250080,"POLYGON ((121.5014467 31.2965461, 121.5015207 31.2964218, 121.5021558 31.2966981, 121.5020817 31.2968224, 121.5014467 31.2965461))","[858613132, 858613136, 858613139, 858613143, 858613132]",yes,,宿舍0号楼,,,,,,,,,,,,,,,,,,
way,72259335,"POLYGON ((121.4979871 31.294007, 121.4981266 31.2940162, 121.4982232 31.2940987, 121.4982661 31.2942362, 121.4982768 31.2943645, 121.4982232 31.2944837, 121.4981373 31.2945662, 121.4980086 31.2945937, 121.4979013 31.2945937, 121.4977726 31.2945204, 121.4977082 31.2944287, 121.4976975 31.2943004, 121.4977082 31.2941812, 121.4977726 31.294062, 121.4978798 31.2940162, 121.4979871 31.294007))","[858656115, 858656118, 858656123, 858656127, 858656132, 858656135, 858656141, 858656148, 858656152, 858656155, 858656156, 858656164, 858656167, 858656171, 858656174, 858656115]",stadium,,游泳馆,,swimming,,,,,,,,,,,,,,,,
