u,v,key,osmid,name,highway,oneway,reversed,length,geometry,tunnel
667339614,667526466,0,52509361,光华大道,service,False,False,89.455,"LINESTRING (121.5030926 31.3012501, 121.5022037 31.3009849)",
667339614,858656067,0,52531456,,service,False,True,93.634,"LINESTRING (121.5030926 31.3012501, 121.5027585 31.3020423)",
667339614,667526480,0,"[52531456, 52531398]",望道路,service,False,"[False, True]",177.664,"LINESTRING (121.5030926 31.3012501, 121.5033916 31.3005488, 121.5033939 31.3005205, 121.5033834 31.3004977, 121.5033539 31.3004823, 121.5025017 31.3002351)",
667339615,667526334,0,52509361,光华大道,service,False,True,76.439,"LINESTRING (121.4979105 31.2996825, 121.4986689 31.2999119)",
667339615,667340012,0,52531417,博学南路,service,False,False,38.061,"LINESTRING (121.4979105 31.2996825, 121.4977711 31.2993616)",
667339615,667340016,0,52509397,博学北路,service,False,False,32.68,"LINESTRING (121.4979105 31.2996825, 121.4977496 31.29971, 121.4975779 31.2997558)",
667340012,667340016,0,52509501,,service,False,False,47.522,"LINESTRING (121.4977711 31.2993616, 121.4975779 31.2997558)",
667340012,3064797233,0,52509501,,service,False,True,31.464,"LINESTRING (121.4977711 31.2993616, 121.4979015 31.2991015)",
667340012,858656020,0,52531417,博学南路,service,False,False,180.159,"LINESTRING (121.4977711 31.2993616, 121.4961439 31.2985298)",
667340012,667339615,0,52531417,博学南路,service,False,True,38.061,"LINESTRING (121.4977711 31.2993616, 121.4979105 31.2996825)",
667340016,667340947,0,52509501,,service,False,False,73.087,"LINESTRING (121.4975779 31.2997558, 121.4972775 31.3003609)",
667340016,667340012,0,52509501,,service,False,True,47.522,"LINESTRING (121.4975779 31.2997558, 121.4977711 31.2993616)",
667340016,858656017,0,52509397,博学北路,service,False,False,195.59,"LINESTRING (121.4975779 31.2997558, 121.4972468 31.2998009, 121.4957551 31.2990636)",
667340016,667339615,0,52509397,博学北路,service,False,True,32.68,"LINESTRING (121.4975779 31.2997558, 121.4977496 31.29971, 121.4979105 31.2996825)",
667340947,667340016,0,52509501,,service,False,True,73.087,"LINESTRING (121.4972775 31.3003609, 121.4975779 31.2997558)",
667340947,850249758,0,52509551,相伯路,service,False,False,109.222,"LINESTRING (121.4972775 31.3003609, 121.4983595 31.3006927)",
667340947,667341422,0,52509551,相伯路,service,False,True,49.342,"LINESTRING (121.4972775 31.3003609, 121.4968035 31.3001796)",
667340958,3057652792,0,52509503,望道路,service,False,False,107.508,"LINESTRING (121.5006817 31.2996281, 121.4996221 31.2992889)",
667340958,667526477,0,52519781,,service,False,False,7.396,"LINESTRING (121.5006817 31.2996281, 121.5006578 31.2996914)",
667340959,3064796834,0,52509503,望道路,service,False,False,29.214,"LINESTRING (121.4980725 31.2988233, 121.4978135 31.2986817)",
667340959,3067824734,0,52509503,望道路,service,False,True,41.899,"LINESTRING (121.4980725 31.2988233, 121.4984873 31.2989512)",
667340959,3064797233,0,52509501,,service,False,False,34.942,"LINESTRING (121.4980725 31.2988233, 121.4979641 31.2989996, 121.4979015 31.2991015)",
