element_type,osmid,nodes,building,name,geometry,amenity,name:en,name:zh,leisure,building:levels,ref,ways,type
way,366228531,"[3702140820, 3702140821, 6327905535, 6327905537, 6327905536, 6327905534, 3702140822, 3702140823, 3702140820]",yes,学生第六公寓,"POLYGON ((126.6774452 45.7755917, 126.6778442 45.7756097, 126.6778568 45.7754733, 126.6776193 45.7754626, 126.6776713 45.7748998, 126.677885 45.7749094, 126.6778942 45.7748091, 126.6775191 45.7747922, 126.6774452 45.7755917))",,,,,,,,
way,560023962,"[5400748913, 5400748914, 5400748915, 5400748916, 5400748913]",apartments,,"POLYGON ((126.6663015 45.7760742, 126.6663015 45.7759283, 126.6672402 45.7759283, 126.6672402 45.7760742, 126.6663015 45.7760742))",,,,,,,,
way,560023963,"[5400748917, 5400748918, 5400748919, 5400748920, 5400752921, 5400752922, 5400752923, 5400752924, 5400748917]",apartments,,"POLYGON ((126.6673921 45.776249, 126.667392 45.7756128, 126.6667915 45.7756129, 126.6667915 45.7755221, 126.6674581 45.7755221, 126.6674581 45.7755594, 126.6675764 45.7755593, 126.6675766 45.7762489, 126.6673921 45.776249))",,,,,,,,
way,560023964,"[5400752925, 5400752926, 5400752927, 5400752928, 5400752925]",apartments,,"POLYGON ((126.6658207 45.7756072, 126.6658236 45.7755019, 126.6667042 45.7755137, 126.6667013 45.775619, 126.6658207 45.7756072))",,,,,,,,
way,560023965,"[5400752929, 5400752930, 5400752931, 5400752932, 5400752933, 5400752934, 5400752935, 5400752936, 5400752937, 5400752938, 5400752939, 5400752940, 5400752941, 5400752942, 5400752929]",apartments,,"POLYGON ((126.6654319 45.7758991, 126.6654482 45.7754964, 126.6657124 45.7755021, 126.6657084 45.7758452, 126.6657531 45.7758792, 126.6660295 45.7761146, 126.6673756 45.7772621, 126.6676059 45.7774561, 126.6677476 45.7774003, 126.6679633 45.7775593, 126.6681112 45.777469, 126.6681666 45.7775464, 126.6680372 45.7776324, 126.6676332 45.7777654, 126.6654319 45.7758991))",,,,,,,,
way,560023966,"[5400752943, 5400752944, 5400752945, 5400752946, 5400752943]",apartments,,"POLYGON ((126.6666479 45.7764526, 126.6666531 45.7763417, 126.6671455 45.7763529, 126.6671403 45.7764639, 126.6666479 45.7764526))",,,,,,,,
way,560023967,"[5400752947, 5400752948, 5400752949, 5400752950, 5400752947]",apartments,,"POLYGON ((126.667201 45.7766736, 126.6672038 45.7763893, 126.6675846 45.7763911, 126.6675819 45.7766754, 126.667201 45.7766736))",,,,,,,,
way,560023968,"[5400752951, 5400752952, 5400752953, 5400752954, 5400752955, 5400752956, 5400752957, 5400752958, 5400752951]",yes,,"POLYGON ((126.667452 45.777112, 126.6674818 45.7767848, 126.6676836 45.7767937, 126.6676647 45.7770022, 126.6683254 45.7770315, 126.6683117 45.7771819, 126.6676105 45.7771508, 126.6676134 45.7771191, 126.667452 45.777112))",,,,,,,,
way,560023969,"[5400752959, 5400752960, 5400752961, 5400752962, 5400752963, 5400752964, 5400752965, 5400752966, 5400752959]",yes,,"POLYGON ((126.6685251 45.7772138, 126.6685606 45.7769793, 126.6691662 45.7770239, 126.6692664 45.776363, 126.6686527 45.7763177, 126.6686885 45.7760818, 126.6696514 45.7761528, 126.66948 45.7772842, 126.6685251 45.7772138))",,,,,,,,
way,560023970,"[5400752967, 5400752968, 5400752969, 5400752970, 5400752967]",yes,,"POLYGON ((126.6682447 45.7762908, 126.668269 45.776107, 126.6686438 45.7761311, 126.6686194 45.7763149, 126.6682447 45.7762908))",,,,,,,,
