u,v,key,osmid,highway,oneway,reversed,length,geometry,name,service,tunnel
1177761353,3480430918,0,340787406,residential,False,False,39.065,"LINESTRING (126.6720489 45.7722725, 126.6722409 45.7723219, 126.6723536 45.7724155, 126.6723911 45.7724978)",,,
1177761353,1177761444,0,340787406,residential,False,True,47.55500000000001,"LINESTRING (126.6720489 45.7722725, 126.6719137 45.7723032, 126.6717742 45.7723706, 126.6717045 45.7724753, 126.6716881 45.7725693)",,,
1177761444,3480430919,0,40605879,secondary,False,False,55.493,"LINESTRING (126.6716881 45.7725693, 126.6724034 45.7725809)",文庙街,,
1177761444,1177761353,0,340787406,residential,False,False,47.555,"LINESTRING (126.6716881 45.7725693, 126.6717045 45.7724753, 126.6717742 45.7723706, 126.6719137 45.7723032, 126.6720489 45.7722725)",,,
2839601045,6327767438,0,279766097,residential,False,False,28.968,"LINESTRING (126.6736943 45.7755904, 126.673698 45.7753299)",南海路,,
2839601045,2839601141,0,279766097,residential,False,True,86.505,"LINESTRING (126.6736943 45.7755904, 126.6748083 45.7756294)",南海路,,
2839601045,6327767420,0,675690924,residential,False,False,275.006,"LINESTRING (126.6736943 45.7755904, 126.6735744 45.7775224, 126.6735154 45.7776945, 126.6733438 45.7778142, 126.6730863 45.7778853)",东海路,,
2839601048,2839601141,0,279766039,residential,False,True,330.171,"LINESTRING (126.6750787 45.7726661, 126.6748083 45.7756294)",陈赓路,,
2839601048,8463470199,0,675690979,service,False,False,9.86,"LINESTRING (126.6750787 45.7726661, 126.6750867 45.7725776)",陈赓路,,
2839601048,6328109195,0,675723386,residential,False,False,78.224,"LINESTRING (126.6750787 45.7726661, 126.6751722 45.7726676, 126.676087 45.7726823)",文庙街,,
2839601141,2839601048,0,279766039,residential,False,False,330.171,"LINESTRING (126.6748083 45.7756294, 126.6750787 45.7726661)",陈赓路,,
2839601141,6327768702,0,279766039,residential,False,True,136.898,"LINESTRING (126.6748083 45.7756294, 126.6747116 45.7768587)",陈赓路,,
2839601141,2839601045,0,279766097,residential,False,False,86.505,"LINESTRING (126.6748083 45.7756294, 126.6736943 45.7755904)",南海路,,
2839601231,6327767438,0,279766097,residential,False,True,312.457,"LINESTRING (126.66992 45.7753552, 126.6699397 45.7751767, 126.6736981 45.7753245, 126.673698 45.7753299)",南海路,,
2839601231,6327768753,0,675708922,residential,False,True,293.713,"LINESTRING (126.66992 45.7753552, 126.669696 45.7773466, 126.6698462 45.7776159, 126.6699749 45.7777132, 126.670168 45.7777618, 126.6702816 45.7777667)",Xihai Road,,
2839601271,6327768559,0,279766062,residential,False,True,49.816,"LINESTRING (126.6804518 45.7728627, 126.6803672 45.7733068)",Juying Road,,
2839601271,6327768611,0,675723386,residential,False,False,38.681,"LINESTRING (126.6804518 45.7728627, 126.680946 45.7729095)",文庙街,,
2839601271,5636755212,0,675723386,residential,False,True,69.315,"LINESTRING (126.6804518 45.7728627, 126.6795637 45.772793)",文庙街,,
2839601395,6327767467,0,279766062,residential,False,False,69.977,"LINESTRING (126.6785437 45.7784488, 126.6787095 45.7778302)",Juying Road,,
2839601395,6327767453,0,675708925,residential,False,False,178.545,"LINESTRING (126.6785437 45.7784488, 126.6807627 45.7788768)",Xinghai Road,,
2839601395,6327768759,0,911499282,residential,False,True,16.497,"LINESTRING (126.6785437 45.7784488, 126.6783319 45.778435)",兴海路,,
3480430918,3480430919,0,340787406,residential,False,False,9.289,"LINESTRING (126.6723911 45.7724978, 126.6724034 45.7725809)",,,
3480430918,1177761353,0,340787406,residential,False,True,39.065,"LINESTRING (126.6723911 45.7724978, 126.6723536 45.7724155, 126.6722409 45.7723219, 126.6720489 45.7722725)",,,
3480430918,8463470199,0,911499280,footway,False,False,209.339,"LINESTRING (126.6723911 45.7724978, 126.6726768 45.7724901, 126.6750867 45.7725776)",,,
3480430919,1177761444,0,40605879,secondary,False,True,55.493,"LINESTRING (126.6724034 45.7725809, 126.6716881 45.7725693)",文庙街,,
3480430919,3480430918,0,340787406,residential,False,True,9.289,"LINESTRING (126.6724034 45.7725809, 126.6723911 45.7724978)",,,
3480430919,6327767438,0,"[675690927, 40605879]","['residential', 'secondary']",False,"[False, True]",568.216,"LINESTRING (126.6724034 45.7725809, 126.6748389 45.7726204, 126.6748362 45.7734874, 126.6738963 45.7734479, 126.673698 45.7753299)",文庙街,,
5636738652,6327768806,0,675690999,residential,False,False,98.568,"LINESTRING (126.6829424 45.7730058, 126.6830122 45.7721207)",林毅路,,
5636738652,6327768586,0,675690999,residential,False,True,85.531,"LINESTRING (126.6829424 45.7730058, 126.6828501 45.7737723)",林毅路,,
5636738652,6327768611,0,675723386,residential,False,True,155.209,"LINESTRING (126.6829424 45.7730058, 126.680946 45.7729095)",文庙街,,
5636755212,2839601271,0,675723386,residential,False,False,69.315,"LINESTRING (126.6795637 45.772793, 126.6804518 45.7728627)",文庙街,,
5636755212,6327768617,0,675723386,residential,False,True,146.816,"LINESTRING (126.6795637 45.772793, 126.6776747 45.7727077)",文庙街,,
5636755212,6328109220,0,"[675733288, 675733292, 675733293]",service,False,False,229.76300000000003,"LINESTRING (126.6795637 45.772793, 126.6795794 45.7722933, 126.6796492 45.771515, 126.678705 45.7714776, 126.678706 45.7713506)",,driveway,yes
6327767420,6327767445,0,675690931,residential,False,True,7.917,"LINESTRING (126.6730863 45.7778853, 126.6729844 45.777881)",北海路,,
6327767420,8956491788,0,675708923,residential,False,False,6.471,"LINESTRING (126.6730863 45.7778853, 126.6731694 45.7778906)",北海路,,
6327767420,2839601045,0,675690924,residential,False,True,275.006,"LINESTRING (126.6730863 45.7778853, 126.6733438 45.7778142, 126.6735154 45.7776945, 126.6735744 45.7775224, 126.6736943 45.7755904)",东海路,,
6327767438,2839601045,0,279766097,residential,False,True,28.968,"LINESTRING (126.673698 45.7753299, 126.6736943 45.7755904)",南海路,,
6327767438,2839601231,0,279766097,residential,False,False,312.457,"LINESTRING (126.673698 45.7753299, 126.6736981 45.7753245, 126.6699397 45.7751767, 126.66992 45.7753552)",南海路,,
6327767438,3480430919,0,"[40605879, 675690927]","['residential', 'secondary']",False,"[False, True]",568.216,"LINESTRING (126.673698 45.7753299, 126.6738963 45.7734479, 126.6748362 45.7734874, 126.6748389 45.7726204, 126.6724034 45.7725809)",文庙街,,
6327767445,6328109241,0,675690930,service,False,False,90.811,"LINESTRING (126.6729844 45.777881, 126.6728969 45.7786954)",,,
6327767445,6327767420,0,675690931,residential,False,False,7.917,"LINESTRING (126.6729844 45.777881, 126.6730863 45.7778853)",北海路,,
6327767445,6327768753,0,675690931,residential,False,True,209.993,"LINESTRING (126.6729844 45.777881, 126.6702816 45.7777667)",北海路,,
6327767446,6328109241,0,675690930,service,False,True,28.997,"LINESTRING (126.6728663 45.7789553, 126.6728969 45.7786954)",,,
6327767448,6327768702,0,279766039,residential,False,False,124.506,"LINESTRING (126.674596 45.7779755, 126.6747116 45.7768587)",陈赓路,,
6327767448,6328109242,0,279766039,residential,False,True,88.731,"LINESTRING (126.674596 45.7779755, 126.6745609 45.7787731)",陈赓路,,
6327767448,6328109243,0,675708923,residential,False,True,31.149,"LINESTRING (126.674596 45.7779755, 126.6741946 45.7779655)",北海路,,
6327767448,6327767451,0,675690932,residential,False,False,199.59100000000004,"LINESTRING (126.674596 45.7779755, 126.6761595 45.7780522, 126.6762316 45.7780701, 126.6763042 45.7781145, 126.6763195 45.7781545, 126.6763203 45.778203, 126.6763264 45.7785775, 126.676347 45.7786012, 126.6763786 45.7786199, 126.6764144 45.7786361, 126.6764576 45.7786393)",,,
6327767451,9880612182,0,1077640058,footway,False,False,152.907,"LINESTRING (126.6764576 45.7786393, 126.6745493 45.7789852)",,,
6327767451,6327767448,0,675690932,residential,False,True,199.591,"LINESTRING (126.6764576 45.7786393, 126.6764144 45.7786361, 126.6763786 45.7786199, 126.676347 45.7786012, 126.6763264 45.7785775, 126.6763203 45.778203, 126.6763195 45.7781545, 126.6763042 45.7781145, 126.6762316 45.7780701, 126.6761595 45.7780522, 126.674596 45.7779755)",,,
6327767451,6327768759,0,911499282,residential,False,False,147.35,"LINESTRING (126.6764576 45.7786393, 126.6779958 45.778443, 126.6783319 45.778435)",兴海路,,
6327767453,6327767468,0,675690999,residential,False,False,69.544,"LINESTRING (126.6807627 45.7788768, 126.6811114 45.7783006)",林毅路,,
6327767453,6327905529,0,675690999,residential,False,True,156.353,"LINESTRING (126.6807627 45.7788768, 126.6793253 45.7798628)",林毅路,,
6327767453,2839601395,0,675708925,residential,False,True,178.545,"LINESTRING (126.6807627 45.7788768, 126.6785437 45.7784488)",Xinghai Road,,
6327767467,6327768557,0,279766062,residential,False,False,55.082,"LINESTRING (126.6787095 45.7778302, 126.6788659 45.777347)",Juying Road,,
6327767467,2839601395,0,279766062,residential,False,True,69.977,"LINESTRING (126.6787095 45.7778302, 126.6785437 45.7784488)",Juying Road,,
6327767467,6327767468,0,675690936,service,False,False,193.476,"LINESTRING (126.6787095 45.7778302, 126.6811114 45.7783006)",,,
6327767468,6327767467,0,675690936,service,False,True,193.476,"LINESTRING (126.6811114 45.7783006, 126.6787095 45.7778302)",,,
6327767468,6327768558,0,675690999,residential,False,False,58.434,"LINESTRING (126.6811114 45.7783006, 126.6813319 45.7777981)",林毅路,,
6327767468,6327767453,0,675690999,residential,False,True,69.544,"LINESTRING (126.6811114 45.7783006, 126.6807627 45.7788768)",林毅路,,
6327768557,6327768587,0,279766062,residential,False,False,116.001,"LINESTRING (126.6788659 45.777347, 126.679221 45.7763336)",Juying Road,,
6327768557,6327767467,0,279766062,residential,False,True,55.082,"LINESTRING (126.6788659 45.777347, 126.6787095 45.7778302)",Juying Road,,
6327768557,6327768558,0,675690955,service,False,False,197.713,"LINESTRING (126.6788659 45.777347, 126.6813319 45.7777981)",Xushou Road,,
6327768558,6327768557,0,675690955,service,False,True,197.713,"LINESTRING (126.6813319 45.7777981, 126.6788659 45.777347)",Xushou Road,,
6327768558,6327768588,0,675690999,residential,False,False,112.743,"LINESTRING (126.6813319 45.7777981, 126.6817149 45.77682)",林毅路,,
6327768558,6327767468,0,675690999,residential,False,True,58.434,"LINESTRING (126.6813319 45.7777981, 126.6811114 45.7783006)",林毅路,,
6327768559,2839601271,0,279766062,residential,False,False,49.816,"LINESTRING (126.6803672 45.7733068, 126.6804518 45.7728627)",Juying Road,,
6327768559,6327768583,0,279766062,residential,False,True,107.669,"LINESTRING (126.6803672 45.7733068, 126.6799948 45.7742396)",Juying Road,,
6327768559,6327768586,0,675690961,service,False,False,199.404,"LINESTRING (126.6803672 45.7733068, 126.6828501 45.7737723)",学海路,,
6327768583,6327768559,0,279766062,residential,False,False,107.669,"LINESTRING (126.6799948 45.7742396, 126.6803672 45.7733068)",Juying Road,,
6327768583,6327768587,0,279766062,residential,False,True,240.452,"LINESTRING (126.6799948 45.7742396, 126.679221 45.7763336)",Juying Road,,
