osmid,y,x,street_count,geometry
1177761353,45.7722725,126.6720489,3,POINT (126.6720489 45.7722725)
1177761444,45.7725693,126.6716881,3,POINT (126.6716881 45.7725693)
2839601045,45.7755904,126.6736943,3,POINT (126.6736943 45.7755904)
2839601048,45.7726661,126.6750787,3,POINT (126.6750787 45.7726661)
2839601141,45.7756294,126.6748083,3,POINT (126.6748083 45.7756294)
2839601231,45.7753552,126.66992,3,POINT (126.66992 45.7753552)
2839601271,45.7728627,126.6804518,3,POINT (126.6804518 45.7728627)
2839601395,45.7784488,126.6785437,3,POINT (126.6785437 45.7784488)
3480430918,45.7724978,126.6723911,3,POINT (126.6723911 45.7724978)
3480430919,45.7725809,126.6724034,3,POINT (126.6724034 45.7725809)
5636738652,45.7730058,126.6829424,4,POINT (126.6829424 45.7730058)
5636755212,45.772793,126.6795637,3,POINT (126.6795637 45.772793)
6327767420,45.7778853,126.6730863,3,POINT (126.6730863 45.7778853)
6327767438,45.7753299,126.673698,3,POINT (126.673698 45.7753299)
6327767445,45.777881,126.6729844,3,POINT (126.6729844 45.777881)
6327767446,45.7789553,126.6728663,1,POINT (126.6728663 45.7789553)
6327767448,45.7779755,126.674596,4,POINT (126.674596 45.7779755)
6327767451,45.7786393,126.6764576,3,POINT (126.6764576 45.7786393)
6327767453,45.7788768,126.6807627,3,POINT (126.6807627 45.7788768)
6327767467,45.7778302,126.6787095,3,POINT (126.6787095 45.7778302)
6327767468,45.7783006,126.6811114,3,POINT (126.6811114 45.7783006)
6327768557,45.777347,126.6788659,3,POINT (126.6788659 45.777347)
6327768558,45.7777981,126.6813319,3,POINT (126.6813319 45.7777981)
6327768559,45.7733068,126.6803672,3,POINT (126.6803672 45.7733068)
6327768583,45.7742396,126.6799948,3,POINT (126.6799948 45.7742396)
6327768584,45.7747563,126.6825228,3,POINT (126.6825228 45.7747563)
6327768586,45.7737723,126.6828501,3,POINT (126.6828501 45.7737723)
6327768587,45.7763336,126.679221,3,POINT (126.679221 45.7763336)
6327768588,45.77682,126.6817149,3,POINT (126.6817149 45.77682)
6327768611,45.7729095,126.680946,3,POINT (126.680946 45.7729095)
6327768612,45.7692899,126.6812576,3,POINT (126.6812576 45.7692899)
6327768613,45.770278,126.6811725,3,POINT (126.6811725 45.770278)
6327768614,45.7703601,126.6831512,3,POINT (126.6831512 45.7703601)
6327768615,45.7706413,126.6811413,3,POINT (126.6811413 45.7706413)
6327768616,45.770506,126.677819,3,POINT (126.677819 45.770506)
6327768617,45.7727077,126.6776747,4,POINT (126.6776747 45.7727077)
6327768657,45.7714513,126.6810715,3,POINT (126.6810715 45.7714513)
6327768658,45.7713106,126.6777665,4,POINT (126.6777665 45.7713106)
6327768660,45.7712017,126.6752102,4,POINT (126.6752102 45.7712017)
6327768661,45.7695282,126.6753604,3,POINT (126.6753604 45.7695282)
6327768662,45.7705399,126.6786515,3,POINT (126.6786515 45.7705399)
6327768680,45.7699327,126.6753241,3,POINT (126.6753241 45.7699327)
6327768681,45.7700338,126.6778393,3,POINT (126.6778393 45.7700338)
6327768683,45.7696664,126.6787198,3,POINT (126.6787198 45.7696664)
6327768684,45.7696309,126.6778566,3,POINT (126.6778566 45.7696309)
6327768702,45.7768587,126.6747116,3,POINT (126.6747116 45.7768587)
6327768703,45.7769146,126.6767084,3,POINT (126.6767084 45.7769146)
6327768705,45.775615,126.6773714,3,POINT (126.6773714 45.775615)
6327768753,45.7777667,126.6702816,3,POINT (126.6702816 45.7777667)
6327768754,45.7788714,126.6701585,1,POINT (126.6701585 45.7788714)
6327768759,45.778435,126.6783319,3,POINT (126.6783319 45.778435)
6327768776,45.7715489,126.6830574,3,POINT (126.6830574 45.7715489)
6327768806,45.7721207,126.6830122,3,POINT (126.6830122 45.7721207)
6327768807,45.7720276,126.6810219,3,POINT (126.6810219 45.7720276)
6327768808,45.7709537,126.6831044,3,POINT (126.6831044 45.7709537)
6327768809,45.7708598,126.6811224,3,POINT (126.6811224 45.7708598)
6327905511,45.7747197,126.677469,3,POINT (126.677469 45.7747197)
6327905513,45.7766776,126.6782898,1,POINT (126.6782898 45.7766776)
6327905528,45.7795726,126.6779137,3,POINT (126.6779137 45.7795726)
6327905529,45.7798628,126.6793253,3,POINT (126.6793253 45.7798628)
6328109190,45.7726903,126.6765913,4,POINT (126.6765913 45.7726903)
6328109195,45.7726823,126.676087,4,POINT (126.676087 45.7726823)
6328109201,45.7735103,126.6775926,3,POINT (126.6775926 45.7735103)
6328109204,45.7740038,126.6775422,3,POINT (126.6775422 45.7740038)
6328109207,45.7717815,126.683039,3,POINT (126.683039 45.7717815)
6328109208,45.7717807,126.6824816,4,POINT (126.6824816 45.7717807)
6328109212,45.771268,126.6825191,4,POINT (126.6825191 45.771268)
6328109213,45.7712835,126.6830784,3,POINT (126.6830784 45.7712835)
6328109214,45.77199,126.6830225,3,POINT (126.6830225 45.77199)
6328109217,45.7711224,126.6830911,3,POINT (126.6830911 45.7711224)
6328109220,45.7713506,126.678706,3,POINT (126.678706 45.7713506)
6328109241,45.7786954,126.6728969,3,POINT (126.6728969 45.7786954)
6328109242,45.7787731,126.6745609,3,POINT (126.6745609 45.7787731)
6328109243,45.7779655,126.6741946,3,POINT (126.6741946 45.7779655)
8463470191,45.7723998,126.6751026,3,POINT (126.6751026 45.7723998)
8463470197,45.7710859,126.6724875,3,POINT (126.6724875 45.7710859)
8463470199,45.7725776,126.6750867,3,POINT (126.6750867 45.7725776)
8956491775,45.7754481,126.6783044,1,POINT (126.6783044 45.7754481)
8956491776,45.77544,126.6779252,3,POINT (126.6779252 45.77544)
8956491777,45.7747448,126.6779941,3,POINT (126.6779941 45.7747448)
8956491779,45.777186,126.6780201,1,POINT (126.6780201 45.777186)
8956491786,45.7781665,126.6741865,3,POINT (126.6741865 45.7781665)
8956491787,45.7781303,126.6731517,3,POINT (126.6731517 45.7781303)
8956491788,45.7778906,126.6731694,3,POINT (126.6731694 45.7778906)
9880612182,45.7789852,126.6745493,3,POINT (126.6745493 45.7789852)
