element_type,osmid,amenity,geometry,nodes
node,6327905571,parking,POINT (126.6784377 45.7725291),
node,6327905580,parking,POINT (126.6825875 45.7723545),
node,6327905581,parking,POINT (126.6747356 45.7705553),
node,6327905785,parking,POINT (126.6699334 45.7745875),
node,6327905786,parking,POINT (126.6800233 45.7778311),
node,6327905787,parking,POINT (126.6716327 45.7778893),
node,6327905789,parking,POINT (126.6779674 45.7798946),
node,6327905798,parking,POINT (126.6802964 45.7789581),
way,675708940,parking,"POLYGON ((126.6823839 45.7720341, 126.6824918 45.7710241, 126.6830264 45.7710519, 126.6829184 45.7720619, 126.6823839 45.7720341))","[6327905576, 6327905577, 6327905578, 6327905579, 6327905576]"
way,968103897,parking,"POLYGON ((126.6729705 45.7785856, 126.6743114 45.7786375, 126.6743551 45.7780873, 126.6730142 45.7780355, 126.6729705 45.7785856))","[8956491785, 8956491784, 8956491783, 8956491782, 8956491785]"
