element_type,osmid,nodes,amenity,building,name,name:en,name:zh,name:zh-Hans,name:zh-Hant,smoking,wheelchair,geometry,building:levels,note,leisure,operator,faculty,addr:city,addr:housenumber,addr:postcode,addr:street,ways,type
way,259181645,"[2645379383, 2645379374, 2645379371, 2645379379, 2645379383]",restaurant,yes,西苑餐厅,Xiyuan Restaurant,西苑餐厅,西苑餐厅,西苑餐廳,no,yes,"POLYGON ((126.6217646 45.7412911, 126.6219838 45.7411674, 126.6218739 45.7410725, 126.6216547 45.7411962, 126.6217646 45.7412911))",,,,,,,,,,,
way,319254411,"[3256650232, 3256650233, 3256650234, 3256650235, 3256650236, 3256650237, 3256650238, 3256650239, 3256650240, 3256650241, 3256650232]",,dormitory,A12公寓,Dormitory A12,A12公寓,,,,,"POLYGON ((126.6248938 45.7386693, 126.6257243 45.7393826, 126.6260454 45.7392017, 126.6259248 45.7390975, 126.6257838 45.739177, 126.6256617 45.7390714, 126.6256245 45.7390924, 126.6254905 45.7389768, 126.6255264 45.7389565, 126.6250744 45.738567, 126.6248938 45.7386693))",,,,,,,,,,,
way,319254412,"[3256650242, 3256650243, 3256650244, 3256650245, 3256650246, 3256650247, 3256650248, 3256650249, 3256650250, 3256650251, 3256650242]",,dormitory,A11公寓,Dormitory A11,A11公寓,,,,,"POLYGON ((126.6263263 45.739042, 126.6266342 45.7388695, 126.6258178 45.7381597, 126.6256346 45.7382623, 126.6260945 45.7386622, 126.6261235 45.738646, 126.6262313 45.7387397, 126.6262041 45.7387549, 126.6263257 45.7388606, 126.6261992 45.7389315, 126.6263263 45.739042))",,,,,,,,,,,
way,319254413,"[3256650252, 3256650253, 3256650254, 3256650255, 3256650252]",,dormitory,A13公寓,Dormitory A13,A13公寓,,,,,"POLYGON ((126.6253022 45.7386576, 126.6257093 45.7384284, 126.6255617 45.7383007, 126.6251546 45.7385298, 126.6253022 45.7386576))",,,,,,,,,,,
way,319256888,"[3256680800, 3256680801, 3256680802, 3256680803, 3256680804, 3256680805, 3256680806, 3256680807, 3256680808, 3256680809, 3256680810, 3256680811, 3256680800]",,dormitory,A8公寓,Dormitory A8,A8公寓,,,,,"POLYGON ((126.6256866 45.7406474, 126.625588 45.7405662, 126.6255172 45.7406082, 126.625089 45.7402559, 126.6250657 45.7402697, 126.6250341 45.7402437, 126.6252663 45.7401062, 126.6251613 45.7400198, 126.6248743 45.7401898, 126.6248887 45.7402016, 126.6248358 45.7402329, 126.6254848 45.7407669, 126.6256866 45.7406474))",,,,,,,,,,,
way,319256889,"[3256680812, 3256680830, 3256680813, 3256680814, 3256680815, 3256680816, 3256680817, 3256680818, 3256680819, 3256680820, 3256680821, 3256680822, 3256680823, 3256680812]",,dormitory,A6公寓,Dormitory A6,A6公寓,,,,,"POLYGON ((126.6256814 45.7404979, 126.6259886 45.7403126, 126.6261413 45.7402213, 126.6261616 45.7402364, 126.626194 45.7402169, 126.626258 45.740269, 126.626226 45.7402881, 126.6262584 45.7403145, 126.6257936 45.7405927, 126.6257759 45.7405784, 126.6257436 45.7405977, 126.625685 45.74055, 126.6257198 45.7405292, 126.6256814 45.7404979))",,,,,,,,,,,
way,319256890,"[3256680813, 3256680824, 3256680825, 3256680826, 3256680827, 3256680828, 3256680829, 3256680830, 3256680813]",,dormitory,A7公寓,Dormitory A7,A7公寓,,,,,"POLYGON ((126.6261413 45.7402213, 126.6256369 45.7398105, 126.6255772 45.7398462, 126.6255255 45.7398041, 126.625252 45.7399677, 126.6253537 45.7400506, 126.6255344 45.7399425, 126.6259886 45.7403126, 126.6261413 45.7402213))",,,,,,,,,,,
way,319257986,"[3256693339, 3256693340, 3256693341, 3256693342, 3256693343, 3256693344, 3256693345, 3256693346, 3256693347, 3256693348, 3256693349, 3256693350, 3256693351, 3256693352, 3256694076, 3256693353, 3256693354, 3256693355, 3256693356, 3256693357, 3256693358, 3256693359, 3256693360, 3256694061, 3256694077, 3256694062, 3256694063, 3256694064, 3256694065, 3256694066, 3256694067, 3256694068, 3256694069, 3256694070, 3256694071, 3256694072, 3256694073, 3256694074, 3256694075, 3256693339]",,dormitory,A10公寓,Dormitory A10,A10公寓,,,,,"POLYGON ((126.6257272 45.7408036, 126.6258815 45.7407146, 126.626026 45.7408366, 126.6260492 45.7408232, 126.6261011 45.740867, 126.6263896 45.7407002, 126.626335 45.7406542, 126.6263593 45.7406402, 126.6262098 45.7405145, 126.6263699 45.7404218, 126.6265808 45.7405991, 126.6264914 45.7406509, 126.6265391 45.740691, 126.6265878 45.740717, 126.6266108 45.7407531, 126.6266509 45.7407931, 126.626748 45.7407369, 126.6269639 45.7409174, 126.6268012 45.7410158, 126.626648 45.7408891, 126.6266222 45.7409051, 126.626567 45.7408513, 126.6264799 45.7408999, 126.6264884 45.7409095, 126.626438 45.7409488, 126.6263695 45.74098, 126.6263567 45.7409696, 126.626278 45.7410143, 126.6263394 45.7410679, 126.6263142 45.741082, 126.6264678 45.7412161, 126.6263067 45.7413059, 126.6260977 45.7411234, 126.626188 45.741073, 126.6261378 45.7410291, 126.6260862 45.7410031, 126.6260604 45.7409631, 126.6260143 45.7409243, 126.6259287 45.7409737, 126.6257272 45.7408036))",,,,,,,,,,,
way,319258780,"[3256700738, 3256700739, 3256700740, 3256700741, 3256700742, 3256700743, 3256700738]",,dormitory,,,,,,,,"POLYGON ((126.627608 45.7392805, 126.6277213 45.7392136, 126.6272945 45.7388617, 126.6275387 45.7387174, 126.6274412 45.738637, 126.6270836 45.7388483, 126.627608 45.7392805))",,,,,,,,,,,
way,319259194,"[3256705511, 3256705512, 3256705513, 3256705514, 3256705515, 3256705516, 3256705511]",,dormitory,,,,,,,,"POLYGON ((126.6277092 45.7393733, 126.6280923 45.7396944, 126.6284356 45.7394949, 126.628345 45.739419, 126.6281228 45.7395482, 126.6278302 45.7393029, 126.6277092 45.7393733))",,,,,,,,,,,
way,319259195,"[3256705517, 3256705518, 3256705519, 3256705520, 3256705521, 3256705522, 3256705523, 3256705524, 3256705525, 3256705526, 3256705527, 3256705528, 3256705517]",,dormitory,专家楼,Zuanjia Residences,专家楼,,,,,"POLYGON ((126.6276245 45.7387182, 126.6277431 45.738819, 126.627881 45.73874, 126.6285121 45.7392764, 126.6283791 45.7393526, 126.6285027 45.7394577, 126.628708 45.7393401, 126.6286747 45.7393118, 126.6287437 45.7392722, 126.6279364 45.7385861, 126.6278676 45.7386256, 126.6278348 45.7385977, 126.6276245 45.7387182))",,,,,,,,,,,
way,319261440,"[3256721273, 3256721274, 3256721275, 3256721276, 3256721277, 3256721278, 3256721273]",,university,快递服务中心,,快递服务中心,,,,,"POLYGON ((126.6282644 45.739706, 126.6285714 45.7399647, 126.6287076 45.7398859, 126.6285252 45.7397323, 126.6285033 45.739745, 126.6283786 45.73964, 126.6282644 45.739706))",1,乐收,,,,,,,,,
way,319261441,"[3256721279, 3256721280, 3256721281, 3256721282, 3256721279]",,university,,,,,,,,"POLYGON ((126.6286091 45.7397176, 126.6290761 45.7394501, 126.6289319 45.7393275, 126.6284649 45.739595, 126.6286091 45.7397176))",,,,,,,,,,,
way,319261442,"[3256721283, 3256721284, 3256721285, 3256721286, 3256721283]",,university,,,,,,,,"POLYGON ((126.6289628 45.7396146, 126.6290759 45.7395499, 126.6296417 45.7400312, 126.6295286 45.740096, 126.6289628 45.7396146))",,,,,,,,,,,
way,319261443,"[3256721285, 3256721287, 3256721288, 3256721289, 3256721290, 3256721286, 3256721285]",,university,,,,,,,,"POLYGON ((126.6296417 45.7400312, 126.6296954 45.7400005, 126.6300618 45.7403128, 126.6297825 45.7404725, 126.6294162 45.7401603, 126.6295286 45.740096, 126.6296417 45.7400312))",,,,,,,,,,,
way,319261560,"[3256725374, 3256725375, 3256725376, 3256725377, 3256725378, 3256725379, 3256725374]",,university,,,,,,,,"POLYGON ((126.6296144 45.7404208, 126.6297163 45.7405076, 126.6293098 45.7407401, 126.6289749 45.740455, 126.6291078 45.740379, 126.6293409 45.7405773, 126.6296144 45.7404208))",,,,,,,,,,,
way,319261561,"[3256725380, 3256725381, 3256725382, 3256725383, 3256725384, 3256725385, 3256725380]",,university,,,,,,,,"POLYGON ((126.6289261 45.7404104, 126.6290575 45.7403366, 126.62883 45.7401391, 126.6291176 45.7399777, 126.6290095 45.7398839, 126.6285905 45.7401191, 126.6289261 45.7404104))",,,,,,,,,,,
way,319262316,"[3256732504, 3256732505, 3256732506, 3256732507, 3256732508, 3256732509, 3256732510, 3256732511, 3256732512, 3256732513, 3256732514, 3256732515, 3256732516, 3256732517, 3256732518, 3256732519, 3256732504]",,university,诚意楼,Chengyi Building,诚意楼,,,,,"POLYGON ((126.6279833 45.7409748, 126.6277831 45.7410897, 126.6277692 45.7411501, 126.6279908 45.7413312, 126.62806 45.7413336, 126.6283091 45.7411914, 126.6283641 45.7412383, 126.6284637 45.7411814, 126.6284412 45.7411622, 126.6287765 45.7409705, 126.6287979 45.7409888, 126.6288763 45.7409439, 126.6286538 45.7407546, 126.6285811 45.7407963, 126.6286151 45.7408251, 126.6281327 45.7411017, 126.6279833 45.7409748))",,,,,,,,,,,
