u,v,key,osmid,name,highway,access,oneway,reversed,length,geometry,service
2645379589,9039504166,0,319272439,法院街,residential,no,False,False,105.018,"LINESTRING (126.6258802 45.7441237, 126.6250165 45.7433966)",
3256636334,10011965372,0,300671809,校外街,residential,,False,True,25.137,"LINESTRING (126.6279771 45.7381599, 126.6277758 45.7379828)",
3256636334,3256822962,0,319252552,校园街,residential,yes,False,False,119.381,"LINESTRING (126.6279771 45.7381599, 126.6268022 45.7388529)",
3256636335,3256837497,0,319272439,法院街,residential,no,False,True,193.051,"LINESTRING (126.6225881 45.7413384, 126.6241711 45.7426777)",
3256636335,9039504180,0,1092751694,法院街,residential,,False,False,6.152,"LINESTRING (126.6225881 45.7413384, 126.6225377 45.7412957)",
3256636335,9039504171,0,1092751696,校园街,residential,,False,True,186.388,"LINESTRING (126.6225881 45.7413384, 126.6244225 45.7402564)",
3256822962,3256837501,0,319252552,校园街,residential,yes,False,False,121.629,"LINESTRING (126.6268022 45.7388529, 126.6256051 45.7395589)",
3256822962,3256636334,0,319252552,校园街,residential,yes,False,True,119.381,"LINESTRING (126.6268022 45.7388529, 126.6279771 45.7381599)",
3256822962,3447796276,0,319271082,繁荣街,residential,yes,False,False,85.081,"LINESTRING (126.6268022 45.7388529, 126.6275068 45.7394391)",
3256822962,3256848630,0,319273243,,pedestrian,,False,False,130.48,"LINESTRING (126.6268022 45.7388529, 126.625771 45.7379261)",
3256822963,10006838488,0,319271082,繁荣街,residential,yes,False,False,112.163,"LINESTRING (126.6283101 45.7401546, 126.6291478 45.7409766)",
3256822963,10011965358,0,319271082,繁荣街,residential,yes,False,True,24.691,"LINESTRING (126.6283101 45.7401546, 126.6281139 45.7399798)",
3256822963,9039504136,0,976846109,,service,,False,False,43.866,"LINESTRING (126.6283101 45.7401546, 126.6283535 45.7401308, 126.6287546 45.7399109)",
3256822965,3256848643,0,319271083,司令街,pedestrian,yes,False,False,218.024,"LINESTRING (126.6249849 45.7433662, 126.6271548 45.7421207)",
3256822965,3256837497,0,319272439,法院街,residential,no,False,False,99.243,"LINESTRING (126.6249849 45.7433662, 126.6241711 45.7426777)",
3256822965,9039504166,0,319272439,法院街,residential,no,False,True,4.176,"LINESTRING (126.6249849 45.7433662, 126.6250059 45.7433864, 126.6250165 45.7433966)",
3256837495,9039504154,0,1092751694,法院街,residential,,False,True,79.68900000000001,"LINESTRING (126.621442 45.7403688, 126.6220697 45.7408998, 126.6220955 45.7409216)",
3256837497,3256636335,0,319272439,法院街,residential,no,False,False,193.051,"LINESTRING (126.6241711 45.7426777, 126.6225881 45.7413384)",
3256837497,3256822965,0,319272439,法院街,residential,no,False,True,99.243,"LINESTRING (126.6241711 45.7426777, 126.6249849 45.7433662)",
3256837497,3256848634,0,319272440,正心路,residential,no,False,False,92.108,"LINESTRING (126.6241711 45.7426777, 126.625078 45.7421433)",
3256837499,10006838488,0,319271083,司令街,pedestrian,yes,False,False,111.338,"LINESTRING (126.6280398 45.7416127, 126.6291478 45.7409766)",
3256837499,3256848643,0,319271083,司令街,pedestrian,yes,False,True,88.924,"LINESTRING (126.6280398 45.7416127, 126.6271548 45.7421207)",
3256837499,3256837500,0,319272441,工建街,residential,,False,True,103.21799999999999,"LINESTRING (126.6280398 45.7416127, 126.6279855 45.7415633, 126.6278396 45.74145, 126.6271816 45.7409037)",
3256837500,3256848644,0,319272440,正心路,residential,no,False,True,86.869,"LINESTRING (126.6271816 45.7409037, 126.6263263 45.7414077)",
3256837500,3256848633,0,319272442,工建街,residential,,False,False,87.706,"LINESTRING (126.6271816 45.7409037, 126.6264632 45.7402948)",
