osmid,y,x,street_count,geometry
2645379589,45.7441237,126.6258802,3,POINT (126.6258802 45.7441237)
3256636334,45.7381599,126.6279771,3,POINT (126.6279771 45.7381599)
3256636335,45.7413384,126.6225881,3,POINT (126.6225881 45.7413384)
3256822962,45.7388529,126.6268022,4,POINT (126.6268022 45.7388529)
3256822963,45.7401546,126.6283101,3,POINT (126.6283101 45.7401546)
3256822965,45.7433662,126.6249849,3,POINT (126.6249849 45.7433662)
3256837495,45.7403688,126.621442,4,POINT (126.621442 45.7403688)
3256837497,45.7426777,126.6241711,3,POINT (126.6241711 45.7426777)
3256837499,45.7416127,126.6280398,3,POINT (126.6280398 45.7416127)
3256837500,45.7409037,126.6271816,3,POINT (126.6271816 45.7409037)
3256837501,45.7395589,126.6256051,4,POINT (126.6256051 45.7395589)
3256848630,45.7379261,126.625771,3,POINT (126.625771 45.7379261)
3256848631,45.7414759,126.6262105,3,POINT (126.6262105 45.7414759)
3256848632,45.7408712,126.6254839,3,POINT (126.6254839 45.7408712)
3256848633,45.7402948,126.6264632,3,POINT (126.6264632 45.7402948)
3256848634,45.7421433,126.625078,3,POINT (126.625078 45.7421433)
3256848641,45.7407748,126.6253567,3,POINT (126.6253567 45.7407748)
3256848642,45.7401526,126.6245986,4,POINT (126.6245986 45.7401526)
3256848643,45.7421207,126.6271548,3,POINT (126.6271548 45.7421207)
3256848644,45.7414077,126.6263263,3,POINT (126.6263263 45.7414077)
3257004217,45.7446359,126.6249938,3,POINT (126.6249938 45.7446359)
3257004218,45.7444295,126.6247566,3,POINT (126.6247566 45.7444295)
3257004221,45.7442007,126.6243306,3,POINT (126.6243306 45.7442007)
3257105269,45.7385746,126.6245374,2,POINT (126.6245374 45.7385746)
3257579077,45.7378882,126.6295732,3,POINT (126.6295732 45.7378882)
3447796104,45.7398796,126.6250614,3,POINT (126.6250614 45.7398796)
3447796107,45.7403691,126.6258031,1,POINT (126.6258031 45.7403691)
3447796273,45.7399217,126.62499,3,POINT (126.62499 45.7399217)
3447796275,45.740142,126.6239744,3,POINT (126.6239744 45.740142)
3447796276,45.7394391,126.6275068,3,POINT (126.6275068 45.7394391)
3447796277,45.7391632,126.6279944,3,POINT (126.6279944 45.7391632)
3447796279,45.7391604,126.6281407,3,POINT (126.6281407 45.7391604)
3447796280,45.7391178,126.6281773,3,POINT (126.6281773 45.7391178)
3447796282,45.7390355,126.6280879,3,POINT (126.6280879 45.7390355)
3447796283,45.7390469,126.6280066,3,POINT (126.6280066 45.7390469)
3447796285,45.7392966,126.6283846,1,POINT (126.6283846 45.7392966)
3447796286,45.7388227,126.627848,1,POINT (126.627848 45.7388227)
3447796287,45.738968,126.6280118,3,POINT (126.6280118 45.738968)
3447796288,45.7391853,126.6282556,3,POINT (126.6282556 45.7391853)
3447927217,45.7398136,126.6223987,3,POINT (126.6223987 45.7398136)
6313177443,45.7371694,126.6290522,3,POINT (126.6290522 45.7371694)
8686180108,45.7368216,126.6264099,3,POINT (126.6264099 45.7368216)
8686405325,45.738506,126.6246679,3,POINT (126.6246679 45.738506)
8686418517,45.7358148,126.6284764,3,POINT (126.6284764 45.7358148)
8686418521,45.7355641,126.628907,3,POINT (126.628907 45.7355641)
8686418526,45.7360376,126.6289787,3,POINT (126.6289787 45.7360376)
9039504130,45.7403677,126.6296048,1,POINT (126.6296048 45.7403677)
9039504136,45.7399109,126.6287546,3,POINT (126.6287546 45.7399109)
9039504144,45.7372423,126.62694,3,POINT (126.62694 45.7372423)
9039504145,45.742584,126.623126,1,POINT (126.623126 45.742584)
9039504148,45.7405305,126.6219351,1,POINT (126.6219351 45.7405305)
9039504149,45.7392426,126.6242364,1,POINT (126.6242364 45.7392426)
9039504150,45.7401271,126.622666,3,POINT (126.622666 45.7401271)
9039504151,45.7404152,126.6230106,3,POINT (126.6230106 45.7404152)
9039504152,45.7403433,126.6240191,1,POINT (126.6240191 45.7403433)
9039504154,45.7409216,126.6220955,3,POINT (126.6220955 45.7409216)
9039504166,45.7433966,126.6250165,3,POINT (126.6250165 45.7433966)
9039504168,45.7439345,126.6240185,3,POINT (126.6240185 45.7439345)
9039504169,45.7372876,126.6269854,3,POINT (126.6269854 45.7372876)
9039504170,45.7408764,126.6251779,3,POINT (126.6251779 45.7408764)
9039504171,45.7402564,126.6244225,3,POINT (126.6244225 45.7402564)
9039504173,45.7422639,126.6224608,3,POINT (126.6224608 45.7422639)
9039504177,45.7413933,126.6223629,3,POINT (126.6223629 45.7413933)
9039504179,45.7418044,126.62221,3,POINT (126.62221 45.7418044)
9039504180,45.7412957,126.6225377,3,POINT (126.6225377 45.7412957)
9039504181,45.7415957,126.6219994,3,POINT (126.6219994 45.7415957)
9039504183,45.7411398,126.6223534,3,POINT (126.6223534 45.7411398)
9907928875,45.7386318,126.6244347,3,POINT (126.6244347 45.7386318)
9907928876,45.738598,126.6244929,3,POINT (126.6244929 45.738598)
9907928877,45.7385497,126.6245848,3,POINT (126.6245848 45.7385497)
9907928882,45.7386142,126.624465,3,POINT (126.624465 45.7386142)
10006838488,45.7409766,126.6291478,3,POINT (126.6291478 45.7409766)
10006838489,45.7408901,126.6292985,3,POINT (126.6292985 45.7408901)
10011965358,45.7399798,126.6281139,3,POINT (126.6281139 45.7399798)
10011965359,45.7399034,126.6282537,3,POINT (126.6282537 45.7399034)
10011965360,45.740021,126.6283868,1,POINT (126.6283868 45.740021)
