element_type,osmid,nodes,amenity,geometry,access,operator,operator:type,parking,surface
way,319274827,"[8979112921, 3256770604, 3256770603, 3256770602, 3256860265, 3256770625, 8979112922, 8979112921]",parking,"POLYGON ((126.6247137 45.7411124, 126.6247619 45.7411542, 126.6248323 45.741216, 126.6248709 45.7411922, 126.6251494 45.7410279, 126.6251021 45.740988, 126.6250288 45.7409249, 126.6247137 45.7411124))",,,,,
way,319274829,"[3256780578, 8979112923, 8979112924, 8979112925, 3256860269, 3256780577, 3256780578]",parking,"POLYGON ((126.6249109 45.7407943, 126.625058 45.7409167, 126.6252851 45.7407838, 126.6246225 45.7402324, 126.6243952 45.7403654, 126.6245454 45.7404903, 126.6249109 45.7407943))",,,,,
way,319274831,"[3256759702, 3256759692, 3256860270, 8979112216, 3256759701, 3256759702]",parking,"POLYGON ((126.6262387 45.7415724, 126.6265037 45.741407, 126.627047 45.7418623, 126.6268965 45.7419503, 126.6267744 45.7420196, 126.6262387 45.7415724))",,,,,
way,319274832,"[3256856280, 3256856276, 3256856277, 3256856281, 3256856280]",parking,"POLYGON ((126.6255925 45.7442899, 126.6260993 45.7440029, 126.6264181 45.744277, 126.6259216 45.7445529, 126.6255925 45.7442899))",,,,,
way,319287474,"[3257004209, 3257004220, 3257004210, 3257004211, 3257004212, 3257004223, 3257004213, 3257004214, 3257004215, 3257004216, 3257004209]",parking,"POLYGON ((126.6240464 45.7440881, 126.6241392 45.7440337, 126.6241791 45.7440103, 126.6243189 45.7441351, 126.6244215 45.7440795, 126.6244704 45.7441199, 126.6245082 45.7441511, 126.6246463 45.7440821, 126.6249491 45.7443525, 126.6246002 45.7445586, 126.6240464 45.7440881))",private,哈尔滨工业大学,government,,
way,319296279,"[3257101308, 3257101320, 3257101309, 3257120211, 3257101329, 3257101311, 3257101308]",parking,"POLYGON ((126.625677 45.745558, 126.6258618 45.7454511, 126.6259439 45.7454036, 126.6268087 45.7462035, 126.6267742 45.7462235, 126.6265806 45.7463358, 126.625677 45.745558))",,,,,
way,589531148,"[5629513974, 5629513975, 5629513980, 3256924040, 5629513976, 3256881578, 3256881570, 3256869729, 3256869730, 3256869731, 5629513979, 3256869732, 3256869733, 3256869734, 3256869735, 3256869736, 5629513977, 2477339360, 5629513978, 5629513974]",parking,"POLYGON ((126.6267422 45.737274, 126.6267635 45.7371353, 126.6260858 45.736679, 126.6259211 45.736733, 126.6257304 45.7365719, 126.6261932 45.7363036, 126.6265325 45.7366415, 126.6271369 45.7363043, 126.62712 45.7364265, 126.6270938 45.7366159, 126.6270726 45.7367687, 126.6271092 45.7369075, 126.6271596 45.7370983, 126.6271898 45.7372125, 126.6272877 45.7373215, 126.6273865 45.7374316, 126.6273171 45.7375118, 126.627019 45.7372389, 126.6267919 45.7373235, 126.6267422 45.737274))",yes,,,surface,asphalt
way,589531326,"[5629509794, 5629509795, 5629509796, 5629509797, 5629509794]",parking,"POLYGON ((126.6220461 45.7417172, 126.6216722 45.7413752, 126.6221801 45.7411049, 126.6225539 45.7414469, 126.6220461 45.7417172))",,,,surface,asphalt
way,970284952,"[8979112214, 8979112213, 8979112212, 8979112211, 3256810224, 3256810223, 3256810234, 3256810233, 3256810232, 3256810231, 8979112214]",parking,"POLYGON ((126.626645 45.7425831, 126.6271117 45.7430192, 126.6271761 45.7430295, 126.6274604 45.7428629, 126.6272859 45.7427375, 126.6271894 45.7426578, 126.6269894 45.7427756, 126.6268803 45.7426855, 126.6269699 45.7426327, 126.626798 45.7424906, 126.626645 45.7425831))",,,,,
way,970284953,"[8979112930, 8979112929, 3256916006, 8979112928, 8979112927, 3256924039, 8979112926, 3256916010, 8979112930]",parking,"POLYGON ((126.6239671 45.7375185, 126.6246977 45.7381513, 126.6249338 45.7380309, 126.6245154 45.7376645, 126.62443 45.737593, 126.6244031 45.7376085, 126.6241571 45.7374008, 126.6240541 45.7374695, 126.6239671 45.7375185))",,,,,
way,970284954,"[8979112946, 8979112945, 8979112944, 8979112943, 8979112942, 8979112941, 8979112940, 8979112939, 8979112938, 8979112937, 8979112936, 8979112935, 8979112934, 8979112933, 8979112932, 8979112931, 8979112946]",parking,"POLYGON ((126.6314673 45.7502207, 126.6316964 45.7504165, 126.6321225 45.7501738, 126.6323551 45.7503726, 126.6319312 45.7506141, 126.6321311 45.750785, 126.6325902 45.7505234, 126.6324766 45.7504263, 126.632737 45.7502779, 126.6326095 45.7501689, 126.6324987 45.7502321, 126.6320832 45.749877, 126.6318039 45.7500361, 126.6318281 45.7500568, 126.6317077 45.7501254, 126.6316784 45.7501004, 126.6314673 45.7502207))",,,,,
way,976846118,"[9039504158, 9039504157, 9039504156, 9039504155, 9039504158]",parking,"POLYGON ((126.6276596 45.7445544, 126.6278193 45.7444621, 126.6281785 45.7447648, 126.6280189 45.7448571, 126.6276596 45.7445544))",,,,,
way,1082143243,"[9917546804, 3257134963, 3257134962, 3257134961, 9917546805, 9917546806, 9917546807, 9917546808, 9917546804]",parking,"POLYGON ((126.6335849 45.7498033, 126.6331419 45.7494216, 126.6330945 45.7494487, 126.6330425 45.7494044, 126.6329297 45.749474, 126.6329998 45.7495327, 126.6333436 45.749828, 126.633422 45.7498964, 126.6335849 45.7498033))",,,,,
