element_type,osmid,amenity,parking,geometry,access,wheelchair,addr:state,building,ele,gnis:county_name,gnis:feature_id,gnis:import_uuid,gnis:reviewed,name,source,addr:housenumber,addr:street,wikidata,created_by,addr:city,addr:country,addr:postcode,alt_name,website,phone,shop,man_made,surveillance:type,height,material,operator,tourism,nodes,building:levels,building:material,leisure,sport,wikipedia,roof:levels,roof:shape,year_of_construction,religion,other_source,opening_hours,note,operator:type,email,gnis:county_id,gnis:created,gnis:state_id,old_name,short_name,ref:isil,addr:housename,full_name,name:zh,internet_access,type,building_1,fee,opening_hours:url,building:flats,content,bridge,layer,ways,aerospace:product,faculty,building:levels:underground
node,367777214,,,POINT (-71.1164601 42.3693622),,,MA,yes,4,Middlesex,1971449,57871b70-0100-4405-bb30-88b2e001a944,no,Leverett Towers,USGS Geonames,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,367777241,,,POINT (-71.1266876 42.3815445),,,MA,yes,8,Middlesex,1971674,57871b70-0100-4405-bb30-88b2e001a944,no,Radcliffe Dance Center,USGS Geonames,60,Garden Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,367780152,,,POINT (-71.1239417 42.3809301),,,MA,yes,8,Middlesex,1971064,57871b70-0100-4405-bb30-88b2e001a944,no,Cabot House,USGS Geonames,,,Q3649216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,371247606,library,,POINT (-71.1219298 42.3700745),,,,yes,,,,,,Eliot House Library,,,,,Potlatch 0.10f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,585463485,theatre,,POINT (-71.1229496 42.3748602),,,MA,yes,,,,,,American Repertory Theater,,64,Brattle Street,Q1113755,,Cambridge,US,02138,Loeb Drama Center,https://americanrepertorytheater.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,28706700,,,"POLYGON ((-71.1150136 42.3673957, -71.1150143 42.3672239, -71.1148849 42.3672244, -71.1148849 42.3673957, -71.1149853 42.3673957, -71.1150136 42.3673957))",,,,yes,,,,,,,,32,Flagg Street,,,,,,,,,,,,,,,,"[315559486, 315559488, 315559489, 315559491, 379598344, 315559486]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29513588,library,,"POLYGON ((-71.1167699 42.3692662, -71.116923 42.3693047, -71.116831 42.3695062, -71.1167792 42.3694955, -71.1167487 42.369487, -71.1166779 42.3694678, -71.1167699 42.3692662))",,,MA,yes,,,,,,Leverett House Library,,28,DeWolfe Street,,,Cambridge,,02138,,,,,,,,,,,"[5071953998, 5071953997, 5071953996, 5071953990, 5071953989, 5071953995, 5071953998]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29513596,,,"POLYGON ((-71.1149998 42.3688207, -71.1159873 42.3690591, -71.1159026 42.3692441, -71.1150006 42.369006, -71.1149998 42.3688207))",,,MA,apartments,,,,,,5 Cowperthwaite St (Graduate Housing),,5,Cowperthwaite Street,,,Cambridge,,02138,,,,,,,,,,,"[325349807, 325349808, 325349809, 325349810, 325349807]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29514961,,,"POLYGON ((-71.1190768 42.3832618, -71.1192573 42.3832709, -71.1192565 42.3832795, -71.1192754 42.3832804, -71.1192713 42.3833246, -71.1192934 42.3833257, -71.1192888 42.3833752, -71.1190525 42.3833633, -71.1190551 42.3833349, -71.11907 42.3833356, -71.1190768 42.3832618))",,,,dormitory,,,,,,,,1705,Massachusetts Avenue,,,,,,,,,,,,,,,,"[325358942, 3309068682, 3309068681, 325358943, 325358945, 325358946, 325358947, 325358949, 3309068679, 3309068680, 325358942]",2,,,,,1,hipped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29515006,,,"POLYGON ((-71.1268674 42.3825197, -71.1269808 42.3826524, -71.1269072 42.3826869, -71.1268044 42.3825666, -71.1268165 42.3825604, -71.1268435 42.3825482, -71.126833 42.3825359, -71.1268674 42.3825197))",,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,"[325359261, 325359264, 325359265, 325359267, 670131591, 325359269, 325359270, 325359261]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
