u,v,key,osmid,highway,oneway,reversed,length,geometry,tunnel,maxspeed,lanes,name,width,access,service
3809869824,3809869822,0,377607815,footway,False,True,65.507,"LINESTRING (-71.1141236 42.3793534, -71.1148937 42.3792003)",,,,,,,
3809869824,3809869821,0,442467370,footway,False,False,29.928,"LINESTRING (-71.1141236 42.3793534, -71.1140396 42.3790915)",,,,,,,
3809869824,8681483098,0,"[936951850, 377607815]",footway,False,"[False, True]",47.101,"LINESTRING (-71.1141236 42.3793534, -71.1136867 42.3794403, -71.1136087 42.3795086)",,,,,,,
6297995265,454071809,0,161131496,footway,False,True,3.664,"LINESTRING (-71.1160148 42.3790152, -71.1160581 42.3790073)",,,,,,,
6297995265,4470898312,0,161131496,footway,False,False,60.79,"LINESTRING (-71.1160148 42.3790152, -71.1153401 42.3791375, -71.1152972 42.3791484)",,,,,,,
6297995265,4470898308,0,672541010,footway,False,True,64.257,"LINESTRING (-71.1160148 42.3790152, -71.1159618 42.3789764, -71.1156586 42.3790375, -71.1155898 42.3790333, -71.1152691 42.3790692)",,,,,,,
6297995266,4470898325,0,672541011,footway,False,True,10.767,"LINESTRING (-71.115848 42.3797428, -71.1159788 42.3797492)",,,,,,,
6297995266,6297995267,0,817489083,footway,False,False,4.312,"LINESTRING (-71.115848 42.3797428, -71.1158447 42.3797815)",,,,,,,
6297995266,3809869829,0,"[672541011, 936953397, 936953398]",footway,False,False,53.38699999999999,"LINESTRING (-71.115848 42.3797428, -71.1155351 42.3797292, -71.1152495 42.3797131, -71.1151995 42.379711)",yes,,,,,,
3809869827,3809869825,0,274464900,service,False,False,23.236,"LINESTRING (-71.1151191 42.3795434, -71.115044 42.3794553, -71.1149547 42.3793738)",,5 mph,,,,,
3809869827,3809869829,0,274464900,service,False,True,19.852,"LINESTRING (-71.1151191 42.3795434, -71.1151719 42.3796296, -71.1151995 42.379711)",,5 mph,,,,,
3809869827,4470898317,0,"[672541002, 672541003, 672541004]",footway,False,True,37.123000000000005,"LINESTRING (-71.1151191 42.3795434, -71.1151924 42.3795292, -71.1153515 42.3795023, -71.115379 42.379498, -71.1154057 42.3794712, -71.1154276 42.3793692)",building_passage,,,,,,
3809869825,3809869822,0,936951854,footway,False,True,19.932,"LINESTRING (-71.1149547 42.3793738, -71.1148937 42.3792003)",,,,,,,
3809869825,9663717601,0,274464900,service,False,False,109.38600000000001,"LINESTRING (-71.1149547 42.3793738, -71.114901 42.3793476, -71.1148681 42.3793357, -71.1148319 42.3793309, -71.1137526 42.3795243, -71.1136715 42.3795385)",,5 mph,,,,,
3809869825,3809869827,0,274464900,service,False,True,23.236,"LINESTRING (-71.1149547 42.3793738, -71.115044 42.3794553, -71.1151191 42.3795434)",,5 mph,,,,,
3809869829,4401457856,0,274464900,service,False,True,3.865,"LINESTRING (-71.1151995 42.379711, -71.1152022 42.3797457)",,5 mph,,,,,
3809869829,3809869827,0,274464900,service,False,False,19.852,"LINESTRING (-71.1151995 42.379711, -71.1151719 42.3796296, -71.1151191 42.3795434)",,5 mph,,,,,
3809869829,6297995266,0,"[672541011, 936953397, 936953398]",footway,False,True,53.387,"LINESTRING (-71.1151995 42.379711, -71.1152495 42.3797131, -71.1155351 42.3797292, -71.115848 42.3797428)",yes,,,,,,
6297995267,2562523669,0,249672667,service,False,False,8.221,"LINESTRING (-71.1158447 42.3797815, -71.1157449 42.3797759)",,,,,,,
6297995267,2562523670,0,249672667,service,False,True,6.104,"LINESTRING (-71.1158447 42.3797815, -71.1159188 42.3797857)",,,,,,,
