element_type,osmid,addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,amenity,attribution,name,office,region,source_url,type,geometry,alt_name,ele,gnis:county_name,gnis:feature_id,gnis:import_uuid,gnis:reviewed,source,wheelchair,wikidata,building,created_by,nodes,operator,wikipedia,operator:type,ref:isil,full_name,name:zh,email,opening_hours,phone,ways,access,internet_access
node,257536184,Cambridge,1737,02138,MA,Cambridge Street,library,Office of Geographic and Environmental Information (MassGIS),Cmes Teaching Resource Center,"Center For Middle East Studies, Harvard U.",Metrowest,http://mass.gov/mgis/libraries.htm,Special,POINT (-71.1139584 42.3755807),,,,,,,,,,,,,,,,,,,,,,,,
node,367777946,,,,MA,,library,,Eda Kuhn Loeb Music Library,,,,,POINT (-71.1170152 42.376964),Edna Kuhn Loeb Music Library,7,Middlesex,1971201,57871b70-0100-4405-bb30-88b2e001a944,no,USGS Geonames,,,,,,,,,,,,,,,,,
node,367777951,,,,,,library,,McKay and Blue Hill Library,,,,,POINT (-71.1170381 42.3780016),,6,Middlesex,1971004,57871b70-0100-4405-bb30-88b2e001a944,no,USGS Geonames,,,,,,,,,,,,,,,,,
node,367778007,,,,MA,,library,,Tozzer Library,,,,,POINT (-71.1148047 42.3785688),,6,Middlesex,1971819,57871b70-0100-4405-bb30-88b2e001a944,no,USGS Geonames,,,,,,,,,,,,,,,,,
node,367778046,,,,MA,,library,,Frances Loeb Library,,,,,POINT (-71.1139182 42.3759405),,6,Middlesex,1971260,57871b70-0100-4405-bb30-88b2e001a944,no,USGS Geonames,limited,,,,,,,,,,,,,,,,
node,367778049,,,,MA,,library,,Godfrey Lowell Cabot Science Library,,,,,POINT (-71.1163126 42.3761636),,6,Middlesex,1971285,57871b70-0100-4405-bb30-88b2e001a944,no,USGS Geonames,,Q39087142,,,,,,,,,,,,,,,
node,367778059,,,,MA,,library,,Physics Research Library,,,,,POINT (-71.1172917 42.377305),,6,Middlesex,1971337,57871b70-0100-4405-bb30-88b2e001a944,,USGS Geonames,,,,,,,,,,,,,,,,,
node,367778060,,,,MA,,library,,Harvard University Psychology Research Library,,,,,POINT (-71.1135784 42.3771216),,6,Middlesex,1971338,57871b70-0100-4405-bb30-88b2e001a944,no,USGS Geonames,,,,,,,,,,,,,,,,,
node,367778065,,,,MA,,library,,Gutman Library,,,,,POINT (-71.1217096 42.3749185),,7,Middlesex,1971309,57871b70-0100-4405-bb30-88b2e001a944,no,USGS Geonames,,,,,,,,,,,,,,,,,
node,367778068,,,,MA,,library,,Harvard University Fine Arts Library,,,,,POINT (-71.1182075 42.3763632),,8,Middlesex,1971330,57871b70-0100-4405-bb30-88b2e001a944,no,USGS Geonames,,,,,,,,,,,,,,,,,
node,367778069,,,,,,library,,Harvard Law School Library,,,,,POINT (-71.1185838 42.3779559),,7,Middlesex,1971333,57871b70-0100-4405-bb30-88b2e001a944,,USGS Geonames,limited,Q18719675,,,,,,,,,,,,,,,
node,367778071,,,,MA,,library,,Kummel Library of Geological Sciences,,,,,POINT (-71.1147103 42.3782011),,6,Middlesex,1971428,57871b70-0100-4405-bb30-88b2e001a944,no,USGS Geonames,,,,,,,,,,,,,,,,,
node,367778076,,,,MA,,library,,Harvard Kennedy School Library,,,,,POINT (-71.1216494 42.3711732),John F Kennedy School of Government Library,3,Middlesex,1971403,57871b70-0100-4405-bb30-88b2e001a944,no,USGS Geonames,,,,,,,,,,,,,,,,,
node,367778080,,,,MA,,library,,Pusey Library,,,,,POINT (-71.1158822 42.3736275),,10,Middlesex,1971669,57871b70-0100-4405-bb30-88b2e001a944,no,USGS Geonames,,Q110654670,,,,,,,,,,,,,,,
node,367781121,,,,MA,,library,,Harvard University Museum of Comparative Zoology Library,,,,,POINT (-71.1155943 42.3785878),,6,Middlesex,1971335,57871b70-0100-4405-bb30-88b2e001a944,no,USGS Geonames,,,,,,,,,,,,,,,,,
node,371247606,,,,,,library,,Eliot House Library,,,,,POINT (-71.1219298 42.3700745),,,,,,,,,,yes,Potlatch 0.10f,,,,,,,,,,,,,
node,8749198580,,,,,,library,,Andover-Harvard Theological Library,,,,,POINT (-71.1133173 42.3796006),,,,,,,,,,,,,,,,,,,,,,,,
way,29513588,Cambridge,28,02138,MA,DeWolfe Street,library,,Leverett House Library,,,,,"POLYGON ((-71.1167699 42.3692662, -71.116923 42.3693047, -71.116831 42.3695062, -71.1167792 42.3694955, -71.1167487 42.369487, -71.1166779 42.3694678, -71.1167699 42.3692662))",,,,,,,,,,yes,,"[5071953998, 5071953997, 5071953996, 5071953990, 5071953989, 5071953995, 5071953998]",,,,,,,,,,,,
way,29633581,,,,MA,,library,,Houghton Library,,,,,"POLYGON ((-71.1158709 42.3730077, -71.1160827 42.3730434, -71.1159826 42.3733704, -71.1157785 42.373336, -71.1158105 42.3732313, -71.1158069 42.3732272, -71.1158035 42.3732228, -71.1158007 42.3732183, -71.1157979 42.3732137, -71.1157956 42.373209, -71.1157936 42.3732044, -71.1157919 42.3731995, -71.1157906 42.3731946, -71.1157895 42.3731897, -71.115789 42.3731847, -71.1157886 42.3731798, -71.1157888 42.3731747, -71.1157892 42.3731698, -71.1157899 42.3731648, -71.1157911 42.3731599, -71.1157925 42.373155, -71.1157944 42.3731502, -71.1157965 42.3731455, -71.1157989 42.3731409, -71.1158018 42.3731363, -71.1158048 42.3731319, -71.1158083 42.3731276, -71.115812 42.3731235, -71.1158161 42.3731194, -71.1158203 42.3731156, -71.1158249 42.3731119, -71.1158297 42.3731084, -71.1158347 42.3731052, -71.1158424 42.3731008, -71.1158709 42.3730077))",,11,Middlesex,1971375,57871b70-0100-4405-bb30-88b2e001a944,no,USGS Geonames,,Q3719374,yes,,"[326218867, 326223252, 326216293, 326201711, 326206790, 326190846, 326197492, 326178739, 326185452, 326161496, 326169610, 326147380, 326155481, 326227217, 326231161, 326219549, 326223403, 326216022, 326200672, 326207444, 326190653, 326196645, 326179977, 326185935, 326161186, 326168194, 326149551, 326156011, 326186323, 326193850, 326176658, 326182088, 326162046, 326153452, 326218867]",Harvard University,en:Houghton Library,,,,,,,,,,
way,29634503,,11,,MA,Quincy Street,library,,Lamont Library,,,,,"POLYGON ((-71.1152885 42.3725577, -71.1157763 42.372641, -71.1157495 42.3727266, -71.1158199 42.3727386, -71.1157813 42.3728618, -71.1157501 42.3729616, -71.1153145 42.3728872, -71.11513 42.3728557, -71.1152011 42.3726285, -71.115263 42.3726391, -71.1152805 42.3725834, -71.1152885 42.3725577))",,12,Middlesex,1971433,57871b70-0100-4405-bb30-88b2e001a944,no,USGS Geonames,,Q6482212,yes,,"[326185853, 326167576, 326171451, 326152933, 8723387678, 326158744, 11038367331, 326226933, 326231441, 326219346, 389966268, 326185853]",Harvard University,en:Lamont Library,university,,,,,,,,,
way,29684442,Cambridge,2,02138,MA,Divinity Avenue,library,,Harvard-Yenching Library,,,,,"POLYGON ((-71.1138266 42.3773367, -71.1138567 42.3774168, -71.1138416 42.3774198, -71.1138723 42.3775018, -71.1138836 42.3774995, -71.1139055 42.3775582, -71.1139212 42.3776004, -71.1139118 42.3776023, -71.1139433 42.3776877, -71.1139543 42.3776855, -71.1139843 42.3777674, -71.1137678 42.3778108, -71.1137631 42.3777979, -71.113732 42.3778041, -71.1138057 42.378006, -71.1136494 42.3780372, -71.1135356 42.3777256, -71.1135608 42.3777206, -71.1135525 42.3776979, -71.11353 42.3776875, -71.1134888 42.3775789, -71.113505 42.3775553, -71.1135217 42.3775522, -71.1135144 42.377531, -71.113624 42.3775105, -71.1136302 42.3775287, -71.1136567 42.3775238, -71.1136782 42.3775324, -71.1136504 42.3774586, -71.1136362 42.3774615, -71.1136063 42.3773819, -71.1138266 42.3773367))",,6,Middlesex,1971342,57871b70-0100-4405-bb30-88b2e001a944,no,USGS Geonames,,Q5676691,yes,,"[11732131088, 11732131089, 11732131090, 11732131091, 11732131092, 8699605008, 11732131093, 11732131095, 11732131096, 11732131094, 326614153, 11732131085, 11732131086, 11732131087, 326614155, 326614156, 11732131081, 11732131082, 11732131083, 11732131084, 11732131101, 326614157, 11732131102, 11732131104, 11732131103, 11732131100, 11732131099, 326614158, 11732131098, 11732131097, 326614159, 11732131088]",,en:Harvard–Yenching Library,,US-mhhy,,,,,,,,
way,29725638,,,,MA,,library,,Widener Memorial Library,,,,,"POLYGON ((-71.1163331 42.3730598, -71.1166201 42.3731093, -71.1168881 42.3731556, -71.1168814 42.3731768, -71.1169631 42.3731909, -71.1169254 42.3733103, -71.11691 42.3733077, -71.1167832 42.3737094, -71.1167974 42.3737118, -71.1167591 42.3738332, -71.1167452 42.3738308, -71.1167393 42.3738492, -71.1166292 42.3738302, -71.1166234 42.3738486, -71.1163873 42.3738078, -71.1161504 42.3737668, -71.1161566 42.3737472, -71.116045 42.373728, -71.1160493 42.3737145, -71.1160319 42.3737115, -71.1160688 42.3735952, -71.1160856 42.3735981, -71.116215 42.3731898, -71.1161924 42.3731859, -71.1162296 42.3730685, -71.1163251 42.373085, -71.1163331 42.3730598))",,9,Middlesex,1971320,,,USGS Geonames,,Q1060854,yes,,"[327464375, 389964664, 327464376, 327464377, 327464379, 327464380, 327464381, 327464383, 327464384, 11433320605, 327464385, 11433320604, 327464387, 327464388, 8723387673, 327464389, 327464390, 327464392, 327464393, 327464394, 327464396, 327464397, 327464398, 327464400, 327464402, 367778066, 327464375]",Harvard University,en:Widener Library,,,Harry Elkins Widener Memorial Library,图书馆,,,,,,
way,29826765,,,,,,library,,Qube (Quincy Library),,,,,"POLYGON ((-71.1169167 42.3703392, -71.1170359 42.3703778, -71.1169817 42.3704699, -71.1168624 42.3704313, -71.1169167 42.3703392))",,,,,,,,,,yes,,"[328622537, 328638277, 327504936, 328617185, 328622537]",,,,,,,,,,,,
