osmid,y,x,street_count,highway,geometry
3809869824,42.3793534,-71.1141236,3,,POINT (-71.1141236 42.3793534)
6297995265,42.3790152,-71.1160148,3,,POINT (-71.1160148 42.3790152)
6297995266,42.3797428,-71.115848,3,,POINT (-71.115848 42.3797428)
3809869827,42.3795434,-71.1151191,3,,POINT (-71.1151191 42.3795434)
3809869825,42.3793738,-71.1149547,3,,POINT (-71.1149547 42.3793738)
3809869829,42.379711,-71.1151995,3,,POINT (-71.1151995 42.379711)
6297995267,42.3797815,-71.1158447,4,crossing,POINT (-71.1158447 42.3797815)
6297995271,42.3777158,-71.1161638,4,,POINT (-71.1161638 42.3777158)
3809869832,42.3799008,-71.1152014,3,,POINT (-71.1152014 42.3799008)
6297995273,42.3779946,-71.1164283,3,,POINT (-71.1164283 42.3779946)
7192614922,42.3765061,-71.1147618,3,,POINT (-71.1147618 42.3765061)
7192614923,42.3769508,-71.1149143,1,,POINT (-71.1149143 42.3769508)
7192614924,42.3765686,-71.1147828,4,crossing,POINT (-71.1147828 42.3765686)
6297995277,42.3776233,-71.1162914,4,,POINT (-71.1162914 42.3776233)
3809869833,42.3799011,-71.1152216,1,,POINT (-71.1152216 42.3799011)
6297995279,42.3766725,-71.1139621,4,crossing,POINT (-71.1139621 42.3766725)
6297995280,42.3767648,-71.113839,4,crossing,POINT (-71.113839 42.3767648)
7631495185,42.3764005,-71.1157407,4,crossing,POINT (-71.1157407 42.3764005)
7631495186,42.3763829,-71.1158256,3,,POINT (-71.1158256 42.3763829)
6297995283,42.3773453,-71.1141586,4,,POINT (-71.1141586 42.3773453)
6297995284,42.3763951,-71.1155927,3,,POINT (-71.1155927 42.3763951)
7631495188,42.3770237,-71.1122912,4,crossing,POINT (-71.1122912 42.3770237)
8699605008,42.3775582,-71.1139055,1,,POINT (-71.1139055 42.3775582)
7631495189,42.3770817,-71.1123269,3,,POINT (-71.1123269 42.3770817)
688404499,42.3734736,-71.1181878,3,,POINT (-71.1181878 42.3734736)
688404504,42.3736669,-71.1183493,4,,POINT (-71.1183493 42.3736669)
