element_type,osmid,access,geometry,amenity,nodes,building,building:levels,note,parking,addr:housenumber,addr:street,name,operator,operator:type,surface,capacity,capacity:disabled,fee,addr:postcode,layer,supervised,parking:condition:right:maxstay,smoothness
way,29585167,private,"POLYGON ((-71.1137235 42.3662701, -71.1141101 42.3662739, -71.1146049 42.3662774, -71.1146047 42.3662589, -71.114682 42.3662592, -71.1146771 42.3665755, -71.1136677 42.3665671, -71.1136688 42.3665447, -71.1137227 42.3665449, -71.1137235 42.3662701))",parking,"[325469477, 8347350535, 8347350534, 8347350533, 325871416, 325902130, 325492519, 8347350531, 8347350532, 325469477]",parking,3,"access=private is a guess, based on building not being labeled",multi-storey,,,,,,,,,,,,,,
way,29590842,private,"POLYGON ((-71.1201205 42.3641677, -71.1202445 42.3649655, -71.1197962 42.3650035, -71.1196722 42.3642057, -71.1201205 42.3641677))",parking,"[325847930, 325891272, 325879506, 325735206, 325847930]",yes,7,,multi-storey,111,Western Avenue,Soldiers Field Park Garage,Soldiers Field Park Garage,university,,,,,,,,,
way,29680284,,"POLYGON ((-71.1230668 42.3632677, -71.1240677 42.3631857, -71.1241201 42.363518, -71.1231813 42.3635967, -71.1231745 42.3635416, -71.1231067 42.3635464, -71.1230668 42.3632677))",parking,"[326586004, 326586008, 326586010, 326586012, 326586014, 326586016, 326586004]",,,,surface,,,,,,asphalt,,,,,,,,
way,33537939,private,"POLYGON ((-71.1232618 42.3638683, -71.1218519 42.3639914, -71.1213039 42.3640475, -71.1213441 42.3643391, -71.1213886 42.3646527, -71.1214001 42.3647001, -71.121582 42.3647006, -71.1215859 42.3646841, -71.1216676 42.3647231, -71.1224859 42.3647432, -71.1230433 42.3647405, -71.1228431 42.3646179, -71.1232822 42.3647023, -71.1233562 42.3644989, -71.1232618 42.3638683))",parking,"[382676758, 382676762, 382676767, 382676780, 7034496516, 7034496517, 7034496519, 7034496518, 5458349301, 61406907, 61406917, 2689132892, 2689132904, 382676791, 382676758]",,,,surface,,,,,,asphalt,,,yes,,,,,
way,37329373,,"POLYGON ((-71.1224944 42.3751087, -71.1222455 42.3752863, -71.1220739 42.3751595, -71.1223228 42.3749566, -71.1224944 42.3751087))",parking,"[435100904, 435100905, 435100906, 435100907, 435100904]",,,,surface,,,,,,,20,,,,,,,
way,274464899,private,"POLYGON ((-71.1130935 42.3795597, -71.1130287 42.3793965, -71.1127777 42.3794466, -71.1127954 42.3794916, -71.1127451 42.3795014, -71.1125941 42.3791168, -71.1122915 42.3791607, -71.1124161 42.3795251, -71.1124766 42.3795134, -71.1125282 42.3796712, -71.1130935 42.3795597))",parking,"[2791796187, 2791796188, 2791796190, 2791796191, 2791796192, 2791796193, 2791796194, 8681483083, 8681483082, 2791796195, 2791796187]",,,,surface,,,,,,,,,,,,,,
way,292091832,permissive,"POLYGON ((-71.1254057 42.3642603, -71.12538 42.3640858, -71.1246882 42.3641448, -71.1246659 42.364018, -71.1248815 42.3639985, -71.124853 42.3638195, -71.1245282 42.3638483, -71.1246022 42.364328, -71.1254057 42.3642603))",parking,"[2956117285, 2956117286, 6441533168, 6441533169, 6441533170, 6441533171, 2956117287, 2956117288, 2956117285]",,,,surface,,,Harvard Innovation Lab Parking,,,asphalt,,,yes,,,,,
way,318900038,unknown,"POLYGON ((-71.1187546 42.3768726, -71.1184791 42.3769023, -71.1182283 42.3769435, -71.1182283 42.3768947, -71.1181757 42.3769053, -71.1181785 42.3768452, -71.1181808 42.376794, -71.1185069 42.376717, -71.1185664 42.3767089, -71.1187195 42.3766881, -71.1187546 42.3768726))",parking,"[3252964844, 3252964845, 3252964846, 3252964847, 3252964848, 11745440135, 3252964849, 3252964851, 11745440134, 3252964850, 3252964844]",,,,surface,,,,,,,,,,,,,,
way,318900039,customers,"POLYGON ((-71.1186845 42.3766667, -71.1178795 42.3765524, -71.1178868 42.3765719, -71.1179827 42.3768276, -71.1180601 42.3768123, -71.1180807 42.3768695, -71.1180126 42.3768794, -71.1179569 42.3768657, -71.1179218 42.3768413, -71.117896 42.3768062, -71.1177732 42.3764639, -71.1187061 42.3765981, -71.1186845 42.3766667))",parking,"[3252964852, 3252964853, 11745440139, 3252964854, 3252964855, 3252964856, 3252964857, 3252964858, 3252964859, 3252964860, 3252968761, 3252968762, 3252964852]",,,,surface,,,,,,,,,,,,,,
way,323174921,customers,"POLYGON ((-71.1171046 42.3796112, -71.1169553 42.3796026, -71.116968 42.3794819, -71.1169413 42.3794804, -71.1169713 42.3791937, -71.1170022 42.3791955, -71.1170085 42.3791352, -71.1171536 42.3791435, -71.1171046 42.3796112))",parking,"[3299685046, 3299685047, 3299685048, 3299685049, 3299685050, 3299685051, 3299685052, 3299685053, 3299685046]",,,,surface,,,,,,,,,,,,,,
