element_type,osmid,nodes,addr:housename,building,name,geometry,height,name:en,addr:city,addr:district,addr:housenumber,addr:province,addr:street,amenity,healthcare,fast_food,shop,building:levels
way,216630148,"[2260213629, 2260213628, 2260213637, 2260213630, 2260213635, 2260213634, 2260213632, 2260213633, 2260213627, 2260213631, 2260213636, 2260213629]",科学会堂,yes,科学会堂,"POLYGON ((118.7542744 32.0585117, 118.7544622 32.0584981, 118.7545158 32.0585435, 118.7545105 32.0586208, 118.7544622 32.0586708, 118.7543925 32.0586618, 118.7543013 32.0586754, 118.7542476 32.0586618, 118.7541993 32.0586254, 118.7541993 32.0585663, 118.7542262 32.0585345, 118.7542744 32.0585117))",,,,,,,,,,,,
way,273632541,"[2784688332, 2784688333, 2784688334, 2784688335, 2784688332]",,house,北教,"POLYGON ((118.7545544 32.0593801, 118.7549154 32.0593861, 118.7549225 32.0591041, 118.7545544 32.0591161, 118.7545544 32.0593801))",,,,,,,,,,,,
way,273632585,"[2784688957, 2784688958, 2784688959, 2784688960, 2784688961, 2784688962, 2784688957]",,yes,体育馆,"POLYGON ((118.7530227 32.0595943, 118.752878 32.0595864, 118.7528686 32.0599703, 118.753415 32.0600059, 118.7534804 32.0593608, 118.7530507 32.0593371, 118.7530227 32.0595943))",,,,,,,,,,,,
way,273632592,"[2784689002, 2784689003, 2784689004, 2784689005, 2784689006, 2784689007, 2784689002]",,yes,严恺馆,"POLYGON ((118.7531992 32.0590633, 118.7533578 32.0590702, 118.7536708 32.058891, 118.7537724 32.0590151, 118.7533374 32.059239, 118.7531911 32.0592287, 118.7531992 32.0590633))",,,,,,,,,,,,
way,474162620,"[4681702192, 4681702193, 4681702194, 4681702195, 4681702192]",,yes,河海馆,"POLYGON ((118.7570478 32.0569087, 118.7578833 32.0569019, 118.7578833 32.0567223, 118.7570464 32.0567223, 118.7570478 32.0569087))",,,,,,,,,,,,
way,474162621,"[4681702199, 4681702196, 4681702197, 4681702198, 4681702199]",,yes,科学馆,"POLYGON ((118.753936 32.0596421, 118.753936 32.0598179, 118.7545545 32.059824, 118.7545618 32.0596452, 118.753936 32.0596421))",60,,,,,,,,,,,
way,475719190,"[4694433796, 4694433797, 4694433798, 4694433799, 4694433800, 4694433801, 4694433802, 4694433796]",,university,,"POLYGON ((118.7525823 32.0590849, 118.7528288 32.0589282, 118.7525576 32.0585313, 118.7527548 32.0583747, 118.7526685 32.0582546, 118.7521571 32.0585261, 118.7522557 32.0586619, 118.7525823 32.0590849))",,,,,,,,,,,,
way,475719191,"[4694433803, 4694433804, 4694433805, 4694433806, 4694433807, 4694433808, 4694433809, 4694433810, 4694433811, 4694433812, 4694433803]",College of Water Conservancy and Hydropower,school,水利水电工程学院,"POLYGON ((118.7528904 32.0588186, 118.7528103 32.0586932, 118.7535066 32.0582807, 118.7536113 32.0584164, 118.7535312 32.0584582, 118.7535805 32.0585, 118.7534943 32.058547, 118.7534326 32.0584739, 118.7533649 32.0585105, 118.7533949 32.0585455, 118.7528904 32.0588186))",,College of Water Conservancy and Hydropower,,,,,,,,,,
way,670930678,"[6282885831, 6282885832, 6282885833, 6282885834, 6282885835, 6282885836, 6282885837, 6282885838, 6282885839, 6282886460, 6282885840, 6282885841, 6282885831]",,yes,图书馆,"POLYGON ((118.7525392 32.0573042, 118.7528226 32.0575113, 118.7528627 32.0574719, 118.7529136 32.0575091, 118.7530406 32.0573843, 118.7530003 32.0573548, 118.7530655 32.0572908, 118.7527442 32.0570397, 118.7527165 32.057066, 118.7526218 32.0570619, 118.752527 32.0570578, 118.7525734 32.0572706, 118.7525392 32.0573042))",,,南京市,鼓楼区,1号,江苏省,西康路,library,,,,
way,670930679,"[6282885842, 6282885843, 6282885844, 6282885845, 6282885846, 6282885847, 6282885848, 6282885849, 6282885850, 6282885851, 6282885852, 6282885853, 6282885854, 6282885855, 6282885856, 6282885857, 6282885858, 6282885859, 6282885860, 6282885861, 6282885842]",,school,河海大学校医院,"POLYGON ((118.7522182 32.0549992, 118.7525237 32.0549926, 118.7525271 32.0551074, 118.7524985 32.055108, 118.7524996 32.0551471, 118.7524282 32.0551487, 118.7524302 32.0552166, 118.752403 32.0552171, 118.7524037 32.0552401, 118.752364 32.0552409, 118.7523647 32.0552614, 118.7523264 32.0552622, 118.752326 32.0552489, 118.752291 32.0552497, 118.7522928 32.0553109, 118.7522272 32.0553123, 118.7522232 32.0551796, 118.7523016 32.0551779, 118.7522998 32.0551206, 118.7522219 32.0551223, 118.7522182 32.0549992))",,,,,,,,,hospital,,,
way,670930680,"[6282885862, 6282885863, 6282885864, 6282885865, 6282885862]",,school,学生6舍,"POLYGON ((118.7520674 32.0548883, 118.7528756 32.0548655, 118.7528679 32.05467, 118.7520597 32.0546927, 118.7520674 32.0548883))",,,,,,,,,,,,
way,670930681,"[6282885866, 6282885867, 6282885868, 6282885869, 6282885866]",,school,学生5舍,"POLYGON ((118.7520884 32.0545538, 118.75287 32.0545475, 118.7528679 32.0543566, 118.7520863 32.054363, 118.7520884 32.0545538))",,,,,,,,,,,,
way,670930682,"[6282885870, 6282885871, 6282885872, 6282885873, 6282885870]",,school,学生4舍,"POLYGON ((118.7521437 32.054233, 118.7528675 32.0542255, 118.7528648 32.0540362, 118.7521409 32.0540437, 118.7521437 32.054233))",,,,,,,,,,,,
way,670930683,"[6282885874, 6282885875, 6282885876, 6282885877, 6282885874]",,school,学生9舍,"POLYGON ((118.7529767 32.0548224, 118.7536947 32.054806, 118.753689 32.0546265, 118.752971 32.0546429, 118.7529767 32.0548224))",,,,,,,,,,,,
way,670930684,"[6282885878, 6282885879, 6282885880, 6282885881, 6282885878]",,school,学生8舍,"POLYGON ((118.7529644 32.0544934, 118.7537168 32.0544818, 118.7537133 32.0543156, 118.7529608 32.0543273, 118.7529644 32.0544934))",,,,,,,,,,,,
way,670930685,"[6282885882, 6282885883, 6282885884, 6282886385, 6282885882]",,school,学生7舍,"POLYGON ((118.7529587 32.0541689, 118.7536941 32.0541559, 118.7536902 32.0539959, 118.7529547 32.0540089, 118.7529587 32.0541689))",,,,,,,,,,,,
way,670930686,"[6282886386, 6282886387, 6282886388, 6282886389, 6282886386]",,school,学生11舍,"POLYGON ((118.7537689 32.0546015, 118.7540019 32.0545929, 118.7539947 32.0544526, 118.7537617 32.0544612, 118.7537689 32.0546015))",,,,,,,,,,,,
way,670930687,"[6282886390, 6282886391, 6282886392, 6282886393, 6282886390]",,school,学生10舍,"POLYGON ((118.753726 32.0542718, 118.7539693 32.0542684, 118.7539667 32.0541316, 118.7537233 32.054135, 118.753726 32.0542718))",,,,,,,,,,,,
way,670930688,"[6282886394, 6282886395, 6282886396, 6282886397, 6282886398, 6282886399, 6282886400, 6282886401, 6282886402, 6282886403, 6282886404, 6282886405, 6282886411, 6282886417, 6282886412, 6282886413, 6282886414, 6282886415, 6282886416, 6282886406, 6282886407, 6282886408, 6282886409, 6282886410, 6282886394]",,school,学生1舍,"POLYGON ((118.7521147 32.0566908, 118.752299 32.0567318, 118.7522537 32.0568775, 118.7521908 32.0568635, 118.7521837 32.0568863, 118.7520471 32.0568558, 118.7520417 32.0568732, 118.7518674 32.0568341, 118.7518596 32.0568591, 118.7517537 32.0568352, 118.7517581 32.0568212, 118.7516161 32.0567891, 118.751621 32.0567735, 118.7515746 32.056763, 118.7515791 32.056749, 118.7515645 32.0567457, 118.7515949 32.0566503, 118.7516331 32.0566591, 118.7516362 32.0566497, 118.7517918 32.0566851, 118.7517984 32.0566638, 118.7519448 32.0566965, 118.7519513 32.0566756, 118.7521085 32.0567107, 118.7521147 32.0566908))",,,,,,,,,,,,
way,670930690,"[6282886418, 6282886419, 6282886420, 6282886421, 6282886422, 6282886423, 6282886424, 6282886425, 6282886426, 6282886427, 6282886428, 6282886429, 6282886430, 6282886431, 6282886432, 6282886433, 6282886434, 6282886435, 6282886436, 6282886437, 6282886418]",,school,学生2舍,"POLYGON ((118.7521741 32.0570129, 118.7521299 32.0571598, 118.752017 32.0571353, 118.7520115 32.0571538, 118.7518727 32.0571237, 118.7518661 32.0571456, 118.7517485 32.0571202, 118.751744 32.0571352, 118.7515057 32.0570836, 118.7515125 32.0570608, 118.7514771 32.0570532, 118.7515087 32.0569481, 118.7515565 32.0569584, 118.7515645 32.0569319, 118.751686 32.0569582, 118.7516899 32.0569452, 118.7518518 32.0569802, 118.7518562 32.0569657, 118.7520132 32.0569997, 118.7520193 32.0569794, 118.7521741 32.0570129))",,,,,,,,,,,,
