osmid,y,x,street_count,geometry
771119339,32.0588344,118.7590309,3,POINT (118.7590309 32.0588344)
772578838,32.0570688,118.7584433,4,POINT (118.7584433 32.0570688)
1067152399,32.058918,118.7531308,1,POINT (118.7531308 32.058918)
1067152436,32.0581543,118.7544542,4,POINT (118.7544542 32.0581543)
8953040108,32.058591,118.7573737,1,POINT (118.7573737 32.058591)
8953040109,32.0593439,118.75691,3,POINT (118.75691 32.0593439)
8953040110,32.0596412,118.7558824,1,POINT (118.7558824 32.0596412)
8953040111,32.0591291,118.7560727,3,POINT (118.7560727 32.0591291)
8953040112,32.059406,118.7543508,1,POINT (118.7543508 32.059406)
8953056317,32.0582033,118.7543693,3,POINT (118.7543693 32.0582033)
8953056322,32.0554574,118.7521769,1,POINT (118.7521769 32.0554574)
8953056324,32.0564292,118.751747,3,POINT (118.751747 32.0564292)
8953056329,32.0553199,118.753581,1,POINT (118.753581 32.0553199)
8953056330,32.0553127,118.7529161,3,POINT (118.7529161 32.0553127)
8953056331,32.0551744,118.7535703,1,POINT (118.7535703 32.0551744)
8953056332,32.0551718,118.7529211,3,POINT (118.7529211 32.0551718)
8953056335,32.0550266,118.7535837,1,POINT (118.7535837 32.0550266)
8953056338,32.0567725,118.7526798,3,POINT (118.7526798 32.0567725)
