element_type,osmid,nodes,building,name,tourism,geometry,amenity,office,name:en,layer,shop,landuse,man_made,monitoring:weather,natural,ways,type
way,98842742,"[1143421057, 7783188431, 7783188432, 7783188433, 7783188434, 7783188435, 7783188436, 7783188437, 7783188438, 1143420823, 1143421129, 1143421132, 1143421057]",yes,博物馆,museum,"POLYGON ((114.3514604 30.4782199, 114.3514598 30.4781385, 114.3518254 30.4781346, 114.3518142 30.4779643, 114.3514843 30.4779714, 114.3514824 30.4778385, 114.3518088 30.4778283, 114.3518043 30.477737, 114.3514434 30.4777404, 114.3514404 30.4776411, 114.3519735 30.4776265, 114.3519842 30.4782134, 114.3514604 30.4782199))",,,,,,,,,,,
way,98842746,"[8485585487, 1221037674, 1143420796, 1143420973, 1401835288, 1143420873, 1221037830, 1401835287, 1143420635, 1401835286, 1221037700, 8485585486, 8485585487]",yes,图书馆,,"POLYGON ((114.3523241 30.4735898, 114.3522405 30.4735883, 114.3516401 30.4735936, 114.3516461 30.4740996, 114.3511514 30.4741015, 114.3506994 30.474108, 114.3506961 30.4738326, 114.3506923 30.4733755, 114.351093 30.473373, 114.3510919 30.4732455, 114.3522587 30.4732384, 114.3523295 30.4732348, 114.3523241 30.4735898))",library,,,,,,,,,,
way,98842759,"[1143420532, 1401873406, 1401873401, 1401873404, 1401873395, 1401873394, 1143421175, 1401873392, 1143420684, 1401873400, 1401873396, 1401873397, 1401873389, 1401873390, 1143420839, 1401873399, 1401873388, 1401873408, 1401873407, 1143420583, 1401873402, 1401873398, 1401873391, 1401873403, 1143420532]",yes,大学生活动中心,,"POLYGON ((114.3601381 30.4757516, 114.3600791 30.4757193, 114.360059 30.4756771, 114.3600802 30.475629, 114.3601451 30.475598, 114.3601491 30.4749909, 114.3602694 30.4749952, 114.3603833 30.4750651, 114.3605434 30.4748323, 114.3606972 30.4749484, 114.360857 30.4751368, 114.3605988 30.4752545, 114.3606316 30.4753121, 114.3607091 30.4752924, 114.3607616 30.4753704, 114.3607703 30.4754996, 114.3606481 30.475502, 114.3606446 30.4755693, 114.360703 30.4755792, 114.3606457 30.4757503, 114.3604743 30.4756597, 114.3604238 30.4757484, 114.3602986 30.4758197, 114.3601362 30.4758294, 114.3601381 30.4757516))",,,,,,,,,,,
way,98842761,"[1143420842, 1143420698, 1143420722, 1143420946, 1143420842]",yes,华农校办,,"POLYGON ((114.3504601 30.4789673, 114.351226 30.4789541, 114.3512299 30.4787996, 114.3504633 30.478804, 114.3504601 30.4789673))",,,,,,,,,,,
way,98842762,"[1143420723, 1143421135, 1143421053, 1143420804, 1143420657, 1143420723]",yes,,,"POLYGON ((114.3514718 30.4799129, 114.3517322 30.4798292, 114.3517429 30.4796813, 114.3511646 30.4796853, 114.3511568 30.4799087, 114.3514718 30.4799129))",public_building,,,,,,,,,,
way,98842764,"[1143420567, 1143420606, 1143421072, 1143420639, 1143420636, 1143421019, 1143420653, 1143420567]",yes,,,"POLYGON ((114.3501824 30.4796742, 114.3501848 30.4795375, 114.3505907 30.4795388, 114.3505949 30.4793947, 114.3511193 30.479379, 114.3511375 30.4795901, 114.3509783 30.4796851, 114.3501824 30.4796742))",public_building,,,,,,,,,,
way,98842765,"[1143420680, 4723470048, 1143421134, 1143421140, 1143420997, 1143421018, 1143420953, 1143420811, 4723470049, 1143420714, 1143421079, 4723470047, 1143420799, 1143420901, 1143421102, 1143420830, 1143420560, 1143420837, 1140522941, 1143420735, 1143420680]",university,华农主楼,,"POLYGON ((114.3518009 30.4795796, 114.3517993 30.4793146, 114.3517973 30.4789967, 114.3514949 30.4789982, 114.351494 30.4788458, 114.3522148 30.4788426, 114.3522158 30.4789929, 114.3519786 30.478994, 114.3519806 30.4793144, 114.3519815 30.4794588, 114.3530729 30.4794539, 114.353072 30.47931, 114.3530701 30.4789858, 114.3527943 30.4789871, 114.3527934 30.4788457, 114.3534711 30.4788427, 114.353472 30.4789837, 114.3532422 30.4789848, 114.3532441 30.4793116, 114.3532457 30.479573, 114.3518009 30.4795796))",,,,,,,,,,,
way,98842769,"[1143421011, 8067950981, 8067950983, 8067950982, 1143421161, 1143420945, 8067950980, 8067950979, 8067950978, 8067950977, 1143420889, 1220989414, 1143421011]",yes,作物遗传改良国家重点实验室,,"POLYGON ((114.3491833 30.4744017, 114.3491772 30.4741318, 114.3491376 30.4740264, 114.349172 30.4739069, 114.3491659 30.4736386, 114.3500021 30.4736236, 114.3500056 30.4739178, 114.3500885 30.4739168, 114.3501 30.4741405, 114.3500169 30.474137, 114.3500245 30.474399, 114.3496498 30.474403, 114.3491833 30.4744017))",,research,,,,,,,,,
way,98842773,"[1220958859, 1143420634, 1220958666, 1220958764, 1143420617, 1143420685, 1220958859]",yes,基因楼,,"POLYGON ((114.349182 30.4749208, 114.349179 30.4746108, 114.3493998 30.4746093, 114.3494006 30.4746886, 114.3499957 30.4746843, 114.3499979 30.474915, 114.349182 30.4749208))",,,,,,,,,,,
way,98842779,"[1143421146, 8626248744, 8626248743, 8626248745, 8626248746, 1143420599, 1143420605, 8626248742, 8626248741, 8626248739, 8626248740, 1143420564, 1143421146]",yes,农业微生物学国家重点实验室B栋,,"POLYGON ((114.3515826 30.4766099, 114.3515844 30.4764911, 114.3516807 30.4764908, 114.3516874 30.4762273, 114.3515801 30.4762239, 114.3515784 30.4760923, 114.3520085 30.4760934, 114.3520092 30.4762135, 114.3518309 30.4762192, 114.3518161 30.4765012, 114.3519006 30.4765012, 114.3519061 30.476611, 114.3515826 30.4766099))",,research,State Key Laboratory of Agricultural Microbiology - B,,,,,,,,
way,98842785,"[1143421180, 1143420753, 1143421038, 1143420776, 1143420699, 1143420991, 1399501522, 1399501487, 1143420710, 1143420821, 1143420819, 1399501480, 1143421064, 1399501499, 1143421180]",yes,农业微生物学国家重点实验室A栋,,"POLYGON ((114.3507346 30.4768247, 114.3507252 30.4766698, 114.3511285 30.4766664, 114.3511259 30.4768214, 114.3517996 30.4768064, 114.3518 30.4769624, 114.3517137 30.4769637, 114.3517153 30.4770627, 114.3519247 30.4770602, 114.3519269 30.4772009, 114.3516101 30.4772047, 114.3516063 30.4769668, 114.3510547 30.4769734, 114.3510523 30.476821, 114.3507346 30.4768247))",,research,State Key Laboratory of Agricultural Microbiology - A,,,,,,,,
way,98842791,"[1143420566, 1220958949, 1220958850, 1220958835, 1220958886, 1143420544, 1220958792, 1143420538, 1220958812, 1143420588, 1143420566]",yes,,,"POLYGON ((114.3530287 30.4757297, 114.3530265 30.4755982, 114.3533385 30.4755943, 114.3533371 30.4755117, 114.3531069 30.4755146, 114.3531042 30.4753498, 114.3534152 30.475346, 114.3534188 30.4755641, 114.3538045 30.4755593, 114.3538072 30.47572, 114.3530287 30.4757297))",public_building,,,,,,,,,,
way,98842800,"[1143421075, 1143420963, 1143420919, 1221037776, 1221037848, 1221037903, 1221037692, 1221037749, 1221037917, 1221037944, 1143420896, 1143420880, 1143421075]",yes,逸夫楼,,"POLYGON ((114.3529044 30.4782442, 114.352894 30.4773037, 114.3533276 30.4773002, 114.3533301 30.4775252, 114.3531108 30.477527, 114.3531126 30.4776912, 114.3533971 30.4776889, 114.3533991 30.4778735, 114.353115 30.4778758, 114.3531167 30.4780353, 114.3534069 30.4780329, 114.3534092 30.4782401, 114.3529044 30.4782442))",public_building,,,,,,,,,,
way,99001176,"[1145375924, 1145375945, 1145375930, 1145375927, 1145375924]",yes,空调机房,,"POLYGON ((114.3487371 30.4769359, 114.3487392 30.4768469, 114.3489212 30.4768501, 114.3489191 30.4769391, 114.3487371 30.4769359))",,,,,,,,,,,
way,99002139,"[1145388731, 1145388734, 1145388728, 1145388732, 1399524960, 1145388731]",yes,,,"POLYGON ((114.3469851 30.4789297, 114.3469851 30.4790248, 114.3465399 30.4789508, 114.3465445 30.4788632, 114.3465822 30.4788606, 114.3469851 30.4789297))",public_building,,,,,,,,,,
way,99002140,"[1399524954, 1399524960, 1145388732, 1399524948, 1399524968, 1399524954]",yes,,,"POLYGON ((114.34657 30.4787306, 114.3465822 30.4788606, 114.3465445 30.4788632, 114.3465071 30.4788658, 114.3464949 30.4787359, 114.34657 30.4787306))",public_building,,,,,,,,,,
way,99002207,"[1145389782, 1145389764, 1145389773, 1145389779, 1145389774, 1145389775, 1145389776, 1145389762, 1145389782]",yes,,,"POLYGON ((114.3463087 30.476401, 114.3463049 30.4762382, 114.346836 30.4762475, 114.3468306 30.4764047, 114.3466965 30.4764, 114.3466912 30.4765896, 114.3464766 30.4765804, 114.3464803 30.476401, 114.3463087 30.476401))",public_building,,,,,,,,,,
way,99002208,"[1145389769, 1145389780, 1145389771, 1145389772, 1145389768, 1145389760, 1145389781, 1221088093, 1145389769]",yes,一招,,"POLYGON ((114.3470907 30.4780679, 114.3470902 30.4779916, 114.3474534 30.4779897, 114.3474521 30.4778013, 114.347599 30.4778005, 114.3476011 30.4781098, 114.3473921 30.4781109, 114.3473918 30.4780664, 114.3470907 30.4780679))",public_building,,,,,,,,,,
way,99002268,"[1145390971, 1145390973, 1145390976, 1145390937, 1145390974, 1145390941, 1145390929, 1145390944, 1145390945, 1145390955, 1145390971]",yes,,,"POLYGON ((114.3457262 30.4756388, 114.3457311 30.4754517, 114.3460654 30.4754581, 114.3460697 30.4752907, 114.3463023 30.4752951, 114.3462991 30.4754191, 114.3461346 30.4754159, 114.3461305 30.4755743, 114.3458782 30.4755694, 114.3458763 30.4756417, 114.3457262 30.4756388))",public_building,,,,,,,,,,
way,99002270,"[1145390963, 1145390928, 1145390943, 1145390923, 1145390963]",yes,,,"POLYGON ((114.3464156 30.4748762, 114.3457161 30.4748725, 114.3457152 30.4749896, 114.3464148 30.4749933, 114.3464156 30.4748762))",public_building,,,,,,,,,,
way,99002906,"[1145398062, 1145398055, 1404154213, 1404154219, 1145398036, 1145398044, 1404154214, 1404154217, 1145398062]",yes,,,"POLYGON ((114.3481288 30.4809538, 114.3481281 30.4808188, 114.348403 30.4808177, 114.3484047 30.4807981, 114.3488811 30.4808167, 114.3488745 30.4809197, 114.3484139 30.4809144, 114.3484137 30.4809527, 114.3481288 30.4809538))",,,,,,,,,,,
way,99812547,"[1153929880, 1153929888, 1153929894, 1153929873, 1153929893, 1153929756, 7925663892, 7925663893, 1153929880]",yes,,,"POLYGON ((114.3533692 30.4727885, 114.3527634 30.4729883, 114.352681 30.4728385, 114.353556 30.4725426, 114.3537501 30.47298, 114.3534498 30.4730807, 114.3534349 30.473039, 114.3534683 30.4730267, 114.3533692 30.4727885))",public_building,,,,,,,,,,
way,106032834,"[1143421141, 1143420927, 1143420618, 1143420673, 1143421141]",yes,,,"POLYGON ((114.3495916 30.4757246, 114.3501205 30.4757198, 114.3501218 30.4758345, 114.349593 30.4758393, 114.3495916 30.4757246))",,,,,,,,,,,
way,106032837,"[1220958656, 1220958942, 1220958912, 1220958919, 1220958656]",yes,,,"POLYGON ((114.3491436 30.4751956, 114.349154 30.4749762, 114.349223 30.4749787, 114.3492126 30.475198, 114.3491436 30.4751956))",public_building,,,,,,,,,,
way,106032839,"[1220958696, 1399501518, 1220958761, 1220958661, 1220958797, 1220958696]",yes,食科,,"POLYGON ((114.3512716 30.4753365, 114.3518149 30.4753249, 114.3519616 30.4753218, 114.3519685 30.4757285, 114.3513621 30.475731, 114.3512716 30.4753365))",public_building,,,,,,,,,,
way,106032842,"[1220958915, 1220958715, 1220958845, 1220958863, 1220958628, 1220958653, 1220958901, 1220958750, 1220958956, 1220958915]",yes,园艺林学学院北楼,,"POLYGON ((114.3503324 30.4756314, 114.3510941 30.4756221, 114.3510941 30.4754557, 114.35096 30.47485, 114.3507508 30.4748824, 114.3508742 30.4755112, 114.3506371 30.4755054, 114.3506435 30.4754372, 114.3503216 30.4754372, 114.3503324 30.4756314))",school,,,,,,,,,,
way,106032844,"[1220958810, 1220958807, 1220958839, 1220958703, 1220958708, 1220958757, 1220958831, 1220958934, 1220958810]",yes,分子楼,,"POLYGON ((114.3492027 30.4753695, 114.34944 30.4753649, 114.3494417 30.4754328, 114.3498685 30.4754245, 114.3498702 30.4754931, 114.3499917 30.4754907, 114.3499941 30.4755857, 114.3492087 30.4756009, 114.3492027 30.4753695))",,,,,,,,,,,
way,106033891,"[1220977224, 8067965291, 8067965290, 1220977217, 1220977212, 8067965295, 8067965294, 8067965293, 8067965292, 1220977207, 1220977224]",yes,第一综合楼,,"POLYGON ((114.3474519 30.475599, 114.3474486 30.4754424, 114.3473923 30.4754393, 114.3473875 30.475186, 114.3489391 30.4751983, 114.3489379 30.4756344, 114.3481702 30.4756203, 114.3481704 30.4756737, 114.3479917 30.4756734, 114.3479896 30.4755975, 114.3474519 30.475599))",,,,,,,,,,,
way,106034956,"[1220989477, 1220989473, 1220989402, 1220989448, 1220989477]",yes,,,"POLYGON ((114.3485075 30.4746087, 114.3488695 30.4746035, 114.3488715 30.4747075, 114.3485096 30.4747127, 114.3485075 30.4746087))",public_building,,,,,,,,,,
way,106034958,"[1220989445, 1220989405, 1220989484, 1220989439, 1220989445]",yes,棉花楼,,"POLYGON ((114.3485119 30.4749497, 114.3488565 30.4749523, 114.3488555 30.4750472, 114.348511 30.4750445, 114.3485119 30.4749497))",public_building,,,,,,,,,,
way,106034960,"[1220989487, 1220989451, 1220989443, 1220989441, 1220989487]",yes,,,"POLYGON ((114.3485112 30.4742555, 114.3488566 30.4742564, 114.3488562 30.4743662, 114.3485108 30.4743653, 114.3485112 30.4742555))",public_building,,,,,,,,,,
way,106041964,"[1221037713, 1221037766, 1221037947, 1221037768, 1221037880, 1221037858, 1221037831, 1221037774, 1221037740, 1221037683, 1221037829, 1221037722, 1221037758, 1221037939, 1221037713]",university,第二教学楼,,"POLYGON ((114.3528937 30.4763967, 114.3529718 30.4763941, 114.3529577 30.4760962, 114.3533017 30.4760867, 114.3533017 30.4762022, 114.3530683 30.4762069, 114.353071 30.4762693, 114.3531381 30.4762716, 114.3531434 30.4763433, 114.3530683 30.4763433, 114.353071 30.4763987, 114.3533765 30.4763967, 114.353379 30.4764962, 114.3528967 30.4765097, 114.3528937 30.4763967))",,,,,,,,,,,
way,106041973,"[1221037958, 1221037685, 1399517964, 1399517947, 1399517928, 1399517965, 1221037814, 1221037735, 1221037958]",university,第一教学楼,,"POLYGON ((114.3528819 30.4767118, 114.3533601 30.4767091, 114.3533609 30.4768119, 114.3529982 30.4768139, 114.3529995 30.4769841, 114.3533794 30.4769819, 114.3533803 30.477102, 114.3528849 30.4771048, 114.3528819 30.4767118))",,,,,,,,,,,
way,106045296,"[1221088131, 1221088097, 1221088094, 1221088118, 1221088131]",commercial,,,"POLYGON ((114.3442916 30.4761838, 114.3443808 30.4761652, 114.344748 30.4774349, 114.3446378 30.4774531, 114.3442916 30.4761838))",public_building,,,,,,,,,,
way,106045297,"[1221088120, 1221088122, 1221088111, 1221088134, 1221088110, 1221088119, 1221088112, 1221088141, 1221088120]",commercial,,,"POLYGON ((114.3447215 30.476706, 114.3448878 30.4766806, 114.3451023 30.4776815, 114.3450551 30.4776749, 114.3449816 30.4776307, 114.3449414 30.4775521, 114.3447858 30.4769095, 114.3447617 30.4768725, 114.3447215 30.476706))",public_building,,,,,,,,,,
way,106360594,"[1223967283, 1223967182, 1223967192, 1223967273, 1223967283]",yes,,,"POLYGON ((114.3472718 30.4814147, 114.3478155 30.4814137, 114.3478157 30.4815134, 114.347272 30.4815144, 114.3472718 30.4814147))",,,,,,,,,,,
