u,v,key,osmid,highway,oneway,reversed,length,name,geometry,tunnel,lanes,bridge
1124414181,1153929910,0,97053046,unclassified,False,False,12.373,,"LINESTRING (114.3502788 30.4793769, 114.3502311 30.4792735)",,,
1124414182,1220958895,0,98582985,unclassified,False,False,169.125,丹桂路,"LINESTRING (114.3502164 30.4759987, 114.3502166 30.4758877, 114.3501844 30.474478)",,,
1124414182,1124851799,0,98582999,tertiary,False,False,46.44,狮子山大道,"LINESTRING (114.3502164 30.4759987, 114.3500677 30.4759987, 114.3497318 30.4759988)",,,
1124414182,1220958814,0,98582999,tertiary,False,True,106.338,狮子山大道,"LINESTRING (114.3502164 30.4759987, 114.3507099 30.475997, 114.3513259 30.4760074)",,,
1124414182,1124851793,0,920121544,unclassified,False,True,171.75400000000002,,"LINESTRING (114.3502164 30.4759987, 114.3502185 30.4761375, 114.3502317 30.4768141, 114.3502913 30.4775414)",,,
1124414187,1124470968,0,98582999,tertiary,False,True,71.139,狮子山大道,"LINESTRING (114.3520784 30.4760152, 114.3528206 30.4760035)",,,
1124414187,1221037898,0,100100855,unclassified,False,True,29.493,,"LINESTRING (114.3520784 30.4760152, 114.3520684 30.4757501)",,,
1124414187,1220958814,0,98582999,tertiary,False,False,72.12,狮子山大道,"LINESTRING (114.3520784 30.4760152, 114.3519419 30.4760143, 114.3513259 30.4760074)",,,
1124414187,1143420978,0,971627723,unclassified,False,False,79.206,,"LINESTRING (114.3520784 30.4760152, 114.3520803 30.4762265, 114.3520844 30.4767275)",,,
1124414212,1143424425,0,97053058,unclassified,False,False,50.77,,"LINESTRING (114.3478393 30.4794389, 114.3483578 30.4793451)",,,
1124414212,1145382390,0,98837265,tertiary,False,False,27.453,翠竹路,"LINESTRING (114.3478393 30.4794389, 114.3477927 30.4791953)",,,
1124414212,1143435747,0,97055866,residential,False,False,63.069,,"LINESTRING (114.3478393 30.4794389, 114.3477715 30.4794406, 114.3471812 30.4794371)",,,
1124414212,1143420852,0,98842799,unclassified,False,True,115.139,松涛路,"LINESTRING (114.3478393 30.4794389, 114.3482493 30.4800756, 114.3482998 30.4803798)",,,
1124414212,1124414305,0,"[97053049, 920121540, 920121541]",tertiary,False,True,147.234,翠竹路,"LINESTRING (114.3478393 30.4794389, 114.348075 30.4800768, 114.3481084 30.4802648, 114.3481164 30.4803659, 114.3481137 30.4804745, 114.3480957 30.4805821, 114.3480695 30.4806832, 114.3480575 30.4807241)",yes,,
1124414216,1145375914,0,98582999,tertiary,False,True,19.138,狮子山大道,"LINESTRING (114.3475249 30.4760029, 114.3477246 30.4760025)",,,
1124414216,1221088137,0,98582999,tertiary,False,False,25.137,狮子山大道,"LINESTRING (114.3475249 30.4760029, 114.3474117 30.4760031, 114.3472626 30.4760034)",,,
1124414216,8734423171,0,98837265,tertiary,False,True,68.363,翠竹路,"LINESTRING (114.3475249 30.4760029, 114.3475328 30.4761144, 114.3475778 30.476616)",,,
1124414301,1124414303,0,97053049,tertiary,False,False,28.752,翠竹路,"LINESTRING (114.3479424 30.4812623, 114.3479794 30.4810057)",,,
1124414301,1143435738,0,97053049,tertiary,False,True,34.412,翠竹路,"LINESTRING (114.3479424 30.4812623, 114.3479347 30.4815717)",,,
1124414301,1145394689,0,99002518,residential,False,False,68.526,,"LINESTRING (114.3479424 30.4812623, 114.3472273 30.4812623)",,,
1124414303,1124414305,0,97053049,tertiary,False,False,32.195,翠竹路,"LINESTRING (114.3479794 30.4810057, 114.3480575 30.4807241)",,,
1124414303,1124414301,0,97053049,tertiary,False,True,28.752,翠竹路,"LINESTRING (114.3479794 30.4810057, 114.3479424 30.4812623)",,,
1124414303,1143435720,0,98843973,footway,False,True,22.964,,"LINESTRING (114.3479794 30.4810057, 114.3482187 30.4810166)",,,
1124414305,1124414303,0,97053049,tertiary,False,True,32.195,翠竹路,"LINESTRING (114.3480575 30.4807241, 114.3479794 30.4810057)",,,
1124414305,1145398059,0,99002907,residential,False,True,27.801,,"LINESTRING (114.3480575 30.4807241, 114.3483476 30.4807214)",,,
1124414305,1124414212,0,"[97053049, 920121540, 920121541]",tertiary,False,False,147.234,翠竹路,"LINESTRING (114.3480575 30.4807241, 114.3480695 30.4806832, 114.3480957 30.4805821, 114.3481137 30.4804745, 114.3481164 30.4803659, 114.3481084 30.4802648, 114.348075 30.4800768, 114.3478393 30.4794389)",yes,,
1124414314,1143435748,0,98842799,unclassified,False,False,30.836,松涛路,"LINESTRING (114.3489335 30.4808209, 114.3486652 30.4806678)",,,
1124414314,1145398046,0,"[97053057, 98842799]","['unclassified', 'path']",False,True,207.07,松涛路,"LINESTRING (114.3489335 30.4808209, 114.3508424 30.4808601, 114.3510882 30.4809056)",,,
1124414314,1145394708,0,"[99002516, 99002519]","['steps', 'footway']",False,False,22.139000000000003,,"LINESTRING (114.3489335 30.4808209, 114.3489153 30.4809, 114.3489032 30.481018)",,,
1124414320,1124414321,0,97053058,unclassified,False,False,85.977,,"LINESTRING (114.3487858 30.4792897, 114.3494547 30.4787744)",,,
1124414320,1143424421,0,97053058,unclassified,False,True,12.395,,"LINESTRING (114.3487858 30.4792897, 114.3486587 30.4793104)",,,
1124414320,1153929910,0,97094341,unclassified,False,True,138.514,,"LINESTRING (114.3487858 30.4792897, 114.3502311 30.4792735)",,,
1124414320,1399508825,0,126184011,cycleway,False,False,195.81899999999996,,"LINESTRING (114.3487858 30.4792897, 114.3489315 30.4793701, 114.3493553 30.4794834, 114.3493634 30.4798613, 114.3489691 30.4798971, 114.3488108 30.4800798, 114.3487575 30.4803579)",,,
1124414321,1143424420,0,97053058,unclassified,False,False,45.634,,"LINESTRING (114.3494547 30.4787744, 114.3494445 30.4783641)",,,
1124414321,1124414320,0,97053058,unclassified,False,True,85.977,,"LINESTRING (114.3494547 30.4787744, 114.3487858 30.4792897)",,,
1124414321,1157121748,0,98842993,footway,False,False,36.888,,"LINESTRING (114.3494547 30.4787744, 114.3498396 30.4787786)",,,
