element_type,osmid,amenity,geometry,bicycle_parking,covered,nodes,fee
node,1143783996,bicycle_parking,POINT (114.4044495 30.5133537),,,,
node,1143784016,bicycle_parking,POINT (114.4078182 30.5122867),,,,
node,1143784040,bicycle_parking,POINT (114.4057981 30.5118935),,,,
node,1186768313,bicycle_parking,POINT (114.4088344 30.5165042),,,,
node,1186768354,bicycle_parking,POINT (114.4057818 30.5157925),,,,
node,1186768367,bicycle_parking,POINT (114.407209 30.5159427),,,,
node,1186784614,bicycle_parking,POINT (114.4222024 30.5165989),,,,
node,1186784735,bicycle_parking,POINT (114.4216802 30.5158302),,,,
node,1194992542,bicycle_parking,POINT (114.4152707 30.5113398),,,,
node,1194992579,bicycle_parking,POINT (114.4153924 30.5120676),,,,
node,1198311669,bicycle_parking,POINT (114.4136461 30.5156168),,,,
node,1198438979,bicycle_parking,POINT (114.4272851 30.516927),,,,
node,1198438986,bicycle_parking,POINT (114.4266951 30.516786),,,,
node,1198452921,bicycle_parking,POINT (114.4206225 30.5131813),,,,
node,1260810267,bicycle_parking,POINT (114.431054 30.5157918),,,,
node,1260824450,bicycle_parking,POINT (114.4021529 30.5127467),,,,
node,1260847091,bicycle_parking,POINT (114.3990335 30.5134469),,,,
node,1260855401,bicycle_parking,POINT (114.3993366 30.5139067),,,,
node,11394531551,bicycle_parking,POINT (114.4212756 30.5148864),,,,
node,11394531552,bicycle_parking,POINT (114.4279911 30.5183926),,,,
node,11394531553,bicycle_parking,POINT (114.4276823 30.5183998),shed,,,
node,11395851453,bicycle_parking,POINT (114.4261321 30.5125708),,no,,
node,11395860770,bicycle_parking,POINT (114.4215794 30.5155807),,,,
way,103488197,bicycle_parking,"POLYGON ((114.4260836 30.5162627, 114.4260514 30.5160317, 114.4261226 30.5160155, 114.4261915 30.5159739, 114.4262309 30.5159397, 114.4262604 30.5158979, 114.4263267 30.5158902, 114.4263687 30.5162381, 114.4260836 30.5162627))",,,"[1194873180, 1194873191, 9442525970, 1194873182, 9442525969, 9441152485, 1194873188, 1194873190, 1194873180]",
way,1013143260,bicycle_parking,"POLYGON ((114.4055414 30.5156209, 114.4060643 30.515576, 114.4060494 30.5154465, 114.4055264 30.5154914, 114.4055414 30.5156209))",,,"[9347113104, 9347113103, 9347113102, 9347113101, 9347113104]",
way,1013143261,bicycle_parking,"POLYGON ((114.4062406 30.5155544, 114.40691 30.5154919, 114.406895 30.5153626, 114.4062218 30.5154227, 114.4062406 30.5155544))",,,"[9347113108, 9347113107, 9347113106, 9347113105, 9347113108]",
way,1023153584,bicycle_parking,"POLYGON ((114.4113246 30.5113663, 114.4113486 30.5115658, 114.4113588 30.5116511, 114.4119031 30.5116024, 114.4118958 30.5115414, 114.4118861 30.5114592, 114.4115791 30.5114861, 114.4115625 30.5113455, 114.4113246 30.5113663))",,,"[9435866357, 9435866353, 9435866354, 9435866351, 9435866362, 9435866350, 9435866352, 9435866356, 9435866357]",
way,1083963331,bicycle_parking,"POLYGON ((114.4033518 30.5165515, 114.4033402 30.5164528, 114.4028074 30.5164995, 114.402819 30.5165982, 114.4033518 30.5165515))",building,,"[9933320637, 9933320636, 9933320635, 9933320634, 9933320637]",no
way,1083963332,bicycle_parking,"POLYGON ((114.4021524 30.5166589, 114.4027387 30.5166075, 114.4027269 30.5165076, 114.4021406 30.516559, 114.4021524 30.5166589))",building,,"[9933320641, 9933320638, 9933320639, 9933320640, 9933320641]",no
