element_type,osmid,geometry,nodes,amenity,fee,parking,surface,access,ways,type
way,103488153,"POLYGON ((114.428292 30.5161612, 114.4282566 30.5158789, 114.4287169 30.5158357, 114.4287523 30.516118, 114.428292 30.5161612))","[1194867159, 1194867248, 1194867235, 1194867204, 1194867159]",parking,,,,,,
way,103495745,"POLYGON ((114.4024616 30.511575, 114.4025231 30.5111802, 114.4028422 30.5112195, 114.4027688 30.5116177, 114.4024616 30.511575))","[1194992590, 1194992456, 1194992507, 1194992508, 1194992590]",parking,,,,,,
way,103495759,"POLYGON ((114.4024483 30.5187752, 114.4024412 30.5186915, 114.4027511 30.5186738, 114.4027565 30.5187362, 114.4027297 30.5187546, 114.4024483 30.5187752))","[1194992514, 1194992513, 1194992523, 1194992559, 1194992481, 1194992514]",parking,,,,,,
way,103757018,"POLYGON ((114.4260999 30.512823, 114.4260908 30.5127045, 114.4262447 30.5126895, 114.4262528 30.5128101, 114.4260999 30.512823))","[1197937953, 1197937954, 1197937947, 1197937986, 1197937953]",parking,,,,,,
way,103757332,"POLYGON ((114.4316115 30.515871, 114.4316068 30.5157688, 114.4320465 30.5157136, 114.4316115 30.515871))","[1197948545, 1197948514, 1197948571, 1197948545]",parking,,,,,,
way,104635263,"POLYGON ((114.4071639 30.5146681, 114.4088064 30.5145313, 114.4088971 30.5153229, 114.4072594 30.5154693, 114.4071639 30.5146681))","[1207005227, 1207005136, 1207005249, 1207005204, 1207005227]",parking,no,surface,concrete,,,
way,105248632,"POLYGON ((114.403078 30.5109947, 114.4043146 30.5111324, 114.4042238 30.5117274, 114.4029792 30.511576, 114.403078 30.5109947))","[1206993251, 1212908171, 1212908160, 1212908157, 1206993251]",parking,,,,,,
way,110400163,"POLYGON ((114.4022222 30.5128558, 114.402272 30.5126306, 114.4023485 30.5126431, 114.4022987 30.5128684, 114.4022222 30.5128558))","[1260824451, 1260824458, 1260824460, 1260824454, 1260824451]",parking,,,,,,
way,110402945,"POLYGON ((114.3988422 30.5142482, 114.3991166 30.5142628, 114.3990254 30.5140179, 114.3987974 30.5140941, 114.3988422 30.5142482))","[1260855463, 1260855370, 1260855497, 1260855503, 1260855463]",parking,,,,,,
way,1012125574,"POLYGON ((114.4114866 30.5102397, 114.4115973 30.5102923, 114.4115616 30.5103479, 114.4116993 30.5104134, 114.4117494 30.5103352, 114.4117993 30.5103593, 114.4118832 30.5102326, 114.411961 30.510115, 114.4119749 30.5100896, 114.4119365 30.510071, 114.4119614 30.5100323, 114.4118331 30.5099726, 114.4116625 30.5099905, 114.4116132 30.510042, 114.4114866 30.5102397))","[9337684379, 9337684380, 9337684381, 9337684382, 9337684383, 9337684384, 10102900652, 10102900657, 9337684385, 9337684386, 9337684387, 9337684388, 9337684389, 9337684390, 9337684379]",parking,,,paving_stones,permissive,,
relation,13699934,"POLYGON ((114.4027022 30.5178727, 114.4023084 30.5179036, 114.4024718 30.5180588, 114.4024809 30.518151, 114.4024578 30.5181528, 114.4025046 30.5186005, 114.402776 30.5185792, 114.4027022 30.5178727), (114.4025787 30.51809, 114.4025837 30.518137, 114.4025006 30.5181435, 114.4024956 30.5180965, 114.4025787 30.51809), (114.4026085 30.5180862, 114.4026916 30.5180797, 114.4026965 30.5181268, 114.4026135 30.5181333, 114.4026085 30.5180862))","[[[9435865502, 9435865501, 9435865500, 9435865499, 9435865502], [9435865498, 9435865497, 9435865496, 9435865495, 9435865498], [1194992580, 1194992418, 9435865504, 9435865505, 9435865503, 1194992464, 1194992560, 1194992580]]]",parking,,,,,"[1023153429, 1023153428, 103495751]",multipolygon
