osmid,y,x,street_count,highway,geometry
1124414181,30.4793769,114.3502788,1,,POINT (114.3502788 30.4793769)
1124414182,30.4759987,114.3502164,4,,POINT (114.3502164 30.4759987)
1124414187,30.4760152,114.3520784,4,,POINT (114.3520784 30.4760152)
1124414212,30.4794389,114.3478393,5,,POINT (114.3478393 30.4794389)
1124414216,30.4760029,114.3475249,3,,POINT (114.3475249 30.4760029)
1124414301,30.4812623,114.3479424,3,,POINT (114.3479424 30.4812623)
1124414303,30.4810057,114.3479794,3,,POINT (114.3479794 30.4810057)
1124414305,30.4807241,114.3480575,3,,POINT (114.3480575 30.4807241)
1124414314,30.4808209,114.3489335,3,,POINT (114.3489335 30.4808209)
1124414320,30.4792897,114.3487858,4,,POINT (114.3487858 30.4792897)
1124414321,30.4787744,114.3494547,4,,POINT (114.3494547 30.4787744)
1124414324,30.478685,114.3546826,3,,POINT (114.3546826 30.478685)
1124414325,30.4760129,114.3547393,3,,POINT (114.3547393 30.4760129)
1124414329,30.4775394,114.3366809,4,,POINT (114.3366809 30.4775394)
1124470906,30.4794318,114.3464452,3,,POINT (114.3464452 30.4794318)
1124470907,30.4794236,114.3453807,3,,POINT (114.3453807 30.4794236)
1124470908,30.4783157,114.345413,3,,POINT (114.345413 30.4783157)
1124470941,30.4783285,114.3464677,3,,POINT (114.3464677 30.4783285)
1124470943,30.4735691,114.3474516,3,,POINT (114.3474516 30.4735691)
1124470957,30.4760307,114.3573522,3,,POINT (114.3573522 30.4760307)
1124470962,30.4786865,114.3564554,3,,POINT (114.3564554 30.4786865)
1124470964,30.47929,114.3581538,3,,POINT (114.3581538 30.47929)
1124470966,30.4783201,114.3531822,3,,POINT (114.3531822 30.4783201)
1124470968,30.4760035,114.3528206,4,,POINT (114.3528206 30.4760035)
1124470970,30.4735916,114.3489906,3,,POINT (114.3489906 30.4735916)
1124470971,30.4735614,114.3463249,3,,POINT (114.3463249 30.4735614)
1124470972,30.4734789,114.3440021,3,,POINT (114.3440021 30.4734789)
1124470973,30.4760001,114.3490162,3,,POINT (114.3490162 30.4760001)
1124470975,30.4734636,114.3433129,4,,POINT (114.3433129 30.4734636)
1124471008,30.4765544,114.3414001,3,,POINT (114.3414001 30.4765544)
1124851790,30.4783615,114.3492246,3,,POINT (114.3492246 30.4783615)
1124851792,30.4775385,114.349221,3,,POINT (114.349221 30.4775385)
1124851793,30.4775414,114.3502913,3,,POINT (114.3502913 30.4775414)
1124851797,30.4775409,114.3497526,3,,POINT (114.3497526 30.4775409)
1124851799,30.4759988,114.3497318,3,,POINT (114.3497318 30.4759988)
1124861508,30.4760064,114.3456411,4,,POINT (114.3456411 30.4760064)
1124861512,30.4735376,114.3456891,3,,POINT (114.3456891 30.4735376)
1124861547,30.4743129,114.3461939,1,,POINT (114.3461939 30.4743129)
1124864385,30.478705,114.3524652,4,,POINT (114.3524652 30.478705)
1125840454,30.4747156,114.352798,4,,POINT (114.352798 30.4747156)
1140522925,30.4742172,114.350977,3,,POINT (114.350977 30.4742172)
1140522932,30.4760052,114.3488474,3,,POINT (114.3488474 30.4760052)
1140522934,30.4736713,114.3523547,3,,POINT (114.3523547 30.4736713)
1140522949,30.4750326,114.358629,3,,POINT (114.358629 30.4750326)
1140522956,30.4784097,114.3593924,3,,POINT (114.3593924 30.4784097)
1140522959,30.4720786,114.3539265,3,,POINT (114.3539265 30.4720786)
1140522970,30.4711602,114.3576642,3,,POINT (114.3576642 30.4711602)
1140522989,30.476005,114.3538994,3,,POINT (114.3538994 30.476005)
1140522995,30.4742111,114.3501775,3,,POINT (114.3501775 30.4742111)
1140523010,30.4724614,114.3527256,3,,POINT (114.3527256 30.4724614)
1140523017,30.4761987,114.3597343,3,,POINT (114.3597343 30.4761987)
