element_type,osmid,amenity,geometry,nodes,parking
node,1143435734,parking,POINT (114.3471298 30.4820598),,
node,1145388006,parking,POINT (114.345688 30.4782621),,
node,1220958767,parking,POINT (114.3498281 30.4744108),,
node,1221088095,parking,POINT (114.345046 30.4782248),,
way,106045294,parking,"POLYGON ((114.344823 30.4785274, 114.3450445 30.4785312, 114.3450486 30.4783583, 114.344827 30.4783545, 114.344823 30.4785274))","[1221088143, 1221088129, 1221088136, 1221088090, 1221088143]",surface
way,106360600,parking,"POLYGON ((114.3507612 30.4821943, 114.3510442 30.4821968, 114.3510573 30.4815276, 114.3507691 30.4815228, 114.3507612 30.4821943))","[1223967341, 1223967326, 1223967206, 1223967351, 1223967341]",
way,106362007,parking,"POLYGON ((114.347985 30.4824914, 114.3481871 30.482499, 114.3481912 30.4824182, 114.3479891 30.4824106, 114.347985 30.4824914))","[1223991418, 1223991443, 1223967196, 1223967168, 1223991418]",
way,106362012,parking,"POLYGON ((114.349797 30.4818695, 114.3498031 30.4813405, 114.3498611 30.481341, 114.349855 30.48187, 114.349797 30.4818695))","[1223991413, 1223991411, 1223991441, 1223991447, 1223991413]",
way,114366254,parking,"POLYGON ((114.3478282 30.4762489, 114.347665 30.4762479, 114.347659 30.4761171, 114.3477254 30.4761168, 114.3478242 30.4761147, 114.3478282 30.4762489))","[1295647908, 1295647917, 1145375948, 1145375946, 1295647910, 1295647908]",
way,114366581,parking,"POLYGON ((114.3477199 30.4777513, 114.3477788 30.4777483, 114.3477555 30.4774107, 114.3476966 30.4774137, 114.3477199 30.4777513))","[1295648631, 1295648630, 1295648613, 1295648611, 1295648631]",
way,114367476,parking,"POLYGON ((114.3480473 30.4776399, 114.348219 30.4776376, 114.3482592 30.4776931, 114.3483504 30.4776885, 114.3484067 30.4776469, 114.3483892 30.477434, 114.3480473 30.4774458, 114.3480473 30.4776399))","[1295654213, 1295654219, 1295654223, 1295654216, 1295654217, 1145375920, 1295654221, 1295654213]",
way,126185135,parking,"POLYGON ((114.3502795 30.479512, 114.3502788 30.4793769, 114.3505395 30.4793759, 114.3505401 30.4795111, 114.3502795 30.479512))","[1399517907, 1124414181, 1399517948, 1399517981, 1399517907]",
way,126185142,parking,"POLYGON ((114.3503933 30.4786667, 114.350803 30.4786804, 114.3508045 30.4786469, 114.3503948 30.4786332, 114.3503933 30.4786667))","[1399518361, 1399518363, 1399518367, 1399518369, 1399518361]",
way,126186182,parking,"POLYGON ((114.3454243 30.4793596, 114.3460123 30.4793744, 114.3460107 30.4794224, 114.3454227 30.4794076, 114.3454243 30.4793596))","[1399524058, 1399524072, 1399524071, 1399524067, 1399524058]",
way,126186307,parking,"POLYGON ((114.3464897 30.4793711, 114.347015 30.4793851, 114.3470111 30.4794952, 114.3464858 30.4794812, 114.3464897 30.4793711))","[1399524805, 1399524810, 1399524807, 1399524806, 1399524805]",
way,126186309,parking,"POLYGON ((114.3460786 30.4793846, 114.3464149 30.4793866, 114.3464146 30.4794226, 114.3460783 30.4794206, 114.3460786 30.4793846))","[1399524809, 1399524811, 1399524808, 1399524804, 1399524809]",
way,126186977,parking,"POLYGON ((114.3395903 30.4784324, 114.3404155 30.4784224, 114.3404155 30.4783669, 114.3395867 30.4783761, 114.3395903 30.4784324))","[1399531959, 1399531972, 1399531969, 1399531973, 1399531959]",
way,126460328,parking,"POLYGON ((114.3397396 30.4801596, 114.3398619 30.4801828, 114.3398245 30.4803292, 114.3397022 30.480306, 114.3397396 30.4801596))","[1401832387, 1401832438, 1401832426, 1401832443, 1401832387]",
way,126467798,parking,"POLYGON ((114.3598919 30.4758324, 114.3597926 30.4757422, 114.3597953 30.4755319, 114.3599777 30.4754232, 114.3597953 30.4754279, 114.35979 30.4750788, 114.3601006 30.4752329, 114.3601006 30.4754848, 114.3599911 30.4755365, 114.3599402 30.4756452, 114.3599745 30.4757622, 114.3600823 30.4758255, 114.3598919 30.4758324))","[1401876209, 1401876210, 1401876219, 1401876208, 1401876197, 1401876199, 1401876198, 1401876193, 1401876215, 1401876214, 1401876203, 1401876196, 1401876209]",
way,924853615,parking,"POLYGON ((114.3438107 30.476921, 114.3444319 30.4769064, 114.3442378 30.4761911, 114.3437525 30.4762141, 114.3438107 30.476921))","[8583413292, 8583413291, 8583413290, 8583413289, 8583413292]",
