element_type,osmid,amenity,fast_food,name,geometry,cuisine,nodes,building
node,1124470894,restaurant,cafeteria,教工食堂,POINT (114.3483956 30.4795902),,,
node,1124470900,restaurant,,火锅城,POINT (114.3446071 30.4770231),hotpot,,
node,1143420674,restaurant,,,POINT (114.3504882 30.4796531),,,
node,1145387992,restaurant,,附中食堂,POINT (114.3438467 30.4788216),,,
node,1399517909,restaurant,,,POINT (114.3506267 30.4799087),,,
node,7966695530,restaurant,,呷哺呷哺,POINT (114.355626 30.478857),,,
node,7966695533,restaurant,,氧气层,POINT (114.3555188 30.4788564),,,
way,126462448,restaurant,,博园食堂,"POLYGON ((114.3558872 30.4785522, 114.355891 30.4781437, 114.3562273 30.478146, 114.3562235 30.4785546, 114.3558872 30.4785522))",,"[1401837720, 1401837704, 1401837697, 1401837712, 1401837720]",yes
way,126462758,restaurant,,清真食堂,"POLYGON ((114.3577095 30.4788973, 114.3576961 30.4787424, 114.357637 30.4786638, 114.3577631 30.4785875, 114.3578269 30.4786653, 114.3579053 30.4785436, 114.3581386 30.4786361, 114.3580716 30.4787586, 114.358085 30.4788603, 114.3580018 30.4788718, 114.3578704 30.4789666, 114.3577095 30.4788973))",,"[1401840231, 1401840214, 1401840222, 1401840223, 1401840211, 1401840210, 1401840218, 1401840206, 1401840207, 1401840205, 1401840208, 1401840231]",yes
way,126468184,restaurant,,荟园食堂,"POLYGON ((114.3565058 30.475676, 114.3563118 30.475669, 114.3562582 30.4756436, 114.356234 30.4756043, 114.3562421 30.4755511, 114.356293 30.475521, 114.356285 30.4752113, 114.3561643 30.4751073, 114.3562582 30.4750287, 114.3563333 30.4750911, 114.3565023 30.4750888, 114.3565023 30.4750356, 114.3567249 30.4750287, 114.3567171 30.4757191, 114.3565044 30.4757231, 114.3565058 30.475676))",,"[1401879217, 1401879233, 1401879271, 1401879237, 1401879215, 1401879256, 1401879244, 1401879285, 1401879209, 1401879243, 1401879289, 1401879284, 1401879281, 1401879211, 1401879264, 1401879217]",yes
way,849511859,restaurant,,桃园食堂,"POLYGON ((114.3559159 30.4736906, 114.3565424 30.4736923, 114.3565424 30.4730285, 114.3559159 30.4730285, 114.3559159 30.4736906))",,"[7925663884, 7925663885, 7925663886, 7925663887, 7925663884]",yes
way,854259593,restaurant,,梦泽园,"POLYGON ((114.3558642 30.4774724, 114.3563904 30.4774765, 114.356388 30.4773524, 114.3558642 30.4773484, 114.3558642 30.4774724))",,"[7966694352, 7966694353, 7966694354, 7966694355, 7966694352]",yes
