element_type,osmid,amenity,geometry,name,building,nodes,layer,operator,residential,healthcare,healthcare:speciality,operator:type,building:levels,tourism,brand,brand:en,brand:wikidata,brand:wikipedia,brand:zh,name:en,name:zh,operator:en,operator:wikidata,operator:wikipedia,operator:zh,shop,addr:housenumber,addr:place,height,leisure,level,sport,frequency,power,voltage,ways,type,highway
node,9366842959,,POINT (114.4075897 30.5217169),瑜伽草堂,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9366842960,,POINT (114.4131835 30.521424),喻家山微波站看护点,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,98865822,,"POLYGON ((114.4291071 30.5145306, 114.4290404 30.5139558, 114.4299661 30.5138762, 114.4300327 30.514451, 114.4291071 30.5145306))",脉冲强磁场实验室,yes,"[1143750593, 1143750567, 1143750578, 1143750550, 1143750593]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,98865824,public_building,"POLYGON ((114.4313842 30.5156983, 114.4312714 30.5147315, 114.4316513 30.5146986, 114.4316831 30.5149716, 114.4315322 30.5149846, 114.4315494 30.5151318, 114.4318914 30.5151022, 114.4319133 30.5152904, 114.4316396 30.5153141, 114.4316453 30.5153624, 114.4316166 30.515374, 114.4316311 30.5154978, 114.4320646 30.5154602, 114.4320853 30.5156376, 114.4313842 30.5156983))",工程实训中心,yes,"[1143750565, 1143750605, 1143750536, 1143750610, 1143750576, 1143750572, 1143750599, 1143750580, 1143750533, 10732676969, 10732676970, 1143750566, 1143750541, 1143750609, 1143750565]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,98865829,public_building,"POLYGON ((114.4300144 30.5149332, 114.4299886 30.5146812, 114.430686 30.5146257, 114.4307248 30.514894, 114.4310887 30.5148622, 114.4311271 30.5150795, 114.4302246 30.5151429, 114.4301958 30.514929, 114.4300144 30.5149332))",环境学院,yes,"[1143750539, 1143750584, 1143750551, 1143750579, 1143750588, 1143750595, 1143750538, 1143750597, 1143750539]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,98867867,,"POLYGON ((114.4198238 30.5138336, 114.4193345 30.5125512, 114.4197454 30.5125494, 114.4198864 30.5129236, 114.4195333 30.5129251, 114.4195873 30.513074, 114.4199351 30.5130725, 114.4199954 30.5132289, 114.4196359 30.5132304, 114.4196908 30.5133776, 114.4200515 30.5133761, 114.4201116 30.5135331, 114.4197517 30.5135346, 114.419807 30.5136779, 114.4201729 30.5136764, 114.4201728 30.5136923, 114.4203206 30.5136917, 114.4203219 30.5123535, 114.4208346 30.5123428, 114.4208342 30.5126349, 114.4203639 30.5126447, 114.4203643 30.512849, 114.42098 30.5128362, 114.4209798 30.5130328, 114.4203647 30.5130457, 114.4203652 30.5132673, 114.4210665 30.5132526, 114.4210664 30.5134371, 114.4203656 30.5134518, 114.4203658 30.5135204, 114.4208203 30.5135109, 114.4208202 30.5136728, 114.4212513 30.5136638, 114.4212511 30.5138211, 114.4208452 30.5138296, 114.420845 30.5140355, 114.4203202 30.5140465, 114.4203205 30.5137737, 114.4201736 30.5137743, 114.4201735 30.513916, 114.4199319 30.5139191, 114.4199319 30.5138342, 114.4198238 30.5138336))",武汉光电国家研究中心,yes,"[1143771031, 1143771389, 1143771231, 1143771410, 1143771396, 1143770994, 1143771320, 1143771101, 1143771334, 1143771217, 1143771097, 1143771329, 1143771295, 1143771234, 1143771294, 1143771237, 9438953502, 1143771226, 1143771163, 1143771188, 1143771145, 1143771059, 1143771181, 1143771014, 1143771117, 1143771102, 1143771061, 1143771239, 1143771190, 1143771184, 9438953498, 9438953497, 1143771159, 1143771305, 1143771346, 1143771124, 1143771066, 1143771129, 9438953499, 1143771186, 9438953501, 9438953500, 1143771031]",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,98867881,public_building,"POLYGON ((114.427219 30.5132304, 114.4272062 30.513117, 114.4274218 30.513099, 114.4274156 30.513043, 114.4282738 30.5129715, 114.42828 30.5130275, 114.4283178 30.5130243, 114.4283205 30.5130241, 114.4283332 30.5131375, 114.4283306 30.5131378, 114.427219 30.5132304))",生命科学学院,yes,"[1143771313, 1143771312, 9438953522, 9438953521, 9438953520, 9438953523, 1143771205, 9438953525, 9438953524, 1143771413, 1143771313]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,98868030,,"POLYGON ((114.4097677 30.518155, 114.4097451 30.5179679, 114.4102876 30.5179193, 114.4102521 30.5176258, 114.4112063 30.5175403, 114.411242 30.5178361, 114.4116885 30.517796, 114.4117109 30.5179809, 114.4111678 30.5180296, 114.4111488 30.5178702, 114.410377 30.5179393, 114.4103961 30.5180987, 114.4097677 30.518155))",管理学院,yes,"[1143773838, 1143773832, 9337270849, 9337270850, 9337270851, 1143773845, 1143773817, 1193915331, 9435865951, 9435865950, 9435865949, 9435865952, 1143773838]",,华中科技大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,98868568,,"POLYGON ((114.4080538 30.5167479, 114.4080317 30.5165333, 114.4084227 30.5165077, 114.4085095 30.5165065, 114.4086061 30.5165204, 114.4086831 30.5165542, 114.4087475 30.5165953, 114.4087985 30.5166388, 114.4088396 30.51669, 114.4088706 30.5167543, 114.4088824 30.5168132, 114.4089151 30.5171164, 114.408611 30.5171392, 114.408595 30.5169836, 114.4087204 30.5169742, 114.4087079 30.5168279, 114.4086869 30.5167542, 114.4086217 30.5166883, 114.4085325 30.51665, 114.4084352 30.5166406, 114.4081957 30.516657, 114.4082046 30.5167366, 114.4080538 30.5167479))",大学生活动中心,yes,"[1143780499, 1143780477, 1143780489, 9435865274, 1186768318, 9435865273, 1186768356, 9435865272, 9435865275, 9435865271, 1143780581, 1143780544, 1143780577, 1186768383, 1143780488, 1186768333, 9435865276, 1186768327, 9435865277, 1186768391, 1186768316, 1143780525, 1143780499]",,华中科技大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,98868572,public_building,"POLYGON ((114.4062677 30.5164221, 114.4062495 30.5162574, 114.4068275 30.51621, 114.4067962 30.5159263, 114.4065528 30.5159463, 114.4065647 30.5160542, 114.4062283 30.5160818, 114.4061977 30.5158054, 114.4069051 30.5157474, 114.4069538 30.5161885, 114.4069826 30.5161861, 114.407002 30.5163619, 114.4062677 30.5164221))",科技楼,yes,"[1143780494, 1186768353, 1186768324, 1186768336, 1186768329, 1186768305, 1186768332, 1143780484, 1143780541, 1186768298, 1186768393, 1143780538, 1143780494]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
