osmid,y,x,street_count,highway,geometry
1124474696,30.5153804,114.4091919,4,,POINT (114.4091919 30.5153804)
1124474698,30.51341,114.4089561,4,,POINT (114.4089561 30.51341)
1124474701,30.513187,114.4114504,4,traffic_signals,POINT (114.4114504 30.513187)
1124474703,30.5128142,114.4152243,3,,POINT (114.4152243 30.5128142)
1124474705,30.5176573,114.4156158,3,,POINT (114.4156158 30.5176573)
1124474713,30.5144121,114.4266532,3,,POINT (114.4266532 30.5144121)
1124474715,30.5116074,114.4263115,4,,POINT (114.4263115 30.5116074)
1124475186,30.5155951,114.4267924,4,,POINT (114.4267924 30.5155951)
1124475789,30.5129899,114.4133375,3,,POINT (114.4133375 30.5129899)
1124475792,30.5178087,114.4139271,3,,POINT (114.4139271 30.5178087)
1124475794,30.5113812,114.4096442,3,,POINT (114.4096442 30.5113812)
1124476633,30.5185572,114.4055772,4,,POINT (114.4055772 30.5185572)
1124476636,30.5175524,114.4054558,4,,POINT (114.4054558 30.5175524)
1124476637,30.5157339,114.4052362,6,,POINT (114.4052362 30.5157339)
1124476777,30.5155669,114.4071046,4,,POINT (114.4071046 30.5155669)
1124476778,30.5135958,114.4068772,4,,POINT (114.4068772 30.5135958)
1124476780,30.5163973,114.4224412,3,,POINT (114.4224412 30.5163973)
1124484612,30.5137638,114.4049983,4,traffic_signals,POINT (114.4049983 30.5137638)
1124484621,30.512279,114.4027264,4,,POINT (114.4027264 30.512279)
1124505152,30.5151573,114.4116882,4,,POINT (114.4116882 30.5151573)
1124505154,30.5175821,114.4285404,4,,POINT (114.4285404 30.5175821)
1124505156,30.5173097,114.4288251,3,,POINT (114.4288251 30.5173097)
1124505158,30.5161667,114.4287893,4,,POINT (114.4287893 30.5161667)
1124507245,30.5158746,114.4136802,3,,POINT (114.4136802 30.5158746)
1124507255,30.5162722,114.4092978,4,,POINT (114.4092978 30.5162722)
1124510061,30.5145838,114.4069912,4,,POINT (114.4069912 30.5145838)
1124730360,30.5160449,114.4117954,4,,POINT (114.4117954 30.5160449)
1124730362,30.5179789,114.4120288,4,traffic_signals,POINT (114.4120288 30.5179789)
