element_type,osmid,amenity,name,geometry,fast_food,cuisine,brand,brand:en,brand:wikidata,brand:zh,name:en,name:zh,nodes,building
node,1124764142,restaurant,韵苑食堂,POINT (114.426258 30.5168646),,,,,,,,,,
node,1143295801,restaurant,东园,POINT (114.430396 30.5157811),,,,,,,,,,
node,1143295802,restaurant,学生食堂,POINT (114.4261473 30.5139695),cafeteria,,,,,,,,,
node,1194992420,restaurant,百品屋,POINT (114.4011283 30.5167653),,chinese,,,,,,,,
node,1194992425,restaurant,西一食堂,POINT (114.4004015 30.5164509),cafeteria,chinese,,,,,,,,
node,1197937984,restaurant,百盛园,POINT (114.426147 30.5131005),,,,,,,,,,
node,1201503268,restaurant,,POINT (114.4249141 30.5085206),,,,,,,,,,
node,1212919497,restaurant,同味堂,POINT (114.4190615 30.5171626),,,,,,,,,,
node,1212919498,restaurant,同福堂,POINT (114.4180934 30.5172481),,,,,,,,,,
node,1212919502,restaurant,同畅堂,POINT (114.4199175 30.5168171),,,,,,,,,,
node,11395851429,restaurant,呷哺呷哺,POINT (114.4260932 30.5130067),,chinese,呷哺呷哺,Xiabuxiabu,Q10866036,呷哺呷哺,Xiabuxiabu,呷哺呷哺,,
node,11395851430,restaurant,排档江湖,POINT (114.4258943 30.5131064),,chinese,,,,,,,,
node,11395851431,restaurant,周麻婆,POINT (114.4259985 30.5131007),,chinese,,,,,,,,
node,11395851434,restaurant,氧气层,POINT (114.4259121 30.5129138),,pizza,,,,,,,,
way,103495738,restaurant,西二食堂,"POLYGON ((114.3992622 30.5164915, 114.3992829 30.5163257, 114.3993621 30.5163331, 114.3993777 30.5162074, 114.3992986 30.5162, 114.3993224 30.5160083, 114.3998157 30.5160543, 114.3998026 30.5161592, 114.3998328 30.516162, 114.3998012 30.5164156, 114.3998202 30.5164174, 114.3998072 30.5165212, 114.399732 30.5165142, 114.3997294 30.5165352, 114.3992622 30.5164915))",,,,,,,,,"[1194992543, 9435865463, 9435865461, 9435865460, 9435865462, 1194992525, 1194992450, 9435865459, 9435865458, 9435865467, 9435865466, 1194992438, 9435865464, 9435865465, 1194992543]",yes
way,103495763,restaurant,百景园餐厅,"POLYGON ((114.4018802 30.5186521, 114.4018161 30.5180604, 114.4021825 30.5180307, 114.402171 30.5179249, 114.4022495 30.5179185, 114.4022583 30.5179997, 114.4023043 30.5180024, 114.4023418 30.5180178, 114.4023725 30.5180411, 114.4023863 30.5180768, 114.4024625 30.5180706, 114.4024693 30.5181338, 114.4023337 30.5181448, 114.4023408 30.5182099, 114.4024191 30.5182035, 114.4024369 30.5183684, 114.4024574 30.5183667, 114.40247 30.5184833, 114.4024788 30.5184826, 114.4024918 30.5186024, 114.4018802 30.5186521))",,,,,,,,,"[1194992455, 1194992485, 1194992454, 1194992367, 1194992496, 1194992473, 9435865507, 1194992444, 9435865506, 1194992440, 9435865514, 1194992603, 1194992497, 9435865508, 9435865509, 9435865511, 9435865510, 9435865513, 9435865512, 1194992466, 1194992455]",yes
way,103757333,restaurant,东教工食堂,"POLYGON ((114.4266856 30.5092122, 114.4266976 30.5093165, 114.4268943 30.5092995, 114.4268625 30.5090233, 114.4265141 30.5090535, 114.4265061 30.5089817, 114.4261488 30.5090115, 114.4261925 30.5094045, 114.4264667 30.5093816, 114.4264501 30.5092323, 114.4265332 30.5092253, 114.4266856 30.5092122))",,,,,,,,,"[9439385782, 9439385781, 1203939644, 1203939659, 9439385779, 1197948574, 1197948528, 9439385780, 1197948590, 9439385777, 9439385778, 9439385782]",yes
way,103798076,restaurant,东三食堂,"POLYGON ((114.4145046 30.5134108, 114.4144666 30.5130677, 114.41496 30.5130268, 114.414998 30.5133699, 114.4145046 30.5134108))",,,,,,,,,"[1198293564, 1198293574, 1198293581, 1198293570, 1198293564]",yes
