u,v,key,osmid,highway,oneway,reversed,length,lanes,name,maxspeed,geometry,service
690140941,3162474195,0,310762332,living_street,False,False,66.299,,,,"LINESTRING (112.9393556 28.1801593, 112.940032 28.1801554)",
690140941,3444498153,0,751872167,secondary,True,False,49.389,2,麓山南路,40,"LINESTRING (112.9393556 28.1801593, 112.9392399 28.1805916)",
690140943,2774498601,0,272516783,footway,False,False,197.71699999999998,,,,"LINESTRING (112.939036 28.182496, 112.9397267 28.1825063, 112.9399012 28.1825413, 112.9410479 28.1825792)",
690140943,690140946,0,"[1030935837, 751872167]",secondary,True,False,244.15,2,麓山南路,40,"LINESTRING (112.939036 28.182496, 112.9390292 28.1826562, 112.9390307 28.1827055, 112.9390461 28.1827508, 112.9390766 28.1827878, 112.939123 28.182813, 112.9391929 28.1828339, 112.9392867 28.1828382, 112.9412106 28.182771)",
690140946,11397564487,0,272516778,living_street,False,True,58.185,,教学1号,,"LINESTRING (112.9412106 28.182771, 112.9412519 28.182249)",
690140946,9503035972,0,1030978613,secondary,True,False,6.542,,牌楼路,,"LINESTRING (112.9412106 28.182771, 112.9412773 28.1827688)",
941382240,3442441950,0,272516793,living_street,False,False,32.139,,,,"LINESTRING (112.9387766 28.1833332, 112.938449 28.1833207)",
941382240,3130911902,0,307858644,living_street,False,False,62.836,,,,"LINESTRING (112.9387766 28.1833332, 112.9389681 28.1827939)",
941382240,3202641520,0,314215551,footway,False,False,10.111,,,,"LINESTRING (112.9387766 28.1833332, 112.9388147 28.1834177)",
2760610629,3933408820,0,390178154,living_street,False,False,73.358,,,,"LINESTRING (112.9447341 28.1861554, 112.9454557 28.1863306)",
2760610629,7715430488,0,826353703,living_street,False,False,138.177,2,桃子湖路2,,"LINESTRING (112.9447341 28.1861554, 112.9446837 28.1861001, 112.9446663 28.1860528, 112.9446717 28.1859913, 112.944732 28.1858377, 112.9448107 28.1856373, 112.9448214 28.1855611, 112.9448247 28.1853114, 112.9448285 28.1849522)",
2760610633,3933733948,0,390211658,living_street,False,True,109.236,,,,"LINESTRING (112.9451427 28.184695, 112.9452005 28.1847206, 112.9454518 28.1847206, 112.9454748 28.1851245, 112.9454681 28.1854239)",
2760610633,7715430488,0,826353704,living_street,False,True,43.556999999999995,2,桃子湖路3,,"LINESTRING (112.9451427 28.184695, 112.9450828 28.1847195, 112.944966 28.1847936, 112.9448625 28.1848732, 112.9448439 28.1848981, 112.9448285 28.1849522)",
2760610633,7715430504,0,826353705,footway,False,False,199.73600000000005,2,桃子湖路4,,"LINESTRING (112.9451427 28.184695, 112.945161 28.1846208, 112.945161 28.1845527, 112.945163 28.1844377, 112.9451764 28.1842566, 112.9452106 28.1840405, 112.945216 28.183985, 112.9451798 28.1838869, 112.9451114 28.1837474, 112.9450693 28.1836404, 112.9450436 28.1835663, 112.9450442 28.1831339, 112.9450345 28.1829305)",
2774498567,3442440888,0,337142409,footway,False,False,72.57,,,,"LINESTRING (112.939067 28.1818844, 112.9398074 28.1818811)",
2774498567,11397564485,0,751872167,secondary,True,False,5.38,2,麓山南路,40,"LINESTRING (112.939067 28.1818844, 112.9390638 28.1819327)",
2774498581,2774498603,0,272516778,living_street,False,False,78.786,,教学1号,,"LINESTRING (112.9391384 28.1811544, 112.9399422 28.1811602)",
2774498581,3626960632,0,751872167,secondary,True,False,32.311,2,麓山南路,40,"LINESTRING (112.9391384 28.1811544, 112.9391161 28.1812999, 112.9391018 28.1814431)",
2774498582,3442632918,0,272516778,living_street,False,False,70.242,,教学1号,,"LINESTRING (112.9412916 28.1811461, 112.9412891 28.1817778)",
2774498582,9577039160,0,337163085,living_street,False,False,44.396,,,,"LINESTRING (112.9412916 28.1811461, 112.9417445 28.1811399)",
2774498582,3162474193,0,272516778,living_street,False,True,81.036,,教学1号,,"LINESTRING (112.9412916 28.1811461, 112.9405217 28.1811643, 112.9404651 28.1811639)",
2774498601,690140943,0,272516783,footway,False,True,197.71699999999998,,,,"LINESTRING (112.9410479 28.1825792, 112.9399012 28.1825413, 112.9397267 28.1825063, 112.939036 28.182496)",
2774498603,3162474194,0,272516778,living_street,False,False,8.096,,教学1号,,"LINESTRING (112.9399422 28.1811602, 112.9400248 28.1811608)",
2774498603,2774498581,0,272516778,living_street,False,True,78.786,,教学1号,,"LINESTRING (112.9399422 28.1811602, 112.9391384 28.1811544)",
2774498603,3442440888,0,272516785,footway,False,True,87.04599999999999,,,,"LINESTRING (112.9399422 28.1811602, 112.9397876 28.1814924, 112.939767 28.1817163, 112.939809 28.1817191, 112.9398074 28.1818811)",
2774498606,2774498635,0,272516793,living_street,False,True,104.59,,,,"LINESTRING (112.9378803 28.1844592, 112.9368454 28.1842298)",
2774498606,2774498611,0,272516795,living_street,False,True,35.442,,,,"LINESTRING (112.9378803 28.1844592, 112.9378698 28.1841406)",
2774498606,8952923392,0,272516792,path,False,True,56.701,,,,"LINESTRING (112.9378803 28.1844592, 112.9378653 28.1845556, 112.9378264 28.1846289, 112.9377137 28.1847577, 112.9375488 28.184844)",
2774498606,2774498639,0,272516793,living_street,False,False,143.562,,,,"LINESTRING (112.9378803 28.1844592, 112.9387543 28.1845985, 112.9393308 28.1845903)",
2774498609,2774498619,0,272516787,living_street,False,False,43.88,,,,"LINESTRING (112.9381497 28.1833093, 112.9380662 28.183697)",
2774498609,3287267941,0,272516793,living_street,False,False,17.677,,,,"LINESTRING (112.9381497 28.1833093, 112.9379695 28.1833028)",
2774498609,3442441950,0,272516793,living_street,False,True,29.362,,,,"LINESTRING (112.9381497 28.1833093, 112.938449 28.1833207)",
2774498611,2774498619,0,272516787,living_street,False,True,52.949,,,,"LINESTRING (112.9378698 28.1841406, 112.9380662 28.183697)",
