osmid,y,x,street_count,highway,geometry
690140941,28.1801593,112.9393556,3,,POINT (112.9393556 28.1801593)
690140943,28.182496,112.939036,3,,POINT (112.939036 28.182496)
690140946,28.182771,112.9412106,4,,POINT (112.9412106 28.182771)
941382240,28.1833332,112.9387766,3,,POINT (112.9387766 28.1833332)
2760610629,28.1861554,112.9447341,3,,POINT (112.9447341 28.1861554)
2760610633,28.184695,112.9451427,3,,POINT (112.9451427 28.184695)
2774498567,28.1818844,112.939067,3,,POINT (112.939067 28.1818844)
2774498581,28.1811544,112.9391384,3,,POINT (112.9391384 28.1811544)
2774498582,28.1811461,112.9412916,3,,POINT (112.9412916 28.1811461)
2774498601,28.1825792,112.9410479,1,,POINT (112.9410479 28.1825792)
2774498603,28.1811602,112.9399422,3,,POINT (112.9399422 28.1811602)
2774498606,28.1844592,112.9378803,4,,POINT (112.9378803 28.1844592)
2774498609,28.1833093,112.9381497,3,,POINT (112.9381497 28.1833093)
2774498611,28.1841406,112.9378698,3,,POINT (112.9378698 28.1841406)
2774498619,28.183697,112.9380662,3,,POINT (112.9380662 28.183697)
2774498621,28.1837388,112.938584,1,,POINT (112.938584 28.1837388)
2774498635,28.1842298,112.9368454,3,,POINT (112.9368454 28.1842298)
2774498637,28.183279,112.9373131,3,,POINT (112.9373131 28.183279)
2774498639,28.1845903,112.9393308,4,,POINT (112.9393308 28.1845903)
2774498640,28.1846313,112.9403351,3,,POINT (112.9403351 28.1846313)
2774498645,28.1841887,112.939294,3,,POINT (112.939294 28.1841887)
3130911902,28.1827939,112.9389681,4,,POINT (112.9389681 28.1827939)
3162474193,28.1811639,112.9404651,3,,POINT (112.9404651 28.1811639)
3162474194,28.1811608,112.9400248,3,,POINT (112.9400248 28.1811608)
3162474195,28.1801554,112.940032,4,,POINT (112.940032 28.1801554)
3202641520,28.1834177,112.9388147,1,,POINT (112.9388147 28.1834177)
3287267941,28.1833028,112.9379695,3,,POINT (112.9379695 28.1833028)
3287267942,28.1826203,112.938039,3,,POINT (112.938039 28.1826203)
3442440888,28.1818811,112.9398074,3,,POINT (112.9398074 28.1818811)
3442441950,28.1833207,112.938449,3,,POINT (112.938449 28.1833207)
3442441951,28.1837267,112.9384344,4,,POINT (112.9384344 28.1837267)
3442441952,28.1839975,112.9383989,1,,POINT (112.9383989 28.1839975)
3442442029,28.1834686,112.9364056,3,,POINT (112.9364056 28.1834686)
3442442040,28.1817865,112.936733,4,,POINT (112.936733 28.1817865)
3442442041,28.1818736,112.9405314,3,,POINT (112.9405314 28.1818736)
3442629034,28.1788935,112.9411139,3,,POINT (112.9411139 28.1788935)
3442629035,28.1791253,112.9411568,3,,POINT (112.9411568 28.1791253)
3442632918,28.1817778,112.9412891,3,,POINT (112.9412891 28.1817778)
3442632919,28.1818008,112.9434012,3,,POINT (112.9434012 28.1818008)
3444498150,28.1824917,112.9377848,3,,POINT (112.9377848 28.1824917)
3444498153,28.1805916,112.9392399,3,,POINT (112.9392399 28.1805916)
3464569130,28.1843215,112.9364197,3,,POINT (112.9364197 28.1843215)
3464569134,28.1849423,112.9364467,1,,POINT (112.9364467 28.1849423)
3464569136,28.1817818,112.9420954,3,,POINT (112.9420954 28.1817818)
3464569137,28.181135,112.9421005,3,,POINT (112.9421005 28.181135)
3464569150,28.1815337,112.9390933,3,,POINT (112.9390933 28.1815337)
3464569152,28.1819658,112.9385811,3,,POINT (112.9385811 28.1819658)
3464569153,28.1817372,112.9385314,3,,POINT (112.9385314 28.1817372)
3464569155,28.1816754,112.9388013,3,,POINT (112.9388013 28.1816754)
3464569156,28.1818025,112.9387049,3,,POINT (112.9387049 28.1818025)
3464569157,28.1814493,112.9385576,4,,POINT (112.9385576 28.1814493)
3464569162,28.1816444,112.9353363,1,,POINT (112.9353363 28.1816444)
3626960628,28.1811327,112.9424176,3,,POINT (112.9424176 28.1811327)
3626960631,28.1819851,112.9390603,3,,POINT (112.9390603 28.1819851)
3626960632,28.1814431,112.9391018,3,,POINT (112.9391018 28.1814431)
3626960633,28.1814414,112.937769,3,,POINT (112.937769 28.1814414)
3640713119,28.1829153,112.9392171,3,,POINT (112.9392171 28.1829153)
3933408820,28.1863306,112.9454557,3,,POINT (112.9454557 28.1863306)
3933454230,28.1862009,112.9456459,3,,POINT (112.9456459 28.1862009)
3933454234,28.1848787,112.9459324,3,,POINT (112.9459324 28.1848787)
3933454236,28.1845111,112.9458922,3,,POINT (112.9458922 28.1845111)
3933454237,28.1839404,112.945796,3,,POINT (112.945796 28.1839404)
3933733943,28.1856003,112.9454642,1,,POINT (112.9454642 28.1856003)
3933733947,28.1856153,112.9457073,3,,POINT (112.9457073 28.1856153)
3933733948,28.1854239,112.9454681,3,,POINT (112.9454681 28.1854239)
6050997046,28.1817422,112.9386806,4,,POINT (112.9386806 28.1817422)
6050997047,28.1817434,112.9387497,4,,POINT (112.9387497 28.1817434)
7715430488,28.1849522,112.9448285,3,,POINT (112.9448285 28.1849522)
7715430504,28.1829305,112.9450345,3,,POINT (112.9450345 28.1829305)
8952923392,28.184844,112.9375488,1,,POINT (112.9375488 28.184844)
9065877685,28.1828636,112.941215,4,,POINT (112.941215 28.1828636)
9066188894,28.1848474,112.9441298,1,,POINT (112.9441298 28.1848474)
9441043048,28.1805822,112.9391922,4,,POINT (112.9391922 28.1805822)
9441043052,28.1814438,112.9390408,4,,POINT (112.9390408 28.1814438)
9441043055,28.1819827,112.9390005,4,,POINT (112.9390005 28.1819827)
9441043056,28.18154,112.9390336,4,crossing,POINT (112.9390336 28.18154)
9502823540,28.1828884,112.9403896,3,,POINT (112.9403896 28.1828884)
9502823542,28.1828637,112.9412767,4,,POINT (112.9412767 28.1828637)
9502823543,28.1826838,112.9433793,3,,POINT (112.9433793 28.1826838)
9503035972,28.1827688,112.9412773,3,,POINT (112.9412773 28.1827688)
9503035973,28.1830565,112.9412178,3,,POINT (112.9412178 28.1830565)
9503035978,28.18287,112.9410029,3,,POINT (112.9410029 28.18287)
9503035979,28.1828562,112.94147,3,,POINT (112.94147 28.1828562)
9503035984,28.1830535,112.9412796,3,,POINT (112.9412796 28.1830535)
9577039158,28.1798635,112.9417297,3,,POINT (112.9417297 28.1798635)
9577039160,28.1811399,112.9417445,3,,POINT (112.9417445 28.1811399)
10131728012,28.1851433,112.9392663,3,,POINT (112.9392663 28.1851433)
10131728016,28.1846062,112.941241,3,,POINT (112.941241 28.1846062)
11397544311,28.182687,112.9450378,3,,POINT (112.9450378 28.182687)
11397550346,28.1827236,112.9443905,3,,POINT (112.9443905 28.1827236)
11397564369,28.1737951,112.9404039,3,,POINT (112.9404039 28.1737951)
11397564372,28.1740299,112.9403844,3,,POINT (112.9403844 28.1740299)
11397564377,28.1760034,112.9409146,3,,POINT (112.9409146 28.1760034)
11397564403,28.174068,112.9392739,3,,POINT (112.9392739 28.174068)
11397564410,28.1724343,112.9397283,3,,POINT (112.9397283 28.1724343)
11397564412,28.1727222,112.939552,3,,POINT (112.939552 28.1727222)
11397564413,28.173431,112.9407055,3,,POINT (112.9407055 28.173431)
11397564414,28.1730972,112.9393442,3,,POINT (112.9393442 28.1730972)
11397564416,28.1764969,112.9401687,3,,POINT (112.9401687 28.1764969)
11397564424,28.1769613,112.9402217,3,,POINT (112.9402217 28.1769613)
11397564428,28.1769588,112.9410939,3,,POINT (112.9410939 28.1769588)
11397564443,28.178002,112.9411004,3,,POINT (112.9411004 28.178002)
11397564460,28.1751596,112.9408447,3,,POINT (112.9408447 28.1751596)
11397564467,28.1790733,112.9411472,3,,POINT (112.9411472 28.1790733)
11397564468,28.1790746,112.9405343,4,,POINT (112.9405343 28.1790746)
11397564470,28.1791223,112.9400439,3,,POINT (112.9400439 28.1791223)
11397564471,28.179119,112.9398403,1,,POINT (112.9398403 28.179119)
11397564472,28.1788952,112.9405301,3,,POINT (112.9405301 28.1788952)
11397564475,28.1797981,112.9417276,3,,POINT (112.9417276 28.1797981)
11397564476,28.1797955,112.941186,4,,POINT (112.941186 28.1797955)
11397564477,28.1805621,112.9412311,1,,POINT (112.9412311 28.1805621)
11397564478,28.1806344,112.9417386,3,,POINT (112.9417386 28.1806344)
11397564479,28.1806416,112.9424302,3,,POINT (112.9424302 28.1806416)
11397564484,28.1816326,112.940537,1,,POINT (112.940537 28.1816326)
11397564485,28.1819327,112.9390638,3,,POINT (112.9390638 28.1819327)
11397564486,28.1819407,112.9397732,1,,POINT (112.9397732 28.1819407)
11397564487,28.182249,112.9412519,3,,POINT (112.9412519 28.182249)
