element_type,osmid,access,amenity,bicycle_parking,capacity,covered,fee,name,operator,operator:type,geometry
node,245811393,private,bicycle_parking,stands,240,no,no,Blackett,Imperial College London,private,POINT (-0.1794194 51.4992577)
node,1258483054,private,bicycle_parking,building,590,yes,no,Faculty Building,Imperial College London,private,POINT (-0.1759712 51.4986588)
node,4806742533,,bicycle_parking,stands,144,no,no,,Imperial College London,,POINT (-0.1759489 51.4978921)
node,6279965563,private,bicycle_parking,anchors,32,yes,no,Beit Quadrangle,Imperial College London,,POINT (-0.1782417 51.5000552)
node,6523966481,,bicycle_parking,stands,16,no,,,,,POINT (-0.1778547 51.4997371)
node,6523991038,,bicycle_parking,stands,8,no,,,,,POINT (-0.1778356 51.4998572)
node,6524005136,,bicycle_parking,stands,30,no,,,,,POINT (-0.1766303 51.4979037)
node,6558358715,,bicycle_parking,two-tier,142,no,,,,,POINT (-0.1757434 51.49863)
node,6561682294,,bicycle_parking,stands,60,no,,,,,POINT (-0.1754368 51.4988587)
node,6570736885,,bicycle_parking,two-tier,8,yes,no,,,,POINT (-0.1761612 51.498565)
node,6570736985,,bicycle_parking,stands,52,no,no,,,,POINT (-0.1760524 51.4986496)
node,6575233985,,bicycle_parking,stands,36,no,no,,,,POINT (-0.1784529 51.4974319)
node,6981269675,,bicycle_parking,shed,10,yes,,,Imperial College London,,POINT (-0.1760087 51.4986795)
node,7266538110,private,bicycle_parking,anchors,32,yes,no,Beit Quadrangle,Imperial College London,,POINT (-0.1779831 51.5000704)
node,7650201187,,bicycle_parking,stands,24,no,,,,,POINT (-0.1737824 51.4998775)
node,7933770404,,bicycle_parking,,,,,,,,POINT (-0.1754266 51.4978946)
