element_type,osmid,geometry,amenity,fee,name,operator,operator:type,wheelchair,layer,nodes,addr:housename,addr:street,building,building:levels,wikidata,wikimedia_commons,wikipedia,addr:city,architect,architect:wikidata,deanery,denomination,diocese,heritage,heritage:operator,heritage:website,inscription_date,listed_status,ref:GB:nhle,religion,year_of_construction,changing_table,changing_table:location,check_date,name:de,name:en,name:es,name:fr,name:he,name:it,name:uk,opening_hours,roof:levels,roof:shape,toilets:wheelchair,tourism,website,addr:housenumber,addr:postcode,description,office,start_date,internet_access,alt_name,source,fixme,int_name,leisure,addr:country,theatre:genre,smoking,height,old_name,ref:dove,tower:type,ways,name_1,type
way,6143074,"POLYGON ((-0.1787445 51.4996484, -0.1787406 51.4996268, -0.178729 51.4995732, -0.1787168 51.4995162, -0.1790121 51.4994931, -0.1790043 51.4994547, -0.1789499 51.499169, -0.1792149 51.4991479, -0.1792777 51.4994384, -0.1793775 51.4994284, -0.1795957 51.4994108, -0.1796068 51.4994097, -0.1796387 51.4995759, -0.1792049 51.499609, -0.1787445 51.4996484))",,,Blackett Laboratory,,,,,"[50826669, 7370281003, 7370281004, 304884730, 304884737, 6731316343, 304884740, 304884742, 304884734, 10738032122, 10738032119, 304884732, 50826670, 3358814593, 50826669]",Blackett Laboratory,Prince Consort Road,university,6,Q29025019,Category:Blackett Laboratory,en:Blackett Laboratory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,27765401,"POLYGON ((-0.1789679 51.5001109, -0.1789607 51.5000617, -0.179027 51.500058, -0.1789914 51.4998313, -0.17864 51.4998568, -0.1786512 51.4999344, -0.1786948 51.5002971, -0.1787908 51.5002928, -0.1787863 51.5002544, -0.1789153 51.5001581, -0.1789089 51.5001143, -0.1789679 51.5001109))",place_of_worship,,Holy Trinity,,,,,"[304884719, 6048085808, 304884722, 292162126, 292162519, 6048063166, 304884726, 304884729, 304884725, 6048085809, 304884718, 304884719]",,Prince Consort Road,church,,Q5886589,,"en:Holy Trinity Church, South Kensington",London,George Frederick Bodley,Q966448,Deanery of Westminster (St. Margaret),anglican,Diocese of London,2,Historic England,https://historicengland.org.uk/listing/the-list/list-entry/1265499,1958-02-24,Grade I,1265499,christian,1901 - 1907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,27765411,"POLYGON ((-0.1782508 51.4969551, -0.1783304 51.4973377, -0.1774457 51.4974091, -0.1774179 51.4972757, -0.1773178 51.4972838, -0.1772981 51.4973143, -0.1772824 51.4973195, -0.1772599 51.4973231, -0.177235 51.4973194, -0.17721 51.4973077, -0.1771932 51.4972938, -0.1761287 51.4973739, -0.1761251 51.4973871, -0.1761155 51.4974011, -0.1760955 51.4974093, -0.1760714 51.4974107, -0.1760503 51.4974059, -0.1760178 51.4973845, -0.1760123 51.4973559, -0.175827 51.4973698, -0.1758227 51.4973475, -0.1751819 51.4973954, -0.1751959 51.4974677, -0.1750919 51.4974755, -0.1751339 51.4976935, -0.17499 51.4977042, -0.1748759 51.4977128, -0.1747831 51.4977197, -0.1744294 51.4977462, -0.1744445 51.4978245, -0.1742478 51.4978392, -0.1742334 51.4977643, -0.1742249 51.4977207, -0.1741919 51.4975494, -0.1741395 51.4972776, -0.1741311 51.4972343, -0.1741603 51.4972322, -0.1745387 51.4972049, -0.1746505 51.4971967, -0.174746 51.4971883, -0.1747432 51.4971734, -0.1751563 51.4971426, -0.1751594 51.4971585, -0.1756742 51.4971201, -0.1756801 51.4971513, -0.1759787 51.4971291, -0.1759739 51.4971043, -0.1759935 51.4970938, -0.1760401 51.4970902, -0.1760726 51.4970941, -0.1760665 51.4970639, -0.1760619 51.4970416, -0.1761316 51.4970368, -0.1761422 51.4970889, -0.1766486 51.4970492, -0.1770746 51.497015, -0.1772007 51.4970056, -0.1772185 51.4970042, -0.1772449 51.497008, -0.1772581 51.4970241, -0.177363 51.4970156, -0.1773604 51.497003, -0.1777458 51.496972, -0.1777507 51.4969955, -0.1782508 51.4969551))",,no,Science Museum,,,limited,,"[807945751, 304884794, 304884795, 304884793, 7934792267, 7934792270, 7934792272, 7934792271, 7934792269, 7934792268, 1141096745, 1141096779, 7934792275, 7934792277, 7934792279, 7934792278, 7934792276, 7934792274, 7934792273, 7934792280, 7934792281, 1141096812, 1141096696, 304884796, 304884797, 7933770412, 7933770413, 1141096754, 7933770415, 1141096788, 7933770416, 8014249400, 8014249399, 6067140588, 4584037476, 32052017, 8014230175, 1347057739, 1347057733, 7934792283, 7934792284, 7934809585, 7934792282, 7934809587, 7934809586, 7934809592, 7934809591, 7934809590, 7934809589, 7934809588, 7934809604, 7934809613, 7934809614, 1141096756, 7934809605, 7934809602, 7934809603, 7934809594, 7934809595, 7934809596, 7934809597, 7934809593, 6705384910, 7934809598, 807945751]",Science Museum,,public,3,Q674773,,"en:Science Museum, London",,,,,,,,,,,,,,,yes,wheelchair_toilet,2022-09-18,Wissenschaftsmuseum,Science Museum,Museo de Ciencias,Musée de la science,מוזיאון המדע,Museo della scienza,Музей науки,Mo-Su 10:00-18:00,2,quadruple_saltbox,yes,museum,https://www.sciencemuseum.org.uk/,,,,,,,,,,,,,,,,,,,,,
way,98631141,"POLYGON ((-0.1743004 51.4980603, -0.1742755 51.4979301, -0.1742478 51.4978392, -0.1744445 51.4978245, -0.1744294 51.4977462, -0.1747831 51.4977197, -0.1748323 51.4980061, -0.174837 51.4980206, -0.1746192 51.4980367, -0.1743004 51.4980603))",,,Dyson School of Design Engineering,,,,,"[1141096723, 6282911955, 7933770416, 1141096788, 7933770415, 1141096754, 7933770418, 1141096803, 6282911956, 1141096723]",Dyson School of Design Engineering,Exhibition Road,university,4,Q89408233,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
way,102050789,"POLYGON ((-0.1784995 51.4996539, -0.1784892 51.4995956, -0.1784822 51.4995564, -0.1784788 51.4995369, -0.1783612 51.499545, -0.1783188 51.4992153, -0.1782786 51.499217, -0.1781824 51.4992233, -0.1780549 51.4992318, -0.1780653 51.4992926, -0.1779556 51.4992999, -0.177994 51.4995232, -0.1779986 51.4995539, -0.1778592 51.499562, -0.1777328 51.4995697, -0.1777539 51.4997032, -0.1780888 51.4996829, -0.1784995 51.4996539))",,,Roderic Hill Building,,,,,"[7369577094, 7370281000, 7370281001, 1178179405, 1178179404, 1258482997, 6037519346, 6037519345, 1178179411, 6037519362, 6037519363, 3781148039, 1178179406, 3781148040, 1347057732, 1178179427, 3358814594, 7369577094]",Roderic Hill Building,Prince Consort Road,university,6,Q89421950,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,flat,,,,,,,,,,,,,,,,,,,,,,,,
way,109577446,"POLYGON ((-0.1721346 51.5001777, -0.1721215 51.5001225, -0.1720643 51.5001273, -0.1720388 51.5001295, -0.1720275 51.50008, -0.1718161 51.5000986, -0.1718224 51.500126, -0.1718082 51.5001293, -0.1718015 51.5001402, -0.1717988 51.500151, -0.1718095 51.5001586, -0.1718279 51.5001657, -0.1718402 51.5002202, -0.1720638 51.5002005, -0.1720601 51.5001843, -0.1721346 51.5001777))",,,Weeks Hall,,,,,"[1254038288, 7368794552, 11214898470, 1254038313, 1254038304, 1254038303, 1254038311, 1254038293, 1254038312, 1254038309, 1254038289, 1254038301, 1254038310, 1254038297, 1254038285, 1254038288]",Weeks Hall,Princes Gardens,university,10,,,,London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16-18,SW7 1NE,,,,,,,,,,,,,,,,,,,
way,110085213,"POLYGON ((-0.1789629 51.4979416, -0.1793307 51.497914, -0.1793416 51.4979704, -0.1793545 51.4980372, -0.1789862 51.4980613, -0.1789629 51.4979416))",,,Rector's Residence,,,,,"[1258483163, 1258483020, 1258483307, 1258483189, 1270123341, 1258483163]",,Queen's Gate,house,3,Q17549860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,,,,,,,,,,,,,,,,,,,,
way,110085215,"POLYGON ((-0.1746807 51.4998884, -0.1745883 51.4994939, -0.174928 51.4994629, -0.1749759 51.4994592, -0.1750199 51.4996758, -0.1755355 51.4996352, -0.1755921 51.4996306, -0.1756016 51.4996771, -0.1763885 51.4996144, -0.1763954 51.499648, -0.176659 51.4996317, -0.1766782 51.4997301, -0.1746807 51.4998884))",,,Royal School of Mines,,,,,"[1258483037, 1258483004, 6037519322, 6037519324, 1258483235, 6037519326, 1258483083, 6037519327, 6037519328, 6037519329, 1258483119, 4724062976, 1258483037]",Goldsmiths Building,Prince Consort Road,university,3,Q1508631,,en:Royal School of Mines,,,,,,,,,,,,,,,,,,,,,,,,,,1,quadruple_saltbox,,,,,,,,,,,,,,,,,,,,,,,,
way,110085216,"POLYGON ((-0.1744922 51.4991571, -0.1748561 51.49913, -0.174825 51.4989678, -0.1744611 51.4989949, -0.1744788 51.4990873, -0.1744922 51.4991571))",,,Imperial College Main Entrance,,,yes,,"[1258483209, 1258483246, 7865495709, 7865495708, 2609483561, 1258483209]",,Exhibition Road,university,,,,,London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,110085217,"POLYGON ((-0.1751211 51.4993405, -0.1754099 51.4993183, -0.1755999 51.4993037, -0.1762875 51.49925, -0.1765676 51.499229, -0.1765791 51.4992568, -0.1765808 51.4992702, -0.176659 51.4996317, -0.1763954 51.499648, -0.1763885 51.4996144, -0.1756016 51.4996771, -0.1755921 51.4996306, -0.1755355 51.4996352, -0.1754955 51.4994441, -0.175431 51.4994493, -0.1751475 51.4994723, -0.1751211 51.4993405))",,,Bessemer Building,,,,,"[1258483291, 6524005150, 6705384904, 1258483039, 1258483035, 6037519337, 6037519338, 1258483119, 6037519329, 6037519328, 6037519327, 1258483083, 6037519326, 6037519325, 6247030343, 6037519323, 1258483291]",Bessemer Building,,university,7,Q105116699,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
