u,v,key,osmid,lanes,name,highway,maxspeed,oneway,reversed,length,access,geometry,tunnel,bridge,service
25473586,7652058104,0,2693172,2,Exhibition Road,living_street,20 mph,False,False,54.996,,"LINESTRING (-0.1741403 51.4986192, -0.1742332 51.4991104)",,,
25473586,1108317716,0,8392342,,Watt's Way,service,20 mph,False,False,43.745,destination,"LINESTRING (-0.1741403 51.4986192, -0.1735129 51.4986663)",,,
26389375,7652058102,0,2693172,2,Exhibition Road,living_street,20 mph,False,True,56.527,,"LINESTRING (-0.1743629 51.4997905, -0.1742664 51.4992857)",,,
26389375,1770239303,0,23106603,2,Prince's Gardens,residential,20 mph,False,False,36.669,,"LINESTRING (-0.1743629 51.4997905, -0.17418 51.4998065, -0.1738382 51.4998359)",,,
26389424,8357438374,0,367135153,,Imperial College Road,service,10 mph,False,False,54.727,destination,"LINESTRING (-0.1764731 51.4980021, -0.1756877 51.4980584)",,,
26389424,7371864280,0,716597961,,Dangoor Plaza,service,10 mph,False,True,27.864,destination,"LINESTRING (-0.1764731 51.4980021, -0.1764943 51.4981013, -0.1765261 51.4982505)",,,
26389424,9412674892,0,1213090896,,Imperial College Road,pedestrian,10 mph,False,True,21.512,destination,"LINESTRING (-0.1764731 51.4980021, -0.1767399 51.4979809, -0.1767814 51.4979778)",,,
26389452,7371559443,0,701295397,,Dangoor Plaza,pedestrian,,False,False,67.22,,"LINESTRING (-0.1779028 51.4984953, -0.176938 51.4985639)",,,
26389452,6584208468,0,4407475,,Dangoor Plaza,pedestrian,,False,True,12.837,,"LINESTRING (-0.1779028 51.4984953, -0.1778905 51.4984266, -0.1778852 51.4983859, -0.1778764 51.4983863)",,,
26389452,6524005142,0,"[701097801, 788462334]",,,footway,,False,True,9.684999999999999,,"LINESTRING (-0.1779028 51.4984953, -0.177929 51.4984934, -0.1779811 51.4984897, -0.1779862 51.4985276)",yes,,
26389452,9412674892,0,1020546549,,Dangoor Plaza,pedestrian,,False,False,96.629,,"LINESTRING (-0.1779028 51.4984953, -0.1777767 51.4984371, -0.1767814 51.4979778)",,,
