osmid,y,x,street_count,highway,geometry
25473586,51.4986192,-0.1741403,3,,POINT (-0.1741403 51.4986192)
26389375,51.4997905,-0.1743629,3,,POINT (-0.1743629 51.4997905)
26389424,51.4980021,-0.1764731,3,,POINT (-0.1764731 51.4980021)
26389452,51.4984953,-0.1779028,4,,POINT (-0.1779028 51.4984953)
27481062,51.4997276,-0.178671,3,,POINT (-0.178671 51.4997276)
29354062,51.4987613,-0.1784653,3,,POINT (-0.1784653 51.4987613)
29354228,51.4980995,-0.1751675,3,,POINT (-0.1751675 51.4980995)
29354253,51.4990053,-0.1753731,3,,POINT (-0.1753731 51.4990053)
1108317687,51.4994988,-0.1722692,3,,POINT (-0.1722692 51.4994988)
1108317691,51.4998469,-0.1737218,3,,POINT (-0.1737218 51.4998469)
1108317714,51.498863,-0.1721849,3,,POINT (-0.1721849 51.498863)
1108317716,51.4986663,-0.1735129,3,,POINT (-0.1735129 51.4986663)
1108317727,51.4999751,-0.1723324,3,,POINT (-0.1723324 51.4999751)
1108317750,51.4987379,-0.1735344,4,,POINT (-0.1735344 51.4987379)
1108317755,51.4997366,-0.1736832,3,,POINT (-0.1736832 51.4997366)
1108317758,51.4988683,-0.1722584,3,,POINT (-0.1722584 51.4988683)
1108317788,51.4994474,-0.1736822,3,,POINT (-0.1736822 51.4994474)
1108317789,51.4990115,-0.1728736,4,,POINT (-0.1728736 51.4990115)
1108317792,51.4987669,-0.1721722,3,,POINT (-0.1721722 51.4987669)
1108317801,51.4994933,-0.1723295,3,,POINT (-0.1723295 51.4994933)
1141096742,51.4995316,-0.1751105,1,,POINT (-0.1751105 51.4995316)
1770238794,51.4981179,-0.1748881,3,,POINT (-0.1748881 51.4981179)
1770238798,51.4989375,-0.1761817,3,,POINT (-0.1761817 51.4989375)
1770238800,51.4986289,-0.1752868,3,,POINT (-0.1752868 51.4986289)
1770238801,51.4986099,-0.1762055,3,,POINT (-0.1762055 51.4986099)
1770238802,51.4986195,-0.1762295,3,,POINT (-0.1762295 51.4986195)
1770238861,51.4986822,-0.1761551,3,,POINT (-0.1761551 51.4986822)
1770239303,51.4998359,-0.1738382,3,,POINT (-0.1738382 51.4998359)
2609483561,51.4990873,-0.1744788,1,,POINT (-0.1744788 51.4990873)
2920576165,51.4997705,-0.1781046,3,,POINT (-0.1781046 51.4997705)
2920576167,51.5003803,-0.1781604,1,,POINT (-0.1781604 51.5003803)
3358814594,51.4996829,-0.1780888,1,,POINT (-0.1780888 51.4996829)
6524005140,51.4987603,-0.178014,3,,POINT (-0.178014 51.4987603)
6524005142,51.4985276,-0.1779862,1,,POINT (-0.1779862 51.4985276)
6524005152,51.4994092,-0.1785929,3,,POINT (-0.1785929 51.4994092)
6524005153,51.4993845,-0.1789309,1,,POINT (-0.1789309 51.4993845)
6524005154,51.4986494,-0.1787113,3,,POINT (-0.1787113 51.4986494)
6524005155,51.4986271,-0.1790201,1,,POINT (-0.1790201 51.4986271)
