element_type,osmid,nodes,amenity,geometry
way,250495404,"[2569337714, 2569337713, 2569337712, 2569337711, 2569337714]",parking,"POLYGON ((120.2693027 31.4935024, 120.2688789 31.4934704, 120.2689272 31.4932119, 120.2693366 31.4932264, 120.2693027 31.4935024))"
way,250706170,"[2570951297, 2572394681, 2570951342, 2570951293, 2570951317, 2570951297]",parking,"POLYGON ((120.2702905 31.4838235, 120.2706599 31.4838233, 120.2706966 31.4838233, 120.2706974 31.4839419, 120.2702863 31.4839413, 120.2702905 31.4838235))"
way,250706171,"[2570951292, 2570951298, 2570951274, 2570951284, 2570951292]",parking,"POLYGON ((120.2702897 31.4842048, 120.2707028 31.4842002, 120.2707044 31.4843252, 120.2702891 31.4843292, 120.2702897 31.4842048))"
way,250706177,"[2570951312, 2570951277, 2570951310, 2570951290, 2570951312]",parking,"POLYGON ((120.2710036 31.4837627, 120.2712929 31.4837634, 120.271294 31.4838297, 120.2709388 31.4838274, 120.2710036 31.4837627))"
way,251435744,"[2576540193, 2576540312, 2576540166, 2576540171, 2576540259, 2576540255, 2576540324, 2576540252, 2576540193]",parking,"POLYGON ((120.2705402 31.4876807, 120.2705435 31.4872031, 120.2706368 31.4872007, 120.2706595 31.4871759, 120.2707055 31.4872034, 120.2707399 31.487226, 120.2707564 31.4872583, 120.2707484 31.4876815, 120.2705402 31.4876807))"
way,251435748,"[2576540352, 2576540197, 2576540174, 2576540244, 2576540206, 2576540187, 2576540229, 2576540192, 2576540294, 2576540296, 2576540305, 2576540352]",parking,"POLYGON ((120.2701958 31.4880955, 120.2701556 31.4880589, 120.2700813 31.4881229, 120.270025 31.4881801, 120.2699679 31.4882693, 120.2699142 31.4883562, 120.2699598 31.4883562, 120.2699893 31.4883448, 120.2700027 31.4883334, 120.2700617 31.4882396, 120.2701234 31.4881664, 120.2701958 31.4880955))"
way,251435754,"[2576540167, 2576540276, 2576540355, 2576540202, 2576540275, 2576540257, 2576540308, 2576540348, 2576540168, 2576540349, 2576540263, 2576540266, 2576540179, 2576540235, 2576540239, 2576540265, 2576540167]",parking,"POLYGON ((120.2704335 31.4879444, 120.2703541 31.4879857, 120.2702878 31.4880246, 120.2702519 31.4880518, 120.2702169 31.4880175, 120.2702704 31.4879764, 120.2703372 31.4879346, 120.2704051 31.4879011, 120.270484 31.4878753, 120.2705614 31.4878545, 120.2706481 31.4878458, 120.2707374 31.4878411, 120.2707224 31.4878759, 120.2706867 31.4878919, 120.270598 31.4878987, 120.2705119 31.4879144, 120.2704335 31.4879444))"
way,251435756,"[2576540217, 2576540327, 2576540341, 2576540344, 2576540284, 2576540365, 2576540186, 2576540363, 2576540217]",parking,"POLYGON ((120.269933 31.4883951, 120.2699571 31.4884134, 120.2699552 31.4884431, 120.2698364 31.4886467, 120.2697541 31.4888205, 120.2696881 31.4888204, 120.2697674 31.4886361, 120.2698981 31.4883928, 120.269933 31.4883951))"
way,251436747,"[2576548633, 2569348844, 2569348716, 2569348760, 2569348689, 2569348796, 2569348781, 2569348722, 2576548629, 2576548643, 2576548636, 2576548628, 2576548634, 2576548633]",parking,"POLYGON ((120.2699991 31.4897122, 120.27 31.4899367, 120.2699196 31.4899367, 120.2699196 31.4897171, 120.2698462 31.489585, 120.2697947 31.4894506, 120.2697613 31.4893101, 120.2697559 31.4891935, 120.2697957 31.4891945, 120.2698185 31.4892963, 120.2698659 31.4894449, 120.2699231 31.4895685, 120.2699848 31.4896805, 120.2699991 31.4897122))"
way,251436973,"[2576549908, 2576549910, 2576549972, 2576549918, 2576549908]",parking,"POLYGON ((120.2695982 31.4807527, 120.2696009 31.481126, 120.2684447 31.4811319, 120.2684421 31.4807586, 120.2695982 31.4807527))"
way,251441460,"[2576589781, 2576589783, 2576589788, 2576589792, 2576589781]",parking,"POLYGON ((120.2703871 31.4789797, 120.2706822 31.4789819, 120.2706844 31.4787703, 120.2703894 31.4787681, 120.2703871 31.4789797))"
way,252224350,"[2583152208, 2583152238, 2583152243, 2583152237, 2583152262, 2583152208]",parking,"POLYGON ((120.2695686 31.4783521, 120.2694931 31.4784399, 120.2690559 31.4781341, 120.2691015 31.4780838, 120.2691712 31.4780655, 120.2695686 31.4783521))"
way,521977521,"[5085058754, 5085058755, 5085058756, 5085058757, 5085058754]",parking,"POLYGON ((120.2685382 31.4814028, 120.2685382 31.4812489, 120.269431 31.481257, 120.269431 31.4813947, 120.2685382 31.4814028))"
way,521978159,"[5085062295, 5085062296, 5085062297, 5085062298, 5085062299, 5085062295]",parking,"POLYGON ((120.2637002 31.4780058, 120.263772 31.4776795, 120.2647626 31.4778019, 120.2647114 31.4780408, 120.2645372 31.4780379, 120.2637002 31.4780058))"
way,1059395565,"[9733577885, 9733577886, 9733577887, 9733577888, 9733577885]",parking,"POLYGON ((120.2672128 31.4901376, 120.2677263 31.4901261, 120.2677178 31.4902396, 120.2672145 31.4902423, 120.2672128 31.4901376))"
way,1059395569,"[9733584219, 9733577905, 9733584220, 9733584221, 9733584219]",parking,"POLYGON ((120.2669536 31.4900385, 120.2669555 31.4899709, 120.2671243 31.4899795, 120.2671177 31.4900397, 120.2669536 31.4900385))"
way,1059395570,"[9733584222, 9733584223, 9733584224, 9733584225, 9733584222]",parking,"POLYGON ((120.2669625 31.4899341, 120.2669598 31.4898773, 120.2671358 31.4898813, 120.2671305 31.489935, 120.2669625 31.4899341))"
