element_type,osmid,nodes,building,leisure,geometry,name,name:en,name:zh,name:zh-Hans,layer,amenity,healthcare,fast_food,cuisine,opening_hours,building:levels,ways,type
way,250491447,"[2569279565, 2569279538, 2569279553, 2569279543, 2569279558, 2569279557, 2569279547, 2569279561, 2569279560, 2569279546, 2569279552, 2569279544, 2569279562, 2569279566, 2569279551, 2569279539, 2569279540, 2569279554, 2569279559, 2569279556, 2569279542, 2569279541, 2569279564, 2569279563, 2576540314, 2576540208, 2576540261, 2576540264, 2576540250, 2576540251, 2576540191, 2576540227, 2576540201, 2576540205, 2576540271, 2569279565]",yes,stadium,"POLYGON ((120.2699426 31.4874929, 120.2698829 31.4874412, 120.2697945 31.4873888, 120.2697179 31.4873594, 120.2696177 31.4873384, 120.2695063 31.4873353, 120.2694053 31.4873504, 120.2692847 31.4873938, 120.26919 31.4874541, 120.2691236 31.4875189, 120.2690682 31.4876033, 120.2690318 31.4877167, 120.2690301 31.4878225, 120.2690499 31.487905, 120.269102 31.4880043, 120.2691684 31.4880786, 120.2692353 31.4881294, 120.2693288 31.4881767, 120.2694171 31.4882034, 120.2695186 31.4882165, 120.2696365 31.4882101, 120.2697453 31.4881826, 120.2698511 31.4881315, 120.2699217 31.4880783, 120.2699539 31.488042, 120.2700081 31.4880314, 120.2700625 31.4879857, 120.270102 31.4879239, 120.2701296 31.4878599, 120.2701449 31.4877981, 120.2701476 31.487741, 120.2701342 31.4876769, 120.270102 31.4876197, 120.2700537 31.4875557, 120.2699982 31.4875077, 120.2699426 31.4874929))",,,,,,,,,,,,,
way,250491690,"[2569286895, 2569286925, 2569286906, 2569286936, 2569286895]",yes,,"POLYGON ((120.2606315 31.4888364, 120.2607267 31.488838, 120.2607315 31.4886321, 120.2606363 31.4886305, 120.2606315 31.4888364))",,,,,,,,,,,,,
way,250491695,"[2569286902, 2569286944, 2569286917, 2569286893, 2569286902]",yes,,"POLYGON ((120.2604637 31.4884236, 120.2606367 31.488425, 120.2606378 31.4883255, 120.2604648 31.4883242, 120.2604637 31.4884236))",,,,,,,,,,,,,
way,250492190,"[2569296576, 2569296585, 2569296581, 2569296580, 2576546567, 2569296576]",yes,,"POLYGON ((120.2718628 31.4885541, 120.2719645 31.4885541, 120.2719645 31.4883162, 120.2718628 31.4883162, 120.2718635 31.488338, 120.2718628 31.4885541))",,,,,,,,,,,,,
way,250495210,"[2569335351, 2569335515, 2569335379, 2569335666, 2569335405, 2569335416, 2569335535, 2569335573, 2569335641, 2569335392, 2569335386, 2569335510, 2569335540, 2569335530, 2569335591, 2569335661, 2569335600, 2569335409, 2569335358, 2569335484, 2569335514, 2569335499, 2569335639, 2569335555, 2569335682, 2569335671, 2569335459, 2569335627, 2569335664, 2569335461, 2569335668, 2569335612, 2569335397, 2569335451, 2569335477, 2569335550, 2569335549, 2569335632, 2569335475, 2569335465, 2569335469, 2569335421, 2569335478, 2569335556, 2569335485, 2569335660, 2569335476, 2569335615, 2569335351]",yes,stadium,"POLYGON ((120.2702039 31.4882991, 120.270262 31.4882311, 120.2703327 31.4881664, 120.2704149 31.4881168, 120.270498 31.4880825, 120.2706214 31.4880436, 120.2707136 31.4880292, 120.2707994 31.4880292, 120.2708977 31.488039, 120.2709969 31.488055, 120.2711015 31.4880916, 120.271191 31.4881367, 120.2712822 31.488203, 120.2713573 31.4882762, 120.2714217 31.4883585, 120.2714753 31.4884569, 120.271529 31.4886079, 120.2715611 31.4887314, 120.2715799 31.4888526, 120.271596 31.4890218, 120.2715906 31.4891911, 120.2715602 31.4893748, 120.2715145 31.4895291, 120.2714466 31.489653, 120.2713707 31.4897492, 120.2712527 31.4898521, 120.271131 31.4899191, 120.271014 31.4899596, 120.2709272 31.4899786, 120.2708387 31.4899877, 120.2707425 31.4899916, 120.2706304 31.4899756, 120.2705178 31.4899459, 120.2704105 31.4899024, 120.2702951 31.4898361, 120.2701932 31.4897537, 120.2701235 31.4896645, 120.2700645 31.4895708, 120.2699974 31.489445, 120.2699572 31.48931, 120.2699428 31.4892169, 120.2699348 31.4890957, 120.2699411 31.4889784, 120.2699467 31.4888811, 120.2699709 31.4887485, 120.2700044 31.4886482, 120.2700501 31.4885389, 120.2701215 31.4884157, 120.2702039 31.4882991))",体育中心,,,,,,,,,,,,
way,250497347,"[2569353767, 2569353773, 2569353776, 2569353778, 2569353767]",yes,,"POLYGON ((120.2718328 31.4910567, 120.2723599 31.4910533, 120.2723672 31.4908483, 120.2718303 31.4908493, 120.2718328 31.4910567))",快递中心,,,,,,,,,,,,
way,250705615,"[2570945055, 2570945047, 2570945048, 2570945046, 2570945052, 2570945041, 2570945051, 2570945053, 2570945040, 2570945044, 2570945045, 2570945043, 2570945050, 2570945049, 2570945054, 2570945042, 2570945056, 2570945055]",yes,,"POLYGON ((120.271072 31.4836118, 120.2720216 31.483605, 120.2720171 31.4833333, 120.2720573 31.4833333, 120.2720573 31.4830704, 120.2715879 31.483075, 120.2715826 31.4834614, 120.271468 31.4834622, 120.2714546 31.4834168, 120.2714251 31.4833665, 120.271376 31.4833242, 120.2713178 31.4833002, 120.2712508 31.4832933, 120.271249 31.4831899, 120.2710864 31.4831915, 120.271089 31.4834912, 120.2710705 31.4834921, 120.271072 31.4836118))",行政楼,University Office,行政楼,行政楼,,,,,,,,,
way,250706172,"[2570951308, 2570951333, 2570951307, 2570951294, 2570951308]",yes,,"POLYGON ((120.2723276 31.483777, 120.2723933 31.4837782, 120.2723914 31.4838562, 120.2723257 31.483855, 120.2723276 31.483777))",,,,,,,,,,,,,
way,250706176,"[2570951335, 2570951285, 2570951279, 2570951278, 2570951335]",yes,,"POLYGON ((120.2723218 31.4842886, 120.2723901 31.4842878, 120.2723913 31.4843648, 120.272323 31.4843656, 120.2723218 31.4842886))",,,,,,,,,,,,,
way,250889639,"[2572389059, 2572389028, 2572389180, 2572389057, 2572389059]",roof,,"POLYGON ((120.2694166 31.4836298, 120.2695966 31.4836321, 120.2695974 31.483583, 120.2694175 31.4835807, 120.2694166 31.4836298))",,,,,1,,,,,,,,
