u,v,key,osmid,name,highway,oneway,reversed,length,geometry,bridge,junction
2569244989,2569245006,0,250488877,中央大道,unclassified,False,False,51.351,"LINESTRING (120.267982 31.4859232, 120.2681786 31.4863535)",,
2569244989,2569268633,0,289556169,,footway,False,False,85.312,"LINESTRING (120.267982 31.4859232, 120.2688816 31.4859124)",,
2569244989,2569245009,0,250488877,中央大道,unclassified,False,True,83.598,"LINESTRING (120.267982 31.4859232, 120.2678703 31.4856711, 120.2677898 31.4854012, 120.2677523 31.4851999)",,
2569244993,2569337353,0,250488877,中央大道,unclassified,False,True,23.493,"LINESTRING (120.2683194 31.4933129, 120.2683296 31.4931018)",,
2569245000,5085057946,0,250488879,中央大道,unclassified,False,False,60.157,"LINESTRING (120.2682396 31.4811951, 120.2682371 31.4817361)",,
2569245000,2569260930,0,250488879,中央大道,unclassified,False,True,152.349,"LINESTRING (120.2682396 31.4811951, 120.2682357 31.479825)",,
2569245000,2569260923,0,250705143,武夷山路,unclassified,False,False,239.328,"LINESTRING (120.2682396 31.4811951, 120.2707634 31.4811975)",,
2569245000,2570938788,0,"[250705140, 250705141, 250705143]","['思源桥', '武夷山路']",unclassified,False,True,47.149,"LINESTRING (120.2682396 31.4811951, 120.2680643 31.4811959, 120.2678605 31.481197, 120.2677424 31.4811975)",yes,
2569245003,2569337353,0,250488877,中央大道,unclassified,False,False,80.95,"LINESTRING (120.2682648 31.4923759, 120.2683296 31.4931018)",,
2569245003,2931045241,0,250488877,中央大道,unclassified,False,True,112.819,"LINESTRING (120.2682648 31.4923759, 120.2682654 31.4913613)",,
2569245003,2569335542,0,"[250489565, 836732621, 836732622]",天山路,unclassified,False,False,223.392,"LINESTRING (120.2682648 31.4923759, 120.268026 31.4923768, 120.2677108 31.492378, 120.2659088 31.4923847)",yes,
2569245005,5099743438,0,250488879,中央大道,unclassified,False,True,42.172999999999995,"LINESTRING (120.2681608 31.4824921, 120.2682029 31.4823682, 120.268235 31.482208, 120.2682383 31.4821203)",,
2569245005,2572394711,0,"[250488880, 250488877]","['曲水桥', '中央大道']",unclassified,False,False,115.982,"LINESTRING (120.2681608 31.4824921, 120.2680266 31.4826385, 120.2679194 31.4827849, 120.2678443 31.482913, 120.2677799 31.4830686, 120.2677477 31.4832332, 120.2677447 31.4833803, 120.2677444 31.4834427)",yes,
2569245005,5085060200,0,521977394,,service,False,False,261.012,"LINESTRING (120.2681608 31.4824921, 120.2691936 31.482476, 120.2695734 31.4822978, 120.2706181 31.4822938, 120.2706159 31.482088)",,
2569245006,2569244989,0,250488877,中央大道,unclassified,False,True,51.351,"LINESTRING (120.2681786 31.4863535, 120.267982 31.4859232)",,
2569245006,2931085182,0,289556168,,footway,False,True,67.525,"LINESTRING (120.2681786 31.4863535, 120.2688907 31.4863569)",,
2569245006,2569245007,0,250488877,中央大道,unclassified,False,False,73.793,"LINESTRING (120.2681786 31.4863535, 120.268235 31.486618, 120.2682695 31.4870117)",,
2569245006,2619275857,0,"[250495208, 256256106]",,service,False,False,76.095,"LINESTRING (120.2681786 31.4863535, 120.267655 31.4863531, 120.2673761 31.4863529)",yes,
2569245007,2569335423,0,250488877,中央大道,unclassified,False,False,151.87,"LINESTRING (120.2682695 31.4870117, 120.2682681 31.4883775)",,
2569245007,2569268635,0,250489559,黄山路,unclassified,False,False,60.176,"LINESTRING (120.2682695 31.4870117, 120.2689041 31.4870079)",,
2569245007,2569245006,0,250488877,中央大道,unclassified,False,True,73.793,"LINESTRING (120.2682695 31.4870117, 120.268235 31.486618, 120.2681786 31.4863535)",,
2569245009,2572389095,0,250889635,,service,False,False,25.045,"LINESTRING (120.2677523 31.4851999, 120.2680164 31.4851969)",,
2569245009,2569244989,0,250488877,中央大道,unclassified,False,False,83.598,"LINESTRING (120.2677523 31.4851999, 120.2677898 31.4854012, 120.2678703 31.4856711, 120.267982 31.4859232)",,
2569245009,2572389126,0,250488877,中央大道,unclassified,False,True,126.25099999999999,"LINESTRING (120.2677523 31.4851999, 120.2677362 31.4849574, 120.267741 31.4840649)",,
2569260829,2570950242,0,250706067,,service,False,False,106.1,"LINESTRING (120.2709385 31.4798092, 120.2720573 31.4798177)",,
2569260829,2569260832,0,250489564,,unclassified,True,False,25.424000000000003,"LINESTRING (120.2709385 31.4798092, 120.2709315 31.4798661, 120.2708987 31.4799159, 120.2708454 31.4799506, 120.2707804 31.4799644)",,roundabout
2569260832,2569260923,0,250489567,两江路,unclassified,False,False,137.124,"LINESTRING (120.2707804 31.4799644, 120.2707634 31.4811975)",,
2569260832,2569260894,0,250489564,,unclassified,True,False,26.041000000000004,"LINESTRING (120.2707804 31.4799644, 120.2707259 31.4799586, 120.2706767 31.4799379, 120.270638 31.4799046, 120.2706143 31.4798623, 120.2706081 31.4798158)",,roundabout
2569260834,2569337710,0,250488877,中央大道,unclassified,False,False,97.93,"LINESTRING (120.2682661 31.4903055, 120.2682655 31.4911862)",,
2569260834,2569335531,0,250488877,中央大道,unclassified,False,True,144.442,"LINESTRING (120.2682661 31.4903055, 120.2682674 31.4890065)",,
2569260834,2569348818,0,250489555,泰山路,unclassified,False,False,99.352,"LINESTRING (120.2682661 31.4903055, 120.2693139 31.4903055)",,
2569260834,2569260898,0,"[250489555, 250489550]","['泰山路', '东林桥']",unclassified,False,True,58.323,"LINESTRING (120.2682661 31.4903055, 120.2680213 31.4903101, 120.2676511 31.4903055)",yes,
2569260844,2697137484,0,250489552,,unclassified,False,False,9.705,"LINESTRING (120.2621144 31.4894794, 120.2622158 31.4894675)",,
2569260844,2697135647,0,250489556,三江路,unclassified,False,False,132.94400000000002,"LINESTRING (120.2621144 31.4894794, 120.2616832 31.4895622, 120.261358 31.4896646, 120.2609939 31.4898138, 120.2608148 31.4899064)",,
2569260844,2569260911,0,250489556,三江路,unclassified,False,True,258.42400000000004,"LINESTRING (120.2621144 31.4894794, 120.2624899 31.4893787, 120.2628332 31.4892324, 120.2630431 31.4891002, 120.2632919 31.4889167, 120.2635225 31.4887177, 120.2637002 31.4885055, 120.2638451 31.4883019, 120.263941 31.4881391, 120.2640056 31.4879497)",,
2569260848,2570943311,0,250489569,三江路,unclassified,False,False,76.71,"LINESTRING (120.2631549 31.4811558, 120.2631776 31.4818454)",,
2569260848,2570943373,0,250489569,三江路,unclassified,False,True,6.229,"LINESTRING (120.2631549 31.4811558, 120.2631566 31.4810998)",,
2569260848,7611431289,0,814860042,,unclassified,False,True,43.547,"LINESTRING (120.2631549 31.4811558, 120.2626993 31.4812049)",,
2569260858,7611431303,0,250489566,,unclassified,False,True,72.45,"LINESTRING (120.2633183 31.479687, 120.2634248 31.4790418)",,
2569260858,2569260893,0,250489561,,unclassified,True,False,23.884999999999998,"LINESTRING (120.2633183 31.479687, 120.2633963 31.4797135, 120.2634538 31.4797656, 120.2634799 31.4798337)",,roundabout
2569260866,2569335378,0,250489559,黄山路,unclassified,False,True,57.178,"LINESTRING (120.2706478 31.4870139, 120.2700448 31.4870133)",,
2569260866,2569260903,0,250489554,黄山路,unclassified,True,False,22.741,"LINESTRING (120.2706478 31.4870139, 120.2706544 31.4869734, 120.2706757 31.4869367, 120.2707093 31.4869075, 120.2707519 31.4868888, 120.2707993 31.4868825)",,roundabout
