element_type,osmid,nodes,natural,geometry,water,ways,type
way,250486883,"[2569219917, 2569219846, 2569219889, 2302153709, 2302153725, 2569219924, 2569219921, 2569219936, 2569219939, 2569219895, 2569219937, 2569219902, 2569219887, 2569219897, 2302153699, 2302153698, 2569219879, 2569219896, 2569219905, 2569219893, 2569219871, 2569219859, 2569219908, 2569219867, 2569219923, 2569219914, 2569219915, 2569219941, 2302153726, 2302153731, 2569219863, 2569219890, 2569219881, 2569219888, 2569219903, 6566885074, 2569219940, 2569219877, 2569219904, 2569219929, 2569219886, 2569219943, 2569219919, 2569219883, 2569219944, 2569219922, 2569219920, 2569219866, 2569219892, 2569219894, 2569219849, 2569219901, 2569219882, 2569219898, 2569219845, 2569219875, 2569219911, 2569219872, 2569219935, 2569219878, 2569219870, 2569219848, 2569219853, 2569219918, 2569219907, 6566885077, 2569219928, 2569219916, 2569219917]",water,"POLYGON ((120.2606337 31.4862749, 120.2605701 31.4862525, 120.2603716 31.4862891, 120.2603114 31.4863796, 120.2603119 31.4862293, 120.2604298 31.4862246, 120.2605532 31.4862063, 120.2606766 31.4860554, 120.2607517 31.4859227, 120.2607678 31.4857992, 120.2607678 31.4856665, 120.2607149 31.4854886, 120.2606237 31.4854337, 120.2604896 31.4854154, 120.2604026 31.4854235, 120.2603924 31.4853281, 120.260639 31.4853463, 120.2607463 31.4853463, 120.2609019 31.4853326, 120.26101 31.4852553, 120.2610521 31.4851679, 120.2610575 31.4850489, 120.2610253 31.4849117, 120.2609027 31.4848756, 120.2607195 31.4848705, 120.2605317 31.4848705, 120.2603869 31.484866, 120.2602804 31.4848756, 120.2601659 31.4848886, 120.2602154 31.484738, 120.2603823 31.4847886, 120.2605532 31.4848019, 120.2607356 31.4848202, 120.2609126 31.4848156, 120.2610843 31.4848111, 120.2611186 31.4848087, 120.2614759 31.4847836, 120.2614874 31.4849854, 120.261492 31.4851633, 120.2616046 31.4851404, 120.2616422 31.4852639, 120.2614981 31.4853193, 120.2614713 31.4853742, 120.2614981 31.4854657, 120.2615456 31.4854973, 120.2617817 31.4854286, 120.2618307 31.4855343, 120.2617173 31.485575, 120.2616215 31.485635, 120.2616207 31.4856848, 120.2616583 31.4857809, 120.2618782 31.4857214, 120.2619801 31.4856894, 120.2621687 31.486161, 120.2622438 31.4863211, 120.2622698 31.4864259, 120.2622108 31.4864213, 120.2621097 31.4863477, 120.2620292 31.4862891, 120.2619434 31.4862068, 120.2618031 31.4862155, 120.2616591 31.4862662, 120.2615188 31.4862612, 120.2613901 31.4862612, 120.2613203 31.4863115, 120.2609776 31.4863366, 120.2609448 31.486339, 120.2607785 31.4863298, 120.2606337 31.4862749))",,,
way,250488014,"[2569232741, 2569232780, 2569232568, 2569232592, 2569232642, 2569232747, 2569232715, 2569232636, 2569232657, 2569232563, 2569232630, 2569232665, 2569232725, 2569232782, 2569232534, 2569232597, 2569232572, 2569232739, 2569232633, 2569232719, 2569232639, 2569232584, 2569232594, 2569232603, 2569232570, 2569232564, 2569232606, 2569232663, 2569232555, 2569232693, 2569232552, 2569232557, 2569232705, 2569232647, 2569232659, 2569232687, 2569232623, 2569232605, 2569232645, 2569232553, 2569232709, 2569232637, 2569232617, 2569232610, 2569232625, 2569232651, 2569232677, 2569232654, 2569232671, 2569232697, 2569232638, 2569232621, 2569232737, 2569232733, 2569232550, 2569232656, 2569232582, 2569232735, 2569232586, 2569232660, 2569232683, 2569232559, 2569232575, 2569232675, 2569232689, 2569232601, 2569232546, 2569232711, 2569232703, 2569232608, 2569232535, 2569232573, 2569232548, 2569232666, 2569232614, 2569232612, 2569232741]",water,"POLYGON ((120.2594213 31.4906527, 120.259111 31.4904519, 120.2589125 31.4903055, 120.2588267 31.4903055, 120.2587355 31.4902735, 120.2588098 31.4901678, 120.2589331 31.4901953, 120.2590994 31.4903005, 120.2593256 31.4904748, 120.2594436 31.4905617, 120.259583 31.4906166, 120.259685 31.4906532, 120.2598719 31.4907396, 120.2599665 31.4908166, 120.2599633 31.4910148, 120.2601741 31.4910165, 120.2601731 31.4911518, 120.2604595 31.4911536, 120.2607357 31.491149, 120.2609959 31.4911353, 120.2611997 31.4911307, 120.2613915 31.4911424, 120.2615136 31.4911353, 120.2616423 31.4910964, 120.2619186 31.4910964, 120.2620239 31.4911243, 120.2621627 31.4911216, 120.26227 31.4910861, 120.2623786 31.4910381, 120.2624322 31.4910141, 120.2624872 31.4909969, 120.2625462 31.4909958, 120.2625905 31.4910129, 120.2626267 31.4910358, 120.262671 31.4910564, 120.2626964 31.4910804, 120.2627487 31.4910987, 120.2628976 31.4910873, 120.263088 31.491085, 120.263949 31.4911056, 120.264057 31.4911312, 120.2647349 31.4911307, 120.2647409 31.4911678, 120.2647778 31.491165, 120.2647833 31.491232, 120.2647859 31.4912634, 120.2646276 31.4912634, 120.2646283 31.4912044, 120.264236 31.4912016, 120.264236 31.4912337, 120.2637163 31.4912318, 120.2635876 31.4912227, 120.2623799 31.4912177, 120.262335 31.491225, 120.2623316 31.4912542, 120.2620527 31.491252, 120.26193 31.4911952, 120.2618381 31.4911948, 120.2617288 31.4911998, 120.2616349 31.4912227, 120.2615618 31.4912314, 120.2611977 31.4911998, 120.2611119 31.4911975, 120.2609771 31.4912062, 120.2608169 31.4912318, 120.2604414 31.4912364, 120.2602563 31.4912387, 120.2601832 31.4912382, 120.2600249 31.4911696, 120.2598989 31.4911056, 120.2598372 31.491021, 120.2597574 31.4909574, 120.259693 31.4909093, 120.2595267 31.4908339, 120.2594731 31.4907973, 120.2594429 31.4907373, 120.2594213 31.4906527))",canal,,
way,250488544,"[2569238871, 2569238877, 2569238858, 2569238860, 2569238869, 2569238849, 2569238848, 2569238886, 2569238876, 2569238887, 2569238856, 2569238841, 2569238879, 2569238836, 2569238859, 2569238866, 2569238831, 2569238833, 2569238837, 2569238868, 2569238842, 2569238862, 2569238834, 2569238854, 2569238864, 2569238839, 2569238846, 2569238851, 2569238861, 2569238847, 2569238890, 2569238857, 2569238850, 2569238853, 2569238838, 2569238835, 2569238829, 2569238878, 2569238888, 2569238845, 2569238844, 2569238889, 2569238832, 2569238881, 2569238882, 2569238865, 2569238867, 2569238843, 2569238880, 2569238883, 2569238873, 2569238874, 2569238884, 2569238875, 2569238852, 2569238863, 2569238885, 2569238840, 2569238870, 2569238855, 2569238872, 2569238830, 2569238828, 2569238871]",water,"POLYGON ((120.2686696 31.4936715, 120.2712292 31.4941754, 120.2713142 31.4941701, 120.2724247 31.4933376, 120.2724998 31.4933102, 120.2725207 31.4931626, 120.2726768 31.4904789, 120.2727172 31.4903943, 120.2727145 31.4900832, 120.2726957 31.4900306, 120.2727279 31.4890288, 120.2727413 31.4883907, 120.2727118 31.4877342, 120.2726669 31.4873298, 120.2726796 31.4872722, 120.272742 31.4872475, 120.2728003 31.487231, 120.2728379 31.4872493, 120.2728647 31.4872768, 120.2729002 31.4873573, 120.2729344 31.4873385, 120.2729532 31.4873088, 120.2729532 31.4872539, 120.2729324 31.4872086, 120.2728888 31.4871716, 120.2728251 31.4871629, 120.2727286 31.4871629, 120.2726856 31.4871331, 120.2726474 31.4870686, 120.2726367 31.4869337, 120.272626 31.4865791, 120.2726045 31.4864282, 120.2726179 31.4863413, 120.2726635 31.4863184, 120.2727359 31.4863344, 120.2727949 31.486323, 120.2728405 31.4863001, 120.2728969 31.4863001, 120.2729237 31.4862727, 120.2728325 31.4862635, 120.2727413 31.4862795, 120.2726796 31.4862795, 120.2726421 31.4862498, 120.2726239 31.4862251, 120.2726635 31.485909, 120.2727044 31.485333, 120.2727332 31.4851084, 120.2727493 31.4849208, 120.2727574 31.4848029, 120.2725884 31.4847996, 120.2725542 31.4853399, 120.2725053 31.4855613, 120.2724409 31.4857145, 120.2724201 31.4858454, 120.2724999 31.4871807, 120.2725482 31.4874552, 120.2726025 31.4879314, 120.272626 31.4882283, 120.2726447 31.4888367, 120.272583 31.4904492, 120.2724221 31.4932212, 120.2712071 31.4941039, 120.2686777 31.4936169, 120.2686696 31.4936715))",canal,,
way,250490278,"[2569266610, 2569266580, 2569266581, 2569266609, 2569266610]",water,"POLYGON ((120.270388 31.4841413, 120.2705336 31.4841415, 120.2705338 31.4840151, 120.2703883 31.4840148, 120.270388 31.4841413))",reservoir,,
way,250495204,"[2569335481, 2569335486, 2569335533, 2569335619, 2569335624, 2569335578, 2569335376, 2569335560, 2569335436, 2569335652, 2569335553, 2569335359, 2569335363, 2569335354, 2569335384, 2569335656, 2569335368, 2569335413, 2569335676, 2569335455, 2569335458, 2569335406, 2569335468, 2569335481]",water,"POLYGON ((120.2644828 31.4891705, 120.2644908 31.4892025, 120.2644828 31.48923, 120.2644935 31.4892734, 120.2645257 31.489294, 120.2645623 31.4892924, 120.2645972 31.489281, 120.2646186 31.489249, 120.2646186 31.4892124, 120.2646008 31.4891774, 120.2645659 31.4891453, 120.2645418 31.4891156, 120.2645248 31.4890683, 120.2644935 31.4890356, 120.2644452 31.4890173, 120.2644023 31.488999, 120.264354 31.4890173, 120.2643219 31.4890379, 120.2643245 31.4890722, 120.2643379 31.489111, 120.2643782 31.4891362, 120.2644255 31.4891437, 120.2644586 31.4891499, 120.2644828 31.4891705))",,,
way,250705527,"[2570944010, 2570944044, 2570944027, 2570944013, 2570944039, 2570944002, 2570944024, 2570943998, 2570944006, 2570944030, 2570944046, 2570944035, 2570944026, 2570944041, 2570943999, 2570944001, 2570944000, 2570944043, 2570944036, 2570944019, 2570944034, 2570944015, 2570944032, 2570944011, 2570944022, 2570944010]",water,"POLYGON ((120.2648663 31.4803301, 120.2649575 31.4803598, 120.2650433 31.4803735, 120.2651407 31.4803494, 120.2652526 31.4803141, 120.2653357 31.4803095, 120.2654001 31.4803232, 120.2654545 31.4803334, 120.2654886 31.4803095, 120.265494 31.4802432, 120.265451 31.48017, 120.265384 31.4800991, 120.2653116 31.4800808, 120.2652212 31.4800886, 120.265156 31.4801379, 120.2651032 31.4802122, 120.2650702 31.4802317, 120.2649932 31.4802282, 120.2649495 31.4802569, 120.2648878 31.4802546, 120.2648341 31.4802317, 120.2647966 31.4802249, 120.2647724 31.4802637, 120.2647885 31.4803072, 120.264818 31.4803347, 120.2648663 31.4803301))",,,
way,250705528,"[2570944005, 2570944009, 2570944008, 2570944042, 2570944033, 2570944014, 2570944020, 2570944047, 2570944023, 2570944029, 2570944003, 2570944040, 2570944038, 2570944031, 2570944028, 2570944048, 2570944012, 2570944045, 2570944005]",water,"POLYGON ((120.2636379 31.4801471, 120.2636969 31.4801494, 120.2637639 31.4801311, 120.2638176 31.4801242, 120.2638659 31.480154, 120.2639222 31.4801585, 120.2639686 31.4801481, 120.2639839 31.4801151, 120.2639713 31.4800772, 120.263941 31.480051, 120.2638256 31.4800281, 120.2637398 31.4800236, 120.2636789 31.4800498, 120.2636245 31.4800739, 120.2635815 31.4800693, 120.2635367 31.4800955, 120.2635386 31.4801379, 120.2635789 31.4801517, 120.2636379 31.4801471))",,,
way,251285349,"[2575305039, 2575305088, 2575305084, 2575305048, 2575305082, 2575305072, 2575305052, 2575305045, 2575305049, 2575305039]",water,"POLYGON ((120.2718803 31.4846509, 120.2719902 31.4846509, 120.2719841 31.4849107, 120.2719286 31.4849094, 120.271938 31.4848494, 120.2719239 31.4848082, 120.2719085 31.484767, 120.2718877 31.484735, 120.2718749 31.4846967, 120.2718803 31.4846509))",reservoir,,
way,251436966,"[2576549984, 2576549988, 2576549940, 2576549978, 2576549952, 2576549994, 2576549924, 2576549913, 2576549933, 2576549936, 2576549957, 2576549956, 2576549976, 2576549961, 2576549928, 2576549959, 2576549934, 2576549926, 2576549905, 2576549944, 2576549951, 2576549950, 2576549949, 2576549984]",water,"POLYGON ((120.2691042 31.4805794, 120.2692142 31.4805657, 120.2693644 31.4805885, 120.2695736 31.4806091, 120.2696835 31.4806068, 120.2697506 31.4805748, 120.2698472 31.4805634, 120.2698928 31.4805885, 120.2699679 31.4805908, 120.2700089 31.4805701, 120.270033 31.4805267, 120.2700089 31.4804809, 120.2699204 31.4804375, 120.2698238 31.4804237, 120.2696951 31.4804512, 120.2696031 31.4804696, 120.2694556 31.4804765, 120.2693483 31.4804719, 120.2692651 31.4804536, 120.2691525 31.480433, 120.2690774 31.4804353, 120.2690452 31.4804833, 120.2690567 31.4805404, 120.2691042 31.4805794))",,,
way,289550974,"[2931042974, 2931042938, 2931042988, 2931042932, 2931042929, 2931042918, 2931042917, 2931042983, 2931042915, 2931042949, 2931042940, 2931042937, 2931042916, 2931042969, 2931042959, 2931042987, 2931042974]",water,"POLYGON ((120.2666151 31.4900856, 120.2666902 31.4900879, 120.2667814 31.4900947, 120.2668377 31.4901176, 120.2668591 31.4900879, 120.2669208 31.490049, 120.2668915 31.4900301, 120.2668189 31.4900124, 120.2667869 31.4900255, 120.2667331 31.4900124, 120.2666821 31.4900055, 120.2666338 31.4900032, 120.2666018 31.4899752, 120.2665669 31.4899821, 120.2665964 31.4900118, 120.2666071 31.4900484, 120.2666151 31.4900856))",,,
