u,v,key,osmid,highway,oneway,reversed,length,geometry
1445916460,1445916468,0,"[131360905, 131360903]","['service', 'footway']",False,"[False, True]",170.017,"LINESTRING (125.3007092 43.8794897, 125.3003573 43.8796797, 125.2996016 43.8796814, 125.2995975 43.8798045, 125.2995755 43.8803485)"
1445916464,1445916469,0,131360896,service,False,True,80.731,"LINESTRING (125.3026409 43.8796469, 125.3026314 43.8803729)"
1445916468,1445916469,0,131360895,service,False,False,244.94,"LINESTRING (125.2995755 43.8803485, 125.3026314 43.8803729)"
1445916468,1445916473,0,131360903,service,False,True,71.198,"LINESTRING (125.2995755 43.8803485, 125.2995603 43.8809887)"
1445916468,1445916460,0,"[131360905, 131360903]","['service', 'footway']",False,"[False, True]",170.017,"LINESTRING (125.2995755 43.8803485, 125.2995975 43.8798045, 125.2996016 43.8796814, 125.3003573 43.8796797, 125.3007092 43.8794897)"
1445916469,1445916470,0,131360895,service,False,False,69.404,"LINESTRING (125.3026314 43.8803729, 125.3034971 43.8803879)"
1445916469,1445916468,0,131360895,service,False,True,244.94,"LINESTRING (125.3026314 43.8803729, 125.2995755 43.8803485)"
1445916469,1445916464,0,131360896,service,False,False,80.731,"LINESTRING (125.3026314 43.8803729, 125.3026409 43.8796469)"
1445916469,1445916474,0,131360896,service,False,True,69.996,"LINESTRING (125.3026314 43.8803729, 125.3026171 43.8810023)"
1445916470,1445916469,0,131360895,service,False,True,69.404,"LINESTRING (125.3034971 43.8803879, 125.3026314 43.8803729)"
1445916473,1445916474,0,131360902,residential,False,False,244.999,"LINESTRING (125.2995603 43.8809887, 125.3026171 43.8810023)"
1445916473,1445916468,0,131360903,service,False,False,71.198,"LINESTRING (125.2995603 43.8809887, 125.2995755 43.8803485)"
1445916473,1446045931,0,131360903,service,False,True,173.632,"LINESTRING (125.2995603 43.8809887, 125.2995249 43.88255)"
1445916474,1445916469,0,131360896,service,False,False,69.996,"LINESTRING (125.3026171 43.8810023, 125.3026314 43.8803729)"
1445916474,1445916473,0,131360902,residential,False,True,244.999,"LINESTRING (125.3026171 43.8810023, 125.2995603 43.8809887)"
1446045930,1446045932,0,131381921,service,False,True,98.109,"LINESTRING (125.3002067 43.8816749, 125.3001694 43.8825568)"
1446045931,1445916473,0,131360903,service,False,False,173.632,"LINESTRING (125.2995249 43.88255, 125.2995603 43.8809887)"
1446045931,1446045932,0,131381922,service,False,False,51.659,"LINESTRING (125.2995249 43.88255, 125.3001694 43.8825568)"
1446045932,1446045930,0,131381921,service,False,False,98.109,"LINESTRING (125.3001694 43.8825568, 125.3002067 43.8816749)"
1446045932,1446045933,0,131381922,service,False,False,47.926,"LINESTRING (125.3001694 43.8825568, 125.3007671 43.8825702)"
1446045932,1446045931,0,131381922,service,False,True,51.659,"LINESTRING (125.3001694 43.8825568, 125.2995249 43.88255)"
1446045933,1446045932,0,131381922,service,False,True,47.926,"LINESTRING (125.3007671 43.8825702, 125.3001694 43.8825568)"
