osmid,y,x,street_count,geometry
1445916460,43.8794897,125.3007092,1,POINT (125.3007092 43.8794897)
1445916464,43.8796469,125.3026409,1,POINT (125.3026409 43.8796469)
1445916468,43.8803485,125.2995755,3,POINT (125.2995755 43.8803485)
1445916469,43.8803729,125.3026314,4,POINT (125.3026314 43.8803729)
1445916470,43.8803879,125.3034971,1,POINT (125.3034971 43.8803879)
1445916473,43.8809887,125.2995603,4,POINT (125.2995603 43.8809887)
1445916474,43.8810023,125.3026171,3,POINT (125.3026171 43.8810023)
1446045930,43.8816749,125.3002067,1,POINT (125.3002067 43.8816749)
1446045931,43.88255,125.2995249,3,POINT (125.2995249 43.88255)
1446045932,43.8825568,125.3001694,3,POINT (125.3001694 43.8825568)
1446045933,43.8825702,125.3007671,1,POINT (125.3007671 43.8825702)
