u,v,key,osmid,highway,oneway,reversed,length,geometry,bridge
4950043849,4950043853,0,504914067,unclassified,False,False,165.787,"LINESTRING (113.4139011 23.0197207, 113.4127548 23.0186672)",
4950043849,4950043870,0,504914067,unclassified,False,True,335.876,"LINESTRING (113.4139011 23.0197207, 113.4125942 23.0209775, 113.4118752 23.0220743)",
4950043849,8890471787,0,1047005889,unclassified,False,True,439.879,"LINESTRING (113.4139011 23.0197207, 113.4146218 23.020326, 113.4146357 23.0216602, 113.4146018 23.021741, 113.4133947 23.0229434)",
4950043853,4950043849,0,504914067,unclassified,False,True,165.787,"LINESTRING (113.4127548 23.0186672, 113.4139011 23.0197207)",
4950043853,9627882904,0,504914062,unclassified,False,True,185.7,"LINESTRING (113.4127548 23.0186672, 113.4124977 23.0189434, 113.4123368 23.0190323, 113.411973 23.0190807, 113.4111921 23.0187402)",
4950043853,5227181753,0,504914067,unclassified,False,False,312.071,"LINESTRING (113.4127548 23.0186672, 113.4114588 23.0173437, 113.4112861 23.0172333, 113.4110557 23.0171082, 113.4104823 23.0168556)",
4950043868,5227217173,0,540282342,unclassified,False,True,22.102,"LINESTRING (113.4110878 23.0215967, 113.4108996 23.0214992)",yes
4950043868,5227149338,0,"[540282340, 540274759]",unclassified,False,True,134.92,"LINESTRING (113.4110878 23.0215967, 113.4106038 23.0224392, 113.4103642 23.0223008)",yes
4950043868,4950043870,0,540282343,unclassified,False,False,96.508,"LINESTRING (113.4110878 23.0215967, 113.4114473 23.0218159, 113.4118752 23.0220743)",
4950043870,8890471787,0,540282343,unclassified,False,False,183.086,"LINESTRING (113.4118752 23.0220743, 113.4133947 23.0229434)",
4950043870,4950043849,0,504914067,unclassified,False,False,335.876,"LINESTRING (113.4118752 23.0220743, 113.4125942 23.0209775, 113.4139011 23.0197207)",
4950043870,4950043868,0,540282343,unclassified,False,True,96.508,"LINESTRING (113.4118752 23.0220743, 113.4114473 23.0218159, 113.4110878 23.0215967)",
4950043875,5227181751,0,504914067,unclassified,False,True,227.219,"LINESTRING (113.4078413 23.0156922, 113.4098439 23.0165744)",
4950043875,4950043881,0,504914064,unclassified,False,False,168.393,"LINESTRING (113.4078413 23.0156922, 113.4075436 23.0163118, 113.4075518 23.0164978, 113.4075839 23.0168994, 113.4075497 23.0170329, 113.4075258 23.0171416)",
4950043876,5227149214,0,504914064,unclassified,False,False,80.556,"LINESTRING (113.4063392 23.0194635, 113.4059972 23.020116)",
4950043876,9474306838,0,504914064,unclassified,False,True,75.183,"LINESTRING (113.4063392 23.0194635, 113.4066563 23.0188536)",
4950043876,5227149208,0,504914068,unclassified,False,False,100.374,"LINESTRING (113.4063392 23.0194635, 113.4072212 23.0198583)",
4950043881,5227217090,0,504914062,unclassified,False,False,194.58,"LINESTRING (113.4075258 23.0171416, 113.409244 23.0178908)",
4950043881,9474306838,0,504914064,unclassified,False,False,210.172,"LINESTRING (113.4075258 23.0171416, 113.4073693 23.017482, 113.4066563 23.0188536)",
4950043881,4950043875,0,504914064,unclassified,False,True,168.393,"LINESTRING (113.4075258 23.0171416, 113.4075497 23.0170329, 113.4075839 23.0168994, 113.4075518 23.0164978, 113.4075436 23.0163118, 113.4078413 23.0156922)",
5227149182,5227217166,0,504914068,unclassified,False,False,108.885,"LINESTRING (113.4081096 23.0202717, 113.4090689 23.0206952)",
5227149182,5227149208,0,504914068,unclassified,False,True,101.879,"LINESTRING (113.4081096 23.0202717, 113.4072212 23.0198583)",
5227149182,5227149206,0,540274754,unclassified,False,False,48.642,"LINESTRING (113.4081096 23.0202717, 113.4079004 23.0206645)",
5227149188,5227149325,0,540274754,unclassified,False,False,170.44500000000002,"LINESTRING (113.4075027 23.0226902, 113.4075731 23.0229093, 113.4077517 23.0231085, 113.4079519 23.0231882, 113.4082722 23.0232287, 113.4084294 23.0232172, 113.4085103 23.0232026, 113.4087577 23.0231236, 113.4088132 23.0230547)",
5227149188,5227149213,0,540274754,unclassified,False,True,46.317,"LINESTRING (113.4075027 23.0226902, 113.4075406 23.0225059, 113.4076427 23.0222971)",
5227149188,5227149210,0,972227827,service,False,True,175.99,"LINESTRING (113.4075027 23.0226902, 113.4067959 23.0226433, 113.4066054 23.0225767, 113.4065437 23.0225322, 113.4065276 23.022473, 113.4065357 23.0222138, 113.4065759 23.0221768, 113.4066564 23.0221595, 113.4068977 23.0221599)",
5227149188,9627884435,0,1047005892,service,False,False,69.112,"LINESTRING (113.4075027 23.0226902, 113.4075645 23.022689, 113.4076221 23.0225588, 113.4076745 23.0224558, 113.4077797 23.0224095, 113.4078931 23.0223595, 113.4079427 23.0222851)",
5227149204,5227149205,0,540274755,unclassified,False,False,87.972,"LINESTRING (113.4077644 23.0209474, 113.4069048 23.0209506)",
5227149204,9627884431,0,540274754,unclassified,False,False,133.418,"LINESTRING (113.4077644 23.0209474, 113.4077517 23.0210525, 113.4077354 23.0220327, 113.4077046 23.0221429)",
5227149204,5227149206,0,540274754,unclassified,False,True,34.445,"LINESTRING (113.4077644 23.0209474, 113.4078058 23.0208423, 113.4079004 23.0206645)",
5227149205,5227149204,0,540274755,unclassified,False,True,87.972,"LINESTRING (113.4069048 23.0209506, 113.4077644 23.0209474)",
