element_type,osmid,nodes,building,geometry,name,leisure,ways,type
way,540278025,"[5227181741, 5227181742, 5227181743, 5227181744, 5227181745, 5227181746, 5227181747, 5227181748, 5227181749, 5227181750, 5227181741]",university,"POLYGON ((113.4080059 23.0196227, 113.4081779 23.0192939, 113.4084634 23.0194205, 113.4083136 23.0197068, 113.4088146 23.0199289, 113.408933 23.0197028, 113.4092668 23.0198508, 113.4089871 23.0203852, 113.4078263 23.0198705, 113.4079655 23.0196047, 113.4080059 23.0196227))",,,,
way,540278294,"[5227183400, 5227183401, 5227183402, 5227183403, 5227183400]",university,"POLYGON ((113.4091094 23.0172602, 113.4093476 23.0173622, 113.4095252 23.0170109, 113.409287 23.0169089, 113.4091094 23.0172602))",,,,
way,540278295,"[5227183404, 5227183405, 5227183406, 5227183407, 5227183404]",university,"POLYGON ((113.4100853 23.0176995, 113.4103235 23.0178014, 113.4105011 23.0174501, 113.4102629 23.0173481, 113.4100853 23.0176995))",,,,
way,540281596,"[5227209185, 5227209186, 5227209184, 5227209183, 5227209187, 5227209190, 5227209191, 5227209192, 5227209188, 5227209189, 5227209185]",university,"POLYGON ((113.4069421 23.0219333, 113.4069409 23.0218518, 113.4069202 23.0218522, 113.4069185 23.0217534, 113.4072494 23.0217484, 113.4072515 23.0218448, 113.4076161 23.0218438, 113.4076167 23.0220168, 113.407102 23.0220183, 113.4071017 23.0219308, 113.4069421 23.0219333))",T4,,,
way,540281598,"[5227209193, 5227209194, 5227209195, 5227209196, 5227209197, 5227209198, 5227209199, 5227209200, 5227209201, 5227209202, 5227209193]",university,"POLYGON ((113.4069628 23.0212607, 113.4069616 23.0211792, 113.406941 23.0211795, 113.4069392 23.0210807, 113.4072701 23.0210757, 113.4072723 23.0211721, 113.4076369 23.0211711, 113.4076374 23.0213442, 113.4071228 23.0213456, 113.4071225 23.0212581, 113.4069628 23.0212607))",T3,,,
way,540281599,"[5227209203, 5227209204, 5227209205, 5227209206, 5227209207, 5227209208, 5227209209, 5227209210, 5227209211, 5227209212, 5227209203]",university,"POLYGON ((113.4070084 23.0207298, 113.4070072 23.0206483, 113.4069865 23.0206487, 113.4069847 23.0205499, 113.4073157 23.0205449, 113.4073178 23.0206413, 113.4076824 23.0206403, 113.407683 23.0208133, 113.4071683 23.0208148, 113.407168 23.0207273, 113.4070084 23.0207298))",T2,,,
way,540281601,"[5227209213, 5227209214, 5227209215, 5227209216, 5227209217, 5227209218, 5227209213]",university,"POLYGON ((113.407104 23.0201578, 113.4071812 23.0200077, 113.407918 23.0203285, 113.4078746 23.0204129, 113.4078321 23.0203944, 113.4077983 23.0204601, 113.407104 23.0201578))",T1,,,
way,540281617,"[5227210190, 5227210191, 5227210192, 5227210193, 5227210194, 5227210195, 5227210196, 5227210197, 5227210198, 5227210199, 5227210200, 5227210201, 5227210190]",university,"POLYGON ((113.4061926 23.0200172, 113.4063809 23.0196537, 113.4065707 23.019737, 113.406554 23.0197693, 113.4066992 23.019833, 113.4067206 23.0197919, 113.4069022 23.0198716, 113.4067604 23.0201453, 113.4065957 23.020073, 113.4065694 23.0201238, 113.4064583 23.0200751, 113.4064335 23.0201229, 113.4061926 23.0200172))",,,,
way,540282312,"[5227217021, 5227217022, 5227217023, 5227217024, 5227217025, 5227217026, 5227217021]",university,"POLYGON ((113.4105207 23.0175629, 113.4106078 23.0173819, 113.4108343 23.0174742, 113.4107971 23.0175515, 113.4110382 23.0176498, 113.4109883 23.0177535, 113.4105207 23.0175629))",,,,
way,540282314,"[5227217027, 5227217028, 5227217029, 5227217030, 5227217031, 5227217032, 5227217027]",university,"POLYGON ((113.4112118 23.0173024, 113.4111227 23.0174825, 113.4108972 23.017388, 113.4109353 23.0173111, 113.4106953 23.0172105, 113.4107464 23.0171072, 113.4112118 23.0173024))",,,,
way,540282316,"[5227217033, 5227217034, 5227217035, 5227217036, 5227217037, 5227217038, 5227217033]",university,"POLYGON ((113.4104299 23.0177388, 113.4103407 23.0179189, 113.4105662 23.0180134, 113.4106042 23.0179365, 113.4108442 23.0180371, 113.4108953 23.0179339, 113.4104299 23.0177388))",,,,
way,540282318,"[5227217039, 5227217040, 5227217041, 5227217042, 5227217043, 5227217044, 5227217039]",university,"POLYGON ((113.4106662 23.0184069, 113.4107585 23.0182281, 113.4105347 23.0181303, 113.4104953 23.0182066, 113.4102571 23.0181025, 113.4102042 23.018205, 113.4106662 23.0184069))",,,,
way,540282319,"[5227217045, 5227217046, 5227217047, 5227217048, 5227217045]",university,"POLYGON ((113.4100912 23.0181512, 113.4101724 23.0179952, 113.4099788 23.0179098, 113.4098976 23.0180658, 113.4100912 23.0181512))",,,,
way,540282320,"[5227217049, 5227217050, 5227217051, 5227217052, 5227217049]",university,"POLYGON ((113.4105788 23.0172218, 113.41066 23.0170658, 113.4104665 23.0169805, 113.4103852 23.0171365, 113.4105788 23.0172218))",,,,
way,540282321,"[5227217053, 5227217054, 5227217055, 5227217056, 5227217053]",university,"POLYGON ((113.4096191 23.0168071, 113.4097003 23.016651, 113.4095068 23.0165657, 113.4094256 23.0167217, 113.4096191 23.0168071))",,,,
way,540282322,"[5227217057, 5227217058, 5227217059, 5227217060, 5227217057]",university,"POLYGON ((113.4091475 23.0177247, 113.4092287 23.0175687, 113.4090351 23.0174833, 113.4089539 23.0176394, 113.4091475 23.0177247))",,,,
way,540282323,"[5227217061, 5227217062, 5227217063, 5227217064, 5227217065, 5227217066, 5227217061]",university,"POLYGON ((113.4084693 23.0172348, 113.4088704 23.0174048, 113.40884 23.0174657, 113.4088897 23.0174868, 113.4088344 23.0175973, 113.4083835 23.0174062, 113.4084693 23.0172348))",,,,
way,540282324,"[5227217067, 5227217068, 5227217069, 5227217070, 5227217071, 5227217072, 5227217067]",university,"POLYGON ((113.4086899 23.0171746, 113.4087183 23.0171182, 113.4085556 23.0170487, 113.4086095 23.0169417, 113.4090494 23.0171295, 113.408967 23.0172929, 113.4086899 23.0171746))",,,,
way,540282325,"[5227217073, 5227217074, 5227217075, 5227217076, 5227217077, 5227217078, 5227217073]",university,"POLYGON ((113.4087246 23.0167779, 113.4090986 23.0169374, 113.4091103 23.016914, 113.4091646 23.0169372, 113.4092086 23.0168498, 113.4087803 23.0166672, 113.4087246 23.0167779))",,,,
way,540282326,"[5227217079, 5227217080, 5227217081, 5227217082, 5227217083, 5227217084, 5227217085, 5227217086, 5227217087, 5227217088, 5227217079]",university,"POLYGON ((113.4089985 23.0165281, 113.409029 23.01647, 113.4089691 23.0164433, 113.4089338 23.0165104, 113.408864 23.0164793, 113.4089543 23.0163074, 113.4094081 23.0165095, 113.4093505 23.0166191, 113.4092894 23.0165919, 113.4092614 23.0166451, 113.4089985 23.0165281))",,,,
way,540283136,"[5227223978, 5227223979, 5227223980, 5227223981, 5227223982, 5227224028, 5227223983, 5227223985, 5227223984, 5227223978]",university,"POLYGON ((113.4093597 23.0217294, 113.4094208 23.0215977, 113.4094443 23.0216069, 113.4094722 23.0215468, 113.4095976 23.0215961, 113.4095525 23.0216933, 113.409536 23.0217288, 113.4095188 23.0217221, 113.4094914 23.0217811, 113.4093597 23.0217294))",,,,
way,540283137,"[5227223986, 5227223987, 5227223988, 5227223989, 5227223990, 5227223991, 5227223992, 5227223993, 5227223994, 5227223995, 5227223996, 5227223997, 5227223998, 5227223999, 5227224000, 5227224001, 5227224002, 5227224003, 5227224004, 5227224030, 5227224005, 5227224006, 8998296660, 5227224007, 5227224008, 5227224009, 5227224010, 5227224011, 5227224012, 8998296661, 5227224013, 5227224014, 5227224015, 5227224016, 8998296663, 5227224017, 5227224018, 5227224019, 5227224020, 5227224021, 5227224022, 8998296662, 5227224023, 5227224024, 5227224036, 5227224025, 5227223986]",university,"POLYGON ((113.4099471 23.0217299, 113.4100027 23.0217556, 113.4099743 23.0218078, 113.4099407 23.0217924, 113.4099037 23.0218604, 113.4101084 23.0219547, 113.4101302 23.0219146, 113.4101912 23.0219427, 113.4101672 23.0219869, 113.4102799 23.0220387, 113.410303 23.021996, 113.4103416 23.0220137, 113.4103244 23.0220455, 113.410388 23.0220746, 113.4104288 23.021999, 113.4103916 23.021982, 113.4104099 23.021948, 113.4104462 23.0219647, 113.4105548 23.0217637, 113.4104603 23.0217204, 113.4104409 23.0217116, 113.4104752 23.0216482, 113.4104938 23.0216567, 113.410501 23.02166, 113.4104871 23.0216857, 113.4105877 23.021732, 113.4106373 23.0216404, 113.4105612 23.0216054, 113.4105511 23.021624, 113.4105191 23.0216092, 113.410503 23.0216018, 113.4105461 23.0215229, 113.4102578 23.0213959, 113.4102192 23.0214775, 113.4102057 23.0214709, 113.4101875 23.021462, 113.4102008 23.0214361, 113.4101374 23.0214075, 113.4100899 23.0214943, 113.4101439 23.0215193, 113.4101551 23.0214987, 113.4101847 23.0215111, 113.4102006 23.0215177, 113.4101662 23.0215884, 113.4101511 23.0215814, 113.4100529 23.021536, 113.4099471 23.0217299))",,,,
way,540283142,"[5227224040, 5227224041, 5227224042, 5227224043, 5227224040]",university,"POLYGON ((113.4074422 23.0218055, 113.4074492 23.0213658, 113.4076396 23.0213684, 113.4076327 23.0218081, 113.4074422 23.0218055))",,,,
way,540283143,"[5227224044, 5227224045, 5227224046, 5227224047, 5227224044]",university,"POLYGON ((113.405228 23.022178, 113.4051014 23.022124, 113.4051785 23.0219708, 113.4053051 23.0220248, 113.405228 23.022178))",,,,
way,540283146,"[5227224056, 5227224057, 5227224058, 5227224059, 5227224056]",university,"POLYGON ((113.4053327 23.0222387, 113.4053346 23.0219722, 113.4055356 23.0219733, 113.4055337 23.0222399, 113.4053327 23.0222387))",,,,
way,540283147,"[5227224060, 5227224061, 5227224062, 5227224063, 5227224060]",university,"POLYGON ((113.4060513 23.0212242, 113.4059644 23.0210957, 113.4061212 23.021006, 113.4062081 23.0211345, 113.4060513 23.0212242))",,,,
way,1047005877,"[9627882821, 9627882822, 9627882823, 9627882824, 9627882825, 9627882826, 9627882827, 9627882828, 9627882829, 9627882821]",university,"POLYGON ((113.4068302 23.0226081, 113.407375 23.0226062, 113.407375 23.0224004, 113.4069562 23.0224023, 113.4069623 23.0222957, 113.4065822 23.0222957, 113.4065863 23.0225015, 113.4067306 23.0225015, 113.4068302 23.0225052, 113.4068302 23.0226081))",T5,,,
way,1047005878,"[9627882830, 9627882831, 9627882832, 9627882833, 9627882834, 9627882835, 9627882836, 9627882837, 9627882830]",university,"POLYGON ((113.4086921 23.0235341, 113.4092236 23.0235299, 113.4092298 23.0233285, 113.4087372 23.0233303, 113.4087383 23.0232194, 113.4084364 23.0232326, 113.4084379 23.0234122, 113.4086921 23.0234093, 113.4086921 23.0235341))",T10,,,
way,1047005879,"[9627882839, 9627882840, 9627882841, 9627882842, 9627882843, 9627882844, 9627882845, 9627882846, 9627882839]",university,"POLYGON ((113.4091926 23.0230795, 113.409732 23.0230774, 113.409739 23.0228839, 113.4093129 23.0228861, 113.409318 23.0227936, 113.4089832 23.0227938, 113.4089816 23.0229793, 113.4091961 23.0229796, 113.4091926 23.0230795))",T11,,,
way,1047005880,"[9627882847, 9627882848, 9627882849, 9627882850, 9627882851, 9627882852, 9627882853, 9627882854, 9627882847]",university,"POLYGON ((113.4091039 23.0223693, 113.4096129 23.0223671, 113.4096188 23.0222704, 113.4098464 23.0222683, 113.4098581 23.0220877, 113.4094436 23.0220856, 113.409439 23.0221737, 113.4091132 23.0221748, 113.4091039 23.0223693))",T12,,,
way,1047005883,"[9627882871, 9627882872, 9627882873, 9627882874, 9627882875, 9627882876, 9627882877, 9627882878, 9627882879, 9627882880, 9627882881, 9627882882, 9627882871]",university,"POLYGON ((113.4096432 23.0226511, 113.4097921 23.022649, 113.4097927 23.0226147, 113.4098226 23.0226147, 113.4098219 23.0226501, 113.4099512 23.022653, 113.4099678 23.0223219, 113.4098386 23.0223202, 113.4098321 23.0225094, 113.4097913 23.0225086, 113.4097974 23.0223216, 113.4096478 23.0223216, 113.4096432 23.0226511))",,,,
way,1047005884,"[9627882883, 9627882884, 9627882885, 9627882886, 9627882887, 9627882888, 9627882889, 9627882890, 9627882883]",university,"POLYGON ((113.4096393 23.0189113, 113.4099401 23.0183425, 113.4104138 23.0185408, 113.4103203 23.0187335, 113.4099503 23.018597, 113.4098548 23.0187653, 113.4102308 23.0189281, 113.4101393 23.0191096, 113.4096393 23.0189113))",,,,
