element_type,osmid,amenity,bicycle_parking,capacity,check_date:capacity,covered,geometry,access,fee,level,location
node,2451200783,bicycle_parking,stands,14,2021-07-09,no,POINT (-76.6199704 39.3269296),,,,
node,2451200821,bicycle_parking,rack,5,,no,POINT (-76.6195439 39.3274213),,,,
node,2451200824,bicycle_parking,stands,14,2021-07-09,no,POINT (-76.6200374 39.3274462),,,,
node,2496874890,bicycle_parking,anchors,14,,no,POINT (-76.6207535 39.3268383),,,,
node,2496874930,bicycle_parking,anchors,12,,no,POINT (-76.6209417 39.3273217),,,,
node,2496874939,bicycle_parking,anchors,14,,no,POINT (-76.6206487 39.3274126),,,,
node,4402679476,bicycle_parking,stands,14,,no,POINT (-76.6233643 39.3279658),,no,,
node,4402679482,bicycle_parking,stands,14,,no,POINT (-76.6214081 39.3279696),,no,,
node,8902250832,bicycle_parking,stands,10,,no,POINT (-76.621668 39.3278587),,,,
node,8908165937,bicycle_parking,stands,8,,no,POINT (-76.6218742 39.3292346),,,,
node,8942817569,bicycle_parking,stands,8,,no,POINT (-76.6197498 39.3287489),,,,
node,8942819328,bicycle_parking,stands,10,,no,POINT (-76.6213941 39.3294485),,,,
node,8942832652,bicycle_parking,stands,10,,no,POINT (-76.6205259 39.3287439),,,,
node,8990295067,bicycle_parking,rack,18,,yes,POINT (-76.6243982 39.3304214),,,0,
node,9159332104,bicycle_parking,stands,6,,no,POINT (-76.6208443 39.3306067),,,,
node,9159404305,bicycle_parking,stands,8,,no,POINT (-76.6187213 39.3308908),,,,
node,9159405293,bicycle_parking,stands,12,,no,POINT (-76.6196272 39.3282418),,,,
node,9159419431,bicycle_parking,stands,10,,no,POINT (-76.6212632 39.3284879),,,,
node,9159422269,bicycle_parking,stands,18,,no,POINT (-76.6190975 39.328884),,,,
node,9159425663,bicycle_parking,stands,10,,no,POINT (-76.6212071 39.3305918),,,,
node,9159493631,bicycle_parking,stands,,,no,POINT (-76.6186951 39.3304711),,,,
node,9162696977,bicycle_parking,stands,10,,no,POINT (-76.6211691 39.3287598),,,,
node,9162696982,bicycle_parking,stands,10,,no,POINT (-76.6211939 39.3292238),,,,
node,9169542281,bicycle_parking,wall_loops,14,,no,POINT (-76.6231485 39.3315808),,,,
node,9169551194,bicycle_parking,stands,22,,no,POINT (-76.6207904 39.3323891),,,,
node,9169557855,bicycle_parking,stands,18,,no,POINT (-76.6206028 39.3325751),,,,
node,9169557856,bicycle_parking,stands,8,,no,POINT (-76.6216941 39.3330162),,,,
node,9169564257,bicycle_parking,stands,12,,no,POINT (-76.6221045 39.3264384),,,,
node,9173308439,bicycle_parking,stands,8,,yes,POINT (-76.6214234 39.3267435),,,-1,underground
node,9184242647,bicycle_parking,stands,14,,no,POINT (-76.6208913 39.329833),,,,
node,9184242943,bicycle_parking,stands,16,,no,POINT (-76.6173232 39.3284752),,,,
node,9184250708,bicycle_parking,stands,12,,no,POINT (-76.620576 39.3295255),,,,
node,9191888515,bicycle_parking,,,,no,POINT (-76.622959 39.3255957),,,,
node,9191940485,bicycle_parking,stands,12,,no,POINT (-76.6207253 39.3265096),,,,
node,9191943541,bicycle_parking,rack,11,,yes,POINT (-76.6230218 39.3323548),yes,no,0,
node,9191947341,bicycle_parking,stands,22,,no,POINT (-76.6204906 39.3264406),,,,
node,9725294117,bicycle_parking,stands,8,,yes,POINT (-76.6248059 39.3308844),,,,
node,9735608087,bicycle_parking,stands,12,,no,POINT (-76.6206431 39.3280289),,,,
node,9760338197,bicycle_parking,rack,12,,no,POINT (-76.6172191 39.3255069),yes,,,
node,9764805127,bicycle_parking,stands,10,,no,POINT (-76.6221091 39.3275598),,,,
node,9764805159,bicycle_parking,stands,13,,no,POINT (-76.620045 39.3280501),,,,
node,10293907514,bicycle_parking,stands,10,,no,POINT (-76.6201187 39.3298767),,,,
node,10293907515,bicycle_parking,stands,14,,no,POINT (-76.6196679 39.3293367),,,,
node,10801868900,bicycle_parking,stands,8,,yes,POINT (-76.6217591 39.3343977),,,,
