u,v,key,osmid,highway,service,access,oneway,reversed,length,geometry,lanes,name,maxspeed,tunnel,bridge
49399869,4520153390,0,455651133,service,parking_aisle,private,False,True,85.036,"LINESTRING (-76.6234168 39.3255228, -76.6234484 39.3255226, -76.6235045 39.3254957, -76.6241013 39.3252117, -76.6239971 39.3250885)",,,,,
49399869,9193154110,0,899070759,service,,private,False,False,14.232,"LINESTRING (-76.6234168 39.3255228, -76.6234092 39.3255936, -76.623412 39.3256505)",,,,,
49399869,4520153377,0,"[5994013, 899070759]",service,,private,False,True,23.397000000000002,"LINESTRING (-76.6234168 39.3255228, -76.6234414 39.3254539, -76.6234784 39.3253728, -76.6235016 39.325323)",,,,,
49399894,5674155097,0,117445931,tertiary,,,False,False,106.302,"LINESTRING (-76.6238623 39.3262988, -76.6249177 39.3258014)",2,Wyman Park Drive,25 mph,,
49399894,4402679412,0,117445931,tertiary,,,False,True,43.627,"LINESTRING (-76.6238623 39.3262988, -76.6234292 39.326503)",2,Wyman Park Drive,25 mph,,
49399894,5674144015,0,206290692,unclassified,,,False,False,7.961,"LINESTRING (-76.6238623 39.3262988, -76.6238956 39.3263656)",2,Carnegie Way,20 mph,,
49399901,7137979226,0,206290692,unclassified,,,False,False,13.044,"LINESTRING (-76.6240493 39.3266946, -76.6240991 39.3268054)",2,Carnegie Way,20 mph,,
49399901,5674144015,0,206290692,unclassified,,,False,True,38.902,"LINESTRING (-76.6240493 39.3266946, -76.623909 39.3263986, -76.6238956 39.3263656)",2,Carnegie Way,20 mph,,
49399901,9180185744,0,"[914898898, 972996510]",footway,,,False,False,5.787,"LINESTRING (-76.6240493 39.3266946, -76.6240977 39.3266885, -76.6241153 39.3266848)",,,,,
49399901,4402679441,0,"[442592197, 972996510]",footway,,,False,True,22.863999999999997,"LINESTRING (-76.6240493 39.3266946, -76.6240077 39.3266999, -76.6239665 39.3267149, -76.6239249 39.3267393, -76.6238813 39.3267772, -76.6238417 39.3268124)",,,,,
49399906,7137979226,0,206290692,unclassified,,,False,True,20.184,"LINESTRING (-76.6241789 39.3269761, -76.6240991 39.3268054)",2,Carnegie Way,20 mph,,
49399906,7137979227,0,764043351,service,parking_aisle,,False,False,4.778,"LINESTRING (-76.6241789 39.3269761, -76.6242284 39.3269566)",,,,,
49399906,49399922,0,206290692,unclassified,,,False,False,102.024,"LINESTRING (-76.6241789 39.3269761, -76.6242286 39.3270843, -76.6242273 39.3277293, -76.6242279 39.3277964, -76.6242333 39.3278869)",2,Carnegie Way,20 mph,,
49399906,8975700308,0,442592191,footway,,,False,True,44.647999999999996,"LINESTRING (-76.6241789 39.3269761, -76.6240498 39.32702, -76.6237719 39.3271242, -76.6237161 39.3271559)",,,,,
