osmid,y,x,street_count,highway,geometry
49399869,39.3255228,-76.6234168,3,,POINT (-76.6234168 39.3255228)
49399894,39.3262988,-76.6238623,3,,POINT (-76.6238623 39.3262988)
49399901,39.3266946,-76.6240493,4,crossing,POINT (-76.6240493 39.3266946)
49399906,39.3269761,-76.6241789,4,,POINT (-76.6241789 39.3269761)
49399922,39.3278869,-76.6242333,3,,POINT (-76.6242333 39.3278869)
49399952,39.3301596,-76.6250695,4,,POINT (-76.6250695 39.3301596)
49399962,39.3255652,-76.621016,3,,POINT (-76.621016 39.3255652)
49409576,39.3294121,-76.619229,4,,POINT (-76.619229 39.3294121)
49409580,39.3296056,-76.6194906,4,,POINT (-76.6194906 39.3296056)
49409585,39.3297975,-76.6196904,3,,POINT (-76.6196904 39.3297975)
49409604,39.3300065,-76.6212104,6,,POINT (-76.6212104 39.3300065)
49411472,39.3253769,-76.622088,4,,POINT (-76.622088 39.3253769)
49411485,39.3255729,-76.6223366,3,,POINT (-76.6223366 39.3255729)
49418284,39.3307537,-76.6230725,3,stop,POINT (-76.6230725 39.3307537)
49418292,39.3308048,-76.6216831,3,,POINT (-76.6216831 39.3308048)
49418301,39.3305288,-76.6216095,3,,POINT (-76.6216095 39.3305288)
49418307,39.3301087,-76.6216879,3,,POINT (-76.6216879 39.3301087)
49418310,39.3298367,-76.6211606,4,,POINT (-76.6211606 39.3298367)
49418315,39.3295283,-76.6213875,3,,POINT (-76.6213875 39.3295283)
49418327,39.3289783,-76.6220782,3,,POINT (-76.6220782 39.3289783)
49451064,39.3328879,-76.6219425,4,,POINT (-76.6219425 39.3328879)
49451079,39.334138,-76.6221828,3,,POINT (-76.6221828 39.334138)
49542677,39.3310046,-76.6236798,3,,POINT (-76.6236798 39.3310046)
49542697,39.3312044,-76.6244479,3,,POINT (-76.6244479 39.3312044)
49542739,39.3330291,-76.6225033,3,,POINT (-76.6225033 39.3330291)
49542758,39.3338162,-76.6224917,4,crossing,POINT (-76.6224917 39.3338162)
49542873,39.3269735,-76.6235847,4,crossing,POINT (-76.6235847 39.3269735)
49542883,39.3278205,-76.6232729,4,crossing,POINT (-76.6232729 39.3278205)
49566367,39.3265425,-76.6233455,3,stop,POINT (-76.6233455 39.3265425)
244355183,39.3326359,-76.6202355,3,,POINT (-76.6202355 39.3326359)
244355187,39.3324212,-76.6202476,3,,POINT (-76.6202476 39.3324212)
244355188,39.3322353,-76.6201866,3,,POINT (-76.6201866 39.3322353)
244355192,39.3320408,-76.6203415,3,,POINT (-76.6203415 39.3320408)
244355204,39.3324907,-76.6205118,3,,POINT (-76.6205118 39.3324907)
244357722,39.3310767,-76.6199997,3,,POINT (-76.6199997 39.3310767)
244357723,39.3311451,-76.6200049,3,,POINT (-76.6200049 39.3311451)
244453009,39.3296476,-76.6182661,3,,POINT (-76.6182661 39.3296476)
244453016,39.3306737,-76.6189382,5,,POINT (-76.6189382 39.3306737)
244453017,39.3305593,-76.6191214,3,,POINT (-76.6191214 39.3305593)
244453018,39.3304072,-76.6192163,6,,POINT (-76.6192163 39.3304072)
244453021,39.3300613,-76.6197876,4,,POINT (-76.6197876 39.3300613)
244453055,39.3292939,-76.6197693,3,,POINT (-76.6197693 39.3292939)
244453056,39.3287935,-76.6197356,4,,POINT (-76.6197356 39.3287935)
244453058,39.3307674,-76.6191325,3,,POINT (-76.6191325 39.3307674)
244453060,39.3310208,-76.6194456,3,,POINT (-76.6194456 39.3310208)
244453061,39.3310124,-76.6196688,4,,POINT (-76.6196688 39.3310124)
244453217,39.3299382,-76.6201087,5,,POINT (-76.6201087 39.3299382)
244453220,39.3299041,-76.6208628,4,,POINT (-76.6208628 39.3299041)
244453221,39.3292702,-76.620384,5,,POINT (-76.620384 39.3292702)
244453222,39.3292653,-76.62051,4,,POINT (-76.62051 39.3292653)
244453223,39.3292456,-76.6210207,4,,POINT (-76.6210207 39.3292456)
244453225,39.3287438,-76.6209933,4,,POINT (-76.6209933 39.3287438)
244453226,39.328764,-76.620482,4,,POINT (-76.620482 39.328764)
244453227,39.3287691,-76.6203529,4,,POINT (-76.6203529 39.3287691)
244453237,39.3290329,-76.619982,4,,POINT (-76.619982 39.3290329)
244453238,39.3289625,-76.6199133,4,,POINT (-76.6199133 39.3289625)
244453239,39.3287909,-76.6198019,3,,POINT (-76.6198019 39.3287909)
244453240,39.328892,-76.6201276,3,,POINT (-76.6201276 39.328892)
244453242,39.3292915,-76.6198312,4,,POINT (-76.6198312 39.3292915)
244453248,39.3289859,-76.6197486,3,,POINT (-76.6197486 39.3289859)
244453280,39.3274011,-76.6193609,4,,POINT (-76.6193609 39.3274011)
244453291,39.3267614,-76.6190392,3,,POINT (-76.6190392 39.3267614)
244453294,39.3286889,-76.6190784,3,,POINT (-76.6190784 39.3286889)
244453296,39.3286812,-76.6187317,3,,POINT (-76.6187317 39.3286812)
244453308,39.3285062,-76.6190446,4,,POINT (-76.6190446 39.3285062)
244453311,39.3284805,-76.6186501,3,,POINT (-76.6186501 39.3284805)
244453313,39.3286375,-76.61856,3,,POINT (-76.61856 39.3286375)
244453389,39.3313031,-76.6213191,4,,POINT (-76.6213191 39.3313031)
244453391,39.3312334,-76.6216923,4,,POINT (-76.6216923 39.3312334)
244453393,39.3314182,-76.6222894,3,,POINT (-76.6222894 39.3314182)
244453396,39.3309172,-76.6213484,3,,POINT (-76.6213484 39.3309172)
244453397,39.3310695,-76.6213646,4,,POINT (-76.6213646 39.3310695)
244453400,39.3316287,-76.6210683,4,,POINT (-76.6210683 39.3316287)
244453403,39.332041,-76.6206311,3,,POINT (-76.6206311 39.332041)
244453406,39.3305649,-76.6212819,3,,POINT (-76.6212819 39.3305649)
244453409,39.3305708,-76.6210956,3,,POINT (-76.6210956 39.3305708)
244453413,39.3302974,-76.6205155,4,,POINT (-76.6205155 39.3302974)
244453415,39.3304724,-76.6201274,4,,POINT (-76.6201274 39.3304724)
