element_type,osmid,nodes,building,layer,geometry,name,leisure,amenity,ways,type
way,409744650,"[4116113642, 4116113657, 4116113653, 4116113662, 4116113665, 4116113676, 4116113663, 4116113670, 4116113666, 4116113659, 4116113655, 4116113644, 4116113641, 4116113639, 4116113649, 4116113647, 4116113652, 4116113648, 4116113645, 4116113637, 4116113626, 4116113627, 4116113621, 4116113617, 4116113607, 4116113618, 4116113614, 4116113616, 4116113628, 4116113632, 4116113634, 4116113622, 4116113625, 4116113629, 4116113642]",yes,1,"POLYGON ((103.733122 36.0579729, 103.733194 36.0581248, 103.7332972 36.0580929, 103.7333334 36.0581692, 103.7332558 36.0581932, 103.7333012 36.0582889, 103.7336746 36.0581733, 103.7337047 36.0582369, 103.7338294 36.0581984, 103.7337992 36.0581347, 103.7338722 36.0581121, 103.7338122 36.0579855, 103.7338628 36.0579698, 103.7340169 36.0579221, 103.7340769 36.0580487, 103.734161 36.0580227, 103.7341889 36.0580816, 103.7343049 36.0580457, 103.734277 36.0579868, 103.7346281 36.0578781, 103.7345816 36.0577797, 103.7345323 36.057795, 103.7344999 36.0577265, 103.7345832 36.0577007, 103.7345087 36.0575436, 103.7339845 36.0577059, 103.7339629 36.0576602, 103.7338717 36.0576884, 103.7339237 36.0577983, 103.7337949 36.0578382, 103.7337353 36.0578567, 103.7336829 36.057746, 103.733594 36.0577736, 103.733616 36.0578199, 103.733122 36.0579729))",,,,,
way,409744654,"[4116113322, 4116113312, 4116113306, 4116113314, 4116113322]",yes,,"POLYGON ((103.731818 36.0556804, 103.7324617 36.0554874, 103.7323956 36.0553432, 103.7317519 36.0555362, 103.731818 36.0556804))",C,,,,
way,409744658,"[4116113708, 4116113694, 4116113685, 4116113698, 4116113708]",yes,,"POLYGON ((103.7333956 36.0587622, 103.7340071 36.0585735, 103.7339385 36.058428, 103.7333269 36.0586167, 103.7333956 36.0587622))",A,,,,
way,409744663,"[4116113772, 4116113750, 4116113743, 4411572228, 4116113757, 4116113772]",yes,,"POLYGON ((103.7350159 36.0596142, 103.7356266 36.0594258, 103.7355582 36.0592808, 103.7350352 36.0594421, 103.7349475 36.0594691, 103.7350159 36.0596142))",H,,,,
way,409744667,"[4116113327, 4116113315, 4116113311, 4116113318, 4116113327]",yes,,"POLYGON ((103.7330733 36.0557476, 103.733717 36.0555546, 103.7336509 36.0554104, 103.7330071 36.0556034, 103.7330733 36.0557476))",B,,,,
way,409744674,"[4116113162, 4116113149, 4116113140, 4116113153, 4116113162]",yes,,"POLYGON ((103.7313826 36.0549198, 103.7320263 36.0547268, 103.7319602 36.0545826, 103.7313164 36.0547756, 103.7313826 36.0549198))",G,,,,
way,409744682,"[4116113733, 4116113725, 4116113716, 4116113727, 4116113733]",yes,,"POLYGON ((103.7335345 36.0591743, 103.7341461 36.0589856, 103.7340774 36.0588401, 103.7334659 36.0590288, 103.7335345 36.0591743))",C,,,,
way,409744683,"[4116113717, 4116113701, 4116113691, 4116113704, 4116113717]",yes,,"POLYGON ((103.7346289 36.0588425, 103.7352404 36.0586539, 103.7351717 36.0585084, 103.7345602 36.058697, 103.7346289 36.0588425))",D,,,,
way,409744685,"[4116113138, 4116113127, 4116113118, 4116113132, 4116113138]",yes,,"POLYGON ((103.7325824 36.0545311, 103.7332262 36.0543381, 103.73316 36.0541939, 103.7325163 36.0543869, 103.7325824 36.0545311))",H,,,,
way,409744694,"[4116113305, 4116113185, 4116113172, 4116113289, 4116113305]",yes,,"POLYGON ((103.7329338 36.0553291, 103.7335775 36.0551361, 103.7335114 36.0549919, 103.7328677 36.0551849, 103.7329338 36.0553291))",D,,,,
