u,v,key,osmid,highway,oneway,reversed,length,geometry,tunnel
4116113044,4116113093,0,409744748,service,False,True,209.045,"LINESTRING (103.7301662 36.0522764, 103.7286542 36.0537047)",
4116113044,4116113137,0,409744748,service,False,False,264.188,"LINESTRING (103.7301662 36.0522764, 103.7301072 36.0524325, 103.7301394 36.0525453, 103.7310741 36.0545013)",
4116113093,4116113175,0,409744728,service,False,False,170.628,"LINESTRING (103.7286542 36.0537047, 103.7296056 36.0550325)",
4116113093,4116113044,0,409744748,service,False,False,209.045,"LINESTRING (103.7286542 36.0537047, 103.7301662 36.0522764)",
4116113093,8555317191,0,409744748,service,False,True,300.539,"LINESTRING (103.7286542 36.0537047, 103.7276814 36.0545557, 103.7275645 36.0546661, 103.7272158 36.0551042, 103.7270388 36.0553903, 103.7269583 36.0556288, 103.7269852 36.0557156, 103.7270828 36.0559222)",
4116113137,4116113143,0,409744748,service,False,False,12.509,"LINESTRING (103.7310741 36.0545013, 103.73112 36.0546075)",
4116113137,4116113044,0,409744748,service,False,True,264.188,"LINESTRING (103.7310741 36.0545013, 103.7301394 36.0525453, 103.7301072 36.0524325, 103.7301662 36.0522764)",
4116113143,4116113175,0,409744732,service,False,False,144.108,"LINESTRING (103.73112 36.0546075, 103.7296056 36.0550325)",
4116113143,4116113137,0,409744748,service,False,True,12.509,"LINESTRING (103.73112 36.0546075, 103.7310741 36.0545013)",
4116113143,8603649088,0,409744732,service,False,True,374.91999999999996,"LINESTRING (103.73112 36.0546075, 103.7347206 36.053597, 103.7348268 36.0538744)",
4116113175,8555317190,0,409744728,service,False,False,19.253,"LINESTRING (103.7296056 36.0550325, 103.7296665 36.0551985)",
4116113175,4116113093,0,409744728,service,False,True,170.628,"LINESTRING (103.7296056 36.0550325, 103.7286542 36.0537047)",
4116113175,4116113143,0,409744732,service,False,True,144.108,"LINESTRING (103.7296056 36.0550325, 103.73112 36.0546075)",
4116113336,4116113379,0,409744732,service,False,True,114.41,"LINESTRING (103.7350693 36.0560712, 103.7355253 36.0570318)",
4116113336,4116113362,0,409744748,service,False,False,176.216,"LINESTRING (103.7350693 36.0560712, 103.733241 36.0566428)",
4116113336,8603649088,0,409744732,service,False,False,246.945,"LINESTRING (103.7350693 36.0560712, 103.7350157 36.0557395, 103.7350145 36.0555681, 103.7350103 36.0549154, 103.7349996 36.0543256, 103.7348268 36.0538744)",
4116113362,4116113611,0,409744741,path,False,False,113.537,"LINESTRING (103.733241 36.0566428, 103.7337011 36.0575937)",
4116113362,4116113605,0,409744748,service,False,False,271.765,"LINESTRING (103.733241 36.0566428, 103.7304213 36.0575243)",
4116113362,4116113336,0,409744748,service,False,True,176.216,"LINESTRING (103.733241 36.0566428, 103.7350693 36.0560712)",
4116113379,4116113336,0,409744732,service,False,False,114.41,"LINESTRING (103.7355253 36.0570318, 103.7350693 36.0560712)",
4116113379,4116113591,0,409744771,service,False,True,97.447,"LINESTRING (103.7355253 36.0570318, 103.7345101 36.0573391)",
4116113379,4183954070,0,409744732,service,False,True,103.73499999999999,"LINESTRING (103.7355253 36.0570318, 103.7355896 36.0571663, 103.7359759 36.0575089, 103.7363043 36.0576966)",
4116113591,4116113643,0,409744769,service,False,True,80.125,"LINESTRING (103.7345101 36.0573391, 103.734905 36.0579851)",
4116113591,4116113379,0,409744771,service,False,False,97.447,"LINESTRING (103.7345101 36.0573391, 103.7355253 36.0570318)",
4116113591,4116113611,0,409744771,service,False,True,78.04,"LINESTRING (103.7345101 36.0573391, 103.7337011 36.0575937)",
4116113605,4183954092,0,409744728,service,False,False,55.609,"LINESTRING (103.7304213 36.0575243, 103.7306397 36.0579922)",
4116113605,4183954063,0,409744748,service,False,False,36.846,"LINESTRING (103.7304213 36.0575243, 103.730039 36.0576438)",
4116113605,4116113362,0,409744748,service,False,True,271.765,"LINESTRING (103.7304213 36.0575243, 103.733241 36.0566428)",
4116113605,8555317190,0,409744728,service,False,True,267.423,"LINESTRING (103.7304213 36.0575243, 103.7302225 36.0569147, 103.7298792 36.0557785, 103.7296665 36.0551985)",
4116113611,4116113362,0,409744741,path,False,True,113.537,"LINESTRING (103.7337011 36.0575937, 103.733241 36.0566428)",
4116113611,4116113591,0,409744771,service,False,False,78.04,"LINESTRING (103.7337011 36.0575937, 103.7345101 36.0573391)",
4116113611,4116113630,0,409744771,service,False,True,77.384,"LINESTRING (103.7337011 36.0575937, 103.732891 36.0578291)",
4116113611,4116113671,0,"[409744736, 409744739, 409744744]",pedestrian,False,False,76.818,"LINESTRING (103.7337011 36.0575937, 103.7337949 36.0578382, 103.7338628 36.0579698, 103.7340018 36.0582396)",building_passage
4116113630,4116113689,0,409744731,service,False,False,72.048,"LINESTRING (103.732891 36.0578291, 103.7330627 36.058462)",
4116113630,4116113611,0,409744771,service,False,False,77.384,"LINESTRING (103.732891 36.0578291, 103.7337011 36.0575937)",
4116113630,4116113687,0,409744771,service,False,True,195.735,"LINESTRING (103.732891 36.0578291, 103.7308518 36.0584463)",
