osmid,y,x,street_count,geometry
4116113044,36.0522764,103.7301662,4,POINT (103.7301662 36.0522764)
4116113093,36.0537047,103.7286542,3,POINT (103.7286542 36.0537047)
4116113137,36.0545013,103.7310741,3,POINT (103.7310741 36.0545013)
4116113143,36.0546075,103.73112,3,POINT (103.73112 36.0546075)
4116113175,36.0550325,103.7296056,3,POINT (103.7296056 36.0550325)
4116113336,36.0560712,103.7350693,3,POINT (103.7350693 36.0560712)
4116113362,36.0566428,103.733241,3,POINT (103.733241 36.0566428)
4116113379,36.0570318,103.7355253,3,POINT (103.7355253 36.0570318)
4116113591,36.0573391,103.7345101,3,POINT (103.7345101 36.0573391)
4116113605,36.0575243,103.7304213,4,POINT (103.7304213 36.0575243)
4116113611,36.0575937,103.7337011,4,POINT (103.7337011 36.0575937)
4116113630,36.0578291,103.732891,3,POINT (103.732891 36.0578291)
4116113636,36.0578623,103.7293401,3,POINT (103.7293401 36.0578623)
4116113643,36.0579851,103.734905,3,POINT (103.734905 36.0579851)
4116113654,36.0581008,103.7285569,3,POINT (103.7285569 36.0581008)
4116113671,36.0582396,103.7340018,3,POINT (103.7340018 36.0582396)
4116113687,36.0584463,103.7308518,4,POINT (103.7308518 36.0584463)
4116113689,36.058462,103.7330627,3,POINT (103.7330627 36.058462)
4116113695,36.0585773,103.7287648,3,POINT (103.7287648 36.0585773)
4116113711,36.0587736,103.729757,3,POINT (103.729757 36.0587736)
4116113726,36.0589963,103.7290343,3,POINT (103.7290343 36.0589963)
4116113745,36.0592983,103.7314349,3,POINT (103.7314349 36.0592983)
4116113769,36.059584,103.735815,3,POINT (103.735815 36.059584)
4116113779,36.0596528,103.7301777,4,POINT (103.7301777 36.0596528)
4116113808,36.0599368,103.7318562,3,POINT (103.7318562 36.0599368)
4116113811,36.0599721,103.7291926,3,POINT (103.7291926 36.0599721)
4116113827,36.0601782,103.7336534,3,POINT (103.7336534 36.0601782)
4116113845,36.0603552,103.7305429,3,POINT (103.7305429 36.0603552)
4116113882,36.060695,103.7294763,3,POINT (103.7294763 36.060695)
4116113884,36.060718,103.7322288,3,POINT (103.7322288 36.060718)
4116113903,36.0611083,103.7311774,3,POINT (103.7311774 36.0611083)
4183954063,36.0576438,103.730039,3,POINT (103.730039 36.0576438)
4183954070,36.0576966,103.7363043,3,POINT (103.7363043 36.0576966)
4183954083,36.0578852,103.7292649,3,POINT (103.7292649 36.0578852)
4183954085,36.0578953,103.7299743,3,POINT (103.7299743 36.0578953)
4183954092,36.0579922,103.7306397,3,POINT (103.7306397 36.0579922)
4183954097,36.0580782,103.7299273,3,POINT (103.7299273 36.0580782)
4183954100,36.0580974,103.7302911,4,POINT (103.7302911 36.0580974)
4183954106,36.0581686,103.7300844,3,POINT (103.7300844 36.0581686)
4183954108,36.0581919,103.729755,3,POINT (103.729755 36.0581919)
4183954116,36.0582817,103.7294613,3,POINT (103.7294613 36.0582817)
4183954118,36.0583029,103.7300568,3,POINT (103.7300568 36.0583029)
4183954124,36.0583288,103.7298203,3,POINT (103.7298203 36.0583288)
4183954134,36.0584159,103.7295278,3,POINT (103.7295278 36.0584159)
4183954135,36.0584203,103.7302337,3,POINT (103.7302337 36.0584203)
4183954143,36.0585656,103.7304527,3,POINT (103.7304527 36.0585656)
4183954174,36.0587866,103.7297114,3,POINT (103.7297114 36.0587866)
5618303788,36.0565123,103.7286813,1,POINT (103.7286813 36.0565123)
6428138078,36.0595636,103.7305292,3,POINT (103.7305292 36.0595636)
6428138079,36.0602706,103.7308084,4,POINT (103.7308084 36.0602706)
8555317190,36.0551985,103.7296665,3,POINT (103.7296665 36.0551985)
8555317191,36.0559222,103.7270828,3,POINT (103.7270828 36.0559222)
8603649082,36.0587323,103.735427,3,POINT (103.735427 36.0587323)
8603649083,36.0582672,103.7370323,3,POINT (103.7370323 36.0582672)
8603649088,36.0538744,103.7348268,3,POINT (103.7348268 36.0538744)
