element_type,osmid,description,operator,wheelchair,geometry,man_made,addr:city,addr:state,building,ele,gnis:county_name,gnis:feature_id,gnis:import_uuid,gnis:reviewed,name,source,amenity,parking,access,tourism,nodes,addr:housenumber,addr:postcode,addr:street,alt_name,building:levels,height,ref,roof:colour,short_name,wikidata,addr:housename,architect,building:material,campusbuilding,location,roof:shape,building:colour,wikipedia,roof:material,name:en,roof:levels,internet_access,layer,operator:type,website,designation,old_name,denomination,gnis:county_id,gnis:created,gnis:state_id,religion,year_of_construction,official_name,alt_name:en,phone,image,source_ref,name:tr,note,check_date,fee,landuse,nohousenumber,roof:height,material,full_name,building:facade:colour,building:levels:underground,faculty,addr:place,leisure,sport,bridge,building:part,plant:method,plant:output:electricity,plant:output:hot_water,plant:source,power,ref:US:EIA,start_date,fixme,min_height,smoking,building:min_level,bicycle_parking,abbr_name,opening_date,min_level,ways,type
node,367777182,,,,POINT (-71.0939408 42.3603751),,Cambridge,MA,yes,3,Middlesex,1971093,57871b70-0100-4405-bb30-88b2e001a944,no,Center for Advanced Engineering Study,USGS Geonames,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,367777196,,,,POINT (-71.0919942 42.3612286),,,MA,yes,3,Middlesex,1971199,57871b70-0100-4405-bb30-88b2e001a944,no,Edgerton Germeshausen and Grier Education Center,USGS Geonames,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,367779845,,,,POINT (-71.0870948 42.3600075),,Cambridge,MA,yes,3,Middlesex,1970964,57871b70-0100-4405-bb30-88b2e001a944,no,Atkinson Building,USGS Geonames,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,367780020,,,,POINT (-71.086693 42.3600142),,Cambridge,MA,yes,3,Middlesex,1971364,57871b70-0100-4405-bb30-88b2e001a944,no,Holman Building,USGS Geonames,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,367780040,,,,POINT (-71.0882642 42.3606214),,,MA,yes,3,Middlesex,1971288,57871b70-0100-4405-bb30-88b2e001a944,no,Goodale Building,USGS Geonames,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,367780105,,,,POINT (-71.0883821 42.3602922),,,MA,yes,3,Middlesex,1971194,57871b70-0100-4405-bb30-88b2e001a944,no,East Campus Alumni Houses,USGS Geonames,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,367780128,,,,POINT (-71.086561 42.3597873),,Cambridge,MA,yes,3,Middlesex,1971155,57871b70-0100-4405-bb30-88b2e001a944,no,Crafts Building,USGS Geonames,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,367780163,,,,POINT (-71.0980562 42.3597824),,,MA,yes,3,Middlesex,1970996,57871b70-0100-4405-bb30-88b2e001a944,no,Bitter National Magnet Laboratory,USGS Geonames,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,367780176,,,,POINT (-71.0873199 42.3599404),,Cambridge,MA,yes,3,Middlesex,1971844,57871b70-0100-4405-bb30-88b2e001a944,no,Ware Building,USGS Geonames,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,367780186,,,,POINT (-71.0888289 42.3605019),,,MA,yes,3,Middlesex,1971876,57871b70-0100-4405-bb30-88b2e001a944,no,Wood Building,USGS Geonames,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,367780235,,,,POINT (-71.0869188 42.3600619),,Cambridge,MA,yes,3,Middlesex,1971702,57871b70-0100-4405-bb30-88b2e001a944,no,Runkle House,USGS Geonames,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,367780253,,,,POINT (-71.0906074 42.3623194),,,MA,yes,3,Middlesex,1971637,57871b70-0100-4405-bb30-88b2e001a944,no,Parsons Laboratory for Water Resources and Hydrodynamics,USGS Geonames,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,367780267,,,,POINT (-71.0866135 42.3598907),,Cambridge,MA,yes,3,Middlesex,1971593,57871b70-0100-4405-bb30-88b2e001a944,no,Nichols Building,USGS Geonames,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
