element_type,osmid,amenity,bicycle_parking,capacity,covered,name,geometry,check_date:capacity,access,colour,direction,fee,indoor,location,material,support,surface,check_date,survey:date,nodes,building,height,operator,building:levels
node,441287631,bicycle_parking,stands,10,no,LiveableStreets,POINT (-71.1029331 42.359887),,,,,,,,,,,,,,,,,
node,981577061,bicycle_parking,stands,34,no,,POINT (-71.0887346 42.3620993),,,,,,,,,,,,,,,,,
node,981577094,bicycle_parking,stands,16,no,,POINT (-71.0897568 42.3621426),2021-10-12,,,,,,,,,,,,,,,,
node,981594738,bicycle_parking,stands,38,no,,POINT (-71.0841526 42.3609185),,,,,,,,,,,,,,,,,
node,981594740,bicycle_parking,stands,9,no,,POINT (-71.0831945 42.3607247),,yes,silver,70,no,no,outdoor,metal,ground,concrete,,,,,,,
node,1982204860,bicycle_parking,stands,52,no,Bike Rack,POINT (-71.0866418 42.3605752),,,,,,,,,,,,,,,,,
node,1982211595,bicycle_parking,stands,14,no,,POINT (-71.0885853 42.359621),,,,,,,,,,,,,,,,,
node,1982212064,bicycle_parking,stands,20,no,,POINT (-71.089068 42.3594121),,,,,,,,,,,2023-07-31,,,,,,
node,1982212704,bicycle_parking,stands,18,no,,POINT (-71.0950016 42.3587069),,,,,,,,,,,,,,,,,
node,1982213354,bicycle_parking,stands,100,yes,,POINT (-71.0943257 42.359143),,,,,,,,,,,,,,,,,
node,1982214742,bicycle_parking,stands,15,no,,POINT (-71.0880171 42.360126),,,,,,,,,,,,,,,,,
node,1982219083,bicycle_parking,stands,15,no,,POINT (-71.0903795 42.3585565),,,,,,,,,,,,,,,,,
node,1982221450,bicycle_parking,stands,15,no,,POINT (-71.0880039 42.3608668),,,,,,,,,,,,,,,,,
node,1982226094,bicycle_parking,stands,20,yes,,POINT (-71.0911201 42.3607018),,,,,,,,,,,,,,,,,
node,1982226095,bicycle_parking,stands,12,no,,POINT (-71.0907637 42.3608475),,,,,,,,,,,,,,,,,
node,1982228737,bicycle_parking,stands,62,no,,POINT (-71.0897337 42.3613311),,,,,,,,,,,,,,,,,
node,1982229101,bicycle_parking,stands,32,no,,POINT (-71.0895283 42.3609439),,,,,,,,,,,,,,,,,
node,2332497163,bicycle_parking,stands,44,yes,Zesiger Center bike stands,POINT (-71.096169 42.3582444),,,,,,,,,,,,,,,,,
node,2332497164,bicycle_parking,stands,56,yes,Zesiger center bike stands,POINT (-71.0963568 42.3589421),,,,,,,,,,,,,,,,,
node,3555118739,bicycle_parking,stands,34,no,,POINT (-71.0894278 42.3607104),,,,,,,,,,,,,,,,,
node,3556678673,bicycle_parking,rack,24,no,,POINT (-71.0923324 42.3579959),,,,,,,,,,,,,,,,,
node,3566470729,bicycle_parking,stands,12,yes,,POINT (-71.0874162 42.361097),,,,,,,,,,,,,,,,,
node,3566470730,bicycle_parking,stands,46,no,,POINT (-71.085917 42.3612252),,,,,,,,,,,,,,,,,
node,6114648230,bicycle_parking,stands,6,no,,POINT (-71.0994665 42.3594223),,,,,,,,,,,,,,,,,
node,6114648232,bicycle_parking,stands,26,no,,POINT (-71.1005733 42.3589025),,,,,,,,,,,,,,,,,
node,6969309085,bicycle_parking,stands,8,yes,,POINT (-71.0926215 42.3610218),,,,,,,,,,,,2019-11-09,,,,,
node,7865559338,bicycle_parking,stands,8,no,,POINT (-71.0824021 42.3609916),,yes,silver,70,no,no,outdoor,metal,ground,concrete,,,,,,,
node,9163452260,bicycle_parking,stands,,no,,POINT (-71.1012044 42.3574345),,,,,,,,,,,,,,,,,
node,9163452261,bicycle_parking,wave,18,no,,POINT (-71.1022636 42.3569029),,,,,,,,,,,,,,,,,
node,9163452262,bicycle_parking,stands,38,yes,,POINT (-71.093251 42.3596716),,,,,,,,,,,,,,,,,
node,9163452263,bicycle_parking,stands,36,no,,POINT (-71.0940062 42.3598122),,,,,,,,,,,,,,,,,
node,9163452264,bicycle_parking,stands,40,no,,POINT (-71.0936957 42.3595407),,,,,,,,,,,,,,,,,
node,9163452265,bicycle_parking,stands,34,yes,,POINT (-71.0931292 42.3598809),,permissive,,,,,,,,,,,,,,,
node,9163452266,bicycle_parking,stands,19,no,,POINT (-71.0889906 42.3596037),,,,,,,,,,,,,,,,,
node,9177438820,bicycle_parking,stands,10,no,,POINT (-71.100139 42.3577238),,,,,,,,,,,,,,,,,
node,9332964156,bicycle_parking,shed,,yes,,POINT (-71.0929406 42.3596928),,private,,,,,,,,,,,,,,,
node,9332964161,bicycle_parking,stands,34,no,,POINT (-71.091854 42.36053),,,,,,,,,,,,,,,,,
node,9332964162,bicycle_parking,stands,24,no,,POINT (-71.0907213 42.3609586),,,,,,,,,,,,,,,,,
node,9856950589,bicycle_parking,stands,10,no,,POINT (-71.0895994 42.3625634),,,,,,,,,,,,,,,,,
node,9856950591,bicycle_parking,stands,8,no,,POINT (-71.090203 42.3620886),,,,,,,,,,,,,,,,,
node,9856950592,bicycle_parking,stands,12,,,POINT (-71.0912439 42.3617721),,,,,,,,,,,,,,,,,
node,9856950593,bicycle_parking,stands,6,yes,,POINT (-71.0912208 42.3614822),,,,,,,,,,,,,,,,,
node,9856950596,bicycle_parking,,,no,,POINT (-71.0910875 42.3622811),,,,,,,,,,,,,,,,,
node,9856950597,bicycle_parking,stands,5,no,,POINT (-71.0920978 42.3612457),,,,,,,,,,,,,,,,,
node,9856950598,bicycle_parking,rack,5,no,,POINT (-71.0919784 42.3612924),,,,,,,,,,,,,,,,,
node,9856950599,bicycle_parking,stands,32,no,,POINT (-71.0924224 42.3606867),,,,,,,,,,,,,,,,,
node,9856950600,bicycle_parking,rack,28,no,,POINT (-71.0937878 42.3598942),,,,,,,,,,,,,,,,,
node,9856950601,bicycle_parking,stands,24,no,,POINT (-71.0939548 42.3597586),,,,,,,,,,,,,,,,,
node,9856950602,bicycle_parking,stands,12,no,,POINT (-71.0947014 42.3598252),,,,,,,,,,,,,,,,,
node,9856950603,bicycle_parking,bollard,6,no,,POINT (-71.0952398 42.3602832),,,,,,,,,,,,,,,,,
node,9856980233,bicycle_parking,stands,12,no,,POINT (-71.0905683 42.3626321),,,,,,,,,,,,,,,,,
node,9856980234,bicycle_parking,rack,36,no,,POINT (-71.0906461 42.3625997),,,,,,,,,,,,,,,,,
node,9920194528,bicycle_parking,bollard,2,no,,POINT (-71.0955009 42.3604182),,,,,,,,,,,,,,,,,
node,10805487365,bicycle_parking,stands,10,no,,POINT (-71.0941755 42.3577321),,,,,,,,,,,,,,,,,
node,10805498839,bicycle_parking,post_hoop,16,no,,POINT (-71.0936655 42.3578709),,,,,,,,,,,,,,,,,
node,10805498841,bicycle_parking,post_hoop,16,no,,POINT (-71.0934232 42.3579743),,,,,,,,,,,,,,,,,
node,11079019339,bicycle_parking,,,,,POINT (-71.1016413 42.3550529),,,,,,,,,,,,,,,,,
node,11079019340,bicycle_parking,,,,,POINT (-71.1013452 42.3549427),,,,,,,,,,,,,,,,,
node,11079019346,bicycle_parking,,,,,POINT (-71.1004277 42.3553877),,,,,,,,,,,,,,,,,
node,11435037159,bicycle_parking,stands,11,no,,POINT (-71.0927694 42.3602265),,,,,,,,,,,,,,,,,
node,11435037160,bicycle_parking,,,,,POINT (-71.0911796 42.3607784),,,,,,,,,,,,,,,,,
node,11506482040,bicycle_parking,rack,22,no,,POINT (-71.0987361 42.3598499),,,,,,,,,,,,,,,,,
node,11589756876,bicycle_parking,,,,,POINT (-71.095705 42.3594406),,,,,,,,,,,,,,,,,
node,11594907421,bicycle_parking,stands,,yes,,POINT (-71.0919853 42.3602241),,,,,,,,,,,,,,,,,
node,11594907422,bicycle_parking,stands,,no,,POINT (-71.091321 42.3599293),,,,,,,,,,,,,,,,,
node,11594907427,bicycle_parking,,,yes,,POINT (-71.0896326 42.3597251),,,,,,,,,,,,,,,,,
node,11594907428,bicycle_parking,,,no,,POINT (-71.089228 42.3595195),,,,,,,,,,,,,,,,,
node,11602984628,bicycle_parking,stands,34,yes,,POINT (-71.0927763 42.3599988),,permissive,,,,,,,,,,,,,,,
node,11602984629,bicycle_parking,stands,34,yes,,POINT (-71.0921487 42.3602022),,permissive,,,,,,,,,,,,,,,
node,11603506327,bicycle_parking,stands,20,no,,POINT (-71.086866 42.361159),,,,,no,,,,,,,,,,,,
node,11632279549,bicycle_parking,,,,,POINT (-71.0883569 42.3622408),,,,,,,,,,,,,,,,,
node,11632279550,bicycle_parking,,,,,POINT (-71.0883633 42.3621843),,,,,,,,,,,,,,,,,
node,11669438569,bicycle_parking,stands,,no,,POINT (-71.0868407 42.3601621),,,,,,,,,,,,,,,,,
way,817075936,bicycle_parking,stands,38,no,,"POLYGON ((-71.0846539 42.3609264, -71.0845515 42.3609598, -71.0845361 42.360934, -71.084639 42.3609011, -71.0846539 42.3609264))",,yes,,,,,,,,,,,"[7631024564, 7631024565, 7631024566, 2292078739, 7631024564]",,,,
way,966549581,bicycle_parking,shed,,,,"POLYGON ((-71.0941871 42.357713, -71.0940781 42.3575369, -71.0940004 42.3575632, -71.0941093 42.3577393, -71.0941871 42.357713))",,private,,,,,,,,,,,"[8942282844, 8942282845, 8942282846, 8942282847, 8942282844]",yes,3.1,Massachusetts Institute of Technology,
way,980619103,bicycle_parking,shed,,,,"POLYGON ((-71.1011134 42.3549088, -71.1010167 42.3547517, -71.1009274 42.3547817, -71.1009388 42.3547997, -71.1010266 42.3549388, -71.1011134 42.3549088))",,private,,,,,,,,,,,"[9070976106, 9070976107, 9070976108, 9070976118, 9070976109, 9070976106]",yes,,,1
way,980619111,bicycle_parking,shed,,,,"POLYGON ((-71.1000791 42.3555866, -71.100027 42.3555004, -71.0998254 42.3555671, -71.0998195 42.3555691, -71.0998561 42.3556286, -71.0998715 42.3556552, -71.1000791 42.3555866))",,private,,,,,,,,,,,"[9070976125, 9070976126, 11598283439, 9070976127, 11589832508, 9070976128, 9070976125]",yes,4,,
way,1074664693,bicycle_parking,stands,40,no,,"POLYGON ((-71.0898436 42.3624019, -71.0897851 42.3623971, -71.0897929 42.3623453, -71.0898514 42.3623501, -71.0898436 42.3624019))",,,,,,,,,,,,,"[9632096478, 9856980235, 9856980236, 9632096477, 9632096478]",,,,
