u,v,key,osmid,name,highway,maxspeed,width,oneway,reversed,length,lanes,geometry,ref,service,access,bridge,tunnel
61283218,7890342979,0,679012558,Amherst Alley,residential,25 mph,"20'0""",False,True,7.426,,"LINESTRING (-71.1033176 42.3559928, -71.1032808 42.3559318)",,,,,
61283218,7890342967,0,758187788,Vassar Street,tertiary,,17.1,False,True,13.002,2,"LINESTRING (-71.1033176 42.3559928, -71.1034494 42.3559281)",,,,,
61283218,5492841607,0,758187788,Vassar Street,tertiary,,17.1,False,False,124.96300000000001,2,"LINESTRING (-71.1033176 42.3559928, -71.1023458 42.3564703, -71.102054 42.3566181)",,,,,
61283269,7866981406,0,8615816,Massachusetts Avenue,primary,25 mph,24.4,False,True,13.72,4,"LINESTRING (-71.0948847 42.3601506, -71.0947578 42.3600704)",MA 2A,,,,
61283269,11506955671,0,426604930,Vassar Street,tertiary,,17.1,False,False,7.463,2,"LINESTRING (-71.0948847 42.3601506, -71.0948083 42.3601869)",,,,,
61283269,11506955652,0,426604931,Vassar Street,tertiary,,17.1,False,True,7.259,3,"LINESTRING (-71.0948847 42.3601506, -71.0949542 42.3601103)",,,,,
61283269,7866981409,0,1096725932,Massachusetts Avenue,primary,25 mph,24.4,False,False,16.129,4,"LINESTRING (-71.0948847 42.3601506, -71.0950358 42.3602432)",MA 2A,,,,
61283311,7579360337,0,8615267,Endicott Street,residential,25 mph,18.3,False,True,12.63,2,"LINESTRING (-71.0968722 42.35663, -71.0968077 42.3565269)",,,,,
61283311,7071581206,0,8615601,Amherst Alley,residential,25 mph,"24'0""",True,False,29.244,,"LINESTRING (-71.0968722 42.35663, -71.0971967 42.356522)",,,,,
61283361,7899628463,0,846659704,,footway,,,False,False,4.918,,"LINESTRING (-71.0881874 42.3624447, -71.0881279 42.3624399)",,,,,
