element_type,osmid,created_by,geometry,source,wheelchair,addr:housenumber,addr:street,operator,nodes,amenity,building,building:levels,learning,name,name:fr,wikidata,wikipedia,addr:postcode,addr:city,addr:place,building:levels:underground,internet_access,max_level,min_level,opening_hours,phone,tourism,website,wikipedia:en,addr:province,internet_access:fee,man_made,roof:levels,name:en,leisure,alt_name,sport,attribution,canvec:CODE,canvec:UUID,addr:housename,roof:shape,layer,ways,healthcare,type
way,19912993,,"POLYGON ((-73.5764052 45.5031376, -73.5763552 45.5031913, -73.5764157 45.5032206, -73.5763912 45.5032451, -73.5763783 45.5032391, -73.576369 45.5032476, -73.576331 45.5032864, -73.5762816 45.503337, -73.5762956 45.5033456, -73.5762728 45.5033673, -73.5762583 45.503361, -73.5762483 45.5033712, -73.5762105 45.5034128, -73.5761648 45.5034589, -73.5761777 45.5034644, -73.5761545 45.5034907, -73.5761405 45.503484, -73.5761235 45.5035013, -73.5760909 45.5035344, -73.5760467 45.5035794, -73.5760611 45.5035868, -73.5760362 45.5036113, -73.5759737 45.5035829, -73.5759366 45.5036187, -73.5759228 45.5036321, -73.5758897 45.5036169, -73.5758982 45.5036069, -73.5757899 45.5035544, -73.5757537 45.5035365, -73.5756444 45.5034846, -73.57561 45.5034679, -73.5754985 45.5034138, -73.5754913 45.5034215, -73.5754557 45.5034042, -73.5755026 45.5033555, -73.5754417 45.5033258, -73.5758187 45.5029328, -73.5758832 45.5029619, -73.5759351 45.5029122, -73.5759705 45.5029296, -73.5759603 45.5029408, -73.5760712 45.5029934, -73.5760827 45.5029833, -73.5762635 45.503069, -73.5762487 45.5030847, -73.5763602 45.5031363, -73.576375 45.5031223, -73.5764052 45.5031376))",,yes,,,,"[209005601, 209005604, 209005605, 10946298545, 10946298546, 10946298543, 10946298542, 10946298547, 10946298550, 10946298549, 10946298548, 1575941651, 10946298538, 10946298556, 10946298559, 10946298558, 10946298557, 11289836897, 11289783498, 10946298554, 10946298555, 10946298551, 10946298552, 11289783506, 209005611, 209005613, 10946298553, 11698982709, 11698982710, 11698982711, 11698982714, 11698982713, 11698982712, 209002562, 209005621, 209005625, 209005627, 209005631, 209005635, 11698982722, 11698982721, 11698982720, 11698982719, 11698982718, 11698982717, 11698982716, 11698982715, 209005601]",library,yes,8,university,McLennan Library Building,Pavillon McLennan de la Bibliothèque,Q6802196,en:McLennan Library Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,19912994,,"POLYGON ((-73.5779099 45.5041837, -73.5780659 45.504264, -73.5782909 45.5043799, -73.5782497 45.5044277, -73.5782935 45.5045891, -73.5782252 45.5046511, -73.5783251 45.5047026, -73.5783347 45.5049302, -73.5783358 45.5050336, -73.5779208 45.5048253, -73.5780043 45.5047443, -73.5780894 45.5046617, -73.5781059 45.5046457, -73.5782003 45.5045505, -73.578184 45.5044854, -73.5781248 45.5045388, -73.5780869 45.5045194, -73.57775 45.5043471, -73.5777742 45.5043206, -73.5777917 45.5043013, -73.5777963 45.5042962, -73.5777901 45.5042809, -73.5778154 45.5042585, -73.5778402 45.5042365, -73.5778558 45.504239, -73.5779099 45.5041837))",,,,,,"[209005640, 11292379095, 209005647, 229533992, 229534000, 1574439798, 1574439862, 1574439833, 229534002, 229533998, 9153134873, 9153134872, 209005650, 1574439760, 1574439836, 229533996, 1574439827, 209005656, 1574439792, 11292379069, 1574439821, 1574439828, 11292368567, 1574439788, 1574439860, 209005640]",university,yes,,university,Leacock Building,Pavillon Leacock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,19913315,,"POLYGON ((-73.5827422 45.5029202, -73.5828022 45.5029748, -73.5828367 45.5030425, -73.5828393 45.5031128, -73.582811 45.5031803, -73.5827542 45.5032385, -73.5826753 45.5032813, -73.5825799 45.5033054, -73.5824795 45.5033075, -73.5823863 45.503289, -73.5823016 45.5032496, -73.5822379 45.5031927, -73.5822208 45.5031595, -73.5822036 45.5031263, -73.5822086 45.5030502, -73.5821874 45.5030473, -73.5821622 45.502993, -73.5821356 45.5029667, -73.5821129 45.5029456, -73.5820419 45.5029187, -73.5819537 45.502905, -73.5818682 45.5028959, -73.5818851 45.502841, -73.5819064 45.5028075, -73.5819415 45.5027703, -73.5819755 45.5027472, -73.5820346 45.5027143, -73.5820684 45.5027522, -73.5821272 45.5028125, -73.582172 45.5028454, -73.5822183 45.5028652, -73.5822451 45.5028693, -73.5823032 45.5028734, -73.5823633 45.5028702, -73.5823725 45.5028832, -73.582455 45.5028624, -73.5825628 45.5028598, -73.5826568 45.5028792, -73.5827422 45.5029202))",,,3655,Promenade Sir-William-Osler,,"[209010252, 209010254, 209010255, 209010258, 209010263, 209010268, 209010273, 209010276, 209010280, 209010284, 209010288, 209010292, 11639705093, 209010296, 209010299, 10946656131, 209010303, 10568020699, 10172443431, 10568020700, 595231570, 209010306, 10172443430, 10946656134, 10946656133, 209011196, 209011193, 595231568, 10172443425, 10172443429, 10568020695, 10172443428, 10946656130, 10946656129, 209010309, 209010313, 209010318, 209010321, 209010252]",university,yes,,university,McIntyre Medical Building,Pavillon McIntyre (sciences médicales),Q17009777,,H3G 1Y6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,19913855,,"POLYGON ((-73.5812213 45.502367, -73.581378 45.5022026, -73.5819701 45.502484, -73.5818089 45.5026515, -73.5817724 45.5026366, -73.581662 45.5027437, -73.5817317 45.502778, -73.5813284 45.5031946, -73.5810917 45.5030794, -73.5813332 45.5028114, -73.5814824 45.5026512, -73.5815302 45.5026773, -73.5816008 45.5025912, -73.5816056 45.5025868, -73.5813115 45.5024485, -73.5812751 45.5024305, -73.5812864 45.5024126, -73.5812738 45.5024071, -73.5812475 45.5023957, -73.5812402 45.5023926, -73.5812415 45.5023778, -73.5812213 45.502367))",,,,,,"[209016728, 209016733, 209016737, 209016772, 209016778, 209016783, 209016767, 209016741, 209016747, 11289984823, 209016750, 209016757, 11289984797, 209016763, 3474728763, 11639705107, 11639705108, 11289984803, 11639705106, 11639705110, 11639705109, 209016728]",university,yes,,university,Stewart Biology Building,Pavillon Stewart (sciences biologiques),Q114401102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,19913856,,"POLYGON ((-73.5809655 45.5023679, -73.5811749 45.5024698, -73.5812049 45.5024836, -73.5812529 45.5025057, -73.5812447 45.5025155, -73.5811946 45.5025656, -73.5812104 45.5025759, -73.5811435 45.5026418, -73.5811227 45.5026622, -73.5811096 45.5026755, -73.5810973 45.50267, -73.5809698 45.5027991, -73.5807596 45.502701, -73.5806832 45.5026603, -73.5806924 45.5026502, -73.5807989 45.5025409, -73.5808236 45.5025129, -73.5809655 45.5023679))",,,,,,"[209016798, 3474728764, 3474728765, 11639705111, 209016802, 11639705112, 11289984788, 11639705114, 11289984820, 11289984785, 11639705116, 209016807, 11289984779, 209016812, 11289965865, 11289965862, 11289984826, 209016798]",university,yes,,university,Stewart Biology Building,Pavillon Stewart (sciences biologiques),Q114401102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,19913932,,"POLYGON ((-73.5791319 45.503723, -73.5795294 45.5034849, -73.5795858 45.5035142, -73.5793658 45.5037353, -73.5792958 45.5038037, -73.5792915 45.5038016, -73.5791319 45.503723))",,,1085,Docteur Penfield,,"[209017831, 209017835, 209017840, 3474760149, 209017845, 10946251248, 209017831]",,yes,,university,Linguistics,,,,H3A 1A7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,20168777,,"POLYGON ((-73.5749266 45.5045141, -73.5752097 45.5046531, -73.5751823 45.5046822, -73.5752031 45.5046924, -73.5751432 45.5047522, -73.5751275 45.5047677, -73.5750007 45.5048929, -73.5749857 45.5048857, -73.5749542 45.5049171, -73.5746667 45.5047758, -73.5746938 45.5047487, -73.5746769 45.5047404, -73.5748049 45.5046125, -73.5748219 45.5045955, -73.5748818 45.5045358, -73.5748973 45.5045434, -73.5749266 45.5045141))",,,805,rue Sherbrooke Ouest,McGill University,"[213280753, 6107176755, 6107176754, 8319044612, 11289884522, 1282761418, 6107176749, 6107176747, 213280763, 213280768, 8319044614, 8319044613, 1282761432, 6106946842, 8319044611, 8319044610, 213280753]",,university,12,,Burnside Hall,Pavillon Burnside,,,H3A 0B9,Montréal,Burnside Hall,1,wlan,12,-1,,,,,,,,,,,,,,,,,,,,,,
way,20168778,,"POLYGON ((-73.5743866 45.504425, -73.5746103 45.5045315, -73.5746267 45.50454, -73.5745135 45.5046569, -73.5744953 45.5046756, -73.5744643 45.5047076, -73.5744106 45.504682, -73.5743832 45.5047102, -73.5744053 45.5047207, -73.5743991 45.5047271, -73.5743715 45.5047556, -73.5743519 45.5047759, -73.5742881 45.5048416, -73.5742591 45.5048716, -73.5742425 45.5048887, -73.5742173 45.5048767, -73.5741902 45.5049047, -73.574243 45.5049299, -73.5742048 45.5049693, -73.574229 45.5049808, -73.5742473 45.5049895, -73.5742627 45.5049736, -73.5744671 45.5050709, -73.5745016 45.5050873, -73.5743373 45.5052569, -73.5740965 45.5051422, -73.5741354 45.5051021, -73.5740924 45.5050817, -73.5740767 45.5050979, -73.5738392 45.5049848, -73.5740039 45.5048148, -73.5740276 45.5048261, -73.5740555 45.5047974, -73.5740019 45.5047719, -73.5741642 45.5046044, -73.5742188 45.5046304, -73.5742456 45.5046027, -73.5742242 45.5045926, -73.5743866 45.504425))",,,801,Rue Sherbrooke Ouest,McGill University,"[213280771, 209002571, 213280773, 1282761416, 11289837961, 6219261452, 213280781, 6219261451, 1282761439, 11289837959, 6101147198, 11289837958, 11289837955, 6101147192, 6101147201, 6101147202, 213280784, 6101147196, 6101147195, 6221609134, 6101147194, 6101147193, 11289831372, 213280786, 213280789, 6219261450, 6219261448, 6219261447, 6219261449, 213280791, 214915870, 214915865, 6219261445, 6219261446, 6219261444, 6219261443, 213280792, 213280793, 213280771]",,university,,,Otto Maass Chemistry Building,Pavillon Otto Maass (chimie),,,H3A 0B8,Montréal,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,20168780,,"POLYGON ((-73.5744188 45.5053004, -73.5744783 45.5052391, -73.5745433 45.5051723, -73.574584 45.5051304, -73.5745866 45.5051277, -73.5746411 45.5051537, -73.5747251 45.5050672, -73.5751428 45.5052666, -73.574891 45.5055257, -73.5744188 45.5053004))",,,3420,Rue University,,"[213280796, 11291317665, 11291317658, 11291317662, 6219261442, 6219261441, 214915861, 213280804, 213280808, 213280796]",,yes,,university,Pulp & Paper Research Centre,Centre de recherche sur les pâtes et papiers,,,H3A 2A7,Montréal,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,20168781,,"POLYGON ((-73.575503 45.5049408, -73.5755308 45.5049376, -73.5755541 45.504946, -73.5755693 45.5049541, -73.575585 45.504969, -73.575585 45.5049884, -73.5755798 45.5050045, -73.5755689 45.5050169, -73.5755525 45.5050279, -73.5755224 45.5050361, -73.5754111 45.5051539, -73.5753466 45.5052189, -73.5753325 45.505212, -73.5752797 45.5052653, -73.5750534 45.5051528, -73.5750629 45.5051434, -73.5751754 45.5050318, -73.5751971 45.5050103, -73.5752214 45.5049861, -73.5753464 45.5048622, -73.575503 45.5049408))",,,809,Rue Sherbrooke Ouest,,"[3221094289, 3221094290, 6219261418, 3221094291, 6219261417, 213280816, 3221094294, 6219261419, 3221094293, 3221094292, 1282745094, 1282745092, 6219261415, 213280819, 213280824, 11289837948, 11289837947, 11289850473, 11289837942, 6219261416, 3221094289]",,yes,,,Macdonald Stewart Library,Pavillon Macdonald-Stewart de la Bibliothèque,,,H3A 0C1,Montréal,,,wlan,,,,,,,,,,,,,,,,,,,,,,,,
