u,v,key,osmid,lanes,name,highway,oneway,reversed,length,maxspeed,geometry,service,access,tunnel
29793981,10926982153,0,4886378,4,Avenue des Pins Ouest,secondary,False,True,7.517,,"LINESTRING (-73.580112 45.5082068, -73.580085 45.5082717)",,,
29793981,10926982154,0,453989311,4,Avenue des Pins Ouest,secondary,False,False,7.613,,"LINESTRING (-73.580112 45.5082068, -73.5801431 45.5081419)",,,
31706827,10946298341,0,13500459,,Rue McTavish,living_street,True,False,5.658,20,"LINESTRING (-73.5785955 45.5040636, -73.5786613 45.5040851)",,,
31706827,264345847,0,92352683,,Avenue du Docteur-Penfield,secondary,True,False,5.652,50,"LINESTRING (-73.5785955 45.5040636, -73.5785686 45.5041108)",,,
31706828,1472721954,0,133806978,,Avenue du Docteur-Penfield,secondary,True,False,250.44899999999998,50,"LINESTRING (-73.5784445 45.5047604, -73.5784765 45.5053002, -73.5785094 45.5058012, -73.5785341 45.5060151, -73.5785865 45.5061173, -73.5786518 45.5062029, -73.5786865 45.5062496, -73.5787483 45.5063055, -73.5788311 45.5063546, -73.5789744 45.5064245, -73.5795371 45.5066775)",,,
31706828,10926982182,0,"[34015048, 1218424091]",,,service,False,True,33.891,,"LINESTRING (-73.5784445 45.5047604, -73.57836 45.504529, -73.5783564 45.5044992, -73.5783521 45.5044633)",,,
124056468,11292379091,0,263901278,,Rue McTavish,pedestrian,False,True,3.829,,"LINESTRING (-73.5783359 45.5039737, -73.5783145 45.5039427)",,,
124056468,264346145,0,"[1178322460, 24365533]",,,"['steps', 'footway']",False,False,8.173,,"LINESTRING (-73.5783359 45.5039737, -73.5783892 45.5040025, -73.5784225 45.5040147)",,,
124056468,1575941616,0,34015048,,,service,False,False,11.1,,"LINESTRING (-73.5783359 45.5039737, -73.5783466 45.5040076, -73.5783465 45.5040727)",,,
124072368,11069903360,0,13502490,,,service,False,False,4.512,,"LINESTRING (-73.5764488 45.5046573, -73.5764962 45.504634)",,,
124072368,11069903359,0,13502753,,,service,False,False,4.93,,"LINESTRING (-73.5764488 45.5046573, -73.5764277 45.5046991)",,,
124072368,11069903356,0,1231789784,,,pedestrian,False,True,4.991,,"LINESTRING (-73.5764488 45.5046573, -73.5763966 45.5046313)",,,
124072380,11069903355,0,1192491123,,,footway,False,True,7.664,,"LINESTRING (-73.5764113 45.5050515, -73.5764018 45.5051201)",,,
124072380,1282761422,0,13502753,,,service,False,False,36.63,,"LINESTRING (-73.5764113 45.5050515, -73.5766676 45.5051813, -73.576792 45.5052447)",,,
124072380,11069903359,0,13502753,,,service,False,True,39.284000000000006,,"LINESTRING (-73.5764113 45.5050515, -73.5764135 45.5047546, -73.5764277 45.5046991)",,,
124072380,11289837926,0,19912777,,,service,False,False,36.457,,"LINESTRING (-73.5764113 45.5050515, -73.5761846 45.5051463, -73.576055 45.5051342, -73.5759963 45.5051037)",,,
124072385,10822695813,0,1218424084,,,service,False,False,7.898,,"LINESTRING (-73.5768143 45.5060089, -73.5767594 45.5060686)",,,
124072385,11582634070,0,1218424085,2,,service,False,False,5.765,,"LINESTRING (-73.5768143 45.5060089, -73.5768783 45.5060349)",,,
124072385,1282761422,0,"[1218387344, 13502753]",,,service,False,True,94.181,,"LINESTRING (-73.5768143 45.5060089, -73.5767884 45.5059215, -73.5767795 45.5058644, -73.5767862 45.5058101, -73.5768334 45.5057132, -73.5769216 45.5055495, -73.5769735 45.5054249, -73.5769751 45.5053659, -73.5769362 45.5053193, -73.576792 45.5052447)",,,
124072392,11289806268,0,1218391703,,,footway,False,False,5.566,,"LINESTRING (-73.5770881 45.5044666, -73.577146 45.5044959)",,,
124072392,6959370734,0,13502490,,,service,False,False,17.962,,"LINESTRING (-73.5770881 45.5044666, -73.5771311 45.5044221, -73.5772002 45.5043258)",,,
124072392,11069903360,0,13502490,,,service,False,True,50.153,,"LINESTRING (-73.5770881 45.5044666, -73.5770496 45.5044893, -73.5770048 45.5045095, -73.5766095 45.5045991, -73.5765155 45.5046239, -73.5764962 45.504634)",,,
124072396,1574821582,0,13502757,,,service,False,False,13.579,,"LINESTRING (-73.5772904 45.5041761, -73.5774356 45.5042436)",,,
124072396,6959370734,0,13502490,,,service,False,True,18.34,,"LINESTRING (-73.5772904 45.5041761, -73.5772818 45.5042231, -73.5772002 45.5043258)",,,
124072396,213285577,0,34015141,,,service,False,False,12.515,,"LINESTRING (-73.5772904 45.5041761, -73.5772855 45.5041231, -73.577293 45.5040639)",,,
124072401,924402169,0,263901278,,Rue McTavish,pedestrian,False,False,35.394,,"LINESTRING (-73.5777114 45.5036247, -73.578083 45.5038077)",,,
124072401,332514088,0,263901278,,Rue McTavish,pedestrian,False,True,36.029,,"LINESTRING (-73.5777114 45.5036247, -73.5773361 45.5034355)",,,
124072401,1563386637,0,142872168,,,service,False,True,54.736999999999995,,"LINESTRING (-73.5777114 45.5036247, -73.5778856 45.5034489, -73.5778789 45.5033563, -73.5780271 45.5032026)",alley,,
124072401,11289831527,0,"[1218424092, 34015141]",,,service,False,True,19.167,,"LINESTRING (-73.5777114 45.5036247, -73.5776392 45.5037026, -73.5775887 45.5037571, -73.5775763 45.5037687)",,,
124074237,11069903361,0,13502754,,,service,True,False,66.158,,"LINESTRING (-73.577209 45.505038, -73.5768289 45.5048455, -73.5765178 45.5046926)",,,
124074242,11289831589,0,19912779,,,service,False,True,14.802999999999999,,"LINESTRING (-73.5773422 45.5052837, -73.5774118 45.5052177, -73.5774528 45.5051755)",,,
124074242,11289774842,0,34227405,,,service,True,False,15.258,,"LINESTRING (-73.5773422 45.5052837, -73.5773025 45.5051967, -73.5772775 45.5051543)",,,
124074257,11289783891,0,13502756,2,,service,False,False,62.302,,"LINESTRING (-73.5771282 45.506145, -73.577772 45.5064772)",,,
124074257,11582634070,0,"[13502756, 1218424085]",2,,service,False,True,23.006,,"LINESTRING (-73.5771282 45.506145, -73.5769245 45.5060537, -73.5768783 45.5060349)",,,
124074257,11291338311,0,"[1218424088, 34227402]",2,,service,False,True,20.156,,"LINESTRING (-73.5771282 45.506145, -73.5771528 45.5061205, -73.5772753 45.5059959)",,,
124074271,11022857051,0,143792941,,,footway,False,False,6.327,,"LINESTRING (-73.5789439 45.5070726, -73.5790232 45.5070848)",,,
124074271,11289783918,0,143792941,,,footway,False,True,19.027,,"LINESTRING (-73.5789439 45.5070726, -73.5787414 45.506977)",,,
124074271,11289783918,1,"[1218387384, 1218387385, 1218387386]",,,"['steps', 'footway']",False,True,20.442,,"LINESTRING (-73.5789439 45.5070726, -73.5789287 45.5070343, -73.5788942 45.5070168, -73.5787414 45.506977)",,,
124074275,11289831589,0,19912779,,,service,False,False,18.186,,"LINESTRING (-73.5775434 45.5050277, -73.5775148 45.5051117, -73.5774528 45.5051755)",,,
124074275,11289774841,0,34227404,,,service,True,False,13.83,,"LINESTRING (-73.5775434 45.5050277, -73.5774517 45.505048, -73.5773704 45.5050477)",,,
124074278,1282761408,0,34227403,,,service,True,False,4.726,,"LINESTRING (-73.5777989 45.5047788, -73.5777629 45.504813)",,yes,
124074278,11289831275,0,1218424090,,,footway,False,True,2.74,,"LINESTRING (-73.5777989 45.5047788, -73.5778254 45.504795)",,,
124074278,11292375160,0,13502757,,,service,False,True,71.292,,"LINESTRING (-73.5777989 45.5047788, -73.5779721 45.5046075, -73.5779981 45.5045614, -73.5779676 45.5045001, -73.5777438 45.5043922, -73.5776147 45.5043299, -73.5775953 45.5043206)",,,
213285577,11069903362,0,1218387319,,,footway,False,False,2.732,,"LINESTRING (-73.577293 45.5040639, -73.5772638 45.5040503)",,,
213285577,11289831527,0,34015141,,,service,False,False,39.624,,"LINESTRING (-73.577293 45.5040639, -73.5773301 45.5040119, -73.5775705 45.5037741, -73.5775763 45.5037687)",,,
