element_type,osmid,nodes,building,geometry,name,building:levels,name:zh
way,155916434,"[1682570502, 1682570424, 1682570444, 1682570401, 1682570420, 1682570430, 1682570425, 1682570432, 1682570493, 1682570426, 1682570503, 1682570453, 1682570469, 1682570446, 1682570412, 1682570399, 1682570502]",yes,"POLYGON ((118.9046127 32.1192327, 118.9055059 32.1192145, 118.9055064 32.1193098, 118.9053906 32.1193144, 118.9053906 32.1193758, 118.905353 32.1193758, 118.9053514 32.119316, 118.9051009 32.1193213, 118.9051009 32.119378, 118.9050526 32.1193803, 118.9050553 32.1193213, 118.9047978 32.119319, 118.9047951 32.1193826, 118.9047468 32.1193826, 118.9047442 32.1193213, 118.9046157 32.1193233, 118.9046127 32.1192327))",,,
way,155916437,"[1682570449, 1682570481, 1682570472, 1682570402, 1682570476, 1682570455, 1682570423, 1682570473, 1682570443, 1682570500, 1682570428, 1682570452, 1682570449]",yes,"POLYGON ((118.904608 32.1195303, 118.9053342 32.1195189, 118.9053342 32.1196098, 118.9052189 32.1196098, 118.9052189 32.1196734, 118.9051733 32.1196756, 118.9051706 32.119612, 118.9048005 32.1196143, 118.9048005 32.1196802, 118.9047522 32.1196802, 118.9047495 32.1196188, 118.9046101 32.1196211, 118.904608 32.1195303))",,,
way,155916438,"[1682570499, 1682570404, 1682570441, 1682570409, 1682570499]",yes,"POLYGON ((118.9046127 32.1194894, 118.9047227 32.1194894, 118.9047207 32.11933, 118.9046127 32.1193326, 118.9046127 32.1194894))",,,
way,155916440,"[1682570451, 1682570479, 1682570448, 1682570501, 1682570451]",yes,"POLYGON ((118.9046127 32.1197756, 118.9047254 32.1197756, 118.9047231 32.1196255, 118.9046127 32.1196279, 118.9046127 32.1197756))",,,
way,155916441,"[1682570422, 1682570484, 1682570421, 1682570406, 1682570422]",yes,"POLYGON ((118.9053852 32.1198029, 118.9053852 32.1199119, 118.9046074 32.1199255, 118.9046074 32.119821, 118.9053852 32.1198029))",,,
way,155917665,"[1682583465, 1682583655, 1682583588, 1682583405, 1682583348, 1682583621, 1682583465]",school,"POLYGON ((118.9043928 32.1154752, 118.9048327 32.1154707, 118.9048327 32.1156252, 118.9044733 32.1156252, 118.9041836 32.1160068, 118.9040387 32.1159205, 118.9043928 32.1154752))",厚德楼,,
way,155917666,"[1682583656, 1682583423, 1682583376, 1682583474, 1682583390, 1682583372, 1682583398, 1682583427, 1682583425, 1682583407, 1682583371, 1682583494, 1682583453, 1682583352, 1682583656]",yes,"POLYGON ((118.9046503 32.1180741, 118.905632 32.1180605, 118.905632 32.1181559, 118.9055569 32.1181559, 118.9055569 32.1182149, 118.9054925 32.1182195, 118.9054925 32.1181559, 118.9051921 32.1181559, 118.9051921 32.1182195, 118.905117 32.1182195, 118.905117 32.1181513, 118.9047629 32.118165, 118.9047629 32.1183285, 118.9046508 32.1183238, 118.9046503 32.1180741))",,,
way,155917667,"[1682583335, 1682583450, 1682583492, 1682583362, 1682583335]",yes,"POLYGON ((118.9037169 32.1192554, 118.9043874 32.1192554, 118.9043874 32.1193372, 118.9037115 32.1193417, 118.9037169 32.1192554))",,,
way,155917668,"[1682583591, 1682583464, 1682583590, 1682583500, 1682583609, 1682583653, 1682583452, 1682583617, 1682583584, 1682583510, 1682583360, 1682583559, 1682583646, 1682583542, 1682583591]",school,"POLYGON ((118.9037008 32.1172472, 118.9040334 32.1172426, 118.9040334 32.1170473, 118.9035506 32.1170382, 118.9033092 32.1168883, 118.9034272 32.1167429, 118.9036364 32.1168746, 118.9040709 32.1168655, 118.9040656 32.116911, 118.9041943 32.116911, 118.9041943 32.1172472, 118.9042909 32.1172517, 118.9042909 32.1174426, 118.9037008 32.1174426, 118.9037008 32.1172472))",天工楼,,
way,155917669,"[1682583577, 1682583420, 1682583403, 1682583513, 1682583577]",yes,"POLYGON ((118.9046091 32.1189959, 118.9056122 32.1189778, 118.9056133 32.1190813, 118.9046147 32.1190959, 118.9046091 32.1189959))",,,
