osmid,y,x,street_count,geometry
1684309383,32.1179802,118.9045021,3,POINT (118.9045021 32.1179802)
1684309425,32.1202065,118.9055411,3,POINT (118.9055411 32.1202065)
1684309428,32.1163537,118.9057449,3,POINT (118.9057449 32.1163537)
1684309431,32.119856,118.9042893,3,POINT (118.9042893 32.119856)
1684309441,32.1179528,118.9057808,3,POINT (118.9057808 32.1179528)
1684309455,32.1163867,118.9035192,4,POINT (118.9035192 32.1163867)
1684309462,32.1177998,118.9044929,2,POINT (118.9044929 32.1177998)
1684309465,32.1168229,118.9044151,3,POINT (118.9044151 32.1168229)
1684309480,32.1171137,118.9044929,2,POINT (118.9044929 32.1171137)
1684309509,32.1159014,118.9055556,3,POINT (118.9055556 32.1159014)
1684309517,32.1162504,118.9036265,4,POINT (118.9036265 32.1162504)
8450171259,32.1186331,118.9030936,3,POINT (118.9030936 32.1186331)
8450171260,32.1186333,118.9045083,4,POINT (118.9045083 32.1186333)
8450171262,32.118626,118.9058297,3,POINT (118.9058297 32.118626)
8979210220,32.1161878,118.9041411,3,POINT (118.9041411 32.1161878)
8979210221,32.11608,118.9039374,3,POINT (118.9039374 32.11608)
8979210222,32.1159852,118.9040047,3,POINT (118.9040047 32.1159852)
8979210226,32.1159162,118.9038835,3,POINT (118.9038835 32.1159162)
