element_type,osmid,nodes,building,geometry,historic,name,amenity,name:en,name:zh,name:zh-Hans,name:zh-Hant,tourism
way,778570971,"[7266553278, 7266553277, 7266553276, 7266553275, 7266553278]",yes,"POLYGON ((118.8122544 32.0345275, 118.8124353 32.034517, 118.8124232 32.034368, 118.8122424 32.0343785, 118.8122544 32.0345275))",,,,,,,,
way,778570972,"[7266553282, 7266553281, 7266553278, 7266553280, 7266553279, 7266553282]",yes,"POLYGON ((118.8121337 32.0349264, 118.812292 32.0349154, 118.8122544 32.0345275, 118.8122441 32.0344207, 118.8120858 32.0344317, 118.8121337 32.0349264))",,,,,,,,
way,791233540,"[7396886707, 7396886708, 7396886709, 7396886710, 7396886707]",yes,"POLYGON ((118.8164734 32.0404622, 118.8164439 32.0400825, 118.8166665 32.0400666, 118.8166987 32.0404486, 118.8164734 32.0404622))",city_gate,东华门,,,,,,
way,916831899,"[8515450336, 8515450337, 8515450338, 8515450339, 8515450340, 8515450341, 8515450336]",school,"POLYGON ((118.8153625 32.0408684, 118.8153353 32.0405194, 118.8155248 32.0405088, 118.815534 32.0406258, 118.8160802 32.040595, 118.8160984 32.0408271, 118.8153625 32.0408684))",,A12号楼,,,,,,
way,916831900,"[8515450342, 8515450343, 8515450344, 8515450345, 8515450346, 8515450347, 8515450348, 8515450349, 8515450342]",school,"POLYGON ((118.813967 32.0409794, 118.8139492 32.0407828, 118.8145825 32.0407416, 118.8145695 32.0405979, 118.8147417 32.0405867, 118.8147569 32.0407539, 118.8146916 32.0407582, 118.8147073 32.0409314, 118.813967 32.0409794))",,A11号楼,,,,,,
way,916831901,"[8515450350, 8515450351, 8515450352, 8515450353, 8515450350]",school,"POLYGON ((118.8144229 32.0403307, 118.8144096 32.0401591, 118.815638 32.0400906, 118.8156513 32.0402624, 118.8144229 32.0403307))",,A10号楼,,,,,,
way,916831902,"[8515450355, 8515450356, 8515450357, 8515450358, 8515450359, 8515450360, 8515450361, 8515450362, 8515450363, 8515450364, 8515450365, 8515450366, 8515450367, 8515450368, 8515450369, 8515450370, 8515450371, 8515450372, 8515450373, 8515450374, 8515450355]",school,"POLYGON ((118.813652 32.0404037, 118.813642 32.0402997, 118.8138142 32.0402878, 118.8138029 32.0401708, 118.8136429 32.0401819, 118.8136325 32.040074, 118.8138038 32.0400621, 118.8137878 32.0398971, 118.8136281 32.0399082, 118.8136205 32.0398291, 118.8138156 32.0398156, 118.8138262 32.0399253, 118.8140491 32.0399098, 118.8140629 32.0400522, 118.8138848 32.0400646, 118.8138968 32.0401887, 118.8140753 32.0401763, 118.8140976 32.0404074, 118.8138219 32.0404265, 118.8138185 32.0403922, 118.813652 32.0404037))",,A13号楼,,,,,,
way,916831903,"[8515450375, 8515450376, 8515450377, 8515450378, 8515450379, 8515450380, 8515450381, 8515450382, 8515450375]",school,"POLYGON ((118.8158366 32.0402775, 118.8157962 32.0397351, 118.8160752 32.0397201, 118.8160939 32.0399709, 118.8159349 32.0399795, 118.8159447 32.0401113, 118.8160894 32.0401035, 118.8161014 32.0402634, 118.8158366 32.0402775))",,A14号楼,,,,,,
way,916831904,"[8515450383, 8515450384, 8515450385, 8515450386, 8515450383]",school,"POLYGON ((118.8141081 32.0397465, 118.8140893 32.0395918, 118.8147616 32.0395332, 118.8147803 32.0396881, 118.8141081 32.0397465))",,A8号楼,,,,,,
way,916831905,"[8515450387, 8515450388, 8515450389, 8515450390, 8515450387]",school,"POLYGON ((118.8151431 32.0396609, 118.8151303 32.0394665, 118.8158113 32.0394343, 118.8158241 32.0396286, 118.8151431 32.0396609))",,A9号楼,,,,,,
way,916831906,"[8515450391, 8515450392, 8515450393, 8515450394, 8515450395, 8515450396, 8515450397, 8515450398, 8515450391]",school,"POLYGON ((118.8136434 32.0394171, 118.8142154 32.0393857, 118.814176 32.0388698, 118.8136169 32.0389005, 118.8136262 32.0390223, 118.8135173 32.0390283, 118.8135396 32.0393183, 118.8136354 32.039313, 118.8136434 32.0394171))",,A16号楼,,,,,,
way,916831907,"[8515450399, 8515450400, 8515450401, 8515450402, 8515450399]",school,"POLYGON ((118.8138653 32.0386978, 118.813857 32.0385013, 118.8146765 32.0384765, 118.8146848 32.0386731, 118.8138653 32.0386978))",,A17号楼,,,,,,
way,916831908,"[8515450403, 8515450404, 8515450405, 8515450406, 8515450407, 8515450403]",school,"POLYGON ((118.8129393 32.0386689, 118.8128343 32.0381389, 118.8135303 32.0380398, 118.8136534 32.0386605, 118.8130359 32.0387485, 118.8129393 32.0386689))",,机电学院,,,,,,
way,916831909,"[8515450408, 8515450409, 8515450410, 8515450411, 8515450412, 8515450413, 8515450414, 8515450415, 8515450408]",school,"POLYGON ((118.8137815 32.0383862, 118.8137165 32.0380082, 118.814576 32.037902, 118.8146454 32.0383055, 118.8145015 32.0383233, 118.814468 32.0381291, 118.8139279 32.0381959, 118.8139569 32.0383645, 118.8137815 32.0383862))",,A6号楼,,,,,,
way,916831910,"[8515450416, 8515450417, 8515450418, 8515450419, 8515450416]",school,"POLYGON ((118.8150381 32.0386538, 118.8149907 32.0383983, 118.8154874 32.0383321, 118.8155348 32.0385875, 118.8150381 32.0386538))",,A18号楼,,,,,,
way,916831911,"[8515450420, 8515450421, 8515450422, 8515450423, 8515450420]",school,"POLYGON ((118.8149063 32.0381022, 118.8148824 32.0378953, 118.8153797 32.0378541, 118.8154035 32.0380609, 118.8149063 32.0381022))",,航空学院楼,,,,,,
way,916831912,"[8515450424, 8515450425, 8515450426, 8515450427, 8515450428, 8515450429, 8515450430, 8515450431, 8515450424]",school,"POLYGON ((118.8128053 32.037934, 118.8127597 32.0375886, 118.8134644 32.0375217, 118.813506 32.0378372, 118.813365 32.0378506, 118.8133473 32.0377165, 118.8129782 32.0377514, 118.8129999 32.0379156, 118.8128053 32.037934))",,A4号楼,,,,,,
