u,v,key,osmid,highway,oneway,reversed,length,name,geometry
8515442021,8515442074,0,916831862,service,False,True,38.028,,"LINESTRING (118.8149919 32.040463, 118.815021 32.0408041)"
8515442021,8515442075,0,916831864,service,False,False,65.396,向学路,"LINESTRING (118.8149919 32.040463, 118.8143011 32.0405177)"
8515442021,8515442078,0,916831864,service,False,True,70.784,向学路,"LINESTRING (118.8149919 32.040463, 118.8157395 32.0404028)"
8515442022,8515442074,0,916831862,service,False,False,22.096,,"LINESTRING (118.8150379 32.0410023, 118.815021 32.0408041)"
8515442022,8515442023,0,916831863,service,False,False,108.175,,"LINESTRING (118.8150379 32.0410023, 118.8161814 32.0409195)"
8515442023,8515442022,0,916831863,service,False,True,108.175,,"LINESTRING (118.8161814 32.0409195, 118.8150379 32.0410023)"
8515442024,8515442078,0,916831864,service,False,False,32.6,向学路,"LINESTRING (118.8160838 32.040375, 118.8157395 32.0404028)"
8515442026,8515442071,0,916831874,service,False,False,52.293,,"LINESTRING (118.8137583 32.0404543, 118.8138285 32.0409208)"
8515442026,8515442029,0,916831864,service,False,False,82.65799999999999,向学路,"LINESTRING (118.8137583 32.0404543, 118.8136478 32.0404057, 118.8135305 32.0403106, 118.8134677 32.0401376, 118.8134359 32.0398195)"
8515442026,8515442075,0,916831864,service,False,True,53.649,向学路,"LINESTRING (118.8137583 32.0404543, 118.8139698 32.0405439, 118.8143011 32.0405177)"
8515442029,8515442061,0,916831864,service,False,False,36.896,向学路,"LINESTRING (118.8134359 32.0398195, 118.8133928 32.0394897)"
8515442029,8515442081,0,916831878,service,False,False,48.922,,"LINESTRING (118.8134359 32.0398195, 118.8139531 32.0397827)"
8515442029,8515442026,0,916831864,service,False,True,82.658,向学路,"LINESTRING (118.8134359 32.0398195, 118.8134677 32.0401376, 118.8135305 32.0403106, 118.8136478 32.0404057, 118.8137583 32.0404543)"
8515442035,8515442045,0,916831865,service,False,False,76.946,文渊路,"LINESTRING (118.8126103 32.0375177, 118.8125049 32.0368315)"
8515442035,8515442039,0,916831865,service,False,True,60.805,文渊路,"LINESTRING (118.8126103 32.0375177, 118.812677 32.0380616)"
8515442035,8515442090,0,916831883,service,False,False,86.116,,"LINESTRING (118.8126103 32.0375177, 118.8135161 32.0374167)"
8515442038,8515442051,0,916831865,service,False,True,49.029,文渊路,"LINESTRING (118.8122838 32.035136, 118.8123311 32.0355751)"
8515442039,8515442035,0,916831865,service,False,False,60.805,文渊路,"LINESTRING (118.812677 32.0380616, 118.8126103 32.0375177)"
8515442039,8515442064,0,916831866,service,False,False,86.968,翔宇路,"LINESTRING (118.812677 32.0380616, 118.8135878 32.0379367)"
8515442039,8515442083,0,916831864,service,False,True,95.584,向学路,"LINESTRING (118.812677 32.0380616, 118.8127358 32.0384597, 118.8128109 32.0386541, 118.8129048 32.0387462, 118.8130171 32.0388378)"
8515442043,8515450320,0,916831866,service,False,True,79.167,翔宇路,"LINESTRING (118.8177185 32.0373896, 118.8168899 32.0375059)"
8515442043,8515442070,0,916831873,service,False,False,97.027,,"LINESTRING (118.8177185 32.0373896, 118.8178828 32.038251)"
8515442043,8515450325,0,"[916831872, 916831866]",service,False,False,94.322,翔宇路,"LINESTRING (118.8177185 32.0373896, 118.8179155 32.0373596, 118.8177923 32.0366891)"
8515442045,8515442035,0,916831865,service,False,True,76.946,文渊路,"LINESTRING (118.8125049 32.0368315, 118.8126103 32.0375177)"
8515442045,8515442065,0,916831867,service,False,False,85.719,长空路,"LINESTRING (118.8125049 32.0368315, 118.8134091 32.0367493)"
8515442045,8515442093,0,916831865,service,False,False,109.531,文渊路,"LINESTRING (118.8125049 32.0368315, 118.8124628 32.0365652, 118.8124237 32.0363176, 118.8123722 32.0358531)"
8515442051,8515442038,0,916831865,service,False,False,49.029,文渊路,"LINESTRING (118.8123311 32.0355751, 118.8122838 32.035136)"
8515442051,8515442093,0,916831865,service,False,True,31.154,文渊路,"LINESTRING (118.8123311 32.0355751, 118.8123722 32.0358531)"
8515442051,8515442066,0,916831868,service,False,False,83.28,凌云路,"LINESTRING (118.8123311 32.0355751, 118.8132063 32.0354727)"
8515442054,8985324538,0,916831868,service,False,True,48.459,凌云路,"LINESTRING (118.8172777 32.035044, 118.8167664 32.0350893)"
8515442054,8515442113,0,916831887,service,False,False,28.803,,"LINESTRING (118.8172777 32.035044, 118.8172435 32.0347866)"
8515442054,8515442099,0,916831887,service,False,True,38.729,,"LINESTRING (118.8172777 32.035044, 118.8173413 32.0353881)"
8515442054,8515442112,0,916831889,service,False,False,66.057,,"LINESTRING (118.8172777 32.035044, 118.8179717 32.0349616)"
8515442055,8515442079,0,916831869,service,False,False,29.014,博远路,"LINESTRING (118.8149961 32.0399551, 118.8149578 32.0396962)"
8515442055,8515442076,0,916831876,service,False,True,72.349,,"LINESTRING (118.8149961 32.0399551, 118.8142348 32.0400381)"
8515442055,8515442078,0,916831876,service,False,False,121.24099999999999,,"LINESTRING (118.8149961 32.0399551, 118.8156994 32.0399114, 118.8157395 32.0404028)"
8515442056,8515442084,0,916831869,service,False,False,21.045,博远路,"LINESTRING (118.814858 32.0388948, 118.8148355 32.0387065)"
8515442056,8985309484,0,916831869,service,False,True,31.574,博远路,"LINESTRING (118.814858 32.0388948, 118.8148951 32.039177)"
8515442056,8985309486,0,970855300,service,False,False,57.127,,"LINESTRING (118.814858 32.0388948, 118.814254 32.0389372)"
8515442057,8515450328,0,916831866,service,False,False,94.296,翔宇路,"LINESTRING (118.8146972 32.0377848, 118.8156852 32.0376518)"
8515442057,8515450330,0,916831869,service,False,False,77.1,博远路,"LINESTRING (118.8146972 32.0377848, 118.8146004 32.0370963)"
