osmid,y,x,street_count,geometry
8515442021,32.040463,118.8149919,3,POINT (118.8149919 32.040463)
8515442022,32.0410023,118.8150379,3,POINT (118.8150379 32.0410023)
8515442023,32.0409195,118.8161814,1,POINT (118.8161814 32.0409195)
8515442024,32.040375,118.8160838,1,POINT (118.8160838 32.040375)
8515442026,32.0404543,118.8137583,3,POINT (118.8137583 32.0404543)
8515442029,32.0398195,118.8134359,3,POINT (118.8134359 32.0398195)
8515442035,32.0375177,118.8126103,3,POINT (118.8126103 32.0375177)
8515442038,32.035136,118.8122838,1,POINT (118.8122838 32.035136)
8515442039,32.0380616,118.812677,4,POINT (118.812677 32.0380616)
8515442043,32.0373896,118.8177185,3,POINT (118.8177185 32.0373896)
8515442045,32.0368315,118.8125049,3,POINT (118.8125049 32.0368315)
8515442051,32.0355751,118.8123311,4,POINT (118.8123311 32.0355751)
8515442054,32.035044,118.8172777,4,POINT (118.8172777 32.035044)
8515442055,32.0399551,118.8149961,3,POINT (118.8149961 32.0399551)
8515442056,32.0388948,118.814858,3,POINT (118.814858 32.0388948)
8515442057,32.0377848,118.8146972,4,POINT (118.8146972 32.0377848)
8515442058,32.0366213,118.8145214,4,POINT (118.8145214 32.0366213)
8515442059,32.0353391,118.8143132,3,POINT (118.8143132 32.0353391)
8515442060,32.0393705,118.8149205,4,POINT (118.8149205 32.0393705)
8515442061,32.0394897,118.8133928,3,POINT (118.8133928 32.0394897)
8515442063,32.0387736,118.8137339,3,POINT (118.8137339 32.0387736)
8515442064,32.0379367,118.8135878,4,POINT (118.8135878 32.0379367)
8515442065,32.0367493,118.8134091,4,POINT (118.8134091 32.0367493)
8515442066,32.0354727,118.8132063,4,POINT (118.8132063 32.0354727)
8515442068,32.0349743,118.812865,1,POINT (118.812865 32.0349743)
8515442069,32.0363402,118.8177479,3,POINT (118.8177479 32.0363402)
8515442070,32.038251,118.8178828,1,POINT (118.8178828 32.038251)
8515442071,32.0409208,118.8138285,1,POINT (118.8138285 32.0409208)
8515442072,32.0408298,118.8147625,1,POINT (118.8147625 32.0408298)
8515442073,32.0407783,118.8152809,1,POINT (118.8152809 32.0407783)
8515442074,32.0408041,118.815021,4,POINT (118.815021 32.0408041)
8515442075,32.0405177,118.8143011,3,POINT (118.8143011 32.0405177)
8515442076,32.0400381,118.8142348,3,POINT (118.8142348 32.0400381)
8515442078,32.0404028,118.8157395,3,POINT (118.8157395 32.0404028)
8515442079,32.0396962,118.8149578,3,POINT (118.8149578 32.0396962)
8515442080,32.0397649,118.8142028,3,POINT (118.8142028 32.0397649)
8515442081,32.0397827,118.8139531,3,POINT (118.8139531 32.0397827)
8515442082,32.0394401,118.8139435,3,POINT (118.8139435 32.0394401)
8515442083,32.0388378,118.8130171,3,POINT (118.8130171 32.0388378)
8515442084,32.0387065,118.8148355,3,POINT (118.8148355 32.0387065)
8515442085,32.0391728,118.8133515,3,POINT (118.8133515 32.0391728)
8515442087,32.038799,118.8134497,3,POINT (118.8134497 32.038799)
8515442088,32.0384273,118.8136735,3,POINT (118.8136735 32.0384273)
8515442089,32.0383239,118.8147885,3,POINT (118.8147885 32.0383239)
8515442090,32.0374167,118.8135161,3,POINT (118.8135161 32.0374167)
8515442093,32.0358531,118.8123722,3,POINT (118.8123722 32.0358531)
8515442094,32.0357642,118.8132507,3,POINT (118.8132507 32.0357642)
8515442095,32.035173,118.8158523,3,POINT (118.8158523 32.035173)
8515442098,32.0338561,118.8178912,1,POINT (118.8178912 32.0338561)
8515442099,32.0353881,118.8173413,3,POINT (118.8173413 32.0353881)
8515442100,32.0353101,118.8180204,3,POINT (118.8180204 32.0353101)
8515442103,32.0357231,118.8173888,4,POINT (118.8173888 32.0357231)
8515442104,32.0356517,118.8180667,3,POINT (118.8180667 32.0356517)
8515442110,32.0359426,118.8181156,3,POINT (118.8181156 32.0359426)
8515442111,32.0362768,118.8181686,3,POINT (118.8181686 32.0362768)
8515442112,32.0349616,118.8179717,3,POINT (118.8179717 32.0349616)
8515442113,32.0347866,118.8172435,3,POINT (118.8172435 32.0347866)
8515442114,32.0347045,118.817941,3,POINT (118.817941 32.0347045)
8515442116,32.0344934,118.8171988,4,POINT (118.8171988 32.0344934)
8515450317,32.0344172,118.8179114,3,POINT (118.8179114 32.0344172)
8515450318,32.0342489,118.8171761,3,POINT (118.8171761 32.0342489)
