osmid,y,x,street_count,geometry
1463998788,32.0335899,118.8478777,4,POINT (118.8478777 32.0335899)
1463998794,32.0294019,118.8479687,3,POINT (118.8479687 32.0294019)
1463998798,32.0282159,118.8480054,3,POINT (118.8480054 32.0282159)
1463998804,32.0366121,118.8477778,3,POINT (118.8477778 32.0366121)
1464739860,32.0367849,118.8513567,2,POINT (118.8513567 32.0367849)
1464752915,32.0311451,118.8514064,4,POINT (118.8514064 32.0311451)
1464752922,32.0307451,118.8514204,3,POINT (118.8514204 32.0307451)
1464752924,32.0334644,118.8542174,4,POINT (118.8542174 32.0334644)
1464752929,32.0311542,118.853874,4,POINT (118.853874 32.0311542)
1470635084,32.0333964,118.8513759,3,POINT (118.8513759 32.0333964)
1470635090,32.0335138,118.8515326,3,POINT (118.8515326 32.0335138)
1470635092,32.0335214,118.8512265,3,POINT (118.8512265 32.0335214)
1470635094,32.0335754,118.8489279,3,POINT (118.8489279 32.0335754)
1470635097,32.033656,118.8513658,3,POINT (118.8513658 32.033656)
1484509791,32.0258363,118.8496547,3,POINT (118.8496547 32.0258363)
1484509798,32.0268517,118.8480054,3,POINT (118.8480054 32.0268517)
1484509799,32.0268566,118.8496918,3,POINT (118.8496918 32.0268566)
1484509806,32.0275083,118.8496621,3,POINT (118.8496621 32.0275083)
1484509810,32.0294149,118.8495715,4,POINT (118.8495715 32.0294149)
1484509811,32.0304909,118.8479329,3,POINT (118.8479329 32.0304909)
1484509812,32.030498,118.8495839,3,POINT (118.8495839 32.030498)
1484509813,32.0304706,118.8507411,3,POINT (118.8507411 32.0304706)
1484509816,32.0310789,118.8478908,4,POINT (118.8478908 32.0310789)
1497354106,32.0311241,118.8502282,4,POINT (118.8502282 32.0311241)
1497354108,32.0311495,118.8525911,3,POINT (118.8525911 32.0311495)
1497354114,32.0316472,118.8478652,3,POINT (118.8478652 32.0316472)
1497354117,32.0316749,118.850215,3,POINT (118.850215 32.0316749)
1497354118,32.0319346,118.8502154,3,POINT (118.8502154 32.0319346)
1497354127,32.031956,118.8513945,3,POINT (118.8513945 32.031956)
1497354128,32.0334925,118.8524189,3,POINT (118.8524189 32.0334925)
1497354129,32.0335404,118.8500645,4,POINT (118.8500645 32.0335404)
1503665079,32.0334321,118.8556012,1,POINT (118.8556012 32.0334321)
1503665098,32.0348379,118.8478021,3,POINT (118.8478021 32.0348379)
1507223908,32.0258537,118.8531327,3,POINT (118.8531327 32.0258537)
1507223909,32.026742,118.853113,3,POINT (118.853113 32.026742)
1507223910,32.0305164,118.8520766,3,POINT (118.8520766 32.0305164)
1507223912,32.0305188,118.8530608,3,POINT (118.8530608 32.0305188)
1510914442,32.034367,118.8481444,3,POINT (118.8481444 32.034367)
1510914452,32.0352325,118.8481575,3,POINT (118.8481575 32.0352325)
1532713408,32.0302026,118.8463684,1,POINT (118.8463684 32.0302026)
