osmid,y,x,street_count,highway,geometry
1030348723,32.0580037,118.772959,3,,POINT (118.772959 32.0580037)
1030348739,32.0576833,118.7729142,3,,POINT (118.7729142 32.0576833)
1030350260,32.057252,118.7751502,4,,POINT (118.7751502 32.057252)
1030350269,32.0578434,118.7763228,3,,POINT (118.7763228 32.0578434)
1030350270,32.0583961,118.7762291,4,,POINT (118.7762291 32.0583961)
1030350293,32.0575536,118.7739091,3,,POINT (118.7739091 32.0575536)
1030350294,32.0581066,118.7738167,3,,POINT (118.7738167 32.0581066)
1030350299,32.057694,118.7750791,4,,POINT (118.7750791 32.057694)
1030350301,32.0574051,118.7763977,3,,POINT (118.7763977 32.0574051)
1030354668,32.0601183,118.7727832,3,,POINT (118.7727832 32.0601183)
1030354718,32.0601141,118.7715971,4,,POINT (118.7715971 32.0601141)
1030354727,32.0598443,118.7727833,3,,POINT (118.7727833 32.0598443)
1030357710,32.0588822,118.7753225,3,,POINT (118.7753225 32.0588822)
1030357716,32.0585467,118.7754725,3,,POINT (118.7754725 32.0585467)
1030357725,32.058746,118.7761296,3,,POINT (118.7761296 32.058746)
1030357726,32.0583813,118.7758436,4,,POINT (118.7758436 32.0583813)
1030357729,32.0577981,118.7759472,4,,POINT (118.7759472 32.0577981)
1030357730,32.0588057,118.7746945,3,,POINT (118.7746945 32.0588057)
1030357732,32.0588936,118.7754132,4,,POINT (118.7754132 32.0588936)
1030357733,32.0586993,118.7747126,3,,POINT (118.7747126 32.0586993)
1030357734,32.0589782,118.7761104,3,,POINT (118.7761104 32.0589782)
1030357740,32.0583104,118.7755147,3,,POINT (118.7755147 32.0583104)
1030357746,32.0586256,118.7761499,3,,POINT (118.7761499 32.0586256)
1030357747,32.0586672,118.7754519,3,,POINT (118.7754519 32.0586672)
1152345201,32.0581989,118.7745859,4,,POINT (118.7745859 32.0581989)
1155818298,32.0532536,118.7753924,3,,POINT (118.7753924 32.0532536)
1155818351,32.053205,118.7750175,1,,POINT (118.7750175 32.053205)
1155818366,32.053362,118.7763036,3,,POINT (118.7763036 32.053362)
1155818387,32.0528578,118.777106,4,,POINT (118.777106 32.0528578)
1155818396,32.0553978,118.776719,3,,POINT (118.776719 32.0553978)
1155818401,32.05315,118.7770615,4,,POINT (118.7770615 32.05315)
1155818426,32.0527635,118.775657,3,,POINT (118.775657 32.0527635)
1155818430,32.0548421,118.7749893,4,,POINT (118.7749893 32.0548421)
1155818431,32.053064,118.7763548,4,,POINT (118.7763548 32.053064)
1155818442,32.0527883,118.7764026,4,,POINT (118.7764026 32.0527883)
1155818444,32.0529754,118.7756272,3,,POINT (118.7756272 32.0529754)
1155818446,32.0544412,118.7751428,3,,POINT (118.7751428 32.0544412)
1155818454,32.0551599,118.7749446,1,,POINT (118.7749446 32.0551599)
1166185726,32.0548812,118.7753935,3,,POINT (118.7753935 32.0548812)
1167714382,32.0582239,118.7747939,3,,POINT (118.7747939 32.0582239)
1167714383,32.0591571,118.7746365,3,,POINT (118.7746365 32.0591571)
1167714386,32.0593516,118.7761711,4,,POINT (118.7761711 32.0593516)
1682447987,32.0586757,118.7745199,3,,POINT (118.7745199 32.0586757)
1682466442,32.054068,118.7769216,4,,POINT (118.7769216 32.054068)
1683601189,32.0576217,118.7730168,3,,POINT (118.7730168 32.0576217)
1683601249,32.057889,118.7729423,3,,POINT (118.7729423 32.057889)
1683601266,32.0578905,118.7718555,3,,POINT (118.7718555 32.0578905)
1683601375,32.0607809,118.7717627,3,,POINT (118.7717627 32.0607809)
1683685497,32.0560749,118.7753529,4,,POINT (118.7753529 32.0560749)
1683685499,32.0561323,118.7766151,3,,POINT (118.7766151 32.0561323)
1683685502,32.0561817,118.7771725,1,,POINT (118.7771725 32.0561817)
1683685507,32.0563405,118.7735477,1,,POINT (118.7735477 32.0563405)
1683685535,32.0571232,118.7729142,3,,POINT (118.7729142 32.0571232)
1683685537,32.0571313,118.7732289,3,,POINT (118.7732289 32.0571313)
1683685539,32.0572524,118.7732103,3,,POINT (118.7732103 32.0572524)
1683685541,32.0572794,118.7734595,1,,POINT (118.7734595 32.0572794)
1683685544,32.0572914,118.7730548,1,,POINT (118.7730548 32.0572914)
1683685552,32.0573033,118.77368,1,,POINT (118.77368 32.0573033)
1683685554,32.0573316,118.7739415,3,,POINT (118.7739415 32.0573316)
1683685558,32.0576262,118.7731546,3,,POINT (118.7731546 32.0576262)
1683685560,32.0577135,118.7738824,3,,POINT (118.7738824 32.0577135)
1683685567,32.0577778,118.7708844,3,,POINT (118.7708844 32.0577778)
1683685593,32.058247,118.7749867,4,,POINT (118.7749867 32.058247)
1683685601,32.0583507,118.7758508,4,,POINT (118.7758508 32.0583507)
1683685603,32.0585852,118.7758083,4,,POINT (118.7758083 32.0585852)
1683685610,32.0587057,118.7757876,4,,POINT (118.7757876 32.0587057)
1683685614,32.0589618,118.7757436,1,,POINT (118.7757436 32.0589618)
1683685632,32.0597442,118.7716046,3,,POINT (118.7716046 32.0597442)
1683685649,32.0597623,118.7706629,4,,POINT (118.7706629 32.0597623)
1683870862,32.0532735,118.7755767,3,,POINT (118.7755767 32.0532735)
1683870869,32.0538514,118.7752805,3,,POINT (118.7752805 32.0538514)
1683870878,32.0539794,118.7761977,4,,POINT (118.7761977 32.0539794)
1683870907,32.0544597,118.7755826,1,,POINT (118.7755826 32.0544597)
1683870912,32.0545035,118.7755733,4,,POINT (118.7755733 32.0545035)
1683870916,32.0545914,118.7760932,4,,POINT (118.7760932 32.0545914)
1683870930,32.0547837,118.7755542,3,,POINT (118.7755542 32.0547837)
1683870989,32.0549095,118.7756511,3,,POINT (118.7756511 32.0549095)
1683870998,32.0549604,118.7760315,4,,POINT (118.7760315 32.0549604)
1683871024,32.0549954,118.7755231,3,,POINT (118.7755231 32.0549954)
1683871043,32.0550508,118.7767719,4,,POINT (118.7767719 32.0550508)
1683871050,32.0551455,118.7759989,3,,POINT (118.7759989 32.0551455)
1683871061,32.0553067,118.7759714,3,,POINT (118.7759714 32.0553067)
1683871088,32.0553144,118.7756561,3,,POINT (118.7756561 32.0553144)
1683871092,32.0554924,118.775441,3,,POINT (118.775441 32.0554924)
1683871096,32.0554877,118.775527,3,,POINT (118.775527 32.0554877)
1683871100,32.0560933,118.7755737,3,,POINT (118.7755737 32.0560933)
1683871111,32.0564584,118.7746128,1,,POINT (118.7746128 32.0564584)
1683871113,32.0565334,118.775269,4,,POINT (118.775269 32.0565334)
1683871120,32.0565596,118.7754987,4,,POINT (118.7754987 32.0565596)
1683871122,32.0565665,118.7755594,1,,POINT (118.7755594 32.0565665)
1683871126,32.0567327,118.775236,4,,POINT (118.775236 32.0567327)
1683871142,32.0567591,118.7754666,3,,POINT (118.7754666 32.0567591)
1683871148,32.0569807,118.7760787,3,,POINT (118.7760787 32.0569807)
1683871158,32.0571592,118.7743933,3,,POINT (118.7743933 32.0571592)
1683871173,32.0572144,118.7748437,3,,POINT (118.7748437 32.0572144)
1683871179,32.0572387,118.77438,3,,POINT (118.77438 32.0572387)
1683871190,32.0572928,118.7748304,3,,POINT (118.7748304 32.0572928)
1683871195,32.0573585,118.776018,4,,POINT (118.776018 32.0573585)
1683871207,32.0575455,118.7743287,4,,POINT (118.7743287 32.0575455)
1683871209,32.0576028,118.7743192,4,,POINT (118.7743192 32.0576028)
1683871210,32.0576568,118.7747691,3,,POINT (118.7747691 32.0576568)
1683882090,32.0529476,118.7778492,3,,POINT (118.7778492 32.0529476)
1683882125,32.0544701,118.7768603,3,,POINT (118.7768603 32.0544701)
1683882129,32.0547056,118.7768245,4,,POINT (118.7768245 32.0547056)
1684824265,32.0570264,118.7710983,1,,POINT (118.7710983 32.0570264)
1684824266,32.0570267,118.771214,1,,POINT (118.771214 32.0570267)
1684824285,32.0570277,118.7715393,1,,POINT (118.7715393 32.0570277)
1684824293,32.0570297,118.7714064,1,,POINT (118.7714064 32.0570297)
1684824352,32.0570871,118.7710969,3,,POINT (118.7710969 32.0570871)
1684824356,32.057089,118.7712126,3,,POINT (118.7712126 32.057089)
1684824360,32.057092,118.7714051,3,,POINT (118.7714051 32.057092)
1684824362,32.0570941,118.7715379,3,,POINT (118.7715379 32.0570941)
1684824430,32.057217,118.7707022,3,,POINT (118.7707022 32.057217)
1684824448,32.0572232,118.7710939,3,,POINT (118.7710939 32.0572232)
1684824461,32.0572391,118.7705652,1,,POINT (118.7705652 32.0572391)
1684824522,32.05736,118.7706991,3,,POINT (118.7706991 32.05736)
1684824524,32.0573856,118.7710904,3,,POINT (118.7710904 32.0573856)
1684824525,32.0573929,118.7715532,3,,POINT (118.7715532 32.0573929)
1684824527,32.0573953,118.771709,3,,POINT (118.771709 32.0573953)
1684824530,32.0573957,118.7717366,1,,POINT (118.7717366 32.0573957)
1684824531,32.0574325,118.7718401,1,,POINT (118.7718401 32.0574325)
1684824543,32.0574568,118.7708928,1,,POINT (118.7708928 32.0574568)
1684824562,32.0575457,118.770742,3,,POINT (118.770742 32.0575457)
1684824577,32.0575481,118.7708908,3,,POINT (118.7708908 32.0575481)
1684824579,32.0575511,118.7710868,3,,POINT (118.7710868 32.0575511)
1684824595,32.0576114,118.7712821,1,,POINT (118.7712821 32.0576114)
1684824654,32.0577113,118.7708349,3,,POINT (118.7708349 32.0577113)
1684824661,32.057883,118.7714977,3,,POINT (118.7714977 32.057883)
1684901806,32.0577733,118.7757401,3,,POINT (118.7757401 32.0577733)
1684901809,32.0582749,118.775219,3,,POINT (118.775219 32.0582749)
1684901810,32.0583264,118.7756479,3,,POINT (118.7756479 32.0583264)
1684901812,32.0583411,118.7755086,3,,POINT (118.7755086 32.0583411)
1684901821,32.058422,118.7761849,3,,POINT (118.7761849 32.058422)
1684901822,32.0584765,118.7751829,3,,POINT (118.7751829 32.0584765)
1684901823,32.058539,118.7747389,3,,POINT (118.7747389 32.058539)
1684901824,32.0585571,118.7749349,3,,POINT (118.7749349 32.0585571)
1684901827,32.0586458,118.774619,1,,POINT (118.774619 32.0586458)
1684901830,32.0586871,118.7746122,4,,POINT (118.7746122 32.0586871)
1684901832,32.0587035,118.7761368,3,,POINT (118.7761368 32.0587035)
1684901835,32.0587157,118.776252,1,,POINT (118.776252 32.0587157)
1684901841,32.0587411,118.7746032,1,,POINT (118.7746032 32.0587411)
1684901845,32.0588196,118.7754258,4,,POINT (118.7754258 32.0588196)
1684901847,32.0588436,118.7750055,3,,POINT (118.7750055 32.0588436)
1684901849,32.0588575,118.7751197,3,,POINT (118.7751197 32.0588575)
1684901851,32.0588604,118.775761,4,,POINT (118.775761 32.0588604)
1684901853,32.058903,118.7761031,4,,POINT (118.7761031 32.058903)
1684901856,32.0589339,118.7757484,4,,POINT (118.7757484 32.0589339)
1684901858,32.059149,118.7744304,3,,POINT (118.7744304 32.059149)
1684901864,32.059194,118.7749474,3,,POINT (118.7749474 32.059194)
1684901866,32.0592436,118.7753634,3,,POINT (118.7753634 32.0592436)
1684901868,32.0593371,118.7760501,3,,POINT (118.7760501 32.0593371)
1684918714,32.0557491,118.7753986,4,crossing,POINT (118.7753986 32.0557491)
1684918716,32.0558574,118.7747447,3,,POINT (118.7747447 32.0558574)
1684918717,32.0564637,118.7746592,4,,POINT (118.7746592 32.0564637)
1684918718,32.0566647,118.7733,3,,POINT (118.7733 32.0566647)
1684918720,32.0567253,118.7739155,3,,POINT (118.7739155 32.0567253)
1684918722,32.0567934,118.7746069,3,,POINT (118.7746069 32.0567934)
1684918724,32.0598632,118.7738526,3,,POINT (118.7738526 32.0598632)
1684918726,32.0607078,118.7738104,3,,POINT (118.7738104 32.0607078)
1684918727,32.0607052,118.7728681,3,,POINT (118.7728681 32.0607052)
1684935592,32.0548508,118.7742015,1,,POINT (118.7742015 32.0548508)
1684935617,32.0555879,118.7741733,4,,POINT (118.7741733 32.0555879)
1684935646,32.05571,118.7741543,3,,POINT (118.7741543 32.05571)
1684935652,32.0557411,118.7751122,3,,POINT (118.7751122 32.0557411)
1684951046,32.0587303,118.7728893,3,,POINT (118.7728893 32.0587303)
1684971163,32.0567541,118.7720302,1,,POINT (118.7720302 32.0567541)
1684971167,32.0568601,118.7720295,3,,POINT (118.7720295 32.0568601)
1684971174,32.0568601,118.7729105,3,,POINT (118.7729105 32.0568601)
1684971175,32.0569757,118.7720288,1,,POINT (118.7720288 32.0569757)
1684982491,32.0523854,118.7756748,1,,POINT (118.7756748 32.0523854)
1686024144,32.0530011,118.7758388,3,,POINT (118.7758388 32.0530011)
1686024148,32.0529998,118.7763658,1,,POINT (118.7763658 32.0529998)
1686024153,32.0530387,118.7761478,3,,POINT (118.7761478 32.0530387)
1686024160,32.0530824,118.7758251,3,,POINT (118.7758251 32.0530824)
1686024166,32.05312,118.776134,3,,POINT (118.776134 32.05312)
1686024168,32.0531422,118.7755989,3,,POINT (118.7755989 32.0531422)
1686024170,32.053168,118.7758106,3,,POINT (118.7758106 32.053168)
1686024173,32.0532056,118.7761195,3,,POINT (118.7761195 32.0532056)
1686024176,32.0532308,118.7763261,3,,POINT (118.7763261 32.0532308)
1686024180,32.0534356,118.7774108,1,,POINT (118.7774108 32.0534356)
1686024185,32.0534731,118.7770122,3,,POINT (118.7770122 32.0534731)
1686024187,32.0535167,118.7773981,4,,POINT (118.7773981 32.0535167)
1686024190,32.0535487,118.7776824,1,,POINT (118.7776824 32.0535487)
1686024192,32.0536151,118.7773826,1,,POINT (118.7773826 32.0536151)
1686027134,32.0601146,118.7721963,3,,POINT (118.7721963 32.0601146)
1686027141,32.0604494,118.7721996,1,,POINT (118.7721996 32.0604494)
1699099703,32.0527181,118.7771273,4,,POINT (118.7771273 32.0527181)
1699099705,32.052795,118.7778724,3,,POINT (118.7778724 32.052795)
1704508077,32.0551562,118.7758359,3,,POINT (118.7758359 32.0551562)
