u,v,key,osmid,name,highway,oneway,reversed,length,geometry,service
1684309383,1684309462,0,156140845,动专路,living_street,False,False,20.078,"LINESTRING (118.9045021 32.1179802, 118.9044929 32.1177998)",
1684309383,8450171260,0,156140845,动专路,living_street,False,True,72.624,"LINESTRING (118.9045021 32.1179802, 118.9045083 32.1186333)",
1684309383,1684309441,0,156140850,新北区六号路,living_street,False,False,120.506,"LINESTRING (118.9045021 32.1179802, 118.9045862 32.1179712, 118.9057808 32.1179528)",
1684309425,8450171262,0,156140844,紫金路,living_street,False,False,184.91899999999998,"LINESTRING (118.9055411 32.1202065, 118.9055518 32.1201065, 118.9054767 32.119634, 118.9054981 32.1194977, 118.9057127 32.119207, 118.90582 32.1190434, 118.9058415 32.118789, 118.9058297 32.118626)",
1684309425,1684309431,0,156140847,板仓路,living_street,False,False,126.186,"LINESTRING (118.9055411 32.1202065, 118.9054338 32.1202247, 118.9051334 32.1201611, 118.9045647 32.1199884, 118.9042893 32.119856)",
1684309428,1684309509,0,156140844,紫金路,living_street,False,False,53.361000000000004,"LINESTRING (118.9057449 32.1163537, 118.9056591 32.1161447, 118.9055556 32.1159014)",
1684309428,1684309441,0,156140844,紫金路,living_street,False,True,178.238,"LINESTRING (118.9057449 32.1163537, 118.905702 32.1171988, 118.9057664 32.1177531, 118.9057808 32.1179528)",
1684309431,8450171260,0,156140845,动专路,living_street,False,False,141.11700000000002,"LINESTRING (118.9042893 32.119856, 118.9043394 32.1197794, 118.9045004 32.1195341, 118.9045111 32.1189344, 118.9045083 32.1186333)",
1684309431,8450171259,0,156140847,板仓路,living_street,False,False,180.109,"LINESTRING (118.9042893 32.119856, 118.9041678 32.1197976, 118.9037922 32.1195522, 118.903524 32.1192796, 118.903288 32.1189889, 118.9030936 32.1186331)",
1684309431,1684309425,0,156140847,板仓路,living_street,False,True,126.18599999999999,"LINESTRING (118.9042893 32.119856, 118.9045647 32.1199884, 118.9051334 32.1201611, 118.9054338 32.1202247, 118.9055411 32.1202065)",
1684309441,1684309428,0,156140844,紫金路,living_street,False,False,178.238,"LINESTRING (118.9057808 32.1179528, 118.9057664 32.1177531, 118.905702 32.1171988, 118.9057449 32.1163537)",
1684309441,8450171262,0,156140844,紫金路,living_street,False,True,74.998,"LINESTRING (118.9057808 32.1179528, 118.9058272 32.1185915, 118.9058297 32.118626)",
1684309441,1684309383,0,156140850,新北区六号路,living_street,False,True,120.506,"LINESTRING (118.9057808 32.1179528, 118.9045862 32.1179712, 118.9045021 32.1179802)",
1684309455,1684309517,0,156140844,紫金路,living_street,False,True,18.216,"LINESTRING (118.9035192 32.1163867, 118.9036265 32.1162504)",
1684309455,8450171259,0,156140847,板仓路,living_street,False,True,283.31,"LINESTRING (118.9035192 32.1163867, 118.9026979 32.1173896, 118.9026335 32.1175804, 118.9026443 32.1177076, 118.9027408 32.1179439, 118.9029554 32.1183801, 118.9030936 32.1186331)",
1684309462,1684309383,0,156140845,动专路,living_street,False,True,20.078,"LINESTRING (118.9044929 32.1177998, 118.9045021 32.1179802)",
1684309462,1684309480,0,673044217,,living_street,True,False,81.094,"LINESTRING (118.9044929 32.1177998, 118.9044151 32.1177157, 118.9044097 32.117225, 118.9044929 32.1171137)",
1684309465,1684309455,0,673044219,,living_street,True,False,100.05699999999999,"LINESTRING (118.9044151 32.1168229, 118.9043131 32.1168411, 118.9035192 32.1163867)",
1684309465,1684309480,0,673044220,动专路,living_street,False,True,33.659,"LINESTRING (118.9044151 32.1168229, 118.9044789 32.1169443, 118.9044929 32.1171137)",
1684309480,1684309462,0,156140846,,living_street,True,False,81.83500000000001,"LINESTRING (118.9044929 32.1171137, 118.9045814 32.1172227, 118.9045881 32.1176612, 118.9045755 32.1177167, 118.9044929 32.1177998)",
1684309480,1684309465,0,673044220,动专路,living_street,False,False,33.659,"LINESTRING (118.9044929 32.1171137, 118.9044789 32.1169443, 118.9044151 32.1168229)",
1684309509,8979210226,0,156140844,紫金路,living_street,False,False,299.092,"LINESTRING (118.9055556 32.1159014, 118.9053265 32.1153632, 118.9051441 32.1149815, 118.9049939 32.1148361, 118.9048437 32.114818, 118.9047042 32.1148725, 118.9043716 32.1152814, 118.9038835 32.1159162)",
1684309509,1684309428,0,156140844,紫金路,living_street,False,True,53.361000000000004,"LINESTRING (118.9055556 32.1159014, 118.9056591 32.1161447, 118.9057449 32.1163537)",
1684309517,1684309455,0,156140844,紫金路,living_street,False,False,18.216,"LINESTRING (118.9036265 32.1162504, 118.9035192 32.1163867)",
1684309517,8979210226,0,156140844,紫金路,living_street,False,True,44.349,"LINESTRING (118.9036265 32.1162504, 118.9038835 32.1159162)",
1684309517,1684309465,0,673044218,,living_street,True,False,101.309,"LINESTRING (118.9036265 32.1162504, 118.9043212 32.1166503, 118.9044097 32.1167411, 118.9044151 32.1168229)",
8450171259,8450171260,0,910084387,新北区二号路,living_street,False,False,133.232,"LINESTRING (118.9030936 32.1186331, 118.9045083 32.1186333)",
8450171259,1684309455,0,156140847,板仓路,living_street,False,False,283.31,"LINESTRING (118.9030936 32.1186331, 118.9029554 32.1183801, 118.9027408 32.1179439, 118.9026443 32.1177076, 118.9026335 32.1175804, 118.9026979 32.1173896, 118.9035192 32.1163867)",
8450171259,1684309431,0,156140847,板仓路,living_street,False,True,180.109,"LINESTRING (118.9030936 32.1186331, 118.903288 32.1189889, 118.903524 32.1192796, 118.9037922 32.1195522, 118.9041678 32.1197976, 118.9042893 32.119856)",
8450171260,1684309383,0,156140845,动专路,living_street,False,False,72.624,"LINESTRING (118.9045083 32.1186333, 118.9045021 32.1179802)",
8450171260,8450171259,0,910084387,新北区二号路,living_street,False,True,133.232,"LINESTRING (118.9045083 32.1186333, 118.9030936 32.1186331)",
8450171260,8450171262,0,910084388,新北区五号路,living_street,False,False,124.448,"LINESTRING (118.9045083 32.1186333, 118.9058297 32.118626)",
8450171260,1684309431,0,156140845,动专路,living_street,False,True,141.117,"LINESTRING (118.9045083 32.1186333, 118.9045111 32.1189344, 118.9045004 32.1195341, 118.9043394 32.1197794, 118.9042893 32.119856)",
8450171262,8450171260,0,910084388,新北区五号路,living_street,False,True,124.448,"LINESTRING (118.9058297 32.118626, 118.9045083 32.1186333)",
8450171262,1684309441,0,156140844,紫金路,living_street,False,False,74.998,"LINESTRING (118.9058297 32.118626, 118.9058272 32.1185915, 118.9057808 32.1179528)",
8450171262,1684309425,0,156140844,紫金路,living_street,False,True,184.91899999999998,"LINESTRING (118.9058297 32.118626, 118.9058415 32.118789, 118.90582 32.1190434, 118.9057127 32.119207, 118.9054981 32.1194977, 118.9054767 32.119634, 118.9055518 32.1201065, 118.9055411 32.1202065)",
8979210220,8979210221,0,970295420,,service,False,True,22.621,"LINESTRING (118.9041411 32.1161878, 118.9039374 32.11608)",parking_aisle
8979210220,8979210221,1,"[970295418, 970295421]",,service,False,False,44.553,"LINESTRING (118.9041411 32.1161878, 118.9040764 32.1162731, 118.9038773 32.1161647, 118.9039374 32.11608)",
8979210220,8979210222,0,"[970295419, 970295421]",,service,False,True,34.512,"LINESTRING (118.9041411 32.1161878, 118.9042072 32.1161005, 118.9040047 32.1159852)",
8979210221,8979210222,0,970295418,,service,False,False,12.3,"LINESTRING (118.9039374 32.11608, 118.9040047 32.1159852)",
8979210221,8979210220,0,970295420,,service,False,False,22.621,"LINESTRING (118.9039374 32.11608, 118.9041411 32.1161878)",parking_aisle
8979210221,8979210220,1,"[970295418, 970295421]",,service,False,True,44.553,"LINESTRING (118.9039374 32.11608, 118.9038773 32.1161647, 118.9040764 32.1162731, 118.9041411 32.1161878)",
